से	vom	से	vom		
बड़ा	grösser	बड़ा	groß	ADJ;NOM;MASC;SG	ADJ
बनाया	hergestellt	बना	herstellen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बनाया	machte	बना	machen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
बनाया	gemacht	बना	machen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बनाया	geschafft	बना	schaffen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बनाया	geschaffen	बना	schaffen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बनाया	erzeugt	बना	erzeugen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बनाया	erstellt	बना	erstellen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बनाया	erschaffen	बना	erschaffen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
बनाया	erstellte	बना	erstellt	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
जारी	laufende	जारी	laufend	ADJ	ADJ;NOM;FEM;SG
जारी	laufender	जारी	laufend	ADJ	ADJ
जारी	fortlaufende	जारी	fortlaufend	ADJ	ADJ;NOM;FEM;PL
जारी	fortlaufend	जारी	fortlaufend	ADJ	ADJ
प्रणाली	system	प्रणाली	system	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
सरकारी	staatliche	सरकारी	staatlich	ADJ;NOM	ADJ;NOM;FEM;PL
सरकारी	staatlichen	सरकारी	staatlich	ADJ;NOM	ADJ;NOM;MASC;PL
सरकारी	beamter	सरकारी	beamt	ADJ;NOM	ADJ
सरकारी	offizielles	सरकारी	offiziell	ADJ;NOM	ADJ;NOM;NEUT;SG
सरकारी	offizielle	सरकारी	offiziell	ADJ;NOM	ADJ;NOM;FEM;PL
सरकारी	offizieller	सरकारी	offiziell	ADJ;NOM	ADJ
सरकारी	offiziellen	सरकारी	offiziell	ADJ;NOM	ADJ
देशों	ländern	देश	ländern	N;ACC;MASC;PL;3	N;PL
जल	wasser	जल	wasser	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
सूची	liste	सूची	lassen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सूची	aufstellung	सूची	aufstellingen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रखा	behielt	रख	behalten	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
रखा	gehalten	रख	halten	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
विचार	idee	विचार	idee	N;NOM;MASC;SG;3	N;NOM;FEM;SG
छोटे	kleiner	छोटा	klein	ADJ;NOM;MASC;PL	ADJ
छोटे	kleine	छोटा	klein	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
छोटे	kleinen	छोटा	klein	ADJ;NOM;MASC;PL	ADJ;PL
छोटे	klein	छोटा	klein	ADJ;NOM;MASC;PL	ADJ
छोटे	kleiner	छोटा	klein	ADJ;NOM;MASC;PL	ADJ
छोटे	kleine	छोटा	klein	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
छोटे	klein	छोटा	klein	ADJ;NOM;MASC;PL	ADJ
ऊपर	top	ऊपर	top	ADV;NOM;MASC;SG;3	ADV
ऊपर	oben	ऊपर	oben	ADV;NOM;MASC;SG;3	ADV
ऊपर	oben	ऊपर	oben	ADV;NOM;MASC;SG;3	ADV
ऊपर	oberhalb	ऊपर	oberhalb	ADV;NOM;MASC;SG;3	ADV
आधारित	basierend	आधारित	basierend	ADJ	ADJ
पानी	wasser	पानी	wasser	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
आगे	vorwärts	आगे	vorwärts	ADV;NOM;MASC;SG;3	ADV
आगे	vorwärts	आगे	vorwärts	ADV;NOM;MASC;SG;3	ADV
एक्स्प्रेस	ausdrücken	एक्स्प्रेस	ausdrücken	V;PFV;FEM;SG;V.PTCP;ACT	V;NFIN
वर्ग	kategorie	वर्ग	kategorie	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मानव	mensch	मानव	mensch	N;NOM;MASC;SG;3	N;SG
भूमिका	einleitung	भूमिका	einleitung	N;NOM;FEM;SG;3	N;SG
भूमिका	einführung	भूमिका	einführung	N;NOM;FEM;SG;3	N;SG
भूमिका	rolle	भूमिका	roll	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अतिरिक्त	ersatzteile	अतिरिक्त	ersatzteil	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पिता	vater	पिता	vater	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उत्पन्न	erzeugte	उत्पन्न	erzeugen	ADJ	ADJ;NOM;SG
नीचे	hinunter	नीचे	hinunter	ADV;NOM;MASC;SG;3	ADV
नीचे	abwärts	नीचे	abwärts	ADV;NOM;MASC;SG;3	ADV
नीचे	unten	नीचे	unten	ADV;NOM;MASC;SG;3	ADV
नीचे	darunter	नीचे	darunter	ADV;NOM;MASC;SG;3	ADV
नीचे	unten	नीचे	unten	ADV;NOM;MASC;SG;3	ADV
नीचे	unten	नीचे	unten	ADV;NOM;MASC;SG;3	ADV
दुनिया	welt	दुनिया	welt	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आधुनिक	modernen	आधुनिक	modern	ADJ	ADJ
आधुनिक	modern	आधुनिक	modern	ADJ	ADJ
आधुनिक	moderner	आधुनिक	modern	ADJ	ADJ
आधुनिक	moderne	आधुनिक	modern	ADJ	ADJ;NOM;FEM;SG
आधुनिक	modernes	आधुनिक	modern	ADJ	ADJ;NOM;NEUT;SG
दे	geben	दे	geben	V;FIN;ACT	V;NFIN
दे	gebe	दे	geben	V;FIN;ACT	V;SBJV;SG;3;PRS;FIN
दे	gib	दे	gib	V;FIN;ACT	V;IND;SG;2;PRS;FIN
दे	schenken	दे	schenken	V;FIN;ACT	V;NFIN
सभा	montage	सभा	montag	N;NOM;FEM;SG;3	N;NOM;SG
सभा	versammlung	सभा	versammlung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सभा	versammlung	सभा	versammlung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परिवार	familie	परिवार	familie	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विषय	thema	विषय	thema	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
विषय	thema	विषय	thema	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
बाहर	draussen	बाहर	draussen	ADV;NOM;MASC;SG;3	ADV
बाहर	außen	बाहर	außen	ADV;NOM;MASC;SG;3	ADV
बाहर	draußen	बाहर	draußen	ADV;NOM;MASC;SG;3	ADV
बाहर	außen	बाहर	außen	ADV;NOM;MASC;SG;3	ADV
बाहर	draussen	बाहर	draussen	ADV;NOM;MASC;SG;3	ADV
बाहर	draußen	बाहर	draußen	ADV;NOM;MASC;SG;3	ADV
बाहर	draussen	बाहर	draussen	ADV;NOM;MASC;SG;3	ADV
बाहर	draußen	बाहर	draußen	ADV;NOM;MASC;SG;3	ADV
बाहर	draußen	बाहर	draußen	ADV;NOM;MASC;SG;3	ADV
बाहर	raus	बाहर	raus	ADV;NOM;MASC;SG;3	ADV
खेल	spiel	खेल	spielen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
खेल	spiel	खेल	spielen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
खेल	spiel	खेल	spielen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
समान	selbe	समान	selb		
दूर	weg	दूर	weg	ADV;NOM;MASC;SG;3	ADV
पता	adresse	पता	adresse	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पता	ansprache	पता	ansprechen	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शक्ति	kräfte	शक्ति	krafen	N;NOM;FEM;SG;3	N
शक्ति	festigkeit	शक्ति	Festigkeit	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शक्ति	leistung	शक्ति	leistung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शक्ति	stromversorgung	शक्ति	stromversorgung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कला	kunst	कला	kunst	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कला	kunst	कला	kunst	N;NOM;FEM;SG;3	N;NOM;FEM;SG
घर	haus	घर	haus	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
घर	heimat	घर	heimat	N;NOM;MASC;SG;3	N;FEM;SG
घर	haus	घर	haus	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
प्रकाशित	veröffentlichung	प्रकाशित	veröffentlichung	ADJ	ADJ
प्रक्रिया	vorgang	प्रक्रिया	vorgang	N;NOM;FEM;SG;3	N
सेना	armee	सेना	arme	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सेना	armee	सेना	arme	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रेलवे	schiene	रेलवे	schienen	N;NOM;MASC;SG;3	N
दशक	dekade	दशक	dekade	N;NOM;MASC;SG;3	N;SG
पूरी	ganzes	पूरा	ganz	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
नए	neuer	नया	neu	ADJ;NOM;MASC;PL	ADJ
नए	neuerer	नया	neu	ADJ;NOM;MASC;PL	ADJ
नए	neuere	नया	neu	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
नए	neueren	नया	neu	ADJ;NOM;MASC;PL	ADJ
क्या	welche	क्या	welch	PRO	PRO;NOM;SG
क्या	was	क्या	was	PRO	PRO;NOM;NEUT;SG
क्या	welchen	क्या	welch	PRO	PRO;NOM;SG
संबंध	beziehung	संबंध	Beziehung	N;NOM;MASC;SG;3	N;SG
संबंध	beziehung	संबंध	Beziehung	N;NOM;MASC;SG;3	N;SG
संबंध	bindung	संबंध	bindung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रदर्शन	leistung	प्रदर्शन	leistung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रदर्शन	darstellung	प्रदर्शन	darstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रदर्शन	belichtung	प्रदर्शन	belichtung	N;NOM;MASC;SG;3	N;SG
मार्ग	strecke	मार्ग	strecken	N;NOM;MASC;SG;3	N;SG
लगा	fühlte	लगा	fühlen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
लगा	gefühlt	लगा	fühlen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
लगा	schien	लगा	scheinen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
लगा	schienen	लगा	schienen	V;PFV;MASC;SG;V.PTCP;ACT	V;NFIN
प्रदर्शित	hervorgehobene	प्रदर्शित	hervorgehoben	ADJ	ADJ;NOM;FEM;PL
प्रदर्शित	empfohlene	प्रदर्शित	empfohlen	ADJ	ADJ;NOM;FEM;PL
प्रदर्शित	angezeigte	प्रदर्शित	angezeigt	ADJ	ADJ;NOM;FEM;SG
अक्सर	oft	अक्सर	oft	ADV	ADV
अक्सर	oft	अक्सर	oft	ADV	ADV
अक्सर	oftmals	अक्सर	oftmals	ADV	ADV
सहायता	hilfe	सहायता	helfen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहायता	betreuung	सहायता	betreuung	N;NOM;FEM;SG;3	N;SG
सहायता	hilfe	सहायता	helfen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहायता	hilfeleistung	सहायता	hilfeleistung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहायता	hilfe	सहायता	helfen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पहला	erster	पहला	erst	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
मृत्यु	todesstrafe	मृत्यु	todesstraf	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मृत्यु	sterblichkeitsrate	मृत्यु	sterblichkeitsrate	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्वयं	self	स्वयं	self		
तैयार	bereit	तैयार	bereit	ADJ	ADJ
तैयार	fertig	तैयार	fertig	ADJ	ADJ
आवश्यक	erforderlich	आवश्यक	erforderlich	ADJ	ADJ
आवश्यक	notwendig	आवश्यक	notwendig	ADJ	ADJ
आवश्यक	erforderliche	आवश्यक	erforderlich	ADJ	ADJ;NOM;FEM;PL
आवश्यक	dringend	आवश्यक	dringend	ADJ	ADJ
आवश्यक	dringlich	आवश्यक	dringlich	ADJ	ADJ
आवश्यक	dringlichkeit	आवश्यक	dringlichkeit	ADJ	ADJ
आवश्यक	dringenden	आवश्यक	dringend	ADJ	ADJ
आवश्यक	dringende	आवश्यक	dringend	ADJ	ADJ;NOM;FEM;PL
आवश्यक	notwendige	आवश्यक	notwendig	ADJ	ADJ;NOM;FEM;PL
आवश्यक	erforderlichen	आवश्यक	erforderlich	ADJ	ADJ
आवश्यक	erforderliche	आवश्यक	erforderlich	ADJ	ADJ;NOM;FEM;PL
देखा	geschaut	देख	schauen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
देखा	schaute	देख	schauen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
देखा	gesehen	देख	sehen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
देखा	sah	देख	sehen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
देखा	angesehen	देख	ansehen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
देखा	beobachtet	देख	beobachten	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
देखा	beobachtete	देख	beobachtet	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
देखा	gesehen	देख	sehen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
देखा	sah	देख	sehen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
देखा	gesehen	देख	sehen	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
देखा	sah	देख	sehen	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
उत्पादन	fertigung	उत्पादन	Fertigung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्पादन	herstellung	उत्पादन	herstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्पादन	erzeugung	उत्पादन	erzeugung	N;NOM;MASC;SG;3	N;SG
रोग	erkrankung	रोग	erkrankung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संबंधित	jeweilige	संबंधित	jeweilig	ADJ	ADJ;NOM;FEM;PL
संबंधित	jeweiligen	संबंधित	jeweilig	ADJ	ADJ;NOM;MASC;PL
संबंधित	verwandt	संबंधित	verwandt	ADJ	ADJ
संबंधित	verbundene	संबंधित	verbunden	ADJ	ADJ;NOM;FEM;SG
गये	gingen	जा	gehen	V;PFV;MASC;PL;V.PTCP;ACT	V;IND;PL;3;PST;FIN
गये	gegangen	जा	gehen	V;PFV;MASC;PL;V.PTCP;ACT	V;V.PTCP
संघ	vereinigung	संघ	vereinigung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संघ	assoziation	संघ	assoziation	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संघ	vereinigung	संघ	vereinigung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
यात्रा	ausflug	यात्रा	ausflagen	N;NOM;FEM;SG;3	N;SG
मात्रा	betrag	मात्रा	betragen	N;NOM;FEM;SG;3	N
मात्रा	anzahl	मात्रा	anzahl	N;NOM;FEM;SG;3	N;SG
मात्रा	menge	मात्रा	mengen	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जगह	ort	जगह	ort	N;NOM;FEM;SG;3	N;NOM;MASC;SG
लोक	volk	लोक	volk	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
पूरा	voll	पूरा	voll	ADJ;NOM;MASC;SG	ADJ
पूरा	vollständig	पूरा	vollständig	ADJ;NOM;MASC;SG	ADJ
पूरा	ganzes	पूरा	ganz	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;SG
पूरा	vollständig	पूरा	vollständig	ADJ;NOM;MASC;SG	ADJ
पूरा	komplett	पूरा	komplett	ADJ;NOM;MASC;SG	ADJ
नई	neuer	नया	neu	ADJ;NOM;FEM;SG	ADJ
नई	neu	नया	neu	ADJ;NOM;FEM;SG	ADJ
नई	neues	नया	neu	ADJ;NOM;FEM;SG	ADJ;NOM;NEUT;SG
नई	neuer	नया	neu	ADJ;NOM;FEM;SG	ADJ
नई	neuerer	नया	neu	ADJ;NOM;FEM;SG	ADJ
नई	neueren	नया	neu	ADJ;NOM;FEM;SG	ADJ
चिकित्सा	arzt	चिकित्सा	arzen	N;NOM;FEM;SG;3	N;SG
चिकित्सा	medizin	चिकित्सा	medizin	N;NOM;FEM;SG;3	N;NOM;SG
चिकित्सा	therapie	चिकित्सा	therapie	N;NOM;FEM;SG;3	N;SG
दूसरी	zweiter	दूसरा	zweit	ADJ;NOM;FEM;SG	ADJ
पुराने	alten	पुराना	alt	ADJ;MASC;PL	ADJ;NOM;MASC;PL
पुराने	alte	पुराना	alt	ADJ;MASC;PL	ADJ;NOM;FEM;PL
पुराने	altstadt	पुराना	altstadt	ADJ;MASC;PL	ADJ
पुराने	alter	पुराना	alt	ADJ;MASC;PL	ADJ
पुराने	alt	पुराना	alt	ADJ;MASC;PL	ADJ
पुराने	ältere	पुराना	alt	ADJ;MASC;PL	ADJ;NOM;FEM;PL
पुराने	älteren	पुराना	alt	ADJ;MASC;PL	ADJ
पुराने	älter	पुराना	alt	ADJ;MASC;PL	ADJ
पुराने	älterer	पुराना	alt	ADJ;MASC;PL	ADJ
भगवान	gottes	भगवान	gott	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
भगवान	gott	भगवान	gott	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भगवान	gott	भगवान	gott	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भगवान	herr	भगवान	herr	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भगवान	herrn	भगवान	herrn	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लिखा	geschrieben	लिख	schreiben	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
लिखा	geschrieben	लिख	schreiben	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
लिखा	schrieb	लिख	schreiben	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
संस्थान	institutionen	संस्थान	institution	N;NOM;MASC;PL;3	N;NOM;PL
परिवर्तन	umwandlung	परिवर्तन	umwandlung	N;NOM;MASC;SG;3	N;SG
परिवर्तन	umbau	परिवर्तन	umbau	N;NOM;MASC;SG;3	N
परिवर्तन	konvertierung	परिवर्तन	konvertierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	umstellung	परिवर्तन	umstellung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	änderung	परिवर्तन	änderung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	verwandlung	परिवर्तन	verwandlung	N;NOM;MASC;SG;3	N;FEM;SG
परिवर्तन	umgestaltung	परिवर्तन	Umgestaltung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	umwandlung	परिवर्तन	umwandlung	N;NOM;MASC;SG;3	N;SG
परिवर्तन	veränderung	परिवर्तन	veränderung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	änderung	परिवर्तन	änderung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
टीम	team	टीम	team	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
चर्चा	diskussion	चर्चा	diskussion	N;NOM;FEM;SG;3	N
स्कूल	schule	स्कूल	schule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
स्कूल	schule	स्कूल	schule	N;NOM;MASC;SG;3	N;NOM;FEM;SG
लेखक	autor	लेखक	autor	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संस्करण	ausgabe	संस्करण	ausgeben	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संस्करण	version	संस्करण	version	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संस्करण	ausgabe	संस्करण	ausgeben	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ट्रेन	bahnhof	ट्रेन	bahnhof	N;NOM;FEM;SG;3	N;NOM;MASC;SG
ट्रेन	zug	ट्रेन	zug	N;NOM;FEM;SG;3	N;SG
ट्रेन	zug	ट्रेन	zug	N;NOM;FEM;SG;3	N;SG
प्रचलित	vorherrschende	प्रचलित	vorherrschend	ADJ	ADJ;NOM;FEM;PL
प्रचलित	vorherrschende	प्रचलित	vorherrschend	ADJ	ADJ;NOM;FEM;PL
आकार	form	आकार	form	N;NOM;MASC;SG;3	N;SG
आकार	größe	आकार	groß	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आकार	größe	आकार	groß	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पश्चिमी	westlich	पश्चिमी	westlich	ADJ	ADJ
पश्चिमी	westlichen	पश्चिमी	westlich	ADJ	ADJ;NOM;MASC;SG
पश्चिमी	westliche	पश्चिमी	westlich	ADJ	ADJ;NOM;FEM;PL
आर्थिक	wirtschaftlichen	आर्थिक	wirtschaftlich	ADJ;NOM	ADJ;NOM;MASC;PL
आर्थिक	wirtschaftliche	आर्थिक	wirtschaftlich	ADJ;NOM	ADJ;NOM;FEM;PL
आर्थिक	wirtschaftlich	आर्थिक	wirtschaftlich	ADJ;NOM	ADJ
राजधानी	großbuchstaben	राजधानी	großbuchstaben	N;NOM;FEM;SG;3	N
दर्शन	philosophie	दर्शन	philosophie	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दर्शन	sicht	दर्शन	sechen	N;NOM;MASC;SG;3	N;SG
दर्शन	sehvermögen	दर्शन	sehvermögen	N;NOM;MASC;SG;3	N;NOM
विधि	gesetz	विधि	gesetz	N;NOM;FEM;SG;3	N;NOM;NEUT;SG
अवधि	periode	अवधि	periode	N;NOM;FEM;SG;3	N;SG
दृष्टि	sicht	दृष्टि	sechen	N;NOM;FEM;SG;3	N;SG
दृष्टि	sehvermögen	दृष्टि	sehvermögen	N;NOM;FEM;SG;3	N;NOM
सिद्धांत	grundsätze	सिद्धान्त	grundsätze	N;NOM;MASC;SG;3	N;NOM;FEM;SG
अंतिम	letzte	अंतिम	letzt	ADJ;NOM	ADJ;NOM;FEM;SG
अंतिम	letzter	अंतिम	letzt	ADJ;NOM	ADJ;NOM;MASC;SG
अंतिम	letzten	अंतिम	letzt	ADJ;NOM	ADJ;PL
अंतिम	letztes	अंतिम	letzt	ADJ;NOM	ADJ;NOM;NEUT;SG
अंतिम	endgültig	अंतिम	endgültig	ADJ;NOM	ADJ
अंतिम	endgültige	अंतिम	endgültig	ADJ;NOM	ADJ;NOM;FEM;PL
अंतिम	endgültigen	अंतिम	endgültig	ADJ;NOM	ADJ
अंतिम	letzte	अंतिम	letzt	ADJ;NOM	ADJ;NOM;FEM;SG
विशिष्ट	spezifisch	विशिष्ट	spezifisch	ADJ	ADJ
विशिष्ट	spezielle	विशिष्ट	speziell	ADJ	ADJ;NOM;FEM;PL
विशिष्ट	spezifischen	विशिष्ट	spezifisch	ADJ	ADJ
विशिष्ट	spezifische	विशिष्ट	spezifisch	ADJ	ADJ;NOM;FEM;PL
विशिष्ट	vornehm	विशिष्ट	vornehm	ADJ	ADJ
हिन्दू	hindus	हिन्दू	hindus		
लाल	rotwein	लाल	rotwein		
रहने	bleiben	रह	bleiben	V;NFIN;ACT	V;NFIN
पूर्वी	östlich	पूर्वी	östlich	ADJ	ADJ
पूर्वी	ostseite	पूर्वी	ostseite	ADJ	ADJ
पूर्वी	osteuropa	पूर्वी	osteuropa	ADJ	ADJ
पूर्वी	östlichen	पूर्वी	östlich	ADJ	ADJ;ACC;MASC;SG
पूर्वी	östliche	पूर्वी	östlich	ADJ	ADJ;NOM;FEM;PL
समर्थन	betreuung	समर्थन	betreuung	N;NOM;MASC;SG;3	N;SG
व्यापार	geschäft	व्यापार	schäfen	N;NOM;MASC;SG;3	N;NOM;NEUT;SG
प्रयास	versuche	प्रयास	versuchen	N;NOM;MASC;SG;3	N;NOM;SG
प्रयास	aufwand	प्रयास	aufwinden	N;NOM;MASC;SG;3	N
महिला	frau	महिला	frau	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नामांकन	nominierung	नामांकन	nominierung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
क्षमता	kapazität	क्षमता	kapazität	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्षमता	befähigung	क्षमता	befähigung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्षमता	kapazität	क्षमता	kapazität	N;NOM;FEM;SG;3	N;NOM;FEM;SG
क्षमता	befähigung	क्षमता	befähigung	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पाया	gefunden	पा	finden	V;PFV;MASC;SG;V.PTCP;ACT	V;V.PTCP
पाया	fand	पा	finden	V;PFV;MASC;SG;V.PTCP;ACT	V;IND;SG;3;PST;FIN
स्पष्ट	offensichtlichen	स्पष्ट	offensichtlich	ADJ	ADJ
स्पष्ट	offensichtlicher	स्पष्ट	offensichtlich	ADJ	ADJ
स्पष्ट	offensichtlich	स्पष्ट	offensichtlich	ADJ	ADJ
स्पष्ट	offensichtliche	स्पष्ट	offensichtlich	ADJ	ADJ;NOM;FEM;PL
परिणाम	ergebnisse	परिणाम	ergebnis	N;NOM;MASC;PL;3	N;NOM;NEUT;PL
पुत्र	sohn	पुत्र	sohnen	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शासन	regierungsführung	शासन	regierungsführung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शासन	unternehmensführung	शासन	unternehmensführung	N;NOM;MASC;SG;3	N;NOM;FEM;SG
