का	de	का	de	ADP;NOM;MASC;SG	ADP
बड़ा	ampla	बड़ा	amplo	ADJ;NOM;MASC;SG	ADJ
बड़ा	grandes	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
बड़ा	grande	बड़ा	grande	ADJ;NOM;MASC;SG	ADJ
स्तर	niveis	स्तर	nivel	N;NOM;MASC;SG;3	N
स्तर	nivel	स्तर	nivel	N;NOM;MASC;SG;3	N
बनाया	fixen	बना	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
बनाया	fixo	बना	facer	V;PFV;MASC;SG;V.PTCP;ACT	V
बनाया	creamos	बना	crear	V;PFV;MASC;SG;V.PTCP;ACT	V
बनाया	creou	बना	crear	V;PFV;MASC;SG;V.PTCP;ACT	V
बनाया	creado	बना	crear	V;PFV;MASC;SG;V.PTCP;ACT	V
बनाया	creei	बना	crear	V;PFV;MASC;SG;V.PTCP;ACT	V
बनाया	creados	बना	crear	V;PFV;MASC;SG;V.PTCP;ACT	V
चित्र	foto	चित्र	foto	N;NOM;MASC;SG;3	N
चित्र	imaxe	चित्र	imaxe	N;NOM;MASC;SG;3	N
चित्र	fotografía	चित्र	fotografía	N;NOM;MASC;SG;3	N
चित्र	fotos	चित्र	foto	N;NOM;MASC;SG;3	N
चित्र	imaxes	चित्र	imaxe	N;NOM;MASC;SG;3	N
चित्र	fotografías	चित्र	fotografía	N;NOM;MASC;SG;3	N
चित्र	imaxe	चित्र	imaxe	N;NOM;MASC;SG;3	N
चित्र	imaxes	चित्र	imaxe	N;NOM;MASC;SG;3	N
प्रणाली	sistema	प्रणाली	sistema	N;NOM;FEM;SG;3	N
सरकारी	oficial	सरकारी	oficial	ADJ;NOM	ADJ
जहां	onde	जहाँ	onde	PRO;NOM	PRO
देशों	países	देश	país	N;ACC;MASC;PL;3	N
देशों	paises	देश	país	N;ACC;MASC;PL;3	N
जल	auga	जल	auga	N;NOM;MASC;SG;3	N
सूची	lista	सूची	lista	N;NOM;FEM;SG;3	N
सूची	listaxe	सूची	listaxe	N;NOM;FEM;SG;3	N
उसने	el	वह	el	PRO;SG;3	PRO
उसने	que	वह	que	PRO;SG;3	PRO
रखा	mantivo	रख	manter	V;PFV;MASC;SG;V.PTCP;ACT	V
विचार	idea	विचार	idea	N;NOM;MASC;SG;3	N
विचार	ideas	विचार	idea	N;NOM;MASC;SG;3	N
विचार	pensamentos	विचार	pensamento	N;NOM;MASC;SG;3	N
विचार	pensamento	विचार	pensamento	N;NOM;MASC;SG;3	N
छोटे	pequeno	छोटा	pequeno	ADJ;NOM;MASC;PL	ADJ
छोटे	pequenos	छोटा	pequeno	ADJ;NOM;MASC;PL	ADJ
छोटे	pequenas	छोटा	pequeno	ADJ;NOM;MASC;PL	ADJ
छोटे	pequena	छोटा	pequeno	ADJ;NOM;MASC;PL	ADJ
छोटे	pequeno	छोटा	pequeno	ADJ;NOM;MASC;PL	ADJ
छोटे	pequena	छोटा	pequeno	ADJ;NOM;MASC;PL	ADJ
ऊपर	enriba	ऊपर	enriba	ADV;NOM;MASC;SG;3	ADV
ऊपर	riba	ऊपर	riba	ADV;NOM;MASC;SG;3	ADV
ऊपर	enriba	ऊपर	enriba	ADV;NOM;MASC;SG;3	ADV
ऊपर	arriba	ऊपर	arriba	ADV;NOM;MASC;SG;3	ADV
इसलिए	que	इसलिए	que	PRO	PRO
इसलिए	iso	इसलिए	iso	PRO	PRO
पानी	auga	पानी	auga	N;NOM;MASC;SG;3	N
सामान्य	xeneral	सामान्य	xeneral	N;NOM;MASC;SG;3	N
सामान्य	normais	सामान्य	normal	N;NOM;MASC;SG;3	N
आगे	adiante	आगे	adiante	ADV;NOM;MASC;SG;3	ADV
एक्स्प्रेस	expresar	एक्स्प्रेस	expresar	V;PFV;FEM;SG;V.PTCP;ACT	V
पुलिस	policía	पुलिस	policía	N;NOM;FEM;SG;3	N
वर्ग	categoría	वर्ग	categoría	N;NOM;MASC;SG;3	N
वर्ग	praza	वर्ग	praza	N;NOM;MASC;SG;3	N
वर्ग	clases	वर्ग	clase	N;NOM;MASC;SG;3	N
वर्ग	clase	वर्ग	clase	N;NOM;MASC;SG;3	N
शरीर	corpo	शरीर	corpo	N;NOM;MASC;SG;3	N
भूमिका	papel	भूमिका	papel	N;NOM;FEM;SG;3	N
हर	os	हर	o	DET	DET
हर	as	हर	o	DET	DET
हर	todos	हर	todo	DET	DET
हर	cada	हर	cada	DET	DET
हर	todas	हर	todo	DET	DET
पिता	pai	पिता	pai	N;NOM;MASC;SG;3	N
पिता	padre	पिता	padre	N;NOM;MASC;SG;3	N
समाज	sociedade	समाज	sociedade	N;NOM;MASC;SG;3	N
नीचे	abaixo	नीचे	abaixo	ADV;NOM;MASC;SG;3	ADV
नीचे	debaixo	नीचे	debaixo	ADV;NOM;MASC;SG;3	ADV
नीचे	abaixo	नीचे	abaixo	ADV;NOM;MASC;SG;3	ADV
नीचे	abaixo	नीचे	abaixo	ADV;NOM;MASC;SG;3	ADV
दुनिया	mundo	दुनिया	mundo	N;NOM;FEM;SG;3	N
आधुनिक	modernos	आधुनिक	moderno	ADJ	ADJ
आधुनिक	moderna	आधुनिक	moderno	ADJ	ADJ
आधुनिक	modernas	आधुनिक	moderno	ADJ	ADJ
आधुनिक	moderno	आधुनिक	moderno	ADJ	ADJ
ध्यान	atención	ध्यान	atención	N;NOM;MASC;SG;3	N
दे	da	दे	da	V;FIN;ACT	V
दे	dar	दे	dar	V;FIN;ACT	V
दे	dáme	दे	dáme	V;FIN;ACT	V
सभा	congregación	सभा	congregación	N;NOM;FEM;SG;3	N
सभा	reunión	सभा	reunión	N;NOM;FEM;SG;3	N
परिवार	familia	परिवार	familia	N;NOM;MASC;SG;3	N
विषय	tema	विषय	tema	N;NOM;MASC;SG;3	N
विषय	asunto	विषय	asunto	N;NOM;MASC;SG;3	N
विषय	temas	विषय	tema	N;NOM;MASC;SG;3	N
विषय	temas	विषय	tema	N;NOM;MASC;SG;3	N
विषय	suxeitos	विषय	suxeito	N;NOM;MASC;SG;3	N
विषय	suxeito	विषय	suxeito	N;NOM;MASC;SG;3	N
विषय	tema	विषय	tema	N;NOM;MASC;SG;3	N
विषय	materia	विषय	materia	N;NOM;MASC;SG;3	N
अधिकार	dereitos	अधिकार	dereito	N;NOM;MASC;SG;3	N
अधिकार	carta	अधिकार	carta	N;NOM;MASC;SG;3	N
अधिकार	dereito	अधिकार	dereito	N;NOM;MASC;SG;3	N
रंग	cor	रंग	cor	N;NOM;MASC;SG;3	N
रंग	cores	रंग	cora	N;NOM;MASC;SG;3	N
रंग	cores	रंग	cora	N;NOM;MASC;SG;3	N
रंग	cor	रंग	cor	N;NOM;MASC;SG;3	N
बाहर	fóra	बाहर	fóra	ADV;NOM;MASC;SG;3	ADV
बाहर	fóra	बाहर	fóra	ADV;NOM;MASC;SG;3	ADV
बाहर	fóra	बाहर	fóra	ADV;NOM;MASC;SG;3	ADV
खेल	xogo	खेल	xogo	N;NOM;MASC;SG;3	N
खेल	deportes	खेल	deporte	N;NOM;MASC;SG;3	N
खेल	deporte	खेल	deporte	N;NOM;MASC;SG;3	N
खेल	partido	खेल	partido	N;NOM;MASC;SG;3	N
खेल	xogo	खेल	xogo	N;NOM;MASC;SG;3	N
खेल	videoxogos	खेल	videoxogos	N;NOM;MASC;SG;3	N
खेल	xogos	खेल	xogo	N;NOM;MASC;SG;3	N
खेल	videoxogos	खेल	videoxogos	N;NOM;MASC;SG;3	N
खेल	deporte	खेल	deporte	N;NOM;MASC;SG;3	N
क्षेत्रों	zonas	क्षेत्र	zona	N;ACC;MASC;PL;3	N
क्षेत्रों	áreas	क्षेत्र	área	N;ACC;MASC;PL;3	N
जहाँ	onde	जहाँ	onde	PRO;NOM	PRO
दूर	moito	दूर	moito	ADV;NOM;MASC;SG;3	ADV
दूर	lonxe	दूर	lonxe	ADV;NOM;MASC;SG;3	ADV
दूर	lonxe	दूर	lonxe	ADV;NOM;MASC;SG;3	ADV
दूर	máis	दूर	máis	ADV;NOM;MASC;SG;3	ADV
दूर	lonxe	दूर	lonxe	ADV;NOM;MASC;SG;3	ADV
पता	discurso	पता	discurso	N;NOM;MASC;SG;3	N
पता	enderezo	पता	enderezo	N;NOM;MASC;SG;3	N
पता	dirección	पता	dirección	N;NOM;MASC;SG;3	N
शक्ति	fortaleza	शक्ति	fortalezar	N;NOM;FEM;SG;3	N
शक्ति	forzas	शक्ति	forza	N;NOM;FEM;SG;3	N
शक्ति	forza	शक्ति	forza	N;NOM;FEM;SG;3	N
कला	arte	कला	arte	N;NOM;FEM;SG;3	N
घर	fogar	घर	fogar	N;NOM;MASC;SG;3	N
घर	casa	घर	casa	N;NOM;MASC;SG;3	N
घर	á	घर	á	N;NOM;MASC;SG;3	N
घर	na	घर	na	N;NOM;MASC;SG;3	N
घर	casa	घर	casa	N;NOM;MASC;SG;3	N
प्रक्रिया	proceso	प्रक्रिया	proceso	N;NOM;FEM;SG;3	N
प्रक्रिया	procesos	प्रक्रिया	proceso	N;NOM;FEM;SG;3	N
प्रक्रिया	procedemento	प्रक्रिया	procedemento	N;NOM;FEM;SG;3	N
सेना	exércitos	सेना	exército	N;NOM;FEM;SG;3	N
सेना	exército	सेना	exército	N;NOM;FEM;SG;3	N
पार्टी	festa	पार्टी	festa	N;NOM;FEM;SG;3	N
पार्टी	partido	पार्टी	partido	N;NOM;FEM;SG;3	N
हम	que	हम	que	PRO;NOM;PL;1	PRO
अंत	fin	अंत	fin	N;NOM;MASC;SG;3	N
अंत	final	अंत	final	N;NOM;MASC;SG;3	N
दशक	década	दशक	década	N;NOM;MASC;SG;3	N
क्या	que	क्या	que	PRO	PRO
संबंध	relación	संबंध	relación	N;NOM;MASC;SG;3	N
संबंध	relacións	संबंध	relación	N;NOM;MASC;SG;3	N
संबंध	relación	संबंध	relación	N;NOM;MASC;SG;3	N
संबंध	relacións	संबंध	relación	N;NOM;MASC;SG;3	N
संबंध	relación	संबंध	relación	N;NOM;MASC;SG;3	N
ऐसी	como	ऐसा	como	PRO;NOM;FEM;SG	PRO
मार्ग	ruta	मार्ग	ruta	N;NOM;MASC;SG;3	N
मार्ग	xeito	मार्ग	xeito	N;NOM;MASC;SG;3	N
मार्ग	maneira	मार्ग	maneira	N;NOM;MASC;SG;3	N
मार्ग	forma	मार्ग	forma	N;NOM;MASC;SG;3	N
मार्ग	camiño	मार्ग	camiño	N;NOM;MASC;SG;3	N
ज्ञान	coñecemento	ज्ञान	coñecemento	N;NOM;MASC;SG;3	N
ज्ञान	coñecementos	ज्ञान	coñecemento	N;NOM;MASC;SG;3	N
लगा	sentía	लगा	sentía	V;PFV;MASC;SG;V.PTCP;ACT	V
लगा	sentíame	लगा	sentíame	V;PFV;MASC;SG;V.PTCP;ACT	V
लगा	sentín	लगा	sentir	V;PFV;MASC;SG;V.PTCP;ACT	V
लगा	parecía	लगा	parecer	V;PFV;MASC;SG;V.PTCP;ACT	V
लगा	parecían	लगा	parecer	V;PFV;MASC;SG;V.PTCP;ACT	V
लगा	semellaba	लगा	semellar	V;PFV;MASC;SG;V.PTCP;ACT	V
लगा	pareceu	लगा	parecer	V;PFV;MASC;SG;V.PTCP;ACT	V
अक्सर	moito	अक्सर	moito	ADV	ADV
अक्सर	acotío	अक्सर	acotío	ADV	ADV
सहायता	axuda	सहायता	axuda	N;NOM;FEM;SG;3	N
सहायता	evitalo	सहायता	evitalo	N;NOM;FEM;SG;3	N
सहायता	apoio	सहायता	apoio	N;NOM;FEM;SG;3	N
सहायता	axuda	सहायता	axuda	N;NOM;FEM;SG;3	N
पहला	primeiro	पहला	primeiro	ADJ;NOM;MASC;SG	ADJ
पहला	primeira	पहला	primeiro	ADJ;NOM;MASC;SG	ADJ
मृत्यु	morte	मृत्यु	morte	N;NOM;FEM;SG;3	N
मृत्यु	mortalidade	मृत्यु	mortalidade	N;NOM;FEM;SG;3	N
आवश्यक	urxente	आवश्यक	urxente	ADJ	ADJ
देखा	mirei	देख	mirei	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	parecía	देख	parecer	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	miraba	देख	mirabar	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	puña	देख	poñer	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	mirei	देख	mirei	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	ver	देख	ver	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	viron	देख	ver	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	visto	देख	ver	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	vin	देख	ver	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	vira	देख	vir	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	viches	देख	viche	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	vin	देख	ver	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	viu	देख	ver	V;PFV;MASC;SG;V.PTCP;ACT	V
देखा	vimos	देख	ver	V;PFV;MASC;SG;V.PTCP;ACT	V
उत्पादन	produción	उत्पादन	produción	N;NOM;MASC;SG;3	N
उत्पादन	producción	उत्पादन	producción	N;NOM;MASC;SG;3	N
रोग	doenza	रोग	doenza	N;NOM;MASC;SG;3	N
रोग	enfermidades	रोग	enfermidade	N;NOM;MASC;SG;3	N
रोग	enfermidade	रोग	enfermidade	N;NOM;MASC;SG;3	N
रोग	cardíacas	रोग	cardíaco	N;NOM;MASC;SG;3	N
शताब्दी	século	शताब्दी	século	N;NOM;FEM;SG;3	N
गये	foi	जा	ser	V;PFV;MASC;PL;V.PTCP;ACT	V
संघ	unión	संघ	unión	N;NOM;MASC;SG;3	N
संघ	sindicato	संघ	sindicato	N;NOM;MASC;SG;3	N
संघ	sindicalista	संघ	sindicalista	N;NOM;MASC;SG;3	N
संघ	sindical	संघ	sindical	N;NOM;MASC;SG;3	N
संघ	sindicatos	संघ	sindicato	N;NOM;MASC;SG;3	N
संघ	asociación	संघ	asociación	N;NOM;MASC;SG;3	N
यात्रा	cara	यात्रा	cara	N;NOM;FEM;SG;3	N
यात्रा	viaxe	यात्रा	viaxe	N;NOM;FEM;SG;3	N
यात्रा	viaxe	यात्रा	viaxe	N;NOM;FEM;SG;3	N
मात्रा	cantidade	मात्रा	cantidade	N;NOM;FEM;SG;3	N
मात्रा	cantidade	मात्रा	cantidade	N;NOM;FEM;SG;3	N
जगह	lugar	जगह	lugar	N;NOM;FEM;SG;3	N
जगह	casa	जगह	casa	N;NOM;FEM;SG;3	N
जगह	sitio	जगह	sitio	N;NOM;FEM;SG;3	N
जगह	espazo	जगह	espazo	N;NOM;FEM;SG;3	N
जगह	espacio	जगह	espacio	N;NOM;FEM;SG;3	N
लोक	folk	लोक	folk	N;NOM;MASC;SG;3	N
पूरा	completo	पूरा	completo	ADJ;NOM;MASC;SG	ADJ
पूरा	completo	पूरा	completo	ADJ;NOM;MASC;SG	ADJ
नई	novo	नया	novo	ADJ;NOM;FEM;SG	ADJ
नई	novas	नया	novo	ADJ;NOM;FEM;SG	ADJ
नई	nova	नया	novo	ADJ;NOM;FEM;SG	ADJ
नई	novos	नया	novo	ADJ;NOM;FEM;SG	ADJ
चिकित्सा	medicina	चिकित्सा	medicina	N;NOM;FEM;SG;3	N
चिकित्सा	médico	चिकित्सा	médico	N;NOM;FEM;SG;3	N
चिकित्सा	médicos	चिकित्सा	médico	N;NOM;FEM;SG;3	N
चिकित्सा	médica	चिकित्सा	médica	N;NOM;FEM;SG;3	N
चिकित्सा	terapia	चिकित्सा	terapia	N;NOM;FEM;SG;3	N
दूसरी	segunda	दूसरा	segundo	ADJ;NOM;FEM;SG	ADJ
कार्यक्रम	programas	कार्यक्रम	programa	N;NOM;MASC;SG;3	N
कार्यक्रम	eventos	कार्यक्रम	evento	N;NOM;MASC;SG;3	N
कार्यक्रम	sucesos	कार्यक्रम	suceso	N;NOM;MASC;SG;3	N
कार्यक्रम	feitos	कार्यक्रम	feito	N;NOM;MASC;SG;3	N
कार्यक्रम	adversos	कार्यक्रम	adverso	N;NOM;MASC;SG;3	N
कार्यक्रम	xuntanzas	कार्यक्रम	xuntanza	N;NOM;MASC;SG;3	N
कार्यक्रम	acontecementos	कार्यक्रम	acontecemento	N;NOM;MASC;SG;3	N
कार्यक्रम	programa	कार्यक्रम	programa	N;NOM;MASC;SG;3	N
कार्यक्रम	acontecemento	कार्यक्रम	acontecemento	N;NOM;MASC;SG;3	N
कार्यक्रम	eventos	कार्यक्रम	evento	N;NOM;MASC;SG;3	N
कार्यक्रम	evento	कार्यक्रम	evento	N;NOM;MASC;SG;3	N
कार्यक्रम	suceso	कार्यक्रम	suceso	N;NOM;MASC;SG;3	N
पुराने	maior	पुराना	maior	ADJ;MASC;PL	ADJ
भगवान	deus	भगवान	daus	N;NOM;MASC;SG;3	N
भगवान	señor	भगवान	señor	N;NOM;MASC;SG;3	N
भगवान	deus	भगवान	daus	N;NOM;MASC;SG;3	N
लिखा	escrita	लिख	escribir	V;PFV;MASC;SG;V.PTCP;ACT	V
लिखा	escribín	लिख	escribir	V;PFV;MASC;SG;V.PTCP;ACT	V
लिखा	escribiron	लिख	escribir	V;PFV;MASC;SG;V.PTCP;ACT	V
लिखा	escribiu	लिख	escribiu	V;PFV;MASC;SG;V.PTCP;ACT	V
संस्थान	instituto	संस्थान	instituto	N;NOM;MASC;PL;3	N
संस्कृति	cultura	संस्कृति	cultura	N;NOM;FEM;SG;3	N
संस्कृति	cultivo	संस्कृति	cultivo	N;NOM;FEM;SG;3	N
परिवर्तन	transición	परिवर्तन	transición	N;NOM;MASC;SG;3	N
परिवर्तन	cambios	परिवर्तन	cambio	N;NOM;MASC;SG;3	N
परिवर्तन	transformación	परिवर्तन	transformación	N;NOM;MASC;SG;3	N
परिवर्तन	cambio	परिवर्तन	cambio	N;NOM;MASC;SG;3	N
टीम	equipo	टीम	equipo	N;NOM;FEM;SG;3	N
चर्चा	discusión	चर्चा	discusión	N;NOM;FEM;SG;3	N
संगठन	organización	संगठन	organización	N;NOM;MASC;SG;3	N
संगठन	sindicato	संगठन	sindicato	N;NOM;MASC;SG;3	N
संगठन	organizacións	संगठन	organización	N;NOM;MASC;SG;3	N
अगर	se	अगर	se	CONJ	CONJ
शैली	estilo	शैली	estilo	N;NOM;FEM;SG;3	N
स्कूल	escolas	स्कूल	escola	N;NOM;MASC;SG;3	N
स्कूल	instituto	स्कूल	instituto	N;NOM;MASC;SG;3	N
स्कूल	escola	स्कूल	escola	N;NOM;MASC;SG;3	N
स्कूल	colexio	स्कूल	colexio	N;NOM;MASC;SG;3	N
पुस्तक	libro	पुस्तक	libro	N;NOM;FEM;SG;3	N
लेखक	escritores	लेखक	escritor	N;NOM;MASC;SG;3	N
संस्करण	edición	संस्करण	edición	N;NOM;MASC;SG;3	N
संस्करण	versión	संस्करण	versión	N;NOM;MASC;SG;3	N
खिलाड़ी	músicos	खिलाडी	músico	N;NOM;MASC;SG;3	N
खिलाड़ी	entidades	खिलाडी	entidade	N;NOM;MASC;SG;3	N
ट्रेन	tren	ट्रेन	tren	N;NOM;FEM;SG;3	N
ट्रेन	metro	ट्रेन	metro	N;NOM;FEM;SG;3	N
ट्रेन	trens	ट्रेन	tren	N;NOM;FEM;SG;3	N
आकार	formas	आकार	forma	N;NOM;MASC;SG;3	N
आकार	forma	आकार	forma	N;NOM;MASC;SG;3	N
आकार	dunha	आकार	dunha	N;NOM;MASC;SG;3	N
आकार	tamaños	आकार	tamaño	N;NOM;MASC;SG;3	N
आकार	tamaño	आकार	tamaño	N;NOM;MASC;SG;3	N
सीमा	límite	सीमा	límite	N;NOM;FEM;SG;3	N
सीमा	fronteira	सीमा	fronteira	N;NOM;FEM;SG;3	N
सीमा	rango	सीमा	rango	N;NOM;FEM;SG;3	N
सीमा	cadea	सीमा	cadea	N;NOM;FEM;SG;3	N
सीमा	abano	सीमा	abano	N;NOM;FEM;SG;3	N
सीमा	límites	सीमा	límite	N;NOM;FEM;SG;3	N
पश्चिमी	occidental	पश्चिमी	occidental	ADJ	ADJ
व्यवस्था	arranxo	व्यवस्था	arranxo	N;NOM;FEM;SG;3	N
व्यवस्था	acordo	व्यवस्था	acordo	N;NOM;FEM;SG;3	N
आर्थिक	económico	आर्थिक	económico	ADJ;NOM	ADJ
आर्थिक	económicas	आर्थिक	económico	ADJ;NOM	ADJ
आर्थिक	económica	आर्थिक	económico	ADJ;NOM	ADJ
राजधानी	capital	राजधानी	capital	N;NOM;FEM;SG;3	N
राजधानी	capitais	राजधानी	capital	N;NOM;FEM;SG;3	N
दर्शन	filosofía	दर्शन	filosofía	N;NOM;MASC;SG;3	N
दर्शन	visión	दर्शन	visión	N;NOM;MASC;SG;3	N
दर्शन	vista	दर्शन	vista	N;NOM;MASC;SG;3	N
विधि	métodos	विधि	método	N;NOM;FEM;SG;3	N
विधि	leis	विधि	lei	N;NOM;FEM;SG;3	N
विधि	lei	विधि	lei	N;NOM;FEM;SG;3	N
विधि	método	विधि	método	N;NOM;FEM;SG;3	N
विधि	modo	विधि	modo	N;NOM;FEM;SG;3	N
अवधि	período	अवधि	período	N;NOM;FEM;SG;3	N
अवधि	periodo	अवधि	periodo	N;NOM;FEM;SG;3	N
अवधि	tempo	अवधि	tempo	N;NOM;FEM;SG;3	N
अवधि	adolescencia	अवधि	adolescencia	N;NOM;FEM;SG;3	N
दृष्टि	visión	दृष्टि	visión	N;NOM;FEM;SG;3	N
दृष्टि	vista	दृष्टि	vista	N;NOM;FEM;SG;3	N
सिद्धांत	teoría	सिद्धान्त	teoría	N;NOM;MASC;SG;3	N
सिद्धांत	principios	सिद्धान्त	principio	N;NOM;MASC;SG;3	N
कलाकार	artistas	कलाकार	artista	N;NOM;MASC;SG;3	N
कलाकार	artista	कलाकार	artista	N;NOM;MASC;SG;3	N
कलाकार	artistas	कलाकार	artista	N;NOM;MASC;SG;3	N
बैंक	bancos	बैंक	banco	N;NOM;MASC;SG;3	N
बैंक	banco	बैंक	banco	N;NOM;MASC;SG;3	N
बैंक	ribeira	बैंक	ribeira	N;NOM;MASC;SG;3	N
बैंक	penedo	बैंक	pener	N;NOM;MASC;SG;3	N
बैंक	citybank	बैंक	citybank	N;NOM;MASC;SG;3	N
अंतिम	último	अंतिम	último	ADJ;NOM	ADJ
अंतिम	últimos	अंतिम	último	ADJ;NOM	ADJ
अंतिम	pasado	अंतिम	pasado	ADJ;NOM	ADJ
अंतिम	última	अंतिम	último	ADJ;NOM	ADJ
अंतिम	derradeira	अंतिम	derradeiro	ADJ;NOM	ADJ
अंतिम	último	अंतिम	último	ADJ;NOM	ADJ
अंतिम	definitivo	अंतिम	definitivo	ADJ;NOM	ADJ
