the	die	the	die	DET;DEF	DET;DEF
penalty	strafskop	penalty	strafskop	N;SG	N;SG
solutions	oplossings	solution	oplossing	N;PL	N;PL
secure	beveilig	secure	beveilig	V;IMP;FIN	V;PRS
architects	argitekte	architect	argitek	N;PL	N;PL
falling	falling	falling	falling	N;SG	N;SG
villa	villa	villa	villa	N;SG	N;SG
select	kies	select	kies	V;IMP;FIN	V;PRS
biological	biologiese	biological	biologies	ADJ	ADJ;NOM
posts	plasings	post	plasing	N;PL	N;PL
adaptation	aanpassing	adaptation	aanpassing	N;SG	N;SG
reporter	verslaggewer	reporter	verslaggewer	N;SG	N;SG
nobody	niemand	nobody	niemand	PRO;SG	PRO
scholarship	beurs	scholarship	beurs	N;SG	N;SG
belt	gordel	belt	gordel	N;SG	N;SG
patent	patent	patent	patent	N;SG	N;SG
mathematical	wiskundige	mathematical	wiskundig	ADJ	ADJ;NOM
rarely	selde	rarely	selde	ADV	ADV
crowd	skare	crowd	skaar	N;SG	N;SG
governments	regerings	government	regering	N;PL	N;PL
click	kliek	click	kliek	V;IMP;FIN	V;PRS
settlements	nedersettings	settlement	nedersetting	N;PL	N;PL
voters	stemmers	voter	stemmer	N;PL	N;PL
voters	kiesers	voter	kieser	N;PL	N;PL
component	komponent	component	komponent	N;SG	N;SG
partial	gedeeltelike	partial	gedeeltelik	ADJ	ADJ;NOM
birthday	vakansie	birthday	vakansie	N;SG	N;SG
researchers	navorsers	researcher	navorser	N;PL	N;PL
photographer	fotograaf	photographer	fotograaf	N;SG	N;SG
clock	horlosie	clock	horlosie	N;SG	N;SG
holiday	vakansie	holiday	vakansie	N;SG	N;SG
artwork	kunswerk	artwork	kunswerk	N;SG	N;SG
makeup	grimering	makeup	grimering	N;SG	N;SG
farmers	boere	farmer	boer	N;PL	N;PL
occasions	geleenthede	occasion	geleentheid	N;PL	N;PL
struggle	stryd	struggle	stryd	N;SG	N;SG
produces	produseer	produce	produseer	V;IND;SG;3;PRS;FIN	V;PRS
options	opsies	option	opsies	N;PL	N;PL
procedure	prosedure	procedure	prosedure	N;SG	N;SG
transition	oorgang	transition	oorgang	N;SG	N;SG
relationships	verhoudings	relationship	verhouding	N;PL	N;PL
libraries	biblioteke	library	bibliotek	N;PL	N;PL
speakers	speakers	speaker	speaker	N;PL	N;PL
speakers	luidsprekers	speaker	luidspreker	N;PL	N;PL
citizen	burger	citizen	burger	N;SG	N;SG
dogs	hondjies	dog	hondjie	N;PL	N;PL
dogs	honde	dog	hond	N;PL	N;PL
disputes	geskille	dispute	geskil	N;PL	N;PL
disputes	dispute	dispute	dispuit	N;PL	N;PL
nickname	bynaam	nickname	bynaam	N;SG	N;SG
ruling	beslissing	ruling	beslissing	N;SG	N;SG
favorite	gunsteling	favorite	gunsteling	N;SG	N;SG
download	aflaai	download	aflaai	V;IMP;FIN	V;PRS
appointment	afspraak	appointment	afspraak	N;SG	N;SG
ballet	ballet	ballet	ballet	N;SG	N;SG
sand	sand	sand	sand	N;SG	N;SG
angle	hoek	angle	hoek	N;SG	N;SG
sessions	sessies	session	sessie	N;PL	N;PL
recreation	ontspanning	recreation	ontspanning	N;SG	N;SG
accessible	toeganklike	accessible	toeganklik	ADJ	ADJ;NOM
thread	draad	thread	draad	N;SG	N;SG
spend	spandeer	spend	spandeer	V;IMP;FIN	V;PRS
choir	koor	choir	koor	N;SG	N;SG
trials	probeerslae	trial	probeerslag	N;PL	N;PL
mines	myne	mine	myne	N;PL	N;PL
injuries	beserings	injury	besering	N;PL	N;PL
rounds	rondtes	round	rondte	N;PL	N;PL
competitive	mededingende	competitive	mededing	ADJ	ADJ;NOM
meetings	meetings	meeting	meeting	N;PL	N;PL
meetings	vergaderings	meeting	vergadering	N;PL	N;PL
objective	oogmerk	objective	oogmerk	N;SG	N;SG
objective	doelwit	objective	doelwit	N;SG	N;SG
resort	oord	resort	oord	N;SG	N;SG
continuous	aaneenlopende	continuous	aaneenloop	ADJ	ADJ;NOM
encourage	moedig	encourage	moedig	V;IMP;FIN	V;PRS
acted	gereageer	act	reageer	V;PST;V.PTCP	V;PST;V.PTCP
heroes	helde	heroes	held	N;PL	N;PL
rocks	klippe	rock	klip	N;PL	N;PL
rocks	rotse	rock	rots	N;PL	N;PL
bed	bed	bed	bed	N;SG	N;SG
reflect	herhaal	reflect	herhaal	V;IMP;FIN	V;PRS
reflect	reflekteer	reflect	reflekteer	V;IMP;FIN	V;PRS
cooperation	samewerking	cooperation	samewerking	N;SG	N;SG
gothic	gotiese	gothic	goties	ADJ	ADJ;NOM
protest	betoging	protest	betoging	N;SG	N;SG
conversion	omskakeling	conversion	omskakeling	N;SG	N;SG
adventures	avonture	adventure	avonture	N;PL	N;PL
voyage	vaart	voyage	vaart	N;SG	N;SG
concentration	konsentrasie	concentration	konsentrasie	N;SG	N;SG
concentration	studierigting	concentration	studierigting	N;SG	N;SG
sing	eer	sing	eer	V;IMP;FIN	V;PRS
rocket	vuurpyl	rocket	vuurpyl	N;SG	N;SG
electricity	elektrisiteit	electricity	elektrisiteit	N;SG	N;SG
senators	senators	senator	senator	N;PL	N;PL
doc	dok	doc	dok	N;SG	N;SG
machines	masjiene	machine	masjien	N;PL	N;PL
saved	gestoor	save	stoor	V;PST;V.PTCP	V;PST;V.PTCP
saved	geberg	save	geberg	V;PST;V.PTCP	V;PST;V.PTCP
calendar	kalender	calendar	kalender	N;SG	N;SG
guilty	skuldig	guilty	skuldig	N;SG	N;SG
handle	hanteer	handle	hanteer	V;IMP;FIN	V;PRS
extinct	uitgestorwe	extinct	uitstorwe	ADJ	ADJ;NOM
responded	geantwoord	respond	geantwoord	V;PST;V.PTCP	V;PST;V.PTCP
responded	gereageer	respond	reageer	V;PST;V.PTCP	V;PST;V.PTCP
manufacturer	vervaardiger	manufacturer	vervaardiger	N;SG	N;SG
implementation	implementering	implementation	implementering	N;SG	N;SG
truck	vragmotor	truck	vragmotor	N;SG	N;SG
spelling	spelling	spelling	spelling	N;SG	N;SG
customers	klante	customer	klant	N;PL	N;PL
spaces	ruimtes	space	ruimte	N;PL	N;PL
spaces	spasies	space	spasie	N;PL	N;PL
cap	cap	cap	cap	N;SG	N;SG
push	deurstuur	push	deurstuur	V;IMP;FIN	V;PRS
lion	leeu	lion	leeu	N;SG	N;SG
serial	serie	serial	serie	N;SG	N;SG
rogers	rogers	roger	roger	N;PL	N;PL
concerts	konserte	concert	konserte	N;PL	N;PL
uniform	eenvormige	uniform	eenvormig	ADJ	ADJ;NOM
computers	rekenaars	computer	rekenaar	N;PL	N;PL
flower	blom	flower	blom	N;SG	N;SG
disaster	ramp	disaster	ramp	N;SG	N;SG
survive	oorleef	survive	oorleef	V;IMP;FIN	V;PRS
involves	behels	involve	behels	V;IND;SG;3;PRS;FIN	V;PRS
clothing	klerasie	clothing	klerasie	N;SG	N;SG
clothing	klere	clothing	klere	N;SG	N;SG
clothing	kleredrag	clothing	kleredrag	N;SG	N;SG
meat	vleis	meat	vleis	N;SG	N;SG
spam	gemorspos	spam	morspos	N;SG	N;SG
telephone	telefoon	telephone	telefoon	N;SG	N;SG
partially	gedeeltelik	partially	gedeeltelik	ADV	ADV
lawyers	prokureurs	lawyer	prokureur	N;PL	N;PL
tea	tee	tea	tee	N;SG	N;SG
heaven	hemel	heaven	hemel	N;SG	N;SG
athlete	atleet	athlete	atleet	N;SG	N;SG
aspect	aspek	aspect	aspek	N;SG	N;SG
answers	antwoorde	answer	antwoord	N;PL	N;PL
consumer	openbaring	consumer	openbaring	N;SG	N;SG
consumer	verbruiker	consumer	verbruiker	N;SG	N;SG
exclusive	eksklusiewe	exclusive	eksklusief	ADJ	ADJ;NOM
withdrawn	teruggetrokke	withdraw	teruggetrok	V;PST;V.PTCP	V;PST;V.PTCP
intention	voorneme	intention	voorneme	N;SG	N;SG
intention	bedoeling	intention	bedoeling	N;SG	N;SG
diseases	siektes	disease	siekte	N;PL	N;PL
poll	meningspeiling	poll	meningspeiling	N;SG	N;SG
ranges	reekse	range	reeks	N;PL	N;PL
insects	insekte	insect	insek	N;PL	N;PL
worship	aanbidding	worship	aanbidding	N;SG	N;SG
arrangement	indeling	arrangement	indeling	N;SG	N;SG
globe	aardbol	globe	aardbol	N;SG	N;SG
gross	bruto	gross	bruto	ADJ	ADJ;NOM
experiment	eksperiment	experiment	eksperiment	N;SG	N;SG
radical	radikale	radical	radikaal	ADJ	ADJ;NOM
opponent	teenstander	opponent	teenstander	N;SG	N;SG
supplies	voorrade	supplies	voorrade	N;PL	N;PL
opponents	teenstanders	opponent	teenstander	N;PL	N;PL
genera	genera	genera	genera	N;PL	N;PL
diplomatic	diplomatieke	diplomatic	diplomatiek	ADJ	ADJ;NOM
germans	duitsers	german	duitser	N;PL	N;PL
seal	seël	seal	seël	N;SG	N;SG
concepts	konsepte	concept	konsepte	N;PL	N;PL
sword	swaard	sword	swaard	N;SG	N;SG
merger	samesmelting	merger	samesmelting	N;SG	N;SG
remote	afgeleë	remote	afleë	N;SG	N;SG
rebellion	opstand	rebellion	opstand	N;SG	N;SG
victim	slagoffer	victim	slagoffer	N;SG	N;SG
palestinian	palestynse	palestinian	palestyns	ADJ	ADJ;NOM
copper	koper	copper	koper	N;SG	N;SG
jurisdiction	jurisdiksie	jurisdiction	jurisdiksie	N;SG	N;SG
improvements	verbeterings	improvement	verbetering	N;PL	N;PL
drum	drum	drum	drum	N;SG	N;SG
dramatic	dramatiese	dramatic	dramaties	ADJ	ADJ;NOM
earthquake	aardbewing	earthquake	aardbewing	N;SG	N;SG
tanks	tenks	tank	tenks	N;PL	N;PL
presidents	presidente	president	president	N;PL	N;PL
societies	bybelgenootskappe	society	bybelgenootskappe	N;PL	N;PL
alcohol	alkohol	alcohol	alkohol	N;SG	N;SG
coffee	koffie	coffee	koffie	N;SG	N;SG
destroy	verwoes	destroy	verwoes	V;IMP;FIN	V;PRS
destroy	vernietig	destroy	vernietig	V;IMP;FIN	V;PRS
exclusively	eksklusief	exclusively	eksklusief	ADV	ADV
connections	verbindings	connection	verbinding	N;PL	N;PL
rush	stormloop	rush	stormloop	N;SG	N;SG
heights	hoogtes	height	hoogte	N;PL	N;PL
outcome	uitkoms	outcome	uitkoms	N;SG	N;SG
apartment	woonstel	apartment	woonstel	N;SG	N;SG
cardinals	kardinale	cardinal	kardinaal	N;PL	N;PL
fill	volmaak	fill	volmaak	V;IMP;FIN	V;PRS
traditions	tradisies	tradition	tradisie	N;PL	N;PL
fundamental	fundamentele	fundamental	fundamenteel	ADJ	ADJ;NOM
resolved	opgelos	resolve	oplos	V;PST;V.PTCP	V;PST;V.PTCP
departments	departemente	department	departement	N;PL	N;PL
shield	skild	shield	skild	N;SG	N;SG
shield	skuld	shield	skuld	N;SG	N;SG
fighters	vegters	fighter	vegters	N;PL	N;PL
writings	writings	writings	writing	N;PL	N;PL
violent	geweldadige	violent	geweldadig	ADJ	ADJ;NOM
liberation	bevryding	liberation	bevryding	N;SG	N;SG
genetic	genetiese	genetic	geneties	ADJ	ADJ;NOM
intellectual	intellektuele	intellectual	intellektueel	ADJ	ADJ;NOM
arbitration	arbitrasie	arbitration	arbitrasie	N;SG	N;SG
interface	koppelvlak	interface	koppelvlak	N;SG	N;SG
accessed	ingegaan	access	ingaan	V;PST;V.PTCP	V;PST;V.PTCP
lifetime	leeftyd	lifetime	leeftyd	N;SG	N;SG
lifetime	lewensduur	lifetime	lewensduur	N;SG	N;SG
departure	vertrek	departure	vertrek	N;SG	N;SG
mistake	fout	mistake	fout	N;SG	N;SG
embassy	ambassade	embassy	ambassade	N;SG	N;SG
sleep	slaap	sleep	slaap	N;SG	N;SG
suspended	afgestel	suspend	afstel	V;PST;V.PTCP	V;PST;V.PTCP
suspended	uitgesit	suspend	uitsit	V;PST;V.PTCP	V;PST;V.PTCP
sum	sum	sum	sum	N;SG	N;SG
mythology	mitologie	mythology	mitologie	N;SG	N;SG
exposed	blootgestel	expose	blootstel	V;PST;V.PTCP	V;PST;V.PTCP
assisted	bygestaan	assist	bystaan	V;PST;V.PTCP	V;PST;V.PTCP
defend	verdedig	defend	verdedig	V;IMP;FIN	V;PRS
informed	ingelig	inform	ingelig	V;PST;V.PTCP	V;PST;V.PTCP
soap	seep	soap	seep	N;SG	N;SG
quoted	aangehaal	quote	aanhaal	V;PST;V.PTCP	V;PST;V.PTCP
byzantine	bisantynse	byzantine	bisantyns	ADJ	ADJ;NOM
poster	poster	poster	poster	N;SG	N;SG
doors	deure	door	deur	N;PL	N;PL
situations	situasies	situation	situasie	N;PL	N;PL
instructions	instruksies	instruction	instruksie	N;PL	N;PL
tables	waardes	table	waarde	N;PL	N;PL
tables	tafels	table	tafel	N;PL	N;PL
leaf	blaar	leaf	blaar	N;SG	N;SG
shoot	skiet	shoot	skiet	V;IMP;FIN	V;PRS
restaurants	restaurante	restaurant	restaurant	N;PL	N;PL
errors	foute	error	fout	N;PL	N;PL
immigration	immigrasie	immigration	immigrasie	N;SG	N;SG
assets	bates	asset	bate	N;PL	N;PL
presentation	voorlegging	presentation	voorlegging	N;SG	N;SG
sitting	sit	sit	sit	V;V.MSDR	V;PRS
syndrome	sindroom	syndrome	sindroom	N;SG	N;SG
checked	gemerk	check	merk	V;PST;V.PTCP	V;PST;V.PTCP
journalism	joernalistiek	journalism	joernalistiek	N;SG	N;SG
towers	torings	tower	toring	N;PL	N;PL
conductor	geleier	conductor	leier	N;SG	N;SG
hospitals	hospitale	hospital	hospitaal	N;PL	N;PL
bases	basisse	basis	basis	N;PL	N;PL
monster	monster	monster	monster	N;SG	N;SG
emphasis	beklemtoning	emphasis	beklemtoning	N;SG	N;SG
respond	reageer	respond	reageer	V;IMP;FIN	V;PRS
exposure	blootstelling	exposure	blootstelling	N;SG	N;SG
thoughts	gedagtes	thought	dagte	N;PL	N;PL
variant	variant	variant	variant	N;SG	N;SG
lap	rondte	lap	rondte	N;SG	N;SG
throw	gooi	throw	gooi	V;IMP;FIN	V;PRS
donated	geskenk	donate	geskenk	V;PST;V.PTCP	V;PST;V.PTCP
kid	kinder	kid	kin	N;SG	N;SG
kid	kind	kid	kind	N;SG	N;SG
guidance	leiding	guidance	leiding	N;SG	N;SG
delivery	aflewering	delivery	aflewering	N;SG	N;SG
delivery	lewering	delivery	lewering	N;SG	N;SG
fifty	vyftig	fifty	vyftig	NUM	NUM
stones	klippe	stone	klip	N;PL	N;PL
manage	bestuur	manage	bestuur	V;IMP;FIN	V;PRS
theology	teologie	theology	teologie	N;SG	N;SG
parameters	parameters	parameter	parameter	N;PL	N;PL
switch	skakelaar	switch	skakelaar	N;SG	N;SG
ties	bande	tie	bande	N;PL	N;PL
debt	skuld	debt	skuld	N;SG	N;SG
navigation	navigasie	navigation	navigasie	N;SG	N;SG
experts	deskundiges	expert	deskundige	N;PL	N;PL
experts	kundiges	expert	kundige	N;PL	N;PL
experts	kenners	expert	kenners	N;PL	N;PL
essays	essays	essays	essays	N;PL	N;PL
campaigns	veldtogte	campaign	veldtog	N;PL	N;PL
formations	formasies	formation	formasie	N;PL	N;PL
feelings	feelings	feeling	feeling	N;PL	N;PL
cats	katte	cat	kat	N;PL	N;PL
variations	variasies	variation	variasie	N;PL	N;PL
socks	sokkies	sock	sokkies	N;PL	N;PL
profession	beroep	profession	beroep	N;SG	N;SG
layout	uitleg	layout	uitleg	N;SG	N;SG
competitors	mededingers	competitor	mededinger	N;PL	N;PL
grass	gras	grass	gras	N;SG	N;SG
reservoir	reservoir	reservoir	reservoir	N;SG	N;SG
faces	gesigte	face	gesig	N;PL	N;PL
suburb	voorstad	suburb	voorstad	N;SG	N;SG
warned	gewaarsku	warn	gewaarsku	V;PST;V.PTCP	V;PST;V.PTCP
restrictions	beperkinge	restriction	beperking	N;PL	N;PL
restrictions	beperkings	restriction	beperking	N;PL	N;PL
killer	moordenaar	killer	moordenaar	N;SG	N;SG
blocking	blokkering	block	blokkering	N;SG	N;SG
cattle	beeste	cattle	bees	N;PL	N;PL
gear	toerusting	gear	toerusting	N;SG	N;SG
skating	skating	skate	skating	N;SG	N;SG
fifteen	vyftien	fifteen	vyftien	NUM	NUM
demonstrate	demonstreer	demonstrate	demonstreer	V;IMP;FIN	V;PRS
horn	horing	horn	horing	N;SG	N;SG
erected	opgerig	erect	opgerig	V;PST;V.PTCP	V;PST;V.PTCP
burning	skryfwerk	burn	skryfwerk	N;SG	N;SG
worker	werker	worker	werker	N;SG	N;SG
atmosphere	atmosfeer	atmosphere	atmosfeer	N;SG	N;SG
welfare	welvaart	welfare	welvaart	N;SG	N;SG
columns	kolomme	column	kolomme	N;PL	N;PL
repair	herstelwerk	repair	herstelwerk	N;SG	N;SG
organised	georganiseerde	organised	organiseer	ADJ	ADJ;NOM
parade	parade	parade	parade	N;SG	N;SG
awareness	bewusmaking	awareness	bewusmaking	N;SG	N;SG
awareness	gewaarwording	awareness	gewaarwording	N;SG	N;SG
awareness	bewustheid	awareness	bewustheid	N;SG	N;SG
define	definieer	define	definieer	V;IMP;FIN	V;PRS
equation	vergelyking	equation	vergelyking	N;SG	N;SG
neck	nek	neck	nek	N;SG	N;SG
drink	drank	drink	drank	N;SG	N;SG
drink	drankie	drink	drankie	N;SG	N;SG
riders	ryers	rider	ryers	N;PL	N;PL
riders	riders	rider	rider	N;PL	N;PL
functional	funksionele	functional	funksioneel	ADJ	ADJ;NOM
crossed	gekruis	cross	kruis	V;PST;V.PTCP	V;PST;V.PTCP
diverse	uiteenlopende	diverse	uiteenloop	ADJ	ADJ;NOM
diverse	diverse	diverse	divers	ADJ	ADJ;NOM
quotes	aanhalings	quote	aanhaling	N;PL	N;PL
attitude	houding	attitude	houding	N;SG	N;SG
mouse	muis	mouse	muis	N;SG	N;SG
variation	variasie	variation	variasie	N;SG	N;SG
prices	pryse	price	pryse	N;PL	N;PL
terrorism	terrorisme	terrorism	terrorisme	N;SG	N;SG
detective	speurder	detective	speurder	N;SG	N;SG
compositions	samestellings	composition	samestelling	N;PL	N;PL
compositions	komposisies	composition	komposisie	N;PL	N;PL
funeral	begrafnis	funeral	begrafnis	N;SG	N;SG
protestant	protestantse	protestant	protestants	ADJ	ADJ;NOM
indonesian	indonesiese	indonesian	indonesies	ADJ	ADJ;NOM
camps	kampe	camp	kampe	N;PL	N;PL
surprise	verrassing	surprise	verrassing	N;SG	N;SG
magnetic	magnetiese	magnetic	magneties	ADJ	ADJ;NOM
conversation	gesprek	conversation	gesprek	N;SG	N;SG
gates	gates	gate	gaat	N;PL	N;PL
gates	hekke	gate	hek	N;PL	N;PL
buses	busse	bus	busse	N;PL	N;PL
connect	verbind	connect	verbind	V;IMP;FIN	V;PRS
connect	koppel	connect	koppel	V;IMP;FIN	V;PRS
guests	gaste	guest	gas	N;PL	N;PL
radiation	straling	radiation	straling	N;SG	N;SG
orbit	wentelbaan	orbit	wentelbaan	N;SG	N;SG
massacre	knee	massacre	knee	N;SG	N;SG
massacre	slagting	massacre	slagting	N;SG	N;SG
codes	kodes	code	kode	N;PL	N;PL
ladies	dames	lady	dame	N;PL	N;PL
ratings	aanslae	ratings	aanslag	N;PL	N;PL
difficulty	moeilikheidsgraad	difficulty	moeilikheidsgraad	N;SG	N;SG
difficulty	moeilikheid	difficulty	moeilikheid	N;SG	N;SG
pupils	leerders	pupil	leerder	N;PL	N;PL
wealth	rykdom	wealth	rykdom	N;SG	N;SG
allegations	bewerings	allegation	bewering	N;PL	N;PL
regulation	regulering	regulation	regulering	N;SG	N;SG
regulation	regulasie	regulation	regulasie	N;SG	N;SG
watching	kyk	watch	kyk	V;V.MSDR	V;PRS
lodge	gastehuis	lodge	gastehuis	N;SG	N;SG
eggs	eiers	egg	eiers	N;PL	N;PL
citizenship	burgerskap	citizenship	burgerskap	N;SG	N;SG
tasks	take	task	taak	N;PL	N;PL
instruction	instruksie	instruction	instruksie	N;SG	N;SG
banner	banier	banner	banier	N;SG	N;SG
friendship	vriendskap	friendship	vriendskap	N;SG	N;SG
corruption	korrupsie	corruption	korrupsie	N;SG	N;SG
pursue	streef	pursue	streef	V;IMP;FIN	V;PRS
tape	tape	tape	taap	N;SG	N;SG
cancelled	gekanselleer	cancel	kanselleer	V;PST;V.PTCP	V;PST;V.PTCP
revision	hersiening	revision	hersiening	N;SG	N;SG
fee	fee	fee	fee	N;SG	N;SG
valign	valign	valign	valign		
crosses	kruise	cross	kruis	N;PL	N;PL
bid	aanbod	bid	aanbod	N;SG	N;SG
bid	bod	bid	bod	N;SG	N;SG
appreciate	waardeer	appreciate	waardeer	V;IND;PRS;FIN	V;PRS
enemies	vyande	enemy	vyand	N;PL	N;PL
math	wiskunde	math	wiskunde	N;SG	N;SG
nobel	nobel	nobel	nobel	N;SG	N;SG
airports	lughawens	airport	lughawens	N;PL	N;PL
veterans	veterane	veteran	veteraan	N;PL	N;PL
airline	lugredery	airline	lugredery	N;SG	N;SG
airline	lugdiens	airline	lugdiens	N;SG	N;SG
execution	aksie	execution	aksie	N;SG	N;SG
execution	uitvoering	execution	uitvoering	N;SG	N;SG
ticket	kaartjie	ticket	kaartjii	N;SG	N;SG
entity	entiteit	entity	entiteit	N;SG	N;SG
judicial	geregtelike	judicial	geregtelik	ADJ	ADJ;NOM
bombing	bomaanval	bombing	bomaanval	N;SG	N;SG
applicable	toepaslike	applicable	toepaslik	ADJ	ADJ;NOM
parking	parkering	parking	parkering	N;SG	N;SG
locomotive	lokomotief	locomotive	lokomotief	N;SG	N;SG
preparation	voorbereiding	preparation	voorbereiding	N;SG	N;SG
declaration	verklaring	declaration	verklaring	N;SG	N;SG
presumably	vermoedelik	presumably	vermoedelik	ADV	ADV
challenges	uitdagings	challenge	uitdaging	N;PL	N;PL
celebration	viering	celebration	viering	N;SG	N;SG
fauna	fauna	fauna	fauna	N;SG	N;SG
experiments	eksperimente	experiment	eksperiment	N;PL	N;PL
associations	assosiasies	association	assosiasie	N;PL	N;PL
associations	verenigings	association	vereniging	N;PL	N;PL
targets	teikens	target	teikens	N;PL	N;PL
alien	uitheemse	alien	uitheems	ADJ	ADJ;NOM
extend	verbreed	extend	verbreed	V;IMP;FIN	V;PRS
extend	verleng	extend	verleng	V;IMP;FIN	V;PRS
extend	uitbrei	extend	uitbrei	V;IMP;FIN	V;PRS
measured	gemeet	measure	meet	V;PST;V.PTCP	V;PST;V.PTCP
visits	besoeke	visit	besoek	N;PL	N;PL
flights	vlugte	flight	vlug	N;PL	N;PL
dynamic	dinamiese	dynamic	dinamies	ADJ	ADJ;NOM
dynamic	omvattende	dynamic	omvat	ADJ	ADJ;NOM
grandson	kleinseun	grandson	kleinseun	N;SG	N;SG
monuments	monumente	monument	monument	N;PL	N;PL
lords	lords	lord	lords	N;PL	N;PL
treat	behandel	treat	behandel	V;IMP;FIN	V;PRS
raid	inval	raid	inval	N;SG	N;SG
congregation	gemeente	congregation	gemeent	N;SG	N;SG
testament	testament	testament	testament	N;SG	N;SG
drinking	drinking	drinking	drinking	N;SG	N;SG
consideration	oorweging	consideration	oorweging	N;SG	N;SG
doctors	dokters	doctor	dokter	N;PL	N;PL
shipping	versending	shipping	versending	N;SG	N;SG
registration	registrasie	registration	registrasie	N;SG	N;SG
wyoming	wyoming	wyoming	wyoming	N;SG	N;SG
vietnamese	viëtnamese	vietnamese	viëtnames	ADJ	ADJ;NOM
cuban	kubaanse	cuban	kubaans	ADJ	ADJ;NOM
justify	regverdig	justify	regverdig	V;IMP;FIN	V;PRS
fate	lot	fate	lot	N;SG	N;SG
oral	mondelinge	oral	mondeling	ADJ	ADJ;NOM
invented	uitgevind	invent	uitvind	V;PST;V.PTCP	V;PST;V.PTCP
acres	akkers	acre	akkers	N;PL	N;PL
excellence	uitnemendheid	excellence	uitnemendheid	N;SG	N;SG
integration	integrasie	integration	integrasie	N;SG	N;SG
farming	boerdery	farm	boerdery	N;SG	N;SG
marathon	marathon	marathon	marathon	N;SG	N;SG
marathon	maraton	marathon	maraton	N;SG	N;SG
beliefs	oortuigings	belief	oortuiging	N;PL	N;PL
preservation	bewaring	preservation	bewaring	N;SG	N;SG
simultaneously	gelyktydig	simultaneously	gelyktydig	ADV	ADV
cultures	kulture	culture	kultuur	N;PL	N;PL
taxes	belastings	tax	belasting	N;PL	N;PL
dominican	dominikaanse	dominican	dominikaans	ADJ	ADJ;NOM
coins	munte	coin	munt	N;PL	N;PL
coins	muntstukke	coin	muntstuk	N;PL	N;PL
oxygen	suurstof	oxygen	suurstof	N;SG	N;SG
inspiration	inspirasie	inspiration	inspirasie	N;SG	N;SG
professionals	professionals	professional	professional	N;PL	N;PL
spectrum	spektrum	spectrum	spektrum	N;SG	N;SG
client	kliënt	client	kliënt	N;SG	N;SG
symbols	simbole	symbol	simbool	N;PL	N;PL
banking	banking	banking	banking	N;SG	N;SG
symptoms	simptome	symptom	simptome	N;PL	N;PL
mosque	moskee	mosque	moskee	N;SG	N;SG
lab	laboratorium	lab	laboratorium	N;SG	N;SG
orientation	oriëntasie	orientation	oriëntasie	N;SG	N;SG
generic	generiese	generic	generies	ADJ	ADJ;NOM
reasoning	redenasie	reasoning	redenasie	N;SG	N;SG
stroke	beroerte	stroke	beroerte	N;SG	N;SG
efficient	doeltreffende	efficient	doeltreffend	ADJ	ADJ;NOM
discover	ontdek	discover	ontdek	V;IMP;FIN	V;PRS
preliminary	voorlopige	preliminary	voorlopig	ADJ	ADJ;NOM
recognize	herken	recognize	herken	V;IMP;FIN	V;PRS
anchor	bladsy	anchor	bladsy	N;SG	N;SG
abilities	vermoëns	ability	vermoë	N;PL	N;PL
procedures	prosedures	procedure	prosedure	N;PL	N;PL
cartoon	tekenprent	cartoon	tekenprent	N;SG	N;SG
continent	kontinent	continent	kontinent	N;SG	N;SG
overview	oorsig	overview	oorsig	N;SG	N;SG
filter	filter	filter	filter	N;SG	N;SG
addresses	adresse	address	adress	N;PL	N;PL
independently	onafhanklik	independently	onafhanklik	ADV	ADV
challenged	uitgedaag	challenge	uitdaag	V;PST;V.PTCP	V;PST;V.PTCP
threats	dreigemente	threat	dreigement	N;PL	N;PL
protocol	protokol	protocol	protokol	N;SG	N;SG
judgment	vonnis	judgment	vonnis	N;SG	N;SG
package	pakkie	package	pakkie	N;SG	N;SG
package	pakket	package	pakket	N;SG	N;SG
prisoner	gevangene	prisoner	gevang	N;SG	N;SG
intervention	intervensie	intervention	intervensie	N;SG	N;SG
shops	winkels	shop	winkels	N;PL	N;PL
dome	dome	dome	dome	N;SG	N;SG
specified	gespesifiseer	specify	spesifiseer	V;PST;V.PTCP	V;PST;V.PTCP
collapse	ineenstorting	collapse	ineenstorting	N;SG	N;SG
samples	voorbeelde	samples	voorbeeld	N;PL	N;PL
workshop	werkswinkel	workshop	werkswinkel	N;SG	N;SG
fortune	fortuin	fortune	fortuin	N;SG	N;SG
bars	balke	bar	balk	N;PL	N;PL
bars	sterre	bar	sterr	N;PL	N;PL
bars	kroeë	bar	kroeg	N;PL	N;PL
rookie	nuweling	rookie	nuweling	N;SG	N;SG
shock	skok	shock	skok	N;SG	N;SG
employee	werknemer	employee	werknemer	N;SG	N;SG
housed	gehuisves	house	gehuisve	V;PST;V.PTCP	V;PST;V.PTCP
innovation	innovasie	innovation	innovasie	N;SG	N;SG
swimmers	swemmers	swimmer	swemmer	N;PL	N;PL
hamlet	hamlet	hamlet	hamlet	N;SG	N;SG
timeline	tydlyn	timeline	tydlyn	N;SG	N;SG
negotiations	onderhandelings	negotiation	onderhandeling	N;PL	N;PL
negotiations	onderhandelinge	negotiation	onderhandeling	N;PL	N;PL
efficiency	doeltreffendheid	efficiency	doeltreffendheid	N;SG	N;SG
helicopter	helikopter	helicopter	helikopter	N;SG	N;SG
burned	geskryf	burn	skryf	V;PST;V.PTCP	V;PST;V.PTCP
displays	vertonings	display	vertoning	N;PL	N;PL
