से	no	से	no		
सेवा	dienests	सेवा	dienests	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सेवा	pakalpojums	सेवा	pakalpojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
बनाने	radot	बना	radot	V;MASC;NFIN;ACT	V;V.CVB
बनाने	padarot	बना	padarīt	V;MASC;NFIN;ACT	V;V.CVB
चाहिए	vajadzētu	चाहिए	vajadzēt	V;ACT	V;COND;POS;FIN;ACT
देता	dod	दे	dot	V;IPFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
बड़ी	liels	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
बड़ी	liela	बडा	liela	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
बड़ी	lielā	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
बड़ी	liels	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
बड़ी	lielais	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
बड़ी	liela	बडा	liela	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
बड़ी	lielā	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
चार	četri	चार	četri	NUM	NUM;NOM;MASC;PL
चार	četras	चार	četras	NUM	NUM;NOM;FEM;PL
चार	četriem	चार	četri	NUM	NUM;DAT;MASC;PL
चार	četrus	चार	četri	NUM	NUM;ACC;MASC;PL
उदाहरण	piemērs	उदाहरण	piemērs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
उदाहरण	ilustrācija	उदाहरण	ilustrācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ले	ņemt	ले	ņemt	V;ACT	V;POS;NFIN
ले	ņem	ले	ņemt	V;ACT	V;IMP;SG;2;POS;FIN;ACT
स्थापना	uzstādīšana	स्थापना	uzstādīšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थापना	instalācija	स्थापना	instalācija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थापना	iekārta	स्थापना	iekārta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थापना	izveide	स्थापना	izveide	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्थापना	uzņēmums	स्थापना	uzņēmums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
स्थापना	izveidošana	स्थापना	izveidošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कंपनी	sabiedrība	कंपनी	sabiedrība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कंपनी	uzņēmums	कंपनी	uzņēmums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
कंपनी	kompānija	कंपनी	kompānija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
बड़ा	liels	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
बड़ा	liela	बड़ा	liela	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
बड़ा	lielā	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
बड़ा	liels	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
बड़ा	lielais	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
बड़ा	liela	बड़ा	liela	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
बड़ा	lielā	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
बड़ा	liels	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
बड़ा	liela	बड़ा	liela	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
बड़ा	lieliska	बड़ा	lieliska	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
बड़ा	lielāka	बड़ा	liela	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;FEM;SG
बड़ा	lielāks	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;MASC;SG
बड़ा	lielāka	बड़ा	liela	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;FEM;SG
बड़ा	lielāks	बड़ा	liels	ADJ;NOM;MASC;SG	ADJ;NOM;CMPR;MASC;SG
स्तर	līmenis	स्तर	līmenis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
बनाया	izgatavots	बना	izgatavot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
बनाया	radīta	बना	radīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
बनाया	radīts	बना	radīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
बनाया	izveidots	बना	izveidot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
बनाया	izveidota	बना	izveidot	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
चित्र	attēls	चित्र	attēls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
चित्र	bilde	चित्र	bilde	N;NOM;MASC;SG;3	N;NOM;FEM;SG
चित्र	attēls	चित्र	attēls	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रणाली	sistēma	प्रणाली	sistēma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जल	ūdens	जल	ūdens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सूची	uzskaitījums	सूची	uzskaitījums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सूची	saraksts	सूची	saraksts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
रखा	turēta	रख	turēt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
विचार	doma	विचार	doma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विचार	ideja	विचार	ideja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विचार	doma	विचार	doma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विचार	apsvērums	विचार	apsvērums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
छोटे	mazas	छोटा	maza	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
छोटे	mazās	छोटा	maza	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;PL
छोटे	mazie	छोटा	mazs	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;PL
ऊपर	augstāk	ऊपर	augsti	ADV;NOM;MASC;SG;3	ADV;CMPR
पानी	ūdens	पानी	ūdens	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पुलिस	policija	पुलिस	policija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
वर्ग	kategorija	वर्ग	kategorija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वर्ग	šķira	वर्ग	šķirt	N;NOM;MASC;SG;3	N;NOM;FEM;SG
वर्ग	klase	वर्ग	klase	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शरीर	ķermenis	शरीर	ķermenis	N;NOM;MASC;SG;3	N;NOM;MASC;SG
मानव	cilvēks	मानव	cilvēks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भूमिका	ievešana	भूमिका	ievešana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
भूमिका	ievads	भूमिका	ievads	N;NOM;FEM;SG;3	N;NOM;MASC;SG
भूमिका	loma	भूमिका	loma	N;NOM;FEM;SG;3	N;NOM;FEM;SG
अतिरिक्त	papildu	अतिरिक्त	papildu	N;NOM;MASC;SG;3	N
अतिरिक्त	papildu	अतिरिक्त	papildu	N;NOM;MASC;SG;3	N
पिता	tēvs	पिता	tēvs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
समाज	sabiedrība	समाज	sabiedrība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
नीचे	lejā	नीचे	lejā	ADV;NOM;MASC;SG;3	ADV
नीचे	lejup	नीचे	lejup	ADV;NOM;MASC;SG;3	ADV
नीचे	zemāk	नीचे	zemi	ADV;NOM;MASC;SG;3	ADV;CMPR
दुनिया	pasaule	दुनिया	pasaule	N;NOM;FEM;SG;3	N;NOM;FEM;SG
आधुनिक	modernā	आधुनिक	moderna	ADJ	ADJ;NOM;FEM;SG
आधुनिक	moderns	आधुनिक	moderns	ADJ	ADJ;NOM;MASC;SG
आधुनिक	moderna	आधुनिक	moderna	ADJ	ADJ;NOM;FEM;SG
ध्यान	meditācija	ध्यान	meditācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
ध्यान	uzmanība	ध्यान	uzmanība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दे	iedot	दे	iedot	V;FIN;ACT	V;POS;NFIN
दे	dod	दे	dot	V;FIN;ACT	V;FH;IND;3;POS;PRS;FIN;ACT
दे	dot	दे	dot	V;FIN;ACT	V;POS;NFIN
दे	dodiet	दे	dot	V;FIN;ACT	V;IMP;PL;2;POS;FIN;ACT
सभा	montāža	सभा	montāža	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सभा	asambleja	सभा	asambleja	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परिवार	saime	परिवार	saime	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवार	ģimene	परिवार	ģimene	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विषय	temats	विषय	temats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विषय	tēma	विषय	tēma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
विषय	subjekts	विषय	subjekts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विषय	temats	विषय	temats	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विषय	objekts	विषय	objekts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
विषय	tēma	विषय	tēma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रंग	krāsa	रंग	krāsa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रंग	krāsa	रंग	krāsa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
बाहर	ārpus	बाहर	ārpus	ADV;NOM;MASC;SG;3	ADV
बाहर	ārā	बाहर	ārā	ADV;NOM;MASC;SG;3	ADV
खेल	sports	खेल	sports	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खेल	spēle	खेल	spēle	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खेल	sports	खेल	sports	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दूर	tālu	दूर	tālu	ADV;NOM;MASC;SG;3	ADV
दूर	prom	दूर	prom	ADV;NOM;MASC;SG;3	ADV
पता	adrese	पता	adrese	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पता	address	पता	address	N;NOM;MASC;SG;3	N;NOM;MASC;SG
शक्ति	stiprums	शक्ति	stiprums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
शक्ति	stiprība	शक्ति	stiprība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शक्ति	izturība	शक्ति	izturība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शक्ति	spēks	शक्ति	spēks	N;NOM;FEM;SG;3	N;NOM;MASC;SG
शक्ति	jauda	शक्ति	jauda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
शक्ति	vara	शक्ति	vara	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कला	māksla	कला	māksla	N;NOM;FEM;SG;3	N;NOM;FEM;SG
कला	māksla	कला	māksla	N;NOM;FEM;SG;3	N;NOM;FEM;SG
घर	māja	घर	māja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रक्रिया	process	प्रक्रिया	process	N;NOM;FEM;SG;3	N;NOM;MASC;SG
प्रक्रिया	tiesvedība	प्रक्रिया	tiesvedība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
प्रक्रिया	procedūra	प्रक्रिया	procedūra	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सेना	armija	सेना	armija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पार्टी	ballīte	पार्टी	ballīte	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पार्टी	partija	पार्टी	partija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पार्टी	puse	पार्टी	puse	N;NOM;FEM;SG;3	N;NOM;FEM;SG
रेलवे	dzelzceļš	रेलवे	dzelzceļš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
रेलवे	dzelzceļš	रेलवे	dzelzceļš	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पूरी	vesels	पूरा	vesels	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
पूरी	vesela	पूरा	vesela	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
नए	jaunākas	नया	jauna	ADJ;NOM;MASC;PL	ADJ;NOM;CMPR;FEM;PL
क्या	kas	क्या	kas	PRO	PRO;NOM
क्या	kāda	क्या	kāda	PRO	PRO;NOM;FEM;SG
क्या	kāds	क्या	kāds	PRO	PRO;NOM;MASC;SG
क्या	ko	क्या	kas	PRO	PRO;ACC
संबंध	saistība	संबंध	saistība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संबंध	savienošana	संबंध	savienošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संबंध	savienošanas	संबंध	savienošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संबंध	saistība	संबंध	saistība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रदर्शन	sniegums	प्रदर्शन	sniegums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रदर्शन	veiktspēja	प्रदर्शन	veiktspēja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रदर्शन	izpildījums	प्रदर्शन	izpildījums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रदर्शन	displejs	प्रदर्शन	displejs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
प्रदर्शन	displeja	प्रदर्शन	displeja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रदर्शन	iedarbība	प्रदर्शन	iedarbība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
प्रदर्शन	ekspozīcija	प्रदर्शन	ekspozīcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
मार्ग	maršruts	मार्ग	maršruts	N;NOM;MASC;SG;3	N;NOM;MASC;SG
पर्यटन	tūrisms	पर्यटन	tūrisms	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लगा	likās	लगा	likties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
सहायता	palīdzība	सहायता	palīdzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहायता	atbalsts	सहायता	atbalsts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सहायता	palīdzība	सहायता	palīdzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सहायता	atbalsts	सहायता	atbalsts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सहायता	palīdzība	सहायता	palīdzība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पहला	pirmais	पहला	pirmais	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
पहला	pirmā	पहला	pirmā	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
पहला	pirma	पहला	pirma	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
मृत्यु	nāve	मृत्यु	nāve	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मृत्यु	nāves	मृत्यु	nāve	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मृत्यु	mirstība	मृत्यु	mirstība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
तैयार	gatavi	तैयार	gatavs	ADJ	ADJ;NOM;MASC;PL
तैयार	gatava	तैयार	gatava	ADJ	ADJ;NOM;FEM;SG
तैयार	gatavs	तैयार	gatavs	ADJ	ADJ;NOM;MASC;SG
तैयार	gatavas	तैयार	gatava	ADJ	ADJ;NOM;FEM;PL
आवश्यक	nepieciešami	आवश्यक	nepieciešams	ADJ	ADJ;NOM;MASC;PL
आवश्यक	nepieciešama	आवश्यक	nepieciešama	ADJ	ADJ;NOM;FEM;SG
आवश्यक	nepieciešams	आवश्यक	nepieciešams	ADJ	ADJ;NOM;MASC;SG
देखा	izskatījās	देख	izskatīties	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
देखा	redzējusi	देख	redzēt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
देखा	redzējis	देख	redzēt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
देखा	redzēju	देख	redzēt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;SG;1;POS;PST;FIN;ACT
देखा	redzēja	देख	redzēt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
देखा	ieraudzīju	देख	ieraudzīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;SG;1;POS;PST;FIN;ACT
उत्पादन	ražošana	उत्पादन	ražošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
उत्पादन	produkcija	उत्पादन	produkcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
रोग	slimība	रोग	slimība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शताब्दी	gadsimts	शताब्दी	gadsimts	N;NOM;FEM;SG;3	N;NOM;MASC;SG
गये	aizgāja	जा	aiziet	V;PFV;MASC;PL;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
गये	devās	जा	doties	V;PFV;MASC;PL;V.PTCP;ACT	V;FH;IND;3;POS;REFL;PST;FIN;ACT
गये	gāja	जा	iet	V;PFV;MASC;PL;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
संघ	savienība	संघ	savienība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संघ	federācija	संघ	federācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संघ	apvienība	संघ	apvienība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संघ	biedrība	संघ	biedrība	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संघ	asociācija	संघ	asociācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
यात्रा	ceļošana	यात्रा	ceļošana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
यात्रा	brauciens	यात्रा	brauciens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
यात्रा	ceļojums	यात्रा	ceļojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
यात्रा	brauciens	यात्रा	brauciens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
यात्रा	ceļojums	यात्रा	ceļojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मात्रा	apjoms	मात्रा	apjoms	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मात्रा	apmērs	मात्रा	apmērs	N;NOM;FEM;SG;3	N;NOM;MASC;SG
मात्रा	summa	मात्रा	summa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
मात्रा	daudzums	मात्रा	daudzums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
जगह	atstatums	जगह	atstatums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
जगह	atstarpe	जगह	atstarpe	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जगह	vieta	जगह	vieta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जगह	telpa	जगह	telpa	N;NOM;FEM;SG;3	N;NOM;FEM;SG
जगह	kosmoss	जगह	kosmoss	N;NOM;FEM;SG;3	N;NOM;MASC;SG
पूरा	pilns	पूरा	pilns	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
पूरा	pilnā	पूरा	pilns	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
पूरा	pilna	पूरा	pilna	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
पूरा	vesels	पूरा	vesels	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;SG
पूरा	vesela	पूरा	vesela	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
पूरा	pilnīga	पूरा	pilnīga	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;SG
आवश्यकता	prasība	आवश्यकता	prasība	N;NOM;FEM;SG;3	N;NOM;FEM;SG
नई	jauna	नया	jauns	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;SG
नई	jauns	नया	jauns	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
नई	jaunais	नया	jauns	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;SG
नई	jaunāks	नया	jauns	ADJ;NOM;FEM;SG	ADJ;NOM;CMPR;MASC;SG
चिकित्सा	terapija	चिकित्सा	terapija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
दूसरी	otrais	दूसरा	otrais	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
दूसरी	otrā	दूसरा	otrā	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
कार्यक्रम	programma	कार्यक्रम	programma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
कार्यक्रम	notikums	कार्यक्रम	notikums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
कार्यक्रम	programma	कार्यक्रम	programma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुराने	veci	पुराना	vecs	ADJ;MASC;PL	ADJ;NOM;MASC;PL
भगवान	dievs	भगवान	dievs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भगवान	pavēlnieks	भगवान	pavēlnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
भगवान	kungs	भगवान	kungs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लिखा	uzrakstīts	लिख	uzrakstīt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
लिखा	rakstīja	लिख	rakstīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
लिखा	uzrakstīju	लिख	uzrakstīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;SG;1;POS;PST;FIN;ACT
लिखा	uzrakstīja	लिख	uzrakstīt	V;PFV;MASC;SG;V.PTCP;ACT	V;FH;IND;3;POS;PST;FIN;ACT
संस्थान	institūti	संस्थान	institūti	N;NOM;MASC;PL;3	N;NOM;MASC;PL
संस्कृति	kultūra	संस्कृति	kultūra	N;NOM;FEM;SG;3	N;NOM;FEM;SG
परिवर्तन	pārveidošana	परिवर्तन	pārveidošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	pārvēršana	परिवर्तन	pārvēršana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	konversija	परिवर्तन	konversija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	konvertēšana	परिवर्तन	konvertēšana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	pāreja	परिवर्तन	pāreja	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	transformācija	परिवर्तन	transformācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	pārveidošanās	परिवर्तन	pārveidošanās	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	pārveidošana	परिवर्तन	pārveidošana	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	pārveide	परिवर्तन	pārveide	N;NOM;MASC;SG;3	N;NOM;FEM;SG
परिवर्तन	maiņa	परिवर्तन	maiņa	N;NOM;MASC;SG;3	N;NOM;FEM;SG
टीम	komanda	टीम	komanda	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चर्चा	apspriešana	चर्चा	apspriešana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
चर्चा	diskusija	चर्चा	diskusija	N;NOM;FEM;SG;3	N;NOM;FEM;SG
संगठन	organizācija	संगठन	organizācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संगठन	organizācija	संगठन	organizācija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
शैली	stils	शैली	stils	N;NOM;FEM;SG;3	N;NOM;MASC;SG
तुलना	salīdzinājums	तुलना	salīdzinājums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
तुलना	salīdzināšana	तुलना	salīdzināšana	N;NOM;FEM;SG;3	N;NOM;FEM;SG
स्कूल	skola	स्कूल	skola	N;NOM;MASC;SG;3	N;NOM;FEM;SG
पुस्तक	grāmata	पुस्तक	grāmata	N;NOM;FEM;SG;3	N;NOM;FEM;SG
पुस्तक	grāmatiņa	पुस्तक	grāmatiņš	N;NOM;FEM;SG;3	N;NOM;FEM;SG
लेखक	rakstnieks	लेखक	rakstnieks	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेखक	autors	लेखक	autors	N;NOM;MASC;SG;3	N;NOM;MASC;SG
लेखक	autore	लेखक	autore	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संस्करण	izdevums	संस्करण	izdevums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
संस्करण	redakcija	संस्करण	redakcija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
संस्करण	versija	संस्करण	versija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
खिलाड़ी	sportists	खिलाडी	sportists	N;NOM;MASC;SG;3	N;NOM;MASC;SG
खिलाड़ी	spēlētājs	खिलाडी	spēlētājs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
ट्रेन	vilciens	ट्रेन	vilciens	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आकार	forma	आकार	forma	N;NOM;MASC;SG;3	N;NOM;FEM;SG
आकार	izmers	आकार	izmers	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आकार	lielums	आकार	lielums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
आकार	izmērs	आकार	izmērs	N;NOM;MASC;SG;3	N;NOM;MASC;SG
सीमा	robeža	सीमा	robeža	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सीमा	limits	सीमा	limits	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सीमा	ierobežojums	सीमा	ierobežojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
सीमा	robeža	सीमा	robeža	N;NOM;FEM;SG;3	N;NOM;FEM;SG
सीमा	diapazons	सीमा	diapazons	N;NOM;FEM;SG;3	N;NOM;MASC;SG
व्यवस्था	izvietojums	व्यवस्था	izvietojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
व्यवस्था	vienošanās	व्यवस्था	vienošanās	N;NOM;FEM;SG;3	N;NOM;FEM;SG
व्यवस्था	izkārtojums	व्यवस्था	izkārtojums	N;NOM;FEM;SG;3	N;NOM;MASC;SG
आर्थिक	ekonomiskais	आर्थिक	ekonomisks	ADJ;NOM	ADJ;NOM;MASC;SG
आर्थिक	ekonomiskā	आर्थिक	ekonomiska	ADJ;NOM	ADJ;NOM;FEM;SG
आर्थिक	ekonomiska	आर्थिक	ekonomiska	ADJ;NOM	ADJ;NOM;FEM;SG
राजधानी	kapitāls	राजधानी	kapitāls	N;NOM;FEM;SG;3	N;NOM;MASC;SG
राजधानी	galvaspilsēta	राजधानी	galvaspilsēta	N;NOM;FEM;SG;3	N;NOM;FEM;SG
दर्शन	filozofija	दर्शन	filozofija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
दर्शन	redzējums	दर्शन	redzējums	N;NOM;MASC;SG;3	N;NOM;MASC;SG
दर्शन	vīzija	दर्शन	vīzija	N;NOM;MASC;SG;3	N;NOM;FEM;SG
