for	za	for	za		
point	bod	point	bod	N;SG	N;INAN;NOM;MASC;SG
local	lokálny	local	lokálny	ADJ	ADJ;INAN;NOM;MASC;SG
local	miestna	local	miestny	ADJ	ADJ;NOM;FEM;SG
local	lokálna	local	lokálny	ADJ	ADJ;NOM;FEM;SG
local	miestny	local	miestny	ADJ	ADJ;INAN;NOM;MASC;SG
local	lokálne	local	lokálny	ADJ	ADJ;NOM;NEUT;SG
around	dookola	around	dookola	ADV	ADV
river	rieke	river	rieka	N;SG	N;DAT;FEM;SG
river	rieka	river	rieka	N;SG	N;NOM;FEM;SG
top	vrchol	top	vrchol	N;SG	N;INAN;NOM;MASC;SG
top	vrch	top	vrch	N;SG	N;INAN;NOM;MASC;SG
main	hlavné	main	hlavný	ADJ	ADJ;NOM;NEUT;SG
main	hlavná	main	hlavný	ADJ	ADJ;NOM;FEM;SG
main	hlavný	main	hlavný	ADJ	ADJ;ANIM;NOM;MASC;SG
language	jazyk	language	jazyk	N;SG	N;INAN;NOM;MASC;SG
language	jazyka	language	jazyk	N;SG	N;INAN;GEN;MASC;SG
language	jazyku	language	jazyk	N;SG	N;INAN;DAT;MASC;SG
french	francúzske	french	francúzsky	ADJ	ADJ;NOM;NEUT;SG
https	https	http	https	N;SG	N;INAN;NOM;MASC;SG
note	poznámku	note	poznámka	N;SG	N;ACC;FEM;SG
note	poznámka	note	poznámka	N;SG	N;NOM;FEM;SG
career	kariéru	career	kariéra	N;SG	N;ACC;FEM;SG
career	kariéra	career	kariéra	N;SG	N;NOM;FEM;SG
original	originálny	original	originálny	ADJ	ADJ;INAN;NOM;MASC;SG
original	pôvodný	original	pôvodný	ADJ	ADJ;INAN;NOM;MASC;SG
original	originálne	original	originálne	ADJ	ADJ;NOM;NEUT;SG
original	pôvodné	original	pôvodný	ADJ	ADJ;NOM;NEUT;SG
age	veku	age	vek	N;SG	N;INAN;GEN;MASC;SG
age	vek	age	vek	N;SG	N;INAN;NOM;MASC;SG
service	obsluha	service	obsluha	N;SG	N;NOM;FEM;SG
service	služba	service	služba	N;SG	N;NOM;FEM;SG
service	servis	service	servis	N;SG	N;INAN;NOM;MASC;SG
service	doručovanie	service	doručovanie	N;SG	N;NOM;NEUT;SG
said	povedal	say	povedať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
said	povedalo	say	povedať	V;IND;PST;FIN	V;PFV;NEUT;SG;POS;PST;V.PTCP
said	povedala	say	povedať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
website	web	website	web	N;SG	N;INAN;NOM;MASC;SG
website	webe	website	wiaba	N;SG	N;INAN;NOM;MASC;SG
population	populácia	population	populácia	N;SG	N;NOM;FEM;SG
population	obyvateľstvo	population	obyvateľstvo	N;SG	N;NOM;NEUT;SG
population	populáciu	population	populácia	N;SG	N;ACC;FEM;SG
air	ovzdušie	air	ovzdušie	N;SG	N;NOM;NEUT;SG
air	vzduchu	air	vzduch	N;SG	N;INAN;GEN;MASC;SG
air	vzduch	air	vzduch	N;SG	N;INAN;NOM;MASC;SG
german	nemecká	german	nemecko	ADJ	ADJ;NOM;FEM;SG
german	nemecké	german	nemecký	ADJ	ADJ;NOM;NEUT;SG
german	nemecký	german	nemecký	ADJ	ADJ;ANIM;NOM;MASC;SG
law	právo	law	právo	N;SG	N;NOM;NEUT;SG
law	zákon	law	zákon	N;SG	N;INAN;NOM;MASC;SG
military	vojenský	military	vojenský	ADJ	ADJ;ANIM;NOM;MASC;SG
military	vojenské	military	vojenský	ADJ	ADJ;NOM;NEUT;SG
great	skvelé	great	skvelý	ADJ	ADJ;NOM;NEUT;SG
clubs	kluby	club	klub	N;PL	N;INAN;NOM;MASC;PL
clubs	palice	club	palica	N;PL	N;NOM;FEM;PL
clubs	klubov	club	klub	N;PL	N;INAN;GEN;MASC;PL
park	parku	park	park	N;SG	N;INAN;GEN;MASC;SG
park	park	park	park	N;SG	N;INAN;NOM;MASC;SG
official	úradník	official	úradník	N;SG	N;ANIM;NOM;MASC;SG
case	case	case	cas	N;SG	N;INAN;NOM;MASC;SG
case	prípade	case	prípad	N;SG	N;INAN;NOM;MASC;SG
case	prípad	case	prípad	N;SG	N;INAN;NOM;MASC;SG
case	kufrík	case	kufrík	N;SG	N;INAN;NOM;MASC;SG
times	krát	time	krát	N;PL	N;NOM;MASC;PL
times	časy	time	čas	N;PL	N;INAN;NOM;MASC;PL
although	hoci	although	hoci	CONJ	CONJ
small	malá	small	malý	ADJ	ADJ;NOM;FEM;SG
small	malý	small	malý	ADJ	ADJ;ANIM;NOM;MASC;SG
small	malé	small	malý	ADJ	ADJ;NOM;NEUT;SG
different	rôzne	different	rôzny	ADJ	ADJ;NOM;NEUT;SG
due	splatné	due	splatný	ADJ	ADJ;NOM;NEUT;SG
get	získať	get	získať	V;IMP;FIN	V;PFV;POS;NFIN
get	dostať	get	dostať	V;IMP;FIN	V;PFV;POS;NFIN
village	dedinka	village	dedinka	N;SG	N;NOM;FEM;SG
village	dedine	village	dedina	N;SG	N;DAT;FEM;SG
village	dedina	village	dedina	N;SG	N;NOM;FEM;SG
village	obec	village	obec	N;SG	N;NOM;FEM;SG
art	umenie	art	umenie	N;SG	N;NOM;NEUT;SG
player	player	player	player	N;SG	N;INAN;NOM;MASC;SG
player	hráča	player	hráča	N;SG	N;ANIM;ACC;MASC;SG
player	hráč	player	hráč	N;SG	N;ANIM;NOM;MASC;SG
player	prehrávač	player	prehrávač	N;SG	N;INAN;NOM;MASC;SG
final	konečné	final	konečný	ADJ	ADJ;NOM;NEUT;SG
final	konečná	final	konečný	ADJ	ADJ;NOM;FEM;SG
final	záverečná	final	záverečná	ADJ	ADJ;NOM;FEM;SG
final	konečný	final	konečný	ADJ	ADJ;ANIM;NOM;MASC;SG
final	záverečné	final	záverečný	ADJ	ADJ;NOM;NEUT;SG
community	spoločenstvo	community	spoločenstvo	N;SG	N;NOM;NEUT;SG
community	komunita	community	komunita	N;SG	N;NOM;FEM;SG
again	znovu	again	znovu	ADV	ADV
again	znova	again	znova	ADV	ADV
again	opäť	again	opäť	ADV	ADV
began	začal	begin	začať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
began	začalo	begin	začať	V;IND;PST;FIN	V;PFV;NEUT;SG;POS;PST;V.PTCP
began	začali	begin	začať	V;IND;PST;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
began	začala	begin	začať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
army	armáda	army	armáda	N;SG	N;NOM;FEM;SG
army	vojsko	army	vojsko	N;SG	N;NOM;NEUT;SG
award	ocenenie	award	ocenenie	N;SG	N;NOM;NEUT;SG
award	zadanie	award	zadanie	N;SG	N;NOM;NEUT;SG
death	smrt	death	smrt	N;SG	N;NOM;FEM;SG
death	smrť	death	smrť	N;SG	N;NOM;FEM;SG
death	úmrtie	death	úmrtie	N;SG	N;NOM;NEUT;SG
built	postavili	build	postaviť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
built	stavali	build	stavať	V;PST;V.PTCP	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
men	mužov	man	muž	N;PL	N;ANIM;ACC;MASC;PL
men	muži	man	muž	N;PL	N;ANIM;NOM;MASC;PL
men	pánske	man	pánsky	N;PL	N;NOM;FEM;PL
large	veľkých	large	veľký	ADJ	ADJ;ANIM;GEN;MASC;PL
large	veľké	large	veľký	ADJ	ADJ;NOM;NEUT;SG
large	veľkí	large	veľký	ADJ	ADJ;ANIM;NOM;MASC;PL
large	veľká	large	veľký	ADJ	ADJ;NOM;FEM;SG
large	veľký	large	veľký	ADJ	ADJ;ANIM;NOM;MASC;SG
site	stránka	site	stránka	N;SG	N;NOM;FEM;SG
site	lokalita	site	lokalita	N;SG	N;NOM;FEM;SG
site	mieste	site	miesto	N;SG	N;NOM;NEUT;SG
site	miesto	site	miesto	N;SG	N;NOM;NEUT;SG
deletion	vymazanie	deletion	vymazanie	N;SG	N;NOM;NEUT;SG
deletion	odstránenie	deletion	odstránenie	N;SG	N;NOM;NEUT;SG
white	biela	white	biely	ADJ	ADJ;NOM;FEM;SG
white	biely	white	biely	ADJ	ADJ;ANIM;NOM;MASC;SG
white	biele	white	biely	ADJ	ADJ;NOM;NEUT;SG
five	päť	five	päť	NUM	NUM;NOM;NEUT;SG
five	piati	five	piati	NUM	NUM;ANIM;NOM;MASC;PL
central	centrálna	central	centrálny	ADJ	ADJ;NOM;FEM;SG
central	stredná	central	stredný	ADJ	ADJ;NOM;FEM;SG
central	centrálny	central	centrálny	ADJ	ADJ;INAN;NOM;MASC;SG
road	cesta	road	cesta	N;SG	N;NOM;FEM;SG
children	deti	child	dieťa	N;PL	N;NOM;NEUT;PL
free	voľné	free	voľný	ADJ	ADJ;NOM;NEUT;SG
free	slobodný	free	slobodný	ADJ	ADJ;ANIM;NOM;MASC;SG
free	voľný	free	voľný	ADJ	ADJ;ANIM;NOM;MASC;SG
took	zobrala	take	zobrať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
took	vzal	take	vziať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
took	bral	take	brať	V;IND;PST;FIN	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
include	zahrnúť	include	zahrnúť	V;IND;PRS;FIN	V;PFV;POS;NFIN
association	asociácia	association	asociácia	N;SG	N;NOM;FEM;SG
association	združenie	association	združenie	N;SG	N;NOM;NEUT;SG
down	nadol	down	nadol	ADV	ADV
down	dolu	down	dolu	ADV	ADV
down	dole	down	dole	ADV	ADV
source	zdroj	source	zdroj	N;SG	N;INAN;NOM;MASC;SG
man	muž	man	muž	N;SG	N;ANIM;NOM;MASC;SG
man	človek	man	človek	N;SG	N;ANIM;NOM;MASC;SG
version	verzia	version	verzia	N;SG	N;NOM;FEM;SG
version	verziu	version	verzia	N;SG	N;ACC;FEM;SG
written	napísal	write	napísať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
written	napísali	write	napísať	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
created	vytvorili	create	vytvoriť	V;PST;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
created	vytvoril	create	vytvoriť	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
media	médium	media	médium	N;SG	N;NOM;NEUT;SG
black	čierne	black	čierny	ADJ	ADJ;NOM;NEUT;SG
black	čierny	black	čierny	ADJ	ADJ;ANIM;NOM;MASC;SG
black	čierna	black	čierny	ADJ	ADJ;NOM;FEM;SG
report	správa	report	správa	N;SG	N;NOM;FEM;SG
report	hlásenie	report	hlásenie	N;SG	N;NOM;NEUT;SG
building	budovanie	building	budovanie	N;SG	N;NOM;NEUT;SG
building	stavanie	building	stavanie	N;SG	N;NOM;NEUT;SG
building	budova	building	budova	N;SG	N;NOM;FEM;SG
take	brať	take	brať	V;IMP;FIN	V;IPFV;POS;NFIN
take	vziať	take	vziať	V;IMP;FIN	V;PFV;POS;NFIN
take	zober	take	zober	V;IMP;FIN	V;PFV;IMP;SG;2;POS;FIN
take	zoberte	take	zoberiť	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
division	delenie	division	delenie	N;SG	N;NOM;NEUT;SG
division	divízia	division	divízium	N;SG	N;NOM;FEM;SG
division	rozdelenie	division	rozdelenie	N;SG	N;NOM;NEUT;SG
comment	komentár	comment	komentár	N;SG	N;INAN;NOM;MASC;SG
king	kráľ	king	kráľ	N;SG	N;ANIM;NOM;MASC;SG
king	kráľa	king	kráľ	N;SG	N;ANIM;ACC;MASC;SG
king	král	king	král	N;SG	N;ANIM;NOM;MASC;SG
stadium	štadión	stadium	štadión	N;SG	N;INAN;NOM;MASC;SG
died	umrel	die	umrieť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
died	zomreli	die	zomrieť	V;IND;PST;FIN	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
died	zomrel	die	zomrieť	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
died	zomrela	die	zomrieť	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
ship	loď	ship	loď	N;SG	N;NOM;FEM;SG
research	výskum	research	výskum	N;SG	N;INAN;NOM;MASC;SG
research	výskumu	research	výskum	N;SG	N;INAN;GEN;MASC;SG
record	záznam	record	záznam	N;SG	N;INAN;NOM;MASC;SG
record	nahrávanie	record	nahrávanie	N;SG	N;NOM;NEUT;SG
archive	archíve	archive	archíva	N;SG	N;NOM;MASC;SG
archive	archívu	archive	archíva	N;SG	N;INAN;GEN;MASC;SG
archive	archív	archive	archív	N;SG	N;INAN;NOM;MASC;SG
places	reštaurácie	place	reštaurácia	N;PL	N;NOM;FEM;PL
places	miest	place	mesto	N;PL	N;GEN;NEUT;PL
places	miesta	place	miesto	N;PL	N;NOM;NEUT;PL
cup	šálka	cup	šálka	N;SG	N;NOM;FEM;SG
cup	hrnček	cup	hrnček	N;SG	N;INAN;NOM;MASC;SG
cup	pohár	cup	pohár	N;SG	N;INAN;NOM;MASC;SG
cup	pohára	cup	pohár	N;SG	N;INAN;GEN;MASC;SG
records	záznamy	record	záznam	N;PL	N;INAN;NOM;MASC;PL
records	záznamov	record	záznam	N;PL	N;INAN;GEN;MASC;PL
records	platne	record	platňa	N;PL	N;NOM;FEM;PL
often	častokrát	often	častokrát	ADV	ADV
often	často	often	často	ADV	ADV
received	dostala	receive	dostať	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
received	získala	receive	získať	V;PST;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
side	strana	side	strana	N;SG	N;NOM;FEM;SG
power	moc	power	moc	N;SG	N;NOM;FEM;SG
power	napájanie	power	napájanie	N;SG	N;NOM;NEUT;SG
power	výkon	power	výkon	N;SG	N;INAN;NOM;MASC;SG
power	power	power	power	N;SG	N;INAN;NOM;MASC;SG
education	výchova	education	výchova	N;SG	N;NOM;FEM;SG
education	vzdelanie	education	vzdelanie	N;SG	N;NOM;NEUT;SG
education	vzdelávanie	education	vzdelávanie	N;SG	N;NOM;NEUT;SG
education	školstvo	education	školstvo	N;SG	N;NOM;NEUT;SG
know	vedieť	know	vedieť	V;IND;PRS;FIN	V;IPFV;POS;NFIN
know	poznať	know	poznať	V;IND;PRS;FIN	V;IPFV;POS;NFIN
know	viem	know	vedieť	V;IND;PRS;FIN	V;IPFV;IND;SG;1;POS;PRS;FIN
category	kategóriu	category	kategória	N;SG	N;ACC;FEM;SG
category	kategória	category	kategória	N;SG	N;NOM;FEM;SG
water	voda	water	voda	N;SG	N;NOM;FEM;SG
political	politická	political	politický	ADJ	ADJ;NOM;FEM;SG
political	politické	political	politický	ADJ	ADJ;NOM;NEUT;SG
political	politického	political	politický	ADJ	ADJ;GEN;NEUT;SG
political	politický	political	politický	ADJ	ADJ;ANIM;NOM;MASC;SG
species	druhov	species	druh	N;PL	N;INAN;GEN;MASC;PL
species	druhy	species	druh	N;PL	N;INAN;NOM;MASC;PL
field	pole	field	pole	N;SG	N;NOM;NEUT;SG
near	blízko	near	blízko	ADV	ADV
video	video	video	video	N;SG	N;NOM;NEUT;SG
video	videa	video	videa	N;SG	N;NOM;NEUT;SG
need	potrebovať	need	potrebovať	V;IND;PRS;FIN	V;IPFV;POS;NFIN
island	ostrove	island	ostrov	N;SG	N;INAN;NOM;MASC;SG
island	ostrov	island	ostrov	N;SG	N;INAN;NOM;MASC;SG
form	formulár	form	formulár	N;SG	N;INAN;NOM;MASC;SG
form	formulára	form	formulár	N;SG	N;INAN;GEN;MASC;SG
form	forma	form	forma	N;SG	N;NOM;FEM;SG
form	forme	form	forma	N;SG	N;DAT;FEM;SG
find	nájdite	find	nájsť	V;IMP;FIN	V;PFV;IMP;PL;2;POS;FIN
find	nájdi	find	nájsť	V;IMP;FIN	V;PFV;IMP;SG;2;POS;FIN
find	nájsť	find	nájsť	V;IMP;FIN	V;PFV;POS;NFIN
served	slúžila	serve	slúžiť	V;PST;V.PTCP	V;IPFV;FEM;SG;POS;PST;V.PTCP
served	slúžili	serve	slúžiť	V;PST;V.PTCP	V;IPFV;MASC;PL;POS;PST;V.PTCP
served	slúžil	serve	slúžiť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
project	projekt	project	projekt	N;SG	N;INAN;NOM;MASC;SG
project	projektu	project	projekt	N;SG	N;INAN;GEN;MASC;SG
radio	vysielačka	radio	vysielačka	N;SG	N;NOM;FEM;SG
radio	rádio	radio	rádio	N;SG	N;NOM;NEUT;SG
radio	radio	radio	radio	N;SG	N;NOM;NEUT;SG
works	funguje	work	fungovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
works	pracuje	work	pracovať	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN
every	každý	every	každý	DET	DET;ANIM;NOM;MASC;SG
every	každá	every	každý	DET	DET;NOM;FEM;SG
development	rozvoj	development	rozvoj	N;SG	N;INAN;NOM;MASC;SG
development	vývoj	development	vývoj	N;SG	N;INAN;NOM;MASC;SG
example	príklad	example	príklad	N;SG	N;INAN;NOM;MASC;SG
live	žiť	live	žiť	V;IMP;FIN	V;IPFV;POS;NFIN
union	únia	union	únia	N;SG	N;NOM;FEM;SG
next	ďalej	next	ďalej	ADV	ADV
special	špeciálny	special	špeciálny	ADJ	ADJ;INAN;NOM;MASC;SG
special	výnimočná	special	výnimočný	ADJ	ADJ;NOM;FEM;SG
special	osobitné	special	osobitný	ADJ	ADJ;NOM;NEUT;SG
special	špeciálna	special	špeciálny	ADJ	ADJ;NOM;FEM;SG
court	dvor	court	dvor	N;SG	N;INAN;NOM;MASC;SG
court	súd	court	súd	N;SG	N;INAN;NOM;MASC;SG
region	kraj	region	kraj	N;SG	N;INAN;NOM;MASC;SG
region	regiónu	region	región	N;SG	N;INAN;GEN;MASC;SG
region	oblasť	region	oblasť	N;SG	N;NOM;FEM;SG
region	región	region	región	N;SG	N;INAN;NOM;MASC;SG
little	malá	little	malý	ADJ	ADJ;NOM;FEM;SG
little	malé	little	malý	ADJ	ADJ;NOM;NEUT;SG
little	malý	little	malý	ADJ	ADJ;ANIM;NOM;MASC;SG
short	krátka	short	krátka	ADJ	ADJ;NOM;FEM;SG
short	krátky	short	krátky	ADJ	ADJ;INAN;NOM;MASC;SG
short	krátke	short	krátky	ADJ	ADJ;NOM;NEUT;SG
province	provincia	province	provincie	N;SG	N;NOM;FEM;SG
province	provincii	province	provincia	N;SG	N;DAT;FEM;SG
western	západný	western	západný	ADJ	ADJ;ANIM;NOM;MASC;SG
western	západnej	western	západný	ADJ	ADJ;GEN;FEM;SG
western	západná	western	západný	ADJ	ADJ;NOM;FEM;SG
western	západné	western	západný	ADJ	ADJ;NOM;NEUT;SG
son	syna	son	syn	N;SG	N;ANIM;ACC;MASC;SG
son	syn	son	syn	N;SG	N;ANIM;NOM;MASC;SG
son	synček	son	synček	N;SG	N;ANIM;NOM;MASC;SG
council	rada	council	rád	N;SG	N;NOM;FEM;SG
current	súčasné	current	súčasný	ADJ	ADJ;NOM;NEUT;SG
current	aktuálna	current	aktuálny	ADJ	ADJ;NOM;FEM;SG
current	súčasný	current	súčasný	ADJ	ADJ;ANIM;NOM;MASC;SG
current	aktuálny	current	aktuálny	ADJ	ADJ;INAN;NOM;MASC;SG
street	ulici	street	ulica	N;SG	N;DAT;FEM;SG
street	ulicu	street	ulica	N;SG	N;ACC;FEM;SG
street	ulica	street	ulica	N;SG	N;NOM;FEM;SG
full	plné	full	plný	ADJ	ADJ;NOM;NEUT;SG
full	plná	full	plný	ADJ	ADJ;NOM;FEM;SG
red	červené	red	červený	ADJ	ADJ;NOM;NEUT;SG
red	červená	red	červený	ADJ	ADJ;NOM;FEM;SG
red	červenej	red	červený	ADJ	ADJ;GEN;FEM;SG
red	červený	red	červený	ADJ	ADJ;ANIM;NOM;MASC;SG
too	príliš	too	príliš	ADV	ADV
department	oddelenie	department	oddelenie	N;SG	N;NOM;NEUT;SG
help	pomoc	help	pomoc	N;SG	N;ACC;FEM;SG
open	otvorené	open	otvorený	ADJ	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
open	otvorená	open	otvorený	ADJ	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
force	sila	force	sila	N;SG	N;NOM;FEM;SG
position	poloha	position	poloha	N;SG	N;NOM;FEM;SG
position	postavenie	position	postavenie	N;SG	N;NOM;NEUT;SG
position	pozícia	position	pozícia	N;SG	N;NOM;FEM;SG
head	hlavu	head	hlava	N;SG	N;ACC;FEM;SG
head	hlavička	head	hlavička	N;SG	N;NOM;FEM;SG
head	hlava	head	hlava	N;SG	N;NOM;FEM;SG
director	riaditeľka	director	riaditeľka	N;SG	N;NOM;FEM;SG
director	réžia	director	réžia	N;SG	N;NOM;FEM;SG
director	riaditeľ	director	riaditeľ	N;SG	N;ANIM;NOM;MASC;SG
father	otče	father	otče	N;SG	N;ANIM;VOC;MASC;SG
father	otec	father	otec	N;SG	N;ANIM;NOM;MASC;SG
father	otca	father	otec	N;SG	N;ANIM;ACC;MASC;SG
track	koľaj	track	koľať	N;SG	N;NOM;FEM;SG
track	trať	track	trať	N;SG	N;NOM;FEM;SG
never	nikdy	never	nikdy	ADV	ADV
australian	austrálsky	australian	austrálsky	ADJ	ADJ;ANIM;NOM;MASC;SG
level	level	level	levieť	N;SG	N;INAN;NOM;MASC;SG
level	úroveň	level	úroveň	N;SG	N;NOM;FEM;SG
level	hladina	level	hladina	N;SG	N;NOM;FEM;SG
level	úrovni	level	úroveň	N;SG	N;DAT;FEM;SG
late	neskoro	late	neskoro	ADV	ADV
summer	leto	summer	leto	N;SG	N;NOM;NEUT;SG
society	spolok	society	spolok	N;SG	N;INAN;NOM;MASC;SG
society	spoločnosť	society	spoločnosť	N;SG	N;NOM;FEM;SG
office	kancelária	office	kancelária	N;SG	N;NOM;FEM;SG
office	úrad	office	úrad	N;SG	N;INAN;NOM;MASC;SG
period	obdobie	period	obdobie	N;SG	N;NOM;NEUT;SG
period	doba	period	doba	N;SG	N;NOM;FEM;SG
period	lehota	period	lehota	N;SG	N;NOM;FEM;SG
story	príbeh	story	príbeh	N;SG	N;INAN;NOM;MASC;SG
story	reportáž	story	reportáž	N;SG	N;NOM;FEM;SG
songs	pesničky	song	pesnička	N;PL	N;NOM;FEM;PL
songs	piesne	song	piesne	N;PL	N;NOM;FEM;PL
songs	skladby	song	skladba	N;PL	N;NOM;FEM;PL
songs	piesní	song	piesniť	N;PL	N;GEN;FEM;PL
various	rozličné	various	rozličný	ADJ	ADJ;NOM;NEUT;SG
various	rôzne	various	rôzny	ADJ	ADJ;NOM;NEUT;SG
various	rôznych	various	rôzny	ADJ	ADJ;GEN;MASC;PL
file	súboru	file	súbor	N;SG	N;INAN;GEN;MASC;SG
file	súbor	file	súbor	N;SG	N;INAN;NOM;MASC;SG
days	dní	day	deň	N;PL	N;INAN;GEN;MASC;PL
days	dňoch	day	deň	N;PL	N;INAN;GEN;MASC;PL
days	dni	day	deň	N;PL	N;INAN;NOM;MASC;PL
land	pozemok	land	pozemok	N;SG	N;INAN;NOM;MASC;SG
land	pôda	land	pôda	N;SG	N;NOM;FEM;SG
business	podnikanie	business	podnikanie	N;SG	N;NOM;NEUT;SG
business	biznis	business	biznis	N;SG	N;INAN;NOM;MASC;SG
business	business	business	business	N;SG	N;INAN;NOM;MASC;SG
reason	rozum	reason	rozum	N;SG	N;INAN;NOM;MASC;SG
reason	príčina	reason	príčina	N;SG	N;NOM;FEM;SG
reason	dôvod	reason	dôvod	N;SG	N;INAN;NOM;MASC;SG
reason	dovod	reason	dovod	N;SG	N;INAN;NOM;MASC;SG
million	miliónov	million	milión	NUM	NUM;INAN;GEN;MASC;PL
million	milióna	million	milióna	NUM	NUM;NOM;MASC;SG
million	milión	million	milión	NUM	NUM;NOM;NEUT;SG
european	európske	european	európsky	ADJ	ADJ;NOM;NEUT;SG
european	európsky	european	európsky	ADJ	ADJ;INAN;NOM;MASC;SG
european	európskej	european	európsky	ADJ	ADJ;GEN;FEM;SG
european	európska	european	európsky	ADJ	ADJ;NOM;FEM;SG
term	pojem	term	pojem	N;SG	N;INAN;NOM;MASC;SG
term	termín	term	termina	N;SG	N;INAN;NOM;MASC;SG
term	pomenovanie	term	pomenovanie	N;SG	N;NOM;NEUT;SG
six	šesť	six	šesť	NUM	NUM;NOM;NEUT;SG
six	šiestich	six	šesť	NUM	NUM;GEN;MASC;PL
six	šiesti	six	šiesť	NUM	NUM;ANIM;NOM;MASC;PL
post	príspevok	post	príspevok	N;SG	N;INAN;NOM;MASC;SG
post	pošta	post	pošta	N;SG	N;NOM;FEM;SG
post	príspevku	post	príspevok	N;SG	N;INAN;GEN;MASC;SG
post	post	post	post	N;SG	N;INAN;NOM;MASC;SG
making	robenie	making	robenie	N;SG	N;NOM;NEUT;SG
subject	predmet	subject	predmet	N;SG	N;INAN;NOM;MASC;SG
subject	subjektu	subject	subjekt	N;SG	N;INAN;GEN;MASC;SG
subject	subjekt	subject	subjekt	N;SG	N;INAN;NOM;MASC;SG
young	mladé	young	mladý	ADJ	ADJ;NOM;NEUT;SG
young	mladí	young	mladý	ADJ	ADJ;ANIM;NOM;MASC;PL
young	mladá	young	mladý	ADJ	ADJ;NOM;FEM;SG
total	celkový	total	celkový	ADJ	ADJ;INAN;NOM;MASC;SG
science	vedu	science	veda	N;SG	N;ACC;FEM;SG
science	veda	science	veda	N;SG	N;NOM;FEM;SG
related	súvisiace	related	súvisiaci	ADJ	ADJ;NOM;NEUT;PL;POS;V.PTCP;ACT
related	súvisiaci	related	súvisiaci	ADJ	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
related	príbuzné	related	príbuzný	ADJ	ADJ;NOM;NEUT;PL
rock	skala	rock	skala	N;SG	N;NOM;FEM;SG
rock	kameň	rock	kameň	N;SG	N;INAN;NOM;MASC;SG
rock	rock	rock	rock	N;SG	N;INAN;NOM;MASC;SG
railway	železnica	railway	železnica	N;SG	N;NOM;FEM;SG
led	viedlo	lead	viesť	V;PST;V.PTCP	V;IPFV;NEUT;SG;POS;PST;V.PTCP
led	viedol	lead	viesť	V;PST;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
students	študenti	student	študent	N;PL	N;ANIM;NOM;MASC;PL
students	žiaci	student	žiak	N;PL	N;ANIM;NOM;MASC;PL
students	študentky	student	študentka	N;PL	N;NOM;FEM;PL
students	študentov	student	študent	N;PL	N;ANIM;ACC;MASC;PL
started	začali	start	začať	V;IND;PST;FIN	V;PFV;MASC;PL;POS;PST;V.PTCP
started	začalo	start	začať	V;IND;PST;FIN	V;PFV;NEUT;SG;POS;PST;V.PTCP
started	začal	start	začať	V;IND;PST;FIN	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
started	začala	start	začať	V;IND;PST;FIN	V;PFV;FEM;SG;POS;PST;V.PTCP
news	spravodajstvo	news	spravodajstvo	N;SG	N;NOM;NEUT;SG
news	novinka	news	novinka	N;SG	N;NOM;FEM;SG
described	opísal	describe	opísať	V;PST;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
role	úlohu	role	úloha	N;SG	N;ACC;FEM;SG
role	rola	role	rol	N;SG	N;NOM;FEM;SG
role	úloha	role	úloha	N;SG	N;NOM;FEM;SG
election	zvolenie	election	zvolenie	N;SG	N;NOM;NEUT;SG
