the	os	the	o	DET;DEF	PRO;ACC;MASC;PL;3
news	novidades	news	novidade	N;SG	N;FEM;PL
news	noticias	news	noticia	N;SG	N;FEM;PL
news	notícias	news	notícia	N;SG	N;FEM;PL
election	eleições	election	eleição	N;SG	N;FEM;PL
indian	indianos	indian	indiano	ADJ	N;MASC;PL
indian	índios	indian	índio	ADJ	N;MASC;PL
indian	indian	indian	indian	ADJ	N;MASC;SG
indian	índio	indian	índio	ADJ	N;MASC;SG
indian	indiano	indian	indiano	ADJ	N;MASC;SG
indian	índia	indian	índia	ADJ	N;FEM;SG
kingdom	reino	kingdom	reino	PROPN;SG	N;MASC;SG
kingdom	kingdom	kingdom	kingdom	PROPN;SG	N;MASC;SG
northern	norte	northern	norte	ADJ	N;MASC;SG
northern	northern	northern	northern	ADJ	N;MASC;SG
love	amor	love	amor	V;IND;FIN	N;MASC;SG
love	love	love	love	V;IND;FIN	N;MASC;SG
run	corra	run	corra	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
run	run	run	run	V;IMP;FIN	N;MASC;SG
run	corre	run	correr	V;IMP;FIN	V;IND;SG;3;PRS;FIN
canadian	canadiano	canadian	canadiano	ADJ	N;MASC;SG
canadian	canadense	canadian	canadense	ADJ	N;MASC;SG
canadian	canadenses	canadian	canadense	ADJ	N;MASC;PL
canadian	canadian	canadian	canadian	ADJ	N;FEM;SG
press	pressione	press	pressionar	N;SG	V;SBJV;SG;3;PRS;FIN
type	digite	type	digitir	N;SG	V;SBJV;SG;3;PRS;FIN
act	agir	act	agir	N;SG	V;NFIN
program	programar	program	programar	N;SG	V;NFIN
germany	alemanha	germany	alemanha	PROPN;SG	N;FEM;SG
awards	premiação	award	premiação	N;PL	N;FEM;SG
awards	awards	award	award	N;PL	N;MASC;SG
similar	similares	similar	similar	ADJ	N;MASC;PL
professional	professional	professional	professional	ADJ	N;MASC;SG
professional	profissionais	professional	profissional	ADJ	N;MASC;PL
professional	profissional	professional	profissional	ADJ	N;MASC;SG
say	say	say	say	V;IMP;FIN	N;MASC;SG
say	digam	say	dizer	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
say	diga	say	dizer	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
say	diz	say	dizer	V;IMP;FIN	V;IND;SG;3;PRS;FIN
background	antecedentes	background	antecedentes	N;SG	N;MASC;PL
enough	chega	enough	chegar	ADJ	V;IND;SG;3;PRS;FIN
lead	liderar	lead	liderar	N;SG	V;NFIN
common	common	common	common	ADJ	N;MASC;SG
overlap	sobreposição	overlap	sobreposição	V;IMP;FIN	N;FEM;SG
overlap	sobreposições	overlap	sobreposição	V;IMP;FIN	N;FEM;PL
data	dados	data	dado	N;SG	N;MASC;PL
color	cores	color	cor	N;SG	N;FEM;PL
better	melhor	better	melhor	ADJ;CMPR	ADV
bgcolor	bgcolor	bgcolor	bgcolor		N;MASC;SG
museum	museus	museum	museu	N;SG	N;MASC;PL
sports	desporto	sport	desporto	N;PL	N;MASC;SG
already	ja	already	ja	ADV	INTJ
change	mudar	change	mudar	N;SG	V;NFIN
change	mudanças	change	mudança	N;SG	N;FEM;PL
must	mosto	must	mosto	V;FIN	N;MASC;SG
must	deve	must	dever	V;FIN	V;IND;SG;3;PRS;FIN
must	must	must	must	V;FIN	N;MASC;SG
yes	sim	yes	sim	INTJ	ADV
our	nossa	we	nosso	PRO;PL;1	DET;FEM;SG
our	nossas	we	nosso	PRO;PL;1	DET;FEM;PL
our	nossos	we	nosso	PRO;PL;1	DET;MASC;PL
our	nosso	we	nosso	PRO;PL;1	DET;MASC;SG
southern	sulistas	southern	sulista	ADJ	N;MASC;PL
southern	sul	southern	sul	ADJ	N;MASC;SG
southern	southern	southern	southern	ADJ	N;MASC;SG
lost	lost	lose	lost	V;PST;V.PTCP	N;MASC;SG
review	rever	review	rever	N;SG	V;NFIN
together	juntos	together	junto	ADV	N;MASC;PL
together	juntas	together	juntas	ADV	N;FEM;PL
robert	robert	robert	robert	PROPN;SG	N;MASC;SG
robert	roberto	robert	roberto	PROPN;SG	N;MASC;SG
less	menos	less	menos	ADJ;CMPR	ADV
japanese	japonesa	japanese	japonesa	ADJ	N;FEM;SG
japanese	japonês	japanese	japonês	ADJ	N;MASC;SG
japanese	japão	japanese	japão	ADJ	N;MASC;SG
japanese	japoneses	japanese	japonês	ADJ	N;MASC;PL
content	conteúdos	content	conteúdo	N;SG	N;MASC;PL
involved	implicado	involved	implicar	ADJ	V;MASC;SG;V.PTCP
involved	envolvida	involved	envolver	ADJ	V;FEM;SG;V.PTCP
involved	envolvido	involved	envolver	ADJ	V;MASC;SG;V.PTCP
involved	envolvidos	involved	envolver	ADJ	V;MASC;PL;V.PTCP
isbn	isbn	isbn	isbn	PROPN;SG	N;MASC;SG
japan	japao	japan	japao	PROPN;SG	N;MASC;SG
japan	japão	japan	japão	PROPN;SG	N;MASC;SG
modern	moderna	modern	moderno	ADJ	N;FEM;SG
modern	modernas	modern	moderno	ADJ	N;FEM;PL
modern	modern	modern	modern	ADJ	N;MASC;SG
human	humanas	human	humano	ADJ	N;FEM;PL
human	human	human	human	ADJ	N;MASC;SG
half	meio	half	meio	N;SG	ADV
available	disponíveis	available	disponível	ADJ	N;MASC;PL
washington	washington	washington	washington	PROPN;SG	N;MASC;SG
real	real	real	real	ADJ	N;MASC;SG
real	reais	real	real	ADJ	N;MASC;PL
start	comece	start	começar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
start	comecem	start	começar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
start	começa	start	começar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
start	início	start	início	V;IMP;FIN	N;MASC;SG
personal	personal	personal	personal	ADJ	N;MASC;SG
personal	pessoal	personal	pessoal	ADJ	N;MASC;SG
star	estrelas	star	estrela	N;SG	N;FEM;PL
china	porcelana	china	porcelano	PROPN;SG	N;FEM;SG
china	china	china	china	PROPN;SG	N;FEM;SG
paul	paulo	paul	paulo	PROPN;SG	N;MASC;SG
paul	paul	paul	paul	PROPN;SG	N;MASC;SG
far	far	far	far	ADV	N;MASC;SG
lake	lago	lake	lago	PROPN;SG	N;MASC;SG
married	casou	married	casar	ADJ	V;IND;SG;3;PST;FIN
married	casada	married	casado	ADJ	N;FEM;SG
married	casado	married	casado	ADJ	N;MASC;SG
married	casados	married	casado	ADJ	N;MASC;PL
europe	europa	europe	europa	PROPN;SG	N;FEM;SG
away	away	away	away	ADV	N;MASC;SG
independent	independent	independent	independent	ADJ	N;MASC;SG
independent	independentes	independent	independente	ADJ	N;MASC;PL
low	baixa	low	baixa	ADJ	N;FEM;SG
low	baixos	low	baixo	ADJ	N;MASC;PL
low	low	low	low	ADJ	N;MASC;SG
low	baixo	low	baixo	ADJ	ADV
michael	miguel	michael	miguel	PROPN;SG	N;MASC;SG
michael	michael	michael	michael	PROPN;SG	N;MASC;SG
light	leve	light	levar	N;SG	V;SBJV;SG;3;PRS;FIN
big	big	big	big	ADJ	N;MASC;SG
big	grandes	big	grande	ADJ	N;MASC;PL
seen	visto	see	ver	V;PST;V.PTCP	PROPN;MASC;SG;V.PTCP
release	solte	release	soltar	N;SG	V;SBJV;SG;3;PRS;FIN
want	queres	want	querer	V;IND;PRS;FIN	INTJ
episode	episódios	episode	episódio	N;SG	N;MASC;PL
wrote	escrevia	write	escrever	V;IND;PST;FIN	V;IND;SG;3;IPFV;FIN
republic	república	republic	república	PROPN;SG	N;FEM;SG
thomas	tomé	thomas	tomé	PROPN;SG	N;MASC;SG
thomas	thomas	thomas	thoma	PROPN;SG	N;FEM;PL
thomas	tomás	thomas	tomás	PROPN;SG	N;MASC;SG
via	via	via	via	ADV	N;FEM;SG
russian	russa	russian	russa	ADJ	N;FEM;SG
russian	russas	russian	russa	ADJ	N;FEM;PL
russian	russo	russian	russo	ADJ	N;MASC;SG
russian	russos	russian	russo	ADJ	N;MASC;PL
thanks	obrigado	thanks	obrigar	N;SG	V;MASC;SG;V.PTCP
thanks	obrigada	thanks	obrigar	N;SG	V;FEM;SG;V.PTCP
thanks	valeu	thanks	valer	N;SG	V;IND;SG;3;PST;FIN
put	coloca	put	colocar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
put	coloque	put	coloque	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
worked	trabalhava	work	trabalhar	V;PST;V.PTCP	V;IND;SG;3;IPFV;FIN
someone	alguem	someone	alguem	PRO;SG	N;MASC;SG
civil	civil	civil	civil	ADJ	N;MASC;SG
civil	civis	civil	civil	ADJ	N;MASC;PL
police	polícia	police	polícia	N;PL	N;FEM;SG
police	policia	police	policia	N;PL	N;FEM;SG
charles	charles	charle	charle	N;PL	N;MASC;SG
charles	carlos	charle	carlo	N;PL	N;MASC;SG
eastern	orientais	eastern	oriental	ADJ	N;MASC;PL
eastern	leste	eastern	leste	ADJ	N;MASC;SG
eastern	eastern	eastern	eastern	ADJ	N;MASC;SG
italian	italiana	italian	italiana	ADJ	N;FEM;SG
italian	italianos	italian	italiano	ADJ	N;MASC;PL
italian	italiano	italian	italiano	ADJ	N;MASC;SG
featured	destaque	feature	destaque	V;PST;V.PTCP	N;MASC;SG
featured	destaques	feature	destaque	V;PST;V.PTCP	N;MASC;PL
texas	texas	texas	texa	PROPN;SG	N;MASC;SG
close	fecha	close	fechar	ADJ	V;IND;SG;3;PRS;FIN
close	feche	close	fecher	ADJ	V;SBJV;SG;3;PRS;FIN
close	perto	close	perto	ADJ	ADV
close	close	close	close	ADJ	N;MASC;SG
close	fechar	close	fechar	ADJ	V;NFIN
roman	romana	roman	romano	ADJ	N;FEM;SG
roman	romanas	roman	romano	ADJ	N;FEM;PL
roman	roman	roman	roman	ADJ	N;MASC;SG
roman	romano	roman	romano	ADJ	N;MASC;SG
roman	romanos	roman	romano	ADJ	N;MASC;PL
come	vem	come	vir	V;IMP;FIN	V;IND;SG;3;PRS;FIN
come	venham	come	vir	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
come	venha	come	vir	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
forces	forces	force	force	N;PL	N;MASC;SG
green	verde	green	verde	N;SG	ADJ;MASC;SG
green	verdes	green	verdes	N;SG	N;MASC;PL
evidence	evidências	evidence	evidência	N;SG	N;FEM;PL
evidence	provas	evidence	prova	N;SG	N;FEM;PL
aircraft	aviões	aircraft	avião	N;SG	N;MASC;PL
aircraft	aeronaves	aircraft	aeronave	N;SG	N;FEM;PL
arts	arts	art	art	N;PL	N;MASC;SG
consensus	consensos	consensus	consenso	N;SG	N;MASC;PL
problem	problemas	problem	problema	N;SG	N;MASC;PL
look	olhe	look	olhar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
look	olha	look	olhar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
average	média	average	média	ADJ	N;FEM;SG
win	win	win	win	V;IMP;FIN	N;MASC;SG
win	ganhe	win	ganhar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
win	vitória	win	vitória	V;IMP;FIN	N;FEM;SG
shows	mostra	show	mostrar	N;PL	V;IND;SG;3;PRS;FIN
centre	centrar	centre	centrar	N;SG	V;NFIN
centre	centralizar	centre	centralizar	N;SG	V;NFIN
african	africana	african	africano	PROPN;SG	N;FEM;SG
african	africanos	african	africano	PROPN;SG	N;MASC;PL
african	africano	african	africano	PROPN;SG	N;MASC;SG
able	able	able	ablir	ADJ	N;MASC;SG
google	google	google	google	PROPN;SG	N;MASC;SG
ireland	irlanda	ireland	irlanda	PROPN;SG	N;FEM;SG
today	hj	today	hj	N;SG	V;IND;SG;1;PRS;FIN
today	hoje	today	hoje	N;SG	ADV
saint	santo	saint	santo	PROPN;SG	N;MASC;SG
saint	saint	saint	saint	PROPN;SG	N;MASC;SG
saint	santa	saint	santo	PROPN;SG	N;FEM;SG
self	auto	self	auto	PRO	N;MASC;SG
self	self	self	self	PRO	N;MASC;SG
continued	continuação	continue	continuação	V;PST;V.PTCP	N;FEM;SG
africa	áfrica	africa	áfrico	PROPN;SG	N;FEM;SG
spanish	castelhano	spanish	castelhano	ADJ	N;MASC;SG
spanish	espanhola	spanish	espanhola	ADJ	N;FEM;SG
spanish	espanhóis	spanish	espanhol	ADJ	N;MASC;PL
spanish	espanhol	spanish	espanhol	ADJ	N;MASC;SG
grand	grand	grand	grand	ADJ	N;MASC;SG
gold	dourado	gold	dourar	N;SG	V;MASC;SG;V.PTCP
female	feminino	female	feminino	N;SG	ADJ;MASC;SG
course	curso	course	curso	ADV	N;MASC;SG
chinese	chinesa	chinese	chinês	N;PL	N;FEM;SG
chinese	chinês	chinese	chinês	N;PL	N;MASC;SG
add	adicione	add	adicionar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
add	adiciona	add	adicionar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
add	add	add	add	V;IMP;FIN	N;MASC;SG
peter	pedro	peter	pedro	PROPN;SG	N;MASC;SG
peter	peter	peter	peter	PROPN;SG	N;MASC;SG
move	mover	move	mover	N;SG	V;NFIN
standard	estandarte	standard	estandarte	ADJ	N;MASC;SG
standard	norma	standard	norma	ADJ	N;FEM;SG
standard	padrão	standard	padrão	ADJ	N;MASC;SG
standard	standard	standard	standard	ADJ	N;MASC;SG
means	meios	mean	meio	V;IND;SG;3;PRS;FIN	N;MASC;PL
give	dê	give	dar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
give	dá	give	dar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
training	treinos	training	treino	N;SG	N;MASC;PL
blue	blue	blue	blue	ADJ	N;MASC;SG
blue	azul	blue	azul	ADJ	N;MASC;SG
blue	azuis	blue	azul	ADJ	N;MASC;PL
primary	primária	primary	primária	ADJ	N;FEM;SG
primary	primário	primary	primário	ADJ	N;MASC;SG
primary	primárias	primary	primária	ADJ	N;FEM;PL
primary	primários	primary	primário	ADJ	N;MASC;PL
christian	christian	christian	christian	PROPN;SG	N;MASC;SG
christian	cristã	christian	cristã	PROPN;SG	N;FEM;SG
christian	cristiano	christian	cristiano	PROPN;SG	N;MASC;SG
christian	cristão	christian	cristão	PROPN;SG	N;MASC;SG
christian	cristãos	christian	cristão	PROPN;SG	N;MASC;PL
private	private	private	private	ADJ	N;MASC;SG
catholic	católico	catholic	católico	ADJ	N;MASC;SG
catholic	católicas	catholic	católico	ADJ	N;FEM;PL
catholic	católicos	catholic	católico	ADJ	N;MASC;PL
catholic	catolicismo	catholic	catolicismo	ADJ	N;MASC;SG
catholic	católica	catholic	católico	ADJ	N;FEM;SG
view	ver	view	ver	N;SG	V;NFIN
view	visualizar	view	visualizar	N;SG	V;NFIN
seven	seven	seven	seven	NUM	N;MASC;SG
ever	ever	ever	ever	ADV	N;MASC;SG
provide	forneça	provide	fornecer	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
technology	tecnologias	technology	tecnologia	N;SG	N;FEM;PL
olympics	olimpíada	olympic	olimpíado	N;PL	N;FEM;SG
future	futuras	future	futuro	N;SG	ADJ;FEM;PL
future	futuros	future	futuro	N;SG	ADJ;MASC;PL
results	resultado	result	resultado	N;PL	N;MASC;SG
return	retornar	return	retornar	N;SG	V;NFIN
construction	construções	construction	construção	N;SG	N;FEM;PL
zealand	zelândia	zealand	zelândia	PROPN;SG	N;FEM;SG
front	frente	front	frente	N;SG	ADV
cover	cubra	cover	cubrar	N;SG	V;SBJV;SG;3;PRS;FIN
cover	cobrir	cover	cobrir	N;SG	V;NFIN
read	leia	read	ler	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
read	lê	read	ler	V;IMP;FIN	V;IND;SG;3;PRS;FIN
material	materiais	material	material	N;SG	N;MASC;PL
strong	strong	strong	strong	ADJ	N;MASC;SG
henry	henrique	henry	henrique	PROPN;SG	N;MASC;SG
mark	mark	mark	mark	PROPN;SG	N;MASC;SG
mark	marcar	mark	marcar	PROPN;SG	V;NFIN
mark	marca	mark	marca	PROPN;SG	N;FEM;SG
mark	marcos	mark	marco	PROPN;SG	N;MASC;PL
rev	rev	rev	rev	PROPN;SG	N;MASC;SG
rev	reverendo	rev	reverendo	PROPN;SG	N;MASC;SG
federal	federais	federal	federal	ADJ	N;MASC;PL
richard	richard	richard	richard	PROPN;SG	N;MASC;SG
richard	ricardo	richard	ricardo	PROPN;SG	N;MASC;SG
virginia	virgínia	virginia	virgínia	PROPN;SG	N;FEM;SG
virginia	virginia	virginia	virginia	PROPN;SG	N;FEM;SG
attack	atacar	attack	atacar	N;SG	V;NFIN
attack	ataquem	attack	ataquem	N;SG	V;SBJV;PL;3;PRS;FIN
study	estuda	study	estudar	N;SG	V;IND;SG;3;PRS;FIN
study	estude	study	estude	N;SG	V;SBJV;SG;3;PRS;FIN
study	estudar	study	estudar	N;SG	V;NFIN
musical	musicais	musical	musical	ADJ	N;MASC;PL
medical	médica	medical	médico	ADJ	N;FEM;SG
medical	medico	medical	medico	ADJ	N;MASC;SG
medical	medicina	medical	medicina	ADJ	N;FEM;SG
medical	médicos	medical	médico	ADJ	N;MASC;PL
past	passadas	past	passar	N;SG	V;FEM;PL;V.PTCP
past	passados	past	passar	N;SG	V;MASC;PL;V.PTCP
past	passado	past	passar	N;SG	V;MASC;SG;V.PTCP
writing	escrevendo	writing	escrever	N;SG	V;V.MSDR
writing	escrever	writing	escrever	N;SG	V;NFIN
interest	juros	interest	juro	N;SG	N;MASC;PL
fair	fair	fair	fair	ADJ	N;MASC;SG
fair	feira	fair	feira	ADJ	N;FEM;SG
search	procurar	search	procurar	N;SG	V;NFIN
search	pesquisar	search	pesquisar	N;SG	V;NFIN
bay	baia	bay	baia	PROPN;SG	N;FEM;SG
bay	baía	bay	baía	PROPN;SG	N;FEM;SG
bay	bay	bay	bay	PROPN;SG	N;FEM;SG
guitar	guitarra	guitar	guitarra	PROPN;SG	N;FEM;SG
guitar	violão	guitar	violão	PROPN;SG	N;MASC;SG
hill	colina	hill	colina	PROPN;SG	N;FEM;SG
hill	hill	hill	hill	PROPN;SG	N;MASC;SG
sure	claro	sure	claro	ADJ	ADV
lower	lower	lower	lower	ADJ;CMPR	N;MASC;SG
reading	ler	reading	ler	N;SG	V;NFIN
reading	lendo	reading	ler	N;SG	V;V.MSDR
movement	movimentos	movement	movimento	N;SG	N;MASC;PL
specific	especifico	specific	especifico	ADJ	N;MASC;SG
always	always	always	alway	ADV	N;MASC;SG
natural	naturais	natural	natural	ADJ	N;MASC;PL
clear	clear	clear	clear	ADJ	N;MASC;SG
clear	limpar	clear	limpar	ADJ	V;NFIN
let	deixe	let	deixar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
let	deixa	let	deixar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
got	got	get	got	V;PST;V.PTCP	N;MASC;SG
chicago	chicago	chicago	chicago	PROPN;SG	N;MASC;SG
pennsylvania	pennsylvania	pennsylvania	pennsylvania	PROPN;SG	N;MASC;SG
pennsylvania	pensilvânia	pennsylvania	pensilvânia	PROPN;SG	N;FEM;SG
ten	ten	ten	ten	NUM	N;MASC;SG
individual	individual	individual	individual	N;SG	ADJ;MASC;SG
individual	individuais	individual	individual	N;SG	ADJ;MASC;PL
etc	etc	etc	etc		ADV
lists	lista	list	lista	N;PL	N;FEM;SG
paris	paris	paris	pari	PROPN;SG	PROPN;MASC;SG
thought	pensamento	think	pensamento	V;PST;FIN	N;MASC;SG
brown	marrom	brown	marror	PROPN;SG	N;MASC;SG
brown	brown	brown	brown	PROPN;SG	N;MASC;SG
brown	castanhos	brown	castanho	PROPN;SG	N;MASC;PL
brown	castanhas	brown	castanha	PROPN;SG	N;FEM;PL
brown	castanha	brown	castanha	PROPN;SG	N;FEM;SG
brown	castanho	brown	castanho	PROPN;SG	N;MASC;SG
needs	precisa	need	precisar	N;PL	V;IND;SG;3;PRS;FIN
needs	necessita	need	necessitar	N;PL	V;IND;SG;3;PRS;FIN
smith	silva	smith	silva	PROPN;SG	N;MASC;SG
smith	smith	smith	smith	PROPN;SG	N;MASC;SG
florida	flórida	florida	flórida	PROPN;SG	N;FEM;SG
florida	florida	florida	florida	PROPN;SG	N;FEM;SG
capital	capitais	capital	capital	N;SG	N;MASC;PL
valley	vale	valley	valer	N;SG	V;IND;SG;3;PRS;FIN
italy	itália	italy	itália	PROPN;SG	N;FEM;SG
energy	energias	energy	energia	N;SG	N;FEM;PL
believe	acredita	believe	acreditar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
believe	believe	believe	believe	V;IMP;FIN	N;MASC;SG
believe	creia	believe	crear	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
believe	acredite	believe	acreditar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
active	ativos	active	ativo	ADJ	N;MASC;PL
online	online	online	online	ADV	N;MASC;SG
block	bloquear	block	bloquear	N;SG	V;NFIN
followed	seguida	follow	seguida	V;PST;V.PTCP	N;FEM;SG
request	pedir	request	pedir	N;SG	V;NFIN
request	solicitar	request	solicitar	N;SG	V;NFIN
olympic	olímpicos	olympic	olímpico	N;SG	N;MASC;PL
studio	estúdios	studio	estúdio	N;SG	N;MASC;PL
mexico	méxico	mexico	méxico	PROPN;SG	N;MASC;SG
mexico	mexico	mexico	mexico	PROPN;SG	N;MASC;SG
create	crie	create	criar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
create	cria	create	criar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
redirect	redireccionar	redirect	redireccionar	PROPN;SG	V;NFIN
redirect	redirecionamento	redirect	redirecionamento	PROPN;SG	N;MASC;SG
redirect	redirecionar	redirect	redirecionar	PROPN;SG	V;NFIN
soviet	soviético	soviet	Soviético	PROPN;SG	N;MASC;SG
soviet	soviéticos	soviet	soviético	PROPN;SG	N;MASC;PL
soviet	soviéticas	soviet	soviético	PROPN;SG	N;FEM;PL
soviet	soviética	soviet	soviético	PROPN;SG	N;FEM;SG
fourth	quarta	fourth	quarto	PROPN;SG	ADJ;FEM;SG
van	carrinha	van	carrinha	PROPN;SG	N;FEM;SG
van	van	van	van	PROPN;SG	N;MASC;SG
mary	mary	mary	mary	PROPN;SG	N;FEM;SG
mary	maria	mary	maria	PROPN;SG	N;FEM;SG
irish	irlandeses	irish	irlandês	ADJ	N;MASC;PL
irish	irish	irish	irish	ADJ	N;MASC;SG
irish	irlandesa	irish	irlandesa	ADJ	N;FEM;SG
irish	irlandês	irish	irlandês	ADJ	N;MASC;SG
foreign	estrangeiro	foreign	estrangeiro	ADJ	N;MASC;SG
foreign	estrangeira	foreign	estrangeiro	ADJ	N;FEM;SG
foreign	estrangeiras	foreign	estrangeiro	ADJ	N;FEM;PL
foreign	estrangeiros	foreign	estrangeiro	ADJ	N;MASC;PL
register	regista	register	registar	N;SG	V;IND;SG;3;PRS;FIN
register	registrar	register	registrar	N;SG	V;NFIN
register	registar	register	registar	N;SG	V;NFIN
eight	oito	eight	oito		NUM
eight	eight	eight	eight		N;MASC;SG
native	nativas	native	nativa	ADJ	N;FEM;PL
native	nativo	native	nativo	ADJ	N;MASC;SG
native	nativos	native	nativo	ADJ	N;MASC;PL
minor	menores	minor	pequeno	ADJ	N;MASC;PL
minor	minor	minor	minor	ADJ	N;MASC;SG
whose	cujo	whose	cujo	PRO	DET;MASC;SG
foundation	fundações	foundation	fundação	N;SG	N;FEM;PL
limited	limitado	limited	limitar	ADJ	V;MASC;SG;V.PTCP
limited	limitados	limited	limitar	ADJ	V;MASC;PL;V.PTCP
limited	limitadas	limited	limitar	ADJ	V;FEM;PL;V.PTCP
limited	limited	limited	limited	ADJ	N;MASC;SG
limited	limitada	limited	limitar	ADJ	V;FEM;SG;V.PTCP
governor	governadora	governor	governadora	PROPN;SG	N;FEM;SG
governor	governador	governor	governador	PROPN;SG	N;MASC;SG
complete	complete	complete	completer	ADJ	V;SBJV;SG;3;PRS;FIN
complete	completo	complete	completo	ADJ	N;MASC;SG
test	testar	test	testar	N;SG	V;NFIN
bill	bill	bill	bill	N;SG	PROPN;MASC;SG
vocals	vocal	vocal	vocal	N;PL	N;MASC;SG
theory	teorias	theory	teoria	N;SG	N;FEM;PL
regional	regionais	regional	regional	ADJ	N;MASC;PL
regional	regional	regional	regional	ADJ	N;MASC;SG
vote	votação	vote	votação	V;IMP;FIN	N;FEM;SG
vote	voto	vote	voto	V;IMP;FIN	N;MASC;SG
vote	vote	vote	vote	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
vote	votem	vote	votar	V;IMP;FIN	V;SBJV;PL;3;PRS;FIN
none	nenhum	none	nenhum	N;SG	DET;MASC;SG
none	nenhuma	none	nenhum	N;SG	DET;FEM;SG
carolina	carolina	carolina	carolina	PROPN;SG	N;FEM;SG
tournament	torneios	tournament	torneio	N;SG	N;MASC;PL
poland	polônia	poland	polônia	PROPN;SG	N;FEM;SG
poland	polónia	poland	polónia	PROPN;SG	N;FEM;SG
wales	gales	wale	gale	N;PL	N;MASC;SG
winning	vencendo	win	vencer	N;SG	V;V.MSDR
winning	ganhando	win	ganhar	N;SG	V;V.MSDR
winning	ganhar	win	ganhar	N;SG	V;NFIN
hospital	hospitalares	hospital	hospitalar	N;SG	N;MASC;PL
hospital	hospitalar	hospital	hospitalar	N;SG	ADJ;MASC;SG
mid	meados	mid	meado		N;MASC;PL
mid	mid	mid	midir		N;MASC;SG
angeles	angeles	angeles	angele	PROPN;SG	N;MASC;PL
editing	editando	editing	editar	N;SG	V;V.MSDR
food	alimentos	food	alimento	N;SG	N;MASC;PL
multiple	múltipla	multiple	múltiplo	ADJ	N;FEM;SG
multiple	múltiplo	multiple	múltiplo	ADJ	N;MASC;SG
likely	provavelmente	likely	provavelmente	ADJ	ADV
sir	senhor	sir	senhor	PROPN;SG	N;MASC;SG
square	quadrada	square	quadrada	PROPN;SG	N;FEM;SG
square	praça	square	praça	PROPN;SG	N;FEM;SG
square	square	square	square	PROPN;SG	N;MASC;SG
square	quadrado	square	quadrado	PROPN;SG	N;MASC;SG
square	quadrados	square	quadrados	PROPN;SG	N;MASC;PL
try	tenta	try	tentar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
try	tente	try	tentar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
try	experimente	try	experimentar	V;IMP;FIN	V;SBJV;SG;3;PRS;FIN
try	experimenta	try	experimentar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
topic	tópicos	topic	tópico	N;SG	N;MASC;PL
officer	oficial	officer	oficial	N;SG	ADJ;MASC;SG
greek	grega	greek	grego	ADJ	N;FEM;SG
greek	grécia	greek	grécia	ADJ	N;FEM;SG
greek	gregos	greek	grego	ADJ	N;MASC;PL
greek	grego	greek	grego	ADJ	N;MASC;SG
recent	recentes	recent	recente	ADJ	N;MASC;PL
senior	seniores	senior	senior	ADJ	N;MASC;PL
senior	senior	senior	senior	ADJ	N;MASC;SG
senior	finalista	senior	finalista	ADJ	N;MASC;SG
senior	sênior	senior	sênior	ADJ	N;MASC;SG
senior	sénior	senior	sénior	ADJ	N;MASC;SG
true	true	true	true	ADJ	N;MASC;SG
true	verdade	true	verdade	ADJ	N;FEM;SG
required	obrigatório	require	obrigatório	V;PST;V.PTCP	ADJ;MASC;SG
required	necessária	require	necessário	V;PST;V.PTCP	ADJ;FEM;SG
required	necessário	require	necessário	V;PST;V.PTCP	ADJ;MASC;SG
commercial	comerciais	commercial	comercial	ADJ	N;MASC;PL
degree	graus	degree	grau	N;SG	N;MASC;PL
anti	anti	anti	anti	PROPN;SG	N;MASC;SG
sun	sun	sun	sun	PROPN;SG	N;MASC;SG
sun	sol	sun	sol	PROPN;SG	N;MASC;SG
earth	earth	earth	earth	PROPN;SG	N;MASC;SG
earth	terra	earth	terra	PROPN;SG	N;FEM;SG
access	acessar	access	acessar	N;SG	V;NFIN
