von	no	von	no	ADP	
jahrhundert	jahrhundert	jahrhundert	jahrhundert	ADJ	
jahrhundert	gadsimts	jahrhundert	gadsimts	ADJ	N;NOM;MASC;SG
beiden	abas	beide	abas	PRO;NOM;INDF;PL	PRO;NOM;FEM;PL
beiden	abus	beide	abi	PRO;NOM;INDF;PL	PRO;ACC;MASC;PL
beiden	gan	beide	gan	PRO;NOM;INDF;PL	CONJ
beiden	abi	beide	abi	PRO;NOM;INDF;PL	PRO;NOM;MASC;PL
beiden	divas	beide	divas	PRO;NOM;INDF;PL	NUM;NOM;FEM;PL
beiden	divus	beide	divi	PRO;NOM;INDF;PL	NUM;ACC;MASC;PL
beiden	divi	beide	divi	PRO;NOM;INDF;PL	NUM;NOM;MASC;PL
vier	vier	vier	vierēt	NUM	
zweiten	otrais	zweit	otrais	ADJ;NOM;MASC;PL	ADJ;NOM;DEF;MASC;SG
zweiten	otrs	zweit	otrs	ADJ;NOM;MASC;PL	NUM;NOM;MASC;SG
zweiten	otrā	zweit	otrā	ADJ;NOM;MASC;PL	ADJ;NOM;DEF;FEM;SG
seite	side	seit	side	N	
februar	februārī	februaer	februāris	PROPN;NOM;SG	N;ESS;MASC;SG
februar	februāra	februaer	februāris	PROPN;NOM;SG	N;GEN;MASC;SG
februar	februāris	februaer	februāris	PROPN;NOM;SG	N;NOM;MASC;SG
februar	februāra	februaer	februāris	PROPN;NOM;SG	N;GEN;MASC;SG
februar	feb	februaer	feb	PROPN;NOM;SG	
dessen	kuru	der	kura	DET;GEN;MASC;SG	PRO;ACC;MASC;SG
dessen	kura	der	kura	DET;GEN;MASC;SG	PRO;NOM;FEM;SG
soll	būtu	sollen	būt	V;IND;SG;3;PRS;FIN	V;COND;POS;FIN;ACT
soll	vajadzētu	sollen	vajadzēt	V;IND;SG;3;PRS;FIN	V;COND;POS;FIN;ACT
etwas	kautkas	etwas	kautka	ADV	N;NOM;MASC;SG
mich	pats	ich	pats	PRO;ACC;SG;1	PRO;NOM;MASC;SG
mich	mich	ich	mich	PRO;ACC;SG;1	
neben	blakus	neben	blakus	ADP	ADV
allerdings	tomēr	allerdings	tomēr	ADV	CONJ
allerdings	tomēr	allerdings	tomēr	ADV	CONJ
allerdings	bet	allerdings	bet	ADV	CONJ
allerdings	taču	allerdings	taču	ADV	CONJ
film	filma	falmen	filma		N;NOM;FEM;SG
film	filmu	falmen	filma		N;ACC;FEM;SG
film	plēve	falmen	plēve		N;NOM;FEM;SG
film	filma	falmen	filma		N;NOM;FEM;SG
film	plēves	falmen	plēve		N;NOM;FEM;PL
wäre	būtu	sein	būt	V;SBJV;SG;3;PST;FIN	V;COND;POS;FIN;ACT
neue	jauna	neu	jauns	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
neue	jaunums	neu	jaunums	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
neue	jauns	neu	jauns	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
neue	jaunais	neu	jauns	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
neue	neue	neu	neuet	ADJ;NOM;FEM;PL	
nun	nu	nun	nu	ADV	INTJ
leben	dzīvošana	leben	dzīvošana	V;NFIN	N;NOM;FEM;SG
leben	life	leben	life	V;NFIN	
leben	dzīve	leben	dzīve	V;NFIN	N;NOM;FEM;SG
leben	dzīvi	leben	dzīve	V;NFIN	N;ACC;FEM;SG
leben	dzīvība	leben	dzīvība	V;NFIN	N;NOM;FEM;SG
leben	dzīvesstila	leben	dzīvesstils	V;NFIN	N;NOM;MASC;SG
leben	dzīvesveida	leben	dzīvesveida	V;NFIN	N;GEN;MASC;SG
leben	dzīvesveids	leben	dzīvesveids	V;NFIN	N;NOM;MASC;SG
leben	dzīvas	leben	dzīva	V;NFIN	ADJ;NOM;FEM;PL
leben	dzīvi	leben	dzīve	V;NFIN	N;ACC;FEM;SG
leben	live	leben	live	V;NFIN	
leben	tiešraide	leben	tiešraide	V;NFIN	N;NOM;FEM;SG
leben	leben	leben	leben	V;NFIN	
namen	vārds	name	vārds		N;NOM;MASC;SG
namen	nosaukums	name	nosaukums		N;NOM;MASC;SG
namen	nosaukumi	name	nosaukums		N;NOM;MASC;PL
namen	vārdi	name	vārds		N;NOM;MASC;PL
bitte	pls	bitte	pls		
bitte	lūdzu	bitte	lūdzu		INTJ
bitte	ludzu	bitte	ludzu		V;FH;IND;SG;1;POS;PRS;FIN;ACT
relevanz	nozīmība	relevanz	nozīmība	ADJ	N;NOM;FEM;SG
einige	dažiem	einige	dažs	PRO;NOM;INDF;PL	PRO;DAT;MASC;PL
mitglied	deputāts	mitglied	deputāts	ADJ	N;NOM;MASC;SG
mitglied	loceklis	mitglied	loceklis	ADJ	N;NOM;MASC;SG
mitglied	biedrs	mitglied	biedrs	ADJ	N;NOM;MASC;SG
wegen	jo	wegen	jo	ADP	CONJ
deren	kuru	der	kura	DET;GEN;PL	PRO;ACC;MASC;SG
deren	kura	der	kura	DET;GEN;PL	PRO;NOM;FEM;SG
viele	daudz	viel	daudz	ADJ;NOM;INDF;PL	ADV
viele	partijas	viel	partija	ADJ;NOM;INDF;PL	N;NOM;FEM;PL
viele	izlozes	viel	izloze	ADJ;NOM;INDF;PL	N;NOM;FEM;PL
viele	daudziem	viel	daudzi	ADJ;NOM;INDF;PL	PRO;DAT;MASC;PL
viele	daudz	viel	daudz	ADJ;NOM;INDF;PL	ADV
viele	daudzi	viel	daudzi	ADJ;NOM;INDF;PL	PRO;NOM;MASC;PL
viele	daudzus	viel	daudzi	ADJ;NOM;INDF;PL	PRO;ACC;MASC;PL
viele	daudzas	viel	daudzas	ADJ;NOM;INDF;PL	PRO;NOM;FEM;PL
text	teksts	Text	teksts		N;NOM;MASC;SG
text	teksti	Text	teksts		N;NOM;MASC;PL
text	lyrics	Text	lyrics		N;NOM;MASC;SG
ebenfalls	arī	ebenfalls	arī	ADV	PART
münchen	minhenē	münchen	minhene	PROPN;NOM;NEUT;SG	PROPN;ESS;FEM;SG
münchen	minhenes	münchen	minhene	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
löschen	skaidra	löschen	skaidrs	V;NFIN	ADJ;NOM;FEM;SG
löschen	skaidri	löschen	skaidri	V;NFIN	ADV
löschen	skaidrs	löschen	skaidrs	V;NFIN	ADJ;NOM;MASC;SG
löschen	dzidrs	löschen	dzidrs	V;NFIN	ADJ;NOM;MASC;SG
löschen	dzēšanu	löschen	dzēšana	V;NFIN	N;ACC;FEM;SG
löschen	dzēšana	löschen	dzēšana	V;NFIN	N;NOM;FEM;SG
erhielt	saņemtas	erhalten	saņemt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
erhielt	saņemtās	erhalten	saņemt	V;IND;SG;3;PST;FIN	V;PFV;NOM;DEF;FEM;PL;PST;V.PTCP
erhielt	saņemti	erhalten	saņemt	V;IND;SG;3;PST;FIN	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
bekannt	zināma	bekennen	zināt	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
bekannt	zināmi	bekennen	zināt	ADJ	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
bekannt	zināms	bekennen	zināt	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
bekannt	pazīstama	bekennen	pazīt	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
zurück	atdeve	zurück	atdeve	ADV	N;NOM;FEM;SG
zurück	atgriešanas	zurück	atgriešana	ADV	N;NOM;FEM;SG
zurück	atgriešanās	zurück	atgriešanās	ADV	N;NOM;FEM;SG
zurück	muguru	zurück	mugura	ADV	N;ACC;FEM;SG
zurück	mugura	zurück	mugura	ADV	N;NOM;FEM;SG
allem	viss	alle	viss	PRO;DAT;INDF;NEUT;SG	PRO;NOM;MASC;SG
allem	visam	alle	viss	PRO;DAT;INDF;NEUT;SG	PRO;DAT;MASC;SG
allem	visu	alle	viss	PRO;DAT;INDF;NEUT;SG	PRO;ACC;MASC;SG
geht	goes	gehen	goes	V;IND;SG;3;PRS;FIN	
friedrich	frīdrihs	friedrich	frīdrihs	PROPN;NOM;SG	PROPN;NOM;MASC;SG
friedrich	frīdrihs	friedrich	frīdrihs	PROPN;NOM;SG	PROPN;NOM;MASC;SG
ihren	viņu	ihr	viņš	DET;ACC;MASC;SG	PRO;ACC;MASC;SG;3
saison	sezonas	saison	sezona	N;NOM;FEM;SG	N;NOM;FEM;PL
saison	sezonāla	saison	sezonāla	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
saison	sezonai	saison	sezona	N;NOM;FEM;SG	N;DAT;FEM;SG
saison	sezonu	saison	sezona	N;NOM;FEM;SG	N;ACC;FEM;SG
saison	sezonas	saison	sezona	N;NOM;FEM;SG	N;NOM;FEM;PL
saison	sezonā	saison	sezona	N;NOM;FEM;SG	N;ESS;FEM;SG
neuen	jauna	neu	jauns	ADJ;ACC;MASC;SG	ADJ;NOM;FEM;SG
neuen	jaunums	neu	jaunums	ADJ;ACC;MASC;SG	N;NOM;MASC;SG
neuen	jauni	neu	jauns	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;PL
neuen	jauns	neu	jauns	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;SG
neuen	jaunais	neu	jauns	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;SG
neuen	jaunas	neu	jauna	ADJ;ACC;MASC;SG	ADJ;NOM;FEM;PL
stand	būts	stehen	būts	V;IND;SG;3;PST;FIN	ADJ;NOM;MASC;SG
diesen	šīs	dies	šī	PRO;ACC;MASC;SG	PRO;NOM;FEM;PL
diesen	šie	dies	šis	PRO;ACC;MASC;SG	PRO;NOM;MASC;PL
würde	cieņu	werden	cieņa	V;SBJV;SG;3;PST;FIN	N;ACC;FEM;SG
würde	cieņa	werden	cieņa	V;SBJV;SG;3;PST;FIN	N;NOM;FEM;SG
würde	būtu	werden	būt	V;SBJV;SG;3;PST;FIN	V;COND;POS;FIN;ACT
politiker	politika	politik	politika	ADJ	N;NOM;FEM;SG
politiker	politikā	politik	politika	ADJ	N;ESS;FEM;SG
politiker	politiķiem	politik	politiķis	ADJ	N;DAT;MASC;PL
politiker	politiķi	politik	politiķis	ADJ	N;NOM;MASC;PL
politiker	politiķis	politik	politiķis	ADJ	N;NOM;MASC;SG
personen	pax	Person	pax	N;NOM;FEM;PL	
personen	personām	Person	persona	N;NOM;FEM;PL	N;DAT;FEM;PL
personen	tauta	Person	tauta	N;NOM;FEM;PL	N;NOM;FEM;SG
personen	cilvēkiem	Person	cilvēks	N;NOM;FEM;PL	N;DAT;MASC;PL
titel	plūdmaiņu	titel	plūdmaiņa		N;GEN;MASC;PL
titel	celiņi	titel	celiņš		N;NOM;MASC;PL
titel	pēdas	titel	pēda		N;NOM;FEM;PL
titel	sliedes	titel	sliede		N;NOM;FEM;PL
titel	virsraksti	titel	virsraksts		N;NOM;MASC;PL
titel	virsraksts	titel	virsraksts		N;NOM;MASC;SG
titel	tituls	titel	tituls		N;NOM;MASC;SG
karl	kārlis	karlen	kārlis	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
karl	čārlzs	karlen	čārlzs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
gut	smalki	gut	smalki	ADJ	ADV
gut	labi	gut	labi	ADJ	ADV
gut	labi	gut	labi	ADJ	ADV
gut	nu	gut	nu	ADJ	INTJ
nachdem	pēc	nachdem	pēc	CONJ	ADP
familie	ģimenē	familie	ģimene	N;NOM;FEM;SG	N;ESS;FEM;SG
familie	ģimenes	familie	ģimene	N;NOM;FEM;SG	N;NOM;FEM;PL
familie	fam	familie	fam	N;NOM;FEM;SG	
weiter	turpinot	weiter	turpināt	ADV	V;V.CVB
weiter	turpina	weiter	turpināt	ADV	V;FH;IND;3;POS;PRS;FIN;ACT
weiter	turpināt	weiter	turpināt	ADV	V;POS;NFIN
weiter	turpinājās	weiter	turpināties	ADV	V;FH;IND;3;POS;REFL;PST;FIN;ACT
weiter	turpinājums	weiter	turpinājums	ADV	N;NOM;MASC;SG
weiter	turpinās	weiter	turpināt	ADV	V;FH;IND;3;POS;FUT;FIN;ACT
weiter	turpina	weiter	turpināt	ADV	V;FH;IND;3;POS;PRS;FIN;ACT
behalten	turēšana	behalten	turēšana	V;NFIN	N;NOM;FEM;SG
sohn	sohn	sohnen	sohn	N;NOM;MASC;SG	
außerdem	arī	außerdem	arī	ADV	PART
hans	hans	hans	hans	PROPN;NOM;MASC;SG	
hans	hanss	hans	hanss	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
johann	johans	johann	johans	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
johann	džons	johann	džons	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
großen	liels	groß	liels	ADJ;PL	ADJ;NOM;MASC;SG
großen	liela	groß	liela	ADJ;PL	ADJ;NOM;FEM;SG
großen	lielā	groß	liels	ADJ;PL	ADJ;NOM;FEM;SG
großen	liels	groß	liels	ADJ;PL	ADJ;NOM;MASC;SG
großen	lielais	groß	liels	ADJ;PL	ADJ;NOM;MASC;SG
großen	liela	groß	liela	ADJ;PL	ADJ;NOM;FEM;SG
großen	lielā	groß	liels	ADJ;PL	ADJ;NOM;FEM;SG
ins	ins	ins	ins		
gehört	īpašumā	gehören	īpašums	V;V.PTCP	N;ESS;MASC;SG
bild	attēls	bild	attēls		N;NOM;MASC;SG
bild	bildē	bild	bilde		N;ESS;FEM;SG
bild	bilde	bild	bilde		N;NOM;FEM;SG
bild	bildei	bild	bilde		N;DAT;FEM;SG
bild	attēla	bild	attēls		N;GEN;MASC;SG
bild	attēls	bild	attēls		N;NOM;MASC;SG
bild	attēlu	bild	attēls		N;ACC;MASC;SG
bild	pic	bild	pic		
bild	bild	bild	bildēt		
nichts	neko	nichts	nekas	PRO;INDF	PRO;ACC;MASC;SG
nichts	nekas	nichts	nekas	PRO;INDF	PRO;NOM;MASC;SG
wien	vīne	weinen	vīne		PROPN;NOM;FEM;SG
große	liels	groß	liels	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
große	liela	groß	liela	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
große	lielā	groß	liels	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
große	liels	groß	liels	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
große	lielais	groß	liels	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
große	liela	groß	liela	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
große	lielā	groß	liels	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
große	liels	groß	liels	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
große	liela	groß	liela	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
große	lieliska	groß	lieliska	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
große	lieliski	groß	lieliski	ADJ;NOM;FEM;PL	ADV
große	große	groß	große	ADJ;NOM;FEM;PL	
denn	jo	denn	jo	CONJ	CONJ
peter	pīters	peter	pīters	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
peter	pēteris	peter	pēteris	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
kommt	nāc	kommen	nākt	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
menschen	cilvēkiem	menschen	cilvēks	N;NOM;PL	N;DAT;MASC;PL
menschen	cilvēks	menschen	cilvēks	N;NOM;PL	N;NOM;MASC;SG
menschen	cilvēka	menschen	cilvēks	N;NOM;PL	N;GEN;MASC;SG
menschen	cilvēku	menschen	cilvēks	N;NOM;PL	N;ACC;MASC;SG
menschen	tauta	menschen	tauta	N;NOM;PL	N;NOM;FEM;SG
menschen	cilvēkiem	menschen	cilvēks	N;NOM;PL	N;DAT;MASC;PL
sei	sei	sein	sei	V;SBJV;SG;3;PRS;FIN	
jahrhunderts	jahrhunderts	jahrhundert	jahrhunderts	ADV	PROPN;NOM;MASC;SG
jahrhunderts	gadsimts	jahrhundert	gadsimts	ADV	N;NOM;MASC;SG
fall	gadījums	fall	gadījums	ADV	N;NOM;MASC;SG
fall	lieta	fall	lieta	ADV	N;NOM;FEM;SG
fall	krist	fall	krist	ADV	V;POS;NFIN
fall	kritiens	fall	kritiens	ADV	N;NOM;MASC;SG
fall	kritums	fall	kritums	ADV	N;NOM;MASC;SG
fall	krīt	fall	krist	ADV	V;FH;IND;3;POS;PRS;FIN;ACT
wilhelm	viljams	wilhelm	viljams	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
wilhelm	vilhelms	wilhelm	vilhelms	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
englisch	angļu	englisch	anglis	ADJ	N;GEN;MASC;PL
danach	pēc	danach	pēc	ADV	ADP
könig	king	könig	king	N;NOM;SG	
könig	könig	könig	ksnigt	N;NOM;SG	
welche	ko	welch	kas	PRO;NOM;SG	PRO;ACC
welche	kuras	welch	kura	PRO;NOM;SG	PRO;NOM;FEM;PL
mehrere	vairāku	mehrere	vairākas	PRO;NOM;INDF;PL	PRO;ACC;MASC;SG
meter	metru	meter	metrs	ADV	N;ACC;MASC;SG
meter	metri	meter	metrs	ADV	N;NOM;MASC;PL
meter	skaitītāji	meter	skaitītājs	ADV	N;NOM;MASC;PL
meter	mērītāji	meter	mērītājs	ADV	N;NOM;MASC;PL
meter	metri	meter	metrs	ADV	N;NOM;MASC;PL
meter	metrus	meter	metrs	ADV	N;ACC;MASC;PL
meter	mērītājs	meter	mērītājs	ADV	N;NOM;MASC;SG
schloss	schloss	schließen	schloss	V;SG	N;NOM;MASC;SG
schloss	lock	schließen	lock	V;SG	
schloss	pili	schließen	pils	V;SG	N;ACC;FEM;SG
schloss	pils	schließen	pils	V;SG	N;NOM;FEM;SG
schloss	chateau	schließen	chatea	V;SG	
schloss	pils	schließen	pils	V;SG	N;NOM;FEM;SG
schloss	pilij	schließen	pilija	V;SG	N;DAT;FEM;SG
schloss	palace	schließen	palace	V;SG	
gruppe	grupu	grappe	grupa	N;NOM;FEM;SG	N;ACC;FEM;SG
gruppe	grupas	grappe	grupa	N;NOM;FEM;SG	N;NOM;FEM;PL
heinrich	heinrihs	heinrich	heinrihs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
heinrich	henrijs	heinrich	henrijs	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
letzten	pēdējo	letzt	pēdējais	ADJ;PL	ADJ;ACC;MASC;SG
letzten	pēdējais	letzt	pēdējs	ADJ;PL	ADJ;NOM;MASC;SG
letzten	pēdējā	letzt	pēdējā	ADJ;PL	ADJ;NOM;FEM;SG
letzten	pēdējoreiz	letzt	pēdējoreiz	ADJ;PL	N;NOM;MASC;SG
neu	jaunums	neu	jaunums	ADJ	N;NOM;MASC;SG
neu	neu	neu	neu	ADJ	
john	džons	john	džons	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
könnte	varēja	können	varēt	V;SBJV;SG;3;PST;FIN	V;FH;IND;3;POS;PST;FIN;ACT
könnte	varētu	können	varēt	V;SBJV;SG;3;PST;FIN	V;COND;POS;FIN;ACT
weiteren	tālāk	weit	tālu	ADJ;ACC;MASC;SG	ADV;CMPR
ging	gāju	gehen	iet	V;IND;SG;3;PST;FIN	V;FH;IND;SG;1;POS;PST;FIN;ACT
machen	make	machen	make	V;NFIN	
machen	marka	machen	marka	V;NFIN	N;NOM;FEM;SG
beispiel	izlase	beispiel	izlase	ADV	N;NOM;FEM;SG
beispiel	paraugs	beispiel	paraugs	ADV	N;NOM;MASC;SG
beispiel	piemērs	beispiel	piemērs	ADV	N;NOM;MASC;SG
beispiel	piemērus	beispiel	piemērs	ADV	N;ACC;MASC;PL
beispiel	piemēri	beispiel	piemērs	ADV	N;NOM;MASC;PL
usa	asv	usa	asv	PROPN;NOM;MASC;PL	PROPN
usa	usa	usa	usa	PROPN;NOM;MASC;PL	
recht	tiesības	recht	tiesības	ADV	N;NOM;FEM
recht	labās	recht	laba	ADV	ADJ;NOM;FEM;PL
recht	tieslietas	recht	tieslietas	ADV	N;NOM;FEM;PL
recht	likums	recht	likums	ADV	N;NOM;MASC;SG
bin	bin	sein	bin	V;IND;SG;2;PRS;FIN	
paul	pauls	paul	pauls	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
paul	pols	paul	pols	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
frage	prasīt	frage	prasīt	N;NOM;FEM;SG	V;POS;NFIN
frage	jautāt	frage	jautāt	N;NOM;FEM;SG	V;POS;NFIN
frage	lūgt	frage	lūgt	N;NOM;FEM;SG	V;POS;NFIN
frage	jautā	frage	jautāt	N;NOM;FEM;SG	V;FH;IND;SG;2;POS;PRS;FIN;ACT
frage	jautājumu	frage	jautājums	N;NOM;FEM;SG	N;ACC;MASC;SG
insgesamt	vispārējais	insgesamt	vispārējs	ADV	ADJ;NOM;MASC;SG
insgesamt	kopumā	insgesamt	kopums	ADV	N;ESS;MASC;SG
insgesamt	kopsummas	insgesamt	kopsumma	ADV	N;NOM;FEM;PL
kurz	īsumā	kurz	īsums	ADJ	N;ESS;MASC;SG
kurz	īsi	kurz	īsi	ADJ	ADV
kurz	īsi	kurz	īsi	ADJ	ADV
kurz	kurz	kurz	kurz	ADJ	
kurz	īsi	kurz	īsi	ADJ	ADV
unternehmen	sabiedrība	unternehmen	sabiedrība	N;NOM;NEUT;PL	N;NOM;FEM;SG
unternehmen	uzņēmums	unternehmen	uzņēmums	N;NOM;NEUT;PL	N;NOM;MASC;SG
unternehmen	kompānija	unternehmen	kompānija	N;NOM;NEUT;PL	N;NOM;FEM;SG
unternehmen	bizness	unternehmen	bizness	N;NOM;NEUT;PL	N;NOM;MASC;SG
unternehmen	uzņēmējdarbība	unternehmen	uzņēmējdarbība	N;NOM;NEUT;PL	N;NOM;FEM;SG
verwendet	lietojumi	verwenden	lietojums	V;V.PTCP	N;NOM;MASC;PL
straße	šaurums	straß	šaurums	ADJ	N;NOM;MASC;SG
straße	ceļi	straß	ceļš	ADJ	N;NOM;MASC;PL
straße	iela	straß	iela	ADJ	N;NOM;FEM;SG
straße	ielām	straß	iela	ADJ	N;DAT;FEM;PL
straße	ielās	straß	iela	ADJ	N;ESS;FEM;PL
straße	ielas	straß	iela	ADJ	N;NOM;FEM;PL
straße	autoceļš	straß	autoceļš	ADJ	N;NOM;MASC;SG
straße	ceļš	straß	ceļš	ADJ	N;NOM;MASC;SG
rund	apm	rund	apm	ADV	
rund	apaļš	rund	apaļš	ADV	ADJ;NOM;MASC;SG
rund	apaļi	rund	apaļi	ADV	ADJ;NOM;MASC;PL
rund	kārta	rund	kārta	ADV	N;NOM;FEM;SG
rund	apaļa	rund	apaļa	ADV	ADJ;NOM;FEM;SG
rund	ap	rund	ap	ADV	
einfach	vienkāršs	einfach	vienkāršs	ADV	ADJ;NOM;MASC;SG
einfach	vienkārša	einfach	vienkārša	ADV	ADJ;NOM;FEM;SG
einfach	vienkāršas	einfach	vienkārša	ADV	ADJ;NOM;FEM;PL
einfach	vienkāršā	einfach	vienkārša	ADV	ADJ;NOM;FEM;SG
einfach	tikai	einfach	tikai	ADV	PART
einfach	viegla	einfach	viegla	ADV	ADJ;NOM;FEM;SG
einfach	viegls	einfach	viegls	ADV	ADJ;NOM;MASC;SG
datei	faila	datei	faila		N;NOM;MASC;SG
datei	fails	datei	fails		N;NOM;MASC;SG
datei	failu	datei	fails		N;ACC;MASC;SG
frau	sievieti	frau	sieviete	N;NOM;FEM;SG	N;ACC;FEM;SG
frau	sievas	frau	sieva	N;NOM;FEM;SG	N;NOM;FEM;PL
land	valsts	land	valsts		N;NOM;FEM;SG
land	zemi	land	zeme		N;ACC;FEM;SG
land	zeme	land	zeme		N;NOM;FEM;SG
land	zemes	land	zeme		N;NOM;FEM;PL
land	zemēm	land	zeme		N;DAT;FEM;PL
fast	teju	fast	teju	ADV	
tod	nāve	tod	nāve		N;NOM;FEM;SG
tod	nāves	tod	nāve		N;NOM;FEM;SG
macht	power	machen	powērēt	V;IND;SG;3;PRS;FIN	
macht	jaudas	machen	jauda	V;IND;SG;3;PRS;FIN	N;NOM;FEM;PL
macht	jauda	machen	jauda	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
macht	vara	machen	vara	V;IND;SG;3;PRS;FIN	N;NOM;FEM;SG
vielleicht	varbūt	vielleicht	varbūt	ADV	PART
vielleicht	varbūt	vielleicht	varbūt	ADV	PART
paris	paris	paris	paris	PROPN;NOM;NEUT;SG	
paris	parīzē	paris	parīze	PROPN;NOM;NEUT;SG	N;ESS;FEM;SG
paris	parīze	paris	parīze	PROPN;NOM;NEUT;SG	PROPN;NOM;FEM;SG
paris	parīzes	paris	parīze	PROPN;NOM;NEUT;SG	N;NOM;FEM;PL
alles	viss	alle	viss	PRO;NOM;INDF;NEUT;SG	PRO;NOM;MASC;SG
alles	visam	alle	viss	PRO;NOM;INDF;NEUT;SG	PRO;DAT;MASC;SG
alles	visu	alle	viss	PRO;NOM;INDF;NEUT;SG	PRO;ACC;MASC;SG
alles	visiem	alle	viss	PRO;NOM;INDF;NEUT;SG	PRO;DAT;MASC;PL
alles	visu	alle	viss	PRO;NOM;INDF;NEUT;SG	PRO;ACC;MASC;SG
alles	visas	alle	visa	PRO;NOM;INDF;NEUT;SG	PRO;NOM;FEM;PL
alles	visi	alle	viss	PRO;NOM;INDF;NEUT;SG	PRO;NOM;MASC;PL
alles	visa	alle	viss	PRO;NOM;INDF;NEUT;SG	PRO;NOM;FEM;SG
alles	alles	alle	alles	PRO;NOM;INDF;NEUT;SG	N;NOM;FEM;PL
alles	jebkas	alle	jebkas	PRO;NOM;INDF;NEUT;SG	
alles	jebko	alle	jebkas	PRO;NOM;INDF;NEUT;SG	
landkreis	landkreis	landkreis	landkreis	N	PROPN;NOM;MASC;SG
führte	led	führen	led	V;IND;SG;3;PST;FIN	N
kategorie	kategoriju	kategorie	kategorija	N;NOM;FEM;SG	N;ACC;FEM;SG
kategorie	kategorijā	kategorie	kategorija	N;NOM;FEM;SG	N;ESS;FEM;SG
kategorie	kategorijās	kategorie	kategorija	N;NOM;FEM;SG	N;ESS;FEM;PL
kategorie	kategorijām	kategorie	kategorija	N;NOM;FEM;SG	N;DAT;FEM;PL
kategorie	kategorijas	kategorie	kategorija	N;NOM;FEM;SG	N;NOM;FEM;PL
bedeutung	nozīmība	bedeutung	nozīmība	ADJ	N;NOM;FEM;SG
bedeutung	svarīgums	bedeutung	svarīgums	ADJ	N;NOM;MASC;SG
bedeutung	nozīmīgums	bedeutung	nozīmīgums	ADJ	N;NOM;MASC;SG
bedeutung	nozīme	bedeutung	nozīme	ADJ	N;NOM;FEM;SG
bedeutung	jēga	bedeutung	jēga	ADJ	N;NOM;FEM;SG
bedeutung	nozīme	bedeutung	nozīme	ADJ	N;NOM;FEM;SG
bedeutung	nozīmība	bedeutung	nozīmība	ADJ	N;NOM;FEM;SG
gilt	piemēro	gelten	piemērot	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;POS;FIN;ACT
relevant	nozīmība	relevant	nozīmība	ADJ	N;NOM;FEM;SG
bereich	nozare	bereich	nozare	ADV	N;NOM;FEM;SG
bereich	sektors	bereich	sektors	ADV	N;NOM;MASC;SG
bereich	sfēra	bereich	sfēra	ADV	N;NOM;FEM;SG
bereich	domēna	bereich	domēns	ADV	N;NOM;MASC;SG
bereich	joma	bereich	joma	ADV	N;NOM;FEM;SG
bereich	diapazons	bereich	diapazons	ADV	N;NOM;MASC;SG
bereich	iedaļa	bereich	iedaļa	ADV	N;NOM;FEM;SG
bereich	sadaļa	bereich	sadaļa	ADV	N;NOM;FEM;SG
