de	say	de	say		
hareket	움직임	hareket	움직이+ㅁ	N;NOM;SG;3	
adil	공정	adil	공정		N
adil	박람회	adil	박람회		N
kontrol	통제	kontrol	통제		N
kontrol	제어	kontrol	제어		N
kontrol	제어하기	kontrol	제어+하+기		V
kontrol	제어	kontrol	제어		N
kontrol	확인	kontrol	확인		N
kontrol	점검	kontrol	점검		N
sahibi	주인	sahip	주인	N;NOM;SG;3	
bilim	사이언스	bilim	사이언스	N;NOM;SG;3	
üreten	제조업	üreten	제조업	V;PFV;IND;POS;PRS;V.PTCP;CAUS	N
william	윌리엄	william	윌리엄		PROPN
başarılı	성공적	başarılı	성공+적		N
başarılı	성공함	başarılı	성공함		V
başarılı	성공	başarılı	성공		N
başarılı	성공적인	başarılı	성공+적+이+ㄴ		V
başarılı	성공적	başarılı	성공+적		N
başarılı	성공적으로	başarılı	성공+적+으로		ADV
başarılı	성공적	başarılı	성공+적		N
başarılı	성공함	başarılı	성공함		V
başarılı	성공	başarılı	성공		N
çoğu	대부분의	çok	대부분+의		N
çoğu	대부분	çok	대부분		N
ordu	군사	ordu	군사		N
ordu	육군	ordu	육군		N
ordu	군대	ordu	군대		N
yaşayan	생활	yaşa	생활	V;PFV;IND;POS;PRS;V.PTCP	N
profesyonel	전문	profesyonel	전문		N
hiç	없음	hiç	없+ㅁ	ADV	
hiç	절대	hiç	절대	ADV	
hiç	never	hiç	never	ADV	
hiç	절대로	hiç	절대로	ADV	
ngc	ngc	ngc	ngc	PROPN;NOM;SG;3	
ifade	익스프레스	ifade	익스프레스	N;NOM;SG;3	
rol	역할	rol	역할		N
rol	역할	rol	역할		N
islam	이슬람	islam	이슬람		N
islam	이슬람교	islam	이슬람교		N
islam	이슬람	islam	이슬람		N
rapor	신고	rapor	신+고	N;NOM;SG;3	
rapor	보고서	rapor	보고서	N;NOM;SG;3	
rapor	보고	rapor	보+고	N;NOM;SG;3	
kullanılır	사용	kullan	사용	V;IPFV;IND;SG;3;POS;PASS	N
yönetim	경영	yönetim	경영		N
yönetim	관리	yönetim	관리		N
yönetim	행정학	yönetim	행정학		N
video	비디오	video	비디오		N
video	비디오	video	비디오		N
kurulan	설립	kur	설립	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
kurulan	설립	kur	설립	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
beş	다섯	beş	다섯		NUM
altı	여섯	altı	여섯	NUM	
final	기말고사	final	기말고사		N
final	결승전	final	결승전		N
final	결승전	final	결승전		N
final	결승	final	결승		N
forma	유니폼	forma	유니히		N
dizi	시리즈	dizi	시리즈	N;NOM;SG;3	
gerekli	필요함	gerekli	필요함		V
ayrı	분리됨	ayrı	분리+되+ㄴ	ADJ	V
ayrı	별거	ayrı	별거	ADJ	
ayrı	분리	ayrı	분리	ADJ	
ayrı	따로따로	ayrı	따로따로	ADJ	
ayrı	따로	ayrı	따로	ADJ	ADV
veri	자료	veri	자료		N
veri	데이터	veri	데이터		N
şampiyonası	챔피언십	şampiyon	後피+언감	N;NOM;SG;3	
şampiyonası	챔피언쉽	şampiyon	後피언+들	N;NOM;SG;3	
yerleşim	배치	yerleş	배치		N
yerleşim	layout	yerleş	layout		
kariyeri	경력	kariyer	경력		N
kariyeri	직업	kariyer	직업		N
adet	기간	adet	기간		N
adet	시대	adet	시대		N
yaz	쓰기	yaz	쓰+기		V
yaz	글쓰기	yaz	글쓰기		V
yaz	여름	yaz	여름		N
tespit	탐지	tespit	탐지		N
tespit	감지	tespit	감+지		N
tespit	검출	tespit	검출		N
tespit	감지	tespit	감+지		N
tespit	발견됨	tespit	발견+되+ㄴ		V
tespit	탐지	tespit	탐지		N
tespit	감지	tespit	감+지		N
göz	둘러보기	göz	둘러보+기	N;NOM;SG;3	V
göz	찾아보기	göz	찾+아+보+기	N;NOM;SG;3	V
galatasaray	갈라타사라이	galatasarayay	갈라타사라이	N;NOM;SG;3	
galatasaray	liverpool	galatasarayay	liverpool	N;NOM;SG;3	
galatasaray	리버풀	galatasarayay	리버풀	N;NOM;SG;3	PROPN
sezonu	시즌	sezon	시즌	N;ACC;SG;3	
yayın	방송	yayın	방송		N
yayın	출판물	yayın	출판물		N
yayın	출판	yayın	출판		N
yayın	게시	yayın	게시		N
yayın	출판	yayın	출판		N
karasal	지상	karasal	지상	ADJ	
yıldız	항성	yıldız	항성		N
yıldız	항성	yıldız	항성		N
gelenek	전통	gelenek	전통	N;NOM;SG;3	
gelenek	전통	gelenek	전통	N;NOM;SG;3	
nasıl	어떻게	nasıl	어떻+게		CONJ
tip	종류	tip	종류		N
tip	유형	tip	유형		N
city	도시	city	도시	PROPN;NOM;SG;3	N
city	시티	city	시티	PROPN;NOM;SG;3	
mücadele	싸우기	mücadele	싸우+기		V
mücadele	투쟁	mücadele	투쟁		N
yeri	위치	yer	위치	N;ACC;SG;3	
yardımcı	조교	yardımcı	조교		N
yardımcı	보조	yardımcı	보조		N
yardımcı	부관	yardımcı	부관		N
yıllık	매년	yıllık	매년		N
kız	자매들	kız	자매+들		N
kız	girl	kız	girl		
kız	소녀	kız	소녀		N
cumhuriyet	연방	cumhuriyet	연방		N
cumhuriyet	공화당	cumhuriyet	공화당		N
cumhuriyet	공화국	cumhuriyet	공화국		N
bağımsız	독립	bağımsız	독립		N
bağımsız	독립적	bağımsız	독립+적		N
yanlış	잘못된	yanlış	잘못+되+ㄴ	ADJ	V
yanlış	거짓	yanlış	거짓	ADJ	
yanlış	가짜	yanlış	가짜	ADJ	
al	take	al	take	V;PFV;IMP;SG;2;POS;PRS	
al	get	al	get	V;PFV;IMP;SG;2;POS;PRS	
kurulu	보드	kurulu	보드		N
kurulu	게시판	kurulu	게시판		N
kurulu	이사회	kurulu	이사회		N
kurulu	설치	kurulu	설치		N
kurulu	설치됨	kurulu	설치+되+ㄴ		V
gerçek	진짜	gerçek	진짜		N
gerçek	사실	gerçek	사실		N
ses	사운드	ses	사운드	N;NOM;SG;3	
ses	잡음	ses	잡음	N;NOM;SG;3	
david	데이비드	david	데이비드		PROPN
david	다비드	david	다비드		PROPN
rock	rock	rock	rock		
milli	국립	milli	국립	ADJ	N
milli	내셔널	milli	내+시+어+요+ㄴ	ADJ	
milli	국민	milli	국민	ADJ	N
temsil	표현	temsil	표현		N
ten	피부	ten	피부		N
world	세상	world	세상		N
world	세계	world	세계		N
ödülleri	어워드	ödül	어워드	N;NOM;PL;3	
ödülleri	상금	ödül	상금	N;NOM;PL;3	
with	함께	with	함께		ADV
saat	시계	saat	시계		N
saat	시간	saat	시간		N
saat	시계	saat	시계		N
saat	클럭	saat	클럭		N
güneş	태양	güneş	태양		N
güneş	햇빛	güneş	햇빛		N
güneş	태양광	güneş	태양광		N
güneş	태양	güneş	태양		N
yazarı	작가	yazar	작가		N
yazarı	저자	yazar	저자		N
yazarı	제작자	yazar	제작자		N
yazarı	작성자	yazar	작성자		N
kaldı	남음	kal	남음	V;PFV;IND;SG;3;POS;PST	
modern	현대	modern	현대		N
modern	근대	modern	근대		N
siyasi	정치	siyasi	정치		N
siyasi	정치적	siyasi	정치+적		N
benzer	비슷함	benze	비슷하+ㅁ		V
benzer	유사한	benze	유사+하+ㄴ		V
benzer	비슷한	benze	비슷+하+ㄴ		V
krallık	킹덤	krallık	킹덤	N;NOM;SG;3	
doğal	자연	doğal	자연		N
doğal	천연	doğal	천연		N
inşa	건물	inşa	건물		N
inşa	건축	inşa	건축		N
inşa	빌딩	inşa	빌딩		N
inşa	빌드	inşa	빌드		N
doğdu	born	doğ	born	V;PFV;IND;SG;3;POS;PST	
doğdu	출생	doğ	출생	V;PFV;IND;SG;3;POS;PST	N
doğdu	탄생	doğ	탄생	V;PFV;IND;SG;3;POS;PST	N
ortak	파트너는	ortak	파트너+는	ADJ	N
ortak	파트너	ortak	파트너	ADJ	
ortak	파트너	ortak	파트너	ADJ	
michael	미하엘	michael	미하엘		PROPN
londra	런던	lon	런던	PROPN;NOM;SG;3	PROPN
türü	장르	tür	장르		N
türü	종류	tür	종류		N
türü	유형	tür	유형		N
göç	이전	göç	이전		N
göç	이민	göç	이민		N
kurulmuştur	설립	kur	설립	V;PFV;NFH;SG;3;POS;PST;PASS	N
örnek	표본	örnek	표본		N
örnek	샘플링	örnek	샘플링		N
örnek	샘플	örnek	샘플		N
örnek	예제	örnek	예제		N
örnek	예시	örnek	예시		N
israil	이스라엘	israil	이스라엘	PROPN;NOM;SG;3	PROPN
kırmızı	붉은색	kırmızı	붉은색	ADJ	
kırmızı	레드	kırmızı	레드	ADJ	
kırmızı	빨간색	kırmızı	빨간색	ADJ	
kırmızı	빨강	kırmızı	빨강	ADJ	
yönetmen	감독	yönetmen	감독		N
yönetmen	감독	yönetmen	감독		N
tamamen	완전히	tamamen	완전+히		ADV
tamamen	완전히	tamamen	완전+히		ADV
atatürk	아타튀르크	atatürk	아타튀르크	N;NOM;SG;3	PROPN
tipi	종류	tip	종류		N
tipi	유형	tip	유형		N
araştırma	문의	araştır	문+의	V;PFV;NOM;IND;POS;PRS;V.MSDR	
araştırma	문의	araştır	문+의	V;PFV;NOM;IND;POS;PRS;V.MSDR	
araştırma	조사	araştır	조사	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
araştırma	연구	araştır	연구	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
avusturya	오스트리아	avustur	오스트리아	PROPN;NOM;SG;3	PROPN
yardım	원조	yardım	원조	N;NOM;SG;3	
yardım	도움	yardım	도움	N;NOM;SG;3	
yardım	도움말	yardım	도움말	N;NOM;SG;3	
serbest	출시	serbest	출시		N
serbest	발매	serbest	발매		N
serbest	릴리스	serbest	릴리스		N
serbest	개봉	serbest	개봉		N
serbest	프리스타일	serbest	프리스타일		PROPN
serbest	발매	serbest	발매		N
serbest	개봉	serbest	개봉		N
değer	가치관	değer	가치관		N
değer	가치	değer	가치		N
değer	가치	değer	가치		N
değer	가치가	değer	가치+가		N
değer	가치	değer	가치		N
şarkıcı	싱어	şarkıcı	싱어	N;NOM;SG;3	
destek	지원	destek	지원		N
destek	후원	destek	후원		N
bugün	오늘도	bugün	오늘+도	N;NOM;SG;3	
hafta	주일	hafta	주일	N;NOM;SG;3	
hafta	일주일	hafta	일주일	N;NOM;SG;3	
ekonomik	경제	ekonomik	경제	ADJ	N
ekonomik	경제	ekonomik	경제	ADJ	N
adam	아담	adam	아담	N;NOM;SG;3	
adam	애덤	adam	애덤	N;NOM;SG;3	
etkili	효율적	etkili	효율+적		N
etkili	효과적	etkili	효과+적		N
resmî	공식	resmî	공식		N
resmî	official	resmî	official		
güçlü	stronger	güçlü	stronger		
güçlü	강한	güçlü	강하+ㄴ		ADJ
güçlü	강력한	güçlü	강력+하+ㄴ		V
güçlü	강력하다	güçlü	강력+하+다		V
güçlü	전원	güçlü	전원		N
asya	아시아	asya	아시아		PROPN
asya	아시아	asya	아시아		PROPN
yolu	경로	yol	경로	N;ACC;SG;3	
yolu	path	yol	path	N;ACC;SG;3	
girdi	입력	gir	입력	V;PFV;IND;SG;3;POS;PST	N
girdi	입력기	gir	입력기	V;PFV;IND;SG;3;POS;PST	N
girdi	입출력	gir	입출력	V;PFV;IND;SG;3;POS;PST	N
girdi	항목	gir	항목	V;PFV;IND;SG;3;POS;PST	N
sayı	점수	say	점수		N
sayı	득점	say	득점		N
sayı	숫자	say	숫자		N
sayı	번호	say	번호		N
çalışma	공부	çalış	공부	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çalışma	연구	çalış	연구	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çalışma	퇴근	çalış	퇴근	V;PFV;NOM;IND;POS;PRS;V.MSDR	
çalışma	직장	çalış	직장	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
çalışma	작업	çalış	작업	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
yıllar	수년	yıl	수년	N;NOM;PL;3	
başlar	시작	başla	시작		N
hukuk	법칙	hukuk	법칙		N
hukuk	법률	hukuk	법률		N
hukuk	법학	hukuk	법학		N
roman	로마	roman	로마		PROPN
roman	소설	roman	소설		N
roman	소설	roman	소설		N
roman	픽션	roman	픽션		N
başlık	제목	başlık	제목		N
başlık	자막	başlık	자막		N
başlık	문구	başlık	문구		N
başlık	설명	başlık	설명		N
başlık	제목	başlık	제목		N
robert	로버트	robert	로버트		PROPN
sürekli	지속	sürekli	지속	ADV	N
sürekli	연속	sürekli	연속	ADV	N
hatta	심지어	hatta	심지어	CONJ	ADV
hatta	조차도	hatta	조차도	CONJ	
aile	가족과	aile	가족+과		CONJ
kullanımı	사용하기	kullanım	사용+하+기	N;NOM;SG;3	V
kullanımı	이용하기	kullanım	이용+하+기	N;NOM;SG;3	V
kullanımı	사용하기	kullanım	사용+하+기	N;NOM;SG;3	V
kullanımı	사용하다	kullanım	사용+하+다	N;NOM;SG;3	
sovyet	소련	sovyet	소련		PROPN
kıbrıs	키프로스	kıbrıs	키프로스	PROPN;NOM;SG;3	PROPN
ticaret	상거래	ticaret	상거래		N
ticaret	상업	ticaret	상업		N
ticaret	트레이딩	ticaret	트레이딩		N
ticaret	거래	ticaret	거래		N
ticaret	무역	ticaret	무역		N
ticaret	업체	ticaret	업체		N
ticaret	사업	ticaret	사업		N
ticaret	무역	ticaret	무역		N
üzerinden	비아	üzer	비+아	N;AT+ABL;SG;3	
üzerinden	via	üzer	via	N;AT+ABL;SG;3	
kardeş	여동생	kardeş	여동생		N
kardeş	형제자매	kardeş	형제+자매		N
benim	광산	ben	광산	PRO;GEN;SG;1	N
belli	특정	belli	특정	ADJ	
belli	명백하다	belli	명백+하+다	ADJ	V
öldü	사망	öl	사망	V;PFV;IND;SG;3;POS;PST	N
öldü	데드	öl	데드	V;PFV;IND;SG;3;POS;PST	
hızlı	빨라	hızlı	빠르+아	ADJ	
hızlı	빠름	hızlı	빠르+ㅁ	ADJ	
hızlı	속력	hızlı	속력	ADJ	N
hızlı	속도	hızlı	속도	ADJ	
hızlı	스피드	hızlı	스피드	ADJ	N
yabancı	외계인	yabancı	외계+이+ㄴ		V
yerli	국내	yerli	국내		N
yerli	토착	yerli	토착		N
yerli	인도인	yerli	인도+인		V
yerli	인도	yerli	인도		PROPN
ağır	무거운	ağır	무겁+ㄴ		ADJ
kiralık	월세	kiralık	월세	N;NOM;SG;3	
ticari	상용	ticari	상용		N
ticari	상업용	ticari	상업용		N
ticari	상업	ticari	상업		N
aslında	사실	aslında	사실	ADV	N
avustralya	오스트레일리아	avustralya	오스트레일리아	PROPN;NOM;SG;3	PROPN
avustralya	오스트레일리아의	avustralya	오스트레일리아+의	PROPN;NOM;SG;3	PROPN
enerji	에너지	enerji	에너지		N
yunan	그리스	yunan	그리스		PROPN
mevcut	현재	mevcut	현재		N
mevcut	전류	mevcut	전류		N
mevcut	현재	mevcut	현재		N
mevcut	선물	mevcut	선물		N
mevcut	존재	mevcut	존재		N
yarışması	콘테스트	yarış	콘테스트	V;PFV;NOM;IND;POS;PRS;V.MSDR	
yarışması	대회	yarış	대회	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
azerbaycan	아제르바이잔	azerbaycan	아제르바스+이+란	N;NOM;SG;3	PROPN
güç	체력	güç	체력		N
güç	강제	güç	강제		N
güç	전력	güç	전력		N
güç	권력	güç	권력		N
ileri	전달	ileri	전달		N
ileri	앞으로	ileri	앞+으로		ADV
ileri	ahead	ileri	ahead		
yüzyıl	세기	yüzyıl	세기		N
sol	좌파	sol	좌파		N
sayfası	페이지	sayfa	페이지	N;NOM;SG;3	
çalışmalar	공부	çalış	공부	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
italyan	이탈리아	italyan	이탈리아		PROPN
italyan	이탈리아인	italyan	이탈리아인		V
değişiklik	바뀌기	değişiklik	바뀌+기	N;NOM;SG;3	V
değişiklik	바꾸기	değişiklik	바꾸+기	N;NOM;SG;3	V
tur	투어	i	투+어	V;PFV;SG;3;PRS	N
tur	관광	i	관광	V;PFV;SG;3;PRS	N
tur	둘러보기	i	둘러보+기	V;PFV;SG;3;PRS	V
tur	구경	i	구경	V;PFV;SG;3;PRS	N
tur	여행	i	여행	V;PFV;SG;3;PRS	N
japon	일본	japon	일본		PROPN
dili	언어	dili	언어		N
başkan	회장	başkan	회장		N
başkan	대통령	başkan	대통령		N
başkan	회장님	başkan	회장님		N
başkan	회장	başkan	회장		N
konusu	주제	konu	주제		N
konusu	제목	konu	제목		N
metal	금속	metal	금속		N
metal	금속	metal	금속		N
metal	금속	metal	금속		N
yaygın	광범위한	yaygın	광범위+하+ㄴ		V
kulübü	클럽	kulüb	클럽	N;NOM;SG;3	
tanımlar	정의	tanım	정의	N;NOM;PL;3	
fark	깨달음	fark	깨닫+ㅁ	N;NOM;SG;3	
fark	차이점	fark	차이점	N;NOM;SG;3	
şampiyon	챔피언	şampiyon	챔피언		N
şampiyon	챔피언	şampiyon	챔피언		N
şampiyon	챔피언	şampiyon	챔피언		N
yunanistan	그리스	yunanistan	그리스	PROPN;NOM;SG;3	PROPN
ölüm	죽음	ölüm	죽음		N
ölüm	사망	ölüm	사망		N
radyo	라디오방송	radyo	라디오방송		N
hasan	hassan	hasan	hassan		
kanada	캐나다	kana	캐나다	N;ESS;SG;3	PROPN
gitar	guitar	gitar	guitar		
gitar	기타	gitar	기타		N
yayınlanan	게시	yayınla	게시	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
yayınlanan	출판	yayınla	출판	V;PFV;IND;POS;PRS;V.PTCP;PASS	N
arap	아랍	arap	아랍		PROPN
arap	아라비아	arap	아라비아		PROPN
arap	아라비아	arap	아라비아		PROPN
posta	우표	posta	우표		N
posta	편지	posta	편지		N
posta	우편	posta	우편		N
posta	우편	posta	우편		N
yalnızca	단발	yalnızca	단발	ADV	
yapı	구조물	yapı	구조물		N
yapı	구조	yapı	구조		N
eyalet	상태	eyalet	상태		N
eyalet	국가	eyalet	국가		N
güncelleme	갱신	güncelle	갱신	V;PFV;NOM;IND;POS;PRS;V.MSDR	
güncelleme	업데이트	güncelle	업데이트	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
güncelleme	업데이트	güncelle	업데이트	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
hüseyin	후세인	hüsey	후세+이+ㄴ		N
hüseyin	후세인	hüsey	후세+이+ㄴ		N
sanatçı	음악가	sanatçı	음악가		N
sanatçı	예술가	sanatçı	예술가		N
sanatçı	아티스트	sanatçı	아티스트		N
sanatçı	아티스트가	sanatçı	아티스트+가		N
sanatçı	음악가	sanatçı	음악가		N
sanatçı	예술가	sanatçı	예술가		N
sanatçı	아티스트	sanatçı	아티스트		N
sanatçı	아티스트가	sanatçı	아티스트+가		N
tartışma	토론	tartış	토론	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tartışma	논의	tartış	논의	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışma	토론	tartış	토론	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tartışma	논의	tartış	논의	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışma	분쟁	tartış	분쟁	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışma	논증	tartış	논증	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışma	인수	tartış	인수	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tartışma	논쟁	tartış	논쟁	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
tartışma	토론	tartış	토론	V;PFV;NOM;IND;POS;PRS;V.MSDR	
tartışma	논쟁	tartış	논쟁	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
kapak	뚜껑	kapak	뚜껑		N
baş	헤드	baş	헤드	N;NOM;SG;3	
barış	peace	barış	peace		
barış	평화	barış	평화		N
düşünüyorum	생각	düşün	생각	V;PROG;IND;SG;1;POS;INFM;PRS	
yaşam	라이프	yaşam	라이프	N;NOM;SG;3	
ibrahim	이브라힘	ibrahim	이브라힘	PROPN;NOM;SG;3	
ibrahim	아브라함	ibrahim	아브라함	PROPN;NOM;SG;3	PROPN
ibrahim	아브라함	ibrahim	아브라함	PROPN;NOM;SG;3	PROPN
ibrahim	에이브러햄	ibrahim	에이브러햄	PROPN;NOM;SG;3	PROPN
kanal	채널	kanal	채널		N
kanal	채널	kanal	채널		N
para	돈이	para	돈+이		N
para	반죽을	para	반죽+을		N
para	반죽이	para	반죽+이		N
para	반죽	para	반죽		N
kötü	bad	kötü	bad		
kötü	나쁜	kötü	나쁘+ㄴ		ADJ
kötü	나쁘다	kötü	나쁘+다		ADJ
kötü	사악한	kötü	사악+하+ㄴ		V
geçmişi	배경색	geçmiş	배경색		N
geçmişi	배경	geçmiş	배경		N
kızı	딸이	kız	딸+이	ADJ;NOM;SG;3	
genelde	보통	genelde	보통		N
festivali	페스티벌	festivali	페스티벌	N;ACC;SG;3	
yahudi	유대인	yahudi	유대+이+ㄴ		N
yahudi	유대교	yahudi	유대교		N
yahudi	유대인	yahudi	유대+이+ㄴ		N
yahudi	유대인	yahudi	유대+이+ㄴ		N
çalışmaları	공부	çalış	공부	V;PFV;NOM;IND;POS;PRS;V.MSDR	N
normal	보통	normal	보통		N
normal	보통	normal	보통		N
karşısında	건너편	karşı	건너편	ADJ;ESS;SG;3	
uzay	공간	uzay	공간		N
uzay	우주	uzay	우주		N
mezun	졸업	mezun	졸업		N
mezun	졸업생	mezun	졸업생		N
mezun	동문	mezun	동문		N
mezun	졸업생	mezun	졸업생		N
mezun	졸업식	mezun	졸업식		N
mezun	졸업	mezun	졸업		N
mezun	졸업	mezun	졸업		N
berlin	베를린	berlin	베를린	PROPN;NOM;SG;3	PROPN
derece	학위	derece	학위		N
gece	밤에	gece	밤+에	N;NOM;SG;3	ADV
gece	나이트	gece	나이트	N;NOM;SG;3	
emin	자신감	emin	자신감	ADJ	N
emin	확신	emin	확신	ADJ	
united	united	united	united		
united	유나이티드	united	유나이티드		PROPN
kent	켄트	kent	켄트		PROPN
charles	샤를	charles	샤+를	PROPN;NOM;SG;3	PROPN
charles	찰스	charles	찰스	PROPN;NOM;SG;3	PROPN
muhammed	모하마드	muhammed	모하마드		PROPN
muhammed	무하마드	muhammed	무하마드		PROPN
muhammed	무함마드	muhammed	무함마드		PROPN
muhammed	모하메드	muhammed	모하메드		PROPN
muhammed	무함마드	muhammed	무함마드		PROPN
muhammed	모하메드	muhammed	모하메드		PROPN
herschel	허셜	herschel	허셜	PROPN;NOM;SG;3	N
çift	커플	çift	커플		N
çift	부부	çift	부부		N
olay	이벤트	olay	이벤트		N
çalışan	직원	çalış	직원		N
çalışan	직원	çalış	직원		N
çalışan	직원들	çalış	직원+들		N
peter	베드로	peter	베드+로		ADV
suriye	시리아	suri	시리아		PROPN
sonuç	결과	sonuç	결과		N
sonuç	결과	sonuç	결과		N
kişisel	개인적	kişisel	개인+적		N
kişisel	개인적인	kişisel	개인+적+이+ㄴ		V
yüzde	백분율	yüz	백분율		N
yüzde	비율	yüz	비율		N
yüzde	비율	yüz	비율		N
halen	아직도	halen	아직도		ADV
halen	여전히	halen	여전+히		ADV
site	웹사이트	sit	웹사이트	N;NOM;SG;3	
site	사이트	sit	사이트	N;NOM;SG;3	
eurovision	유로비전	eurovision	유로비전		N
seçildi	선정	seç	선정	V;PFV;IND;SG;3;POS;PST;PASS	N
seçildi	선출	seç	선출	V;PFV;IND;SG;3;POS;PST;PASS	N
yapılmış	made	yap	made	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	
yapılmış	만든	yap	만들+ㄴ	V;PFV;NFH;IND;POS;PST;V.PTCP;PASS	
general	장군	general	장군		N
general	일반	general	일반		N
antik	골동품	antik	골동품		N
antik	고대	antik	고대		N
yukarıda	윗층	yukarı	윗층	ADJ;ESS;SG;3	
yukarıda	위층	yukarı	위층	ADJ;ESS;SG;3	
hollanda	로테르담	hollan	로테르담		PROPN
hollanda	암스테르담	hollan	암스테르담		PROPN
hollanda	네덜란드	hollan	네덜란드		PROPN
hollanda	네덜란드령	hollan	네덜란드령		PROPN
hollanda	네덜란드인	hollan	네덜란드인		V
kategori	카테고리	kategori	카테고리		N
kategori	범주	kategori	범주		N
kategori	분류	kategori	분류		N
geleneksel	전통적	geleneksel	전통+적		N
geleneksel	전통적인	geleneksel	전통+적+이+ㄴ		V
kazanan	승리자	kazan	승리자	V;PFV;IND;POS;PRS;V.PTCP	
kazanan	우승자	kazan	우승자	V;PFV;IND;POS;PRS;V.PTCP	N
kazanan	winner	kazan	winner	V;PFV;IND;POS;PRS;V.PTCP	
kazanan	승자	kazan	승자	V;PFV;IND;POS;PRS;V.PTCP	N
savunma	방위	savun	방위		N
savunma	국방	savun	국방		N
savunma	디펜스	savun	디펜스		N
