और	un	और	un		CONJ
माना	domājams	मान	domāt	V;PFV;MASC;SG;V.PTCP;ACT	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
शब्द	vārdu	शब्द	vārds	N;NOM;MASC;SG;3	N;ACC;MASC;SG
शब्द	vārdi	शब्द	vārds	N;NOM;MASC;SG;3	N;NOM;MASC;PL
पुरस्कार	balvu	पुरस्कार	balva	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पुरस्कार	piešķiršanas	पुरस्कार	piešķiršana	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरस्कार	balvas	पुरस्कार	balva	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरस्कार	godalgas	पुरस्कार	godalga	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरस्कार	balvas	पुरस्कार	balva	N;NOM;MASC;SG;3	N;NOM;FEM;PL
लेख	raksti	लेख	raksts	N;NOM;MASC;SG;3	INTJ
लेख	izstrādājumi	लेख	izstrādājums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
लेख	panti	लेख	pants	N;NOM;MASC;SG;3	N;NOM;MASC;PL
लेख	disertāciju	लेख	disertācija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
अब	tagad	अब	tagad	PRO;NOM	ADV
दौरान	laikā	दौरान	laiks	ADV;NOM;MASC;SG;3	N;ESS;MASC;SG
अमेरिका	amerika	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
अमेरिका	amerikā	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;ESS;FEM;SG
अमेरिका	ameriku	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
मंदिर	templi	मंदिर	templis	N;NOM;MASC;SG;3	N;ACC;MASC;SG
अलावा	pievienošana	अलावा	pievienošana	ADP	N;NOM;FEM;SG
वार्ता	sarunas	वार्ता	saruna	N;NOM;FEM;SG;3	N;NOM;FEM;PL
दक्षिण	dienvidu	दक्षिण	dienvidi	PROPN;NOM;MASC;SG;3	N;ACC;MASC;SG
दक्षिण	dienvidos	दक्षिण	dienvidi	PROPN;NOM;MASC;SG;3	N;ESS;MASC;PL
दक्षिण	dienvidi	दक्षिण	dienvidi	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
इतिहास	vēstures	इतिहास	vēsture	N;NOM;MASC;SG;3	N;NOM;FEM;PL
इतिहास	vēsturi	इतिहास	vēsture	N;NOM;MASC;SG;3	N;ACC;FEM;SG
इतिहास	vēsturē	इतिहास	vēsture	N;NOM;MASC;SG;3	N;ESS;FEM;SG
लिया	veikti	ले	veikt	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
फ़िल्म	filmu	फ़िल्म	filma	N;NOM;FEM;SG;3	N;ACC;FEM;SG
फ़िल्म	plēves	फ़िल्म	plēve	N;NOM;FEM;SG;3	N;NOM;FEM;PL
पास	padod	पास	padot	ADV;NOM;MASC;SG;3	V;IMP;SG;2;POS;FIN;ACT
विस्तृत	detalizēti	विस्तृत	detalizēt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
विस्तृत	detalizēta	विस्तृत	detalizēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
विस्तृत	sīki	विस्तृत	sīki	ADJ	ADV
विस्तृत	detalizēts	विस्तृत	detalizēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
विस्तृत	visaptverošs	विस्तृत	visaptverošs	ADJ	V;IPFV;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
विस्तृत	izsmeļošs	विस्तृत	izsmelt	ADJ	N;NOM;MASC;SG
विस्तृत	paplašināti	विस्तृत	paplašināt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
विस्तृत	progresējošu	विस्तृत	progresēt	ADJ	V;IPFV;ACC;INDF;MASC;SG;PRS;V.PTCP;PASS
दिन	dienu	दिन	diena	N;NOM;MASC;SG;3	N;ACC;FEM;SG
दिन	dienā	दिन	diena	N;NOM;MASC;SG;3	N;ESS;FEM;SG
दिन	dienām	दिन	diena	N;NOM;MASC;SG;3	N;DAT;FEM;PL
दिन	dienās	दिन	diena	N;NOM;MASC;SG;3	N;ESS;FEM;PL
दिन	dienas	दिन	diena	N;NOM;MASC;SG;3	N;NOM;FEM;PL
जाना	dzīvotspēju	जा	dzīvotspēja	V;MASC;NFIN;ACT	N;ACC;FEM;SG
शुरू	sākts	शुरू	sākt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
शुरू	sākta	शुरू	sākt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
शुरू	sākās	शुरू	sākties	N;NOM;MASC;SG;3	V;FH;IND;3;POS;REFL;PST;FIN;ACT
शुरू	sākam	शुरू	sākt	N;NOM;MASC;SG;3	V;FH;IND;PL;1;POS;PRS;FIN;ACT
शुरू	sākt	शुरू	sākt	N;NOM;MASC;SG;3	V;POS;NFIN
व्यक्ति	individuāla	व्यक्ति	individuāls	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
व्यक्ति	individuālā	व्यक्ति	individuāls	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
व्यक्ति	individuāli	व्यक्ति	individuāls	N;NOM;MASC;SG;3	ADV
उनका	viņu	वह	viņš	PRO;MASC;SG;3;FORM	PRO;ACC;MASC;SG;3
विज्ञान	zinātnes	विज्ञान	zinātne	N;NOM;MASC;SG;3	N;NOM;FEM;PL
सदस्य	deputāts	सदस्य	deputāts	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सदस्य	loceklis	सदस्य	loceklis	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सदस्य	biedrs	सदस्य	biedrs	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सदस्य	pasūtītājs	सदस्य	pasūtītājs	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सदस्य	abonentu	सदस्य	abonents	N;NOM;MASC;PL;3	N;ACC;MASC;SG
सदस्य	abonentiem	सदस्य	abonents	N;NOM;MASC;PL;3	N;DAT;MASC;PL
सिंह	singh	सिंह	singh	PROPN;NOM;MASC;SG;3	
सिंह	leo	सिंह	leot	PROPN;NOM;MASC;SG;3	
अनेक	daudziem	अनेक	daudzi	DET	PRO;DAT;MASC;PL
अनेक	daudz	अनेक	daudz	DET	ADV
अनेक	daudzi	अनेक	daudzi	DET	PRO;NOM;MASC;PL
अनेक	daudzus	अनेक	daudzi	DET	PRO;ACC;MASC;PL
अनेक	daudzas	अनेक	daudzas	DET	PRO;NOM;FEM;PL
अनेक	vairākas	अनेक	vairākas	DET	PRO;NOM;FEM;PL
अनेक	vairāki	अनेक	vairāki	DET	PRO;NOM;MASC;PL
अनेक	vairāku	अनेक	vairākas	DET	PRO;ACC;MASC;SG
अनेक	vairāki	अनेक	vairāki	DET	PRO;NOM;MASC;PL
यहां	šeit	यहाँ	šeit	PRO;NOM	ADV
यहां	te	यहाँ	te	PRO;NOM	ADV
संख्या	numuru	संख्या	numurs	N;NOM;FEM;SG;3	N;ACC;MASC;SG
संख्या	numuri	संख्या	numurs	N;NOM;FEM;SG;3	N;NOM;MASC;PL
संख्या	skaitļi	संख्या	skaitļi	N;NOM;FEM;SG;3	N;NOM;MASC;PL
अपना	paša	अपना	pats	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
अपना	pašu	अपना	pats	PRO;NOM;MASC;SG	PRO;ACC;MASC;SG
अपना	tavas	अपना	tava	PRO;NOM;MASC;SG	PRO;NOM;FEM;PL;3
अपना	tavu	अपना	tava	PRO;NOM;MASC;SG	PRO;ACC;SG;3
अपना	jūsu	अपना	jūs	PRO;NOM;MASC;SG	PRO;GEN;PL;2
बात	runāt	बात	runāt	N;NOM;FEM;SG;3	V;POS;NFIN
साहित्य	literatūrā	साहित्य	literatūra	N;NOM;MASC;SG;3	N;ESS;FEM;SG
साहित्य	literatūras	साहित्य	literatūra	N;NOM;MASC;SG;3	N;NOM;FEM;PL
दिल्ली	deli	दिल्ली	delis	PROPN;NOM;FEM;SG;3	
धर्म	reliģijām	धर्म	reliģija	N;NOM;MASC;SG;3	N;DAT;FEM;PL
धर्म	reliģijas	धर्म	reliģija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
मूल	izcelsmi	मूल	izcelsme	N;NOM;MASC;SG;3	N;ACC;FEM;SG
मूल	oriģināli	मूल	oriģināli	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मूल	dzimtā	मूल	dzimt	N;NOM;MASC;SG;3	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
मूल	vietējais	मूल	vietējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मूल	vietējo	मूल	vietējs	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
मूल	sākotnējais	मूल	sākotnējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
मूल	oriģinālā	मूल	oriģināls	N;NOM;MASC;SG;3	N;ESS;MASC;SG
मूल	sākotnējā	मूल	sākotnēja	N;NOM;MASC;SG;3	ADJ;ESS;FEM;SG
मूल	oriģināli	मूल	oriģināli	N;NOM;MASC;SG;3	N;NOM;MASC;PL
तब	tad	तब	tad	PRO;NOM	ADV
बना	make	बन	make	V;PFV;MASC;SG;V.PTCP;ACT	
बना	marka	बन	marka	V;PFV;MASC;SG;V.PTCP;ACT	N;NOM;FEM;SG
बना	made	बन	made	V;PFV;MASC;SG;V.PTCP;ACT	
कोड	kods	कोड	kods		N;NOM;MASC;SG
कोड	kodi	कोड	kods		N;NOM;MASC;PL
संयुक्त	vienlaicīga	संयुक्त	vienlaicīga	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
संयुक्त	united	संयुक्त	unitede	PROPN;NOM;MASC;SG;3	
संयुक्त	apvienotā	संयुक्त	apvienot	PROPN;NOM;MASC;SG;3	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
संयुक्त	apvienoto	संयुक्त	apvienot	PROPN;NOM;MASC;SG;3	V;PFV;ACC;DEF;MASC;SG;PST;V.PTCP
संयुक्त	vienoti	संयुक्त	vienots	PROPN;NOM;MASC;SG;3	ADV
संयुक्त	kombinēts	संयुक्त	kombinēt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
संयुक्त	kombinētā	संयुक्त	kombinēt	PROPN;NOM;MASC;SG;3	V;PFV;NOM;DEF;FEM;SG;PST;V.PTCP
संयुक्त	apvienots	संयुक्त	apvienot	PROPN;NOM;MASC;SG;3	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
संयुक्त	kombinēt	संयुक्त	kombinēt	PROPN;NOM;MASC;SG;3	V;POS;NFIN
संयुक्त	kopīga	संयुक्त	kopīga	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
संयुक्त	locītavu	संयुक्त	locītava	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
संयुक्त	kopīgais	संयुक्त	kopīgs	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
जुलाई	jūlija	जुलाई	jūlijs	PROPN;NOM;FEM;SG;3	N;GEN;MASC;SG
जुलाई	jūlijs	जुलाई	jūlijs	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
जुलाई	jūlijā	जुलाई	jūlijs	PROPN;NOM;FEM;SG;3	N;ESS;MASC;SG
युद्ध	kaujā	युद्ध	kaujā	N;NOM;MASC;SG;3	N;ESS;FEM;SG
युद्ध	kaujas	युद्ध	kauja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
युद्ध	karu	युद्ध	karš	N;NOM;MASC;SG;3	N;ACC;MASC;SG
युद्ध	karā	युद्ध	karš	N;NOM;MASC;SG;3	N;ESS;MASC;SG
काल	saspringta	काल	saspringt	N;NOM;MASC;SG;3	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
काल	saukt	काल	saukt	N;NOM;MASC;SG;3	V;POS;NFIN
ऐसे	tādi	ऐसा	tāds	PRO;NOM;MASC;SG	PRO;NOM;MASC;PL
ऐसे	tāda	ऐसा	tāda	PRO;NOM;MASC;SG	PRO;NOM;FEM;SG
ऐसे	tāds	ऐसा	tāds	PRO;NOM;MASC;SG	PRO;NOM;MASC;SG
वर्षों	gadus	वर्ष	gads	N;NOM;MASC;PL;3	N;ACC;MASC;PL
वर्षों	gadiem	वर्ष	gads	N;NOM;MASC;PL;3	N;DAT;MASC;PL
प्रति	per	प्रति	per		
स्टेशन	stacijā	स्टेशन	stacija	N;NOM;MASC;SG;3	N;ESS;FEM;SG
स्टेशन	stacijas	स्टेशन	stacija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
स्टेशन	stacijas	स्टेशन	stacija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बड़े	liels	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
बड़े	liela	बडा	liela	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
बड़े	lielā	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
बड़े	liels	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
बड़े	lielais	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
बड़े	liela	बडा	liela	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
बड़े	lielā	बडा	liels	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
जनवरी	janvāris	जनवरी	janvāris	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
जनवरी	janvāra	जनवरी	janvāris	PROPN;NOM;FEM;SG;3	N;GEN;MASC;SG
जनवरी	janvārī	जनवरी	janvāris	PROPN;NOM;FEM;SG;3	N;ESS;MASC;SG
मध्य	centrālā	मध्य	centrāla		ADJ;NOM;FEM;SG
मध्य	centrālais	मध्य	centrāls		ADJ;NOM;MASC;SG
मध्य	centrālās	मध्य	centrāla		ADJ;NOM;FEM;PL
मध्य	centrs	मध्य	centrs		N;NOM;MASC;SG
मध्य	centrā	मध्य	centrs		N;ESS;MASC;SG
मध्य	mediāna	मध्य	mediāna		N;NOM;FEM;SG
मध्य	vidējais	मध्य	vidējs		ADJ;NOM;MASC;SG
मध्य	vidēji	मध्य	vidēji		ADV
मध्य	vidū	मध्य	vidus		N;ESS;MASC
मध्य	tuvie	मध्य	tuvs		N;NOM;MASC;PL
मध्य	vidējie	मध्य	vidējs		ADJ;NOM;MASC;PL
राजा	radžu	राजा	radzis	N;NOM;MASC;SG;3	N;ACC;MASC;SG
राजा	king	राजा	king	N;NOM;MASC;SG;3	
प्रथम	vispirms	प्रथम	vispirms	ADJ	ADV
विश्वविद्यालय	augstskolas	विश्वविद्यालय	augstskola	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विश्वविद्यालय	universitātes	विश्वविद्यालय	universitāte	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विश्वविद्यालय	universitātē	विश्वविद्यालय	universitāte	N;NOM;MASC;SG;3	N;ESS;FEM;SG
विश्वविद्यालय	universitātes	विश्वविद्यालय	universitāte	N;NOM;MASC;SG;3	N;NOM;FEM;PL
जून	jun	जून	jun	PROPN;NOM;MASC;SG;3	N
जून	jūnijs	जून	jūnijs	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जून	jūnija	जून	jūnijs	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
जून	jūnijā	जून	jūnijs	PROPN;NOM;MASC;SG;3	N;ESS;MASC;SG
उसकी	viņa	वह	viņa	PRO;FEM;SG;3	PRO;NOM;FEM;SG;3
उसकी	viņai	वह	viņa	PRO;FEM;SG;3	PRO;DAT;FEM;SG;3
उसकी	viņas	वह	viņa	PRO;FEM;SG;3	PRO;NOM;FEM;PL;3
मार्च	marts	मार्च	marts	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मार्च	marta	मार्च	marts	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
मार्च	martā	मार्च	marts	PROPN;NOM;MASC;SG;3	N;ESS;MASC;SG
मार्च	marts	मार्च	marts	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
बन	bun	बन	bun	V;ACT	
बनी	zaķis	बन	zaķis	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;MASC;SG
अर्थ	nozīme	अर्थ	nozīme		N;NOM;FEM;SG
अर्थ	jēga	अर्थ	jēga		N;NOM;FEM;SG
अप्रैल	apr	अप्रैल	apr	PROPN;NOM;MASC;SG;3	
अप्रैल	aprīlis	अप्रैल	aprīlis	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अप्रैल	gpl	अप्रैल	gpl	PROPN;NOM;MASC;SG;3	N
अप्रैल	aprīlis	अप्रैल	aprīlis	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अप्रैल	aprīlī	अप्रैल	aprīlis	PROPN;NOM;MASC;SG;3	N;ESS;MASC;SG
अप्रैल	aprīļa	अप्रैल	aprīlis	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
महत्वपूर्ण	svarīgi	महत्वपूर्ण	svarīgi	ADJ	ADV
महत्वपूर्ण	kritiski	महत्वपूर्ण	kritiski	ADJ	ADV
प्रामाणिक	valodā	प्रामाणिक	valoda	ADJ;NOM	N;ESS;FEM;SG
आप	tevi	आप	tu	PRO;NOM;SG;2;FORM	PRO;ACC;SG;2
आप	jums	आप	jūs	PRO;NOM;SG;2;FORM	PRO;DAT;PL;2
आप	tev	आप	tu	PRO;NOM;SG;2;FORM	PRO;DAT;SG;2
आप	jūs	आप	jūs	PRO;NOM;SG;2;FORM	PRO;NOM;PL;2
किए	coa	कर	coa	V;PFV;MASC;PL;V.PTCP;ACT	
अक्टूबर	oktobris	अक्टूबर	oktobris	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अक्टूबर	oktobrī	अक्टूबर	oktobris	PROPN;NOM;MASC;SG;3	N;ESS;MASC;SG
अक्टूबर	azt	अक्टूबर	azt	PROPN;NOM;MASC;SG;3	N
समूह	draudzi	समूह	draudzi	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समूह	grupu	समूह	grupa	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समूह	grupas	समूह	grupa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
समूह	grupām	समूह	grupa	N;NOM;MASC;SG;3	N;DAT;FEM;PL
समूह	grupas	समूह	grupa	N;NOM;MASC;SG;3	N;NOM;FEM;PL
वर्तमान	pašreizējais	वर्तमान	pašreizējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वर्तमान	pašreizējo	वर्तमान	pašreizēja	N;NOM;MASC;SG;3	ADJ;ACC;MASC;SG
वर्तमान	pašreizējie	वर्तमान	pašreizējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
वर्तमान	pašreizējā	वर्तमान	pašreizēja	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
वर्तमान	pašreizējais	वर्तमान	pašreizējs	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वर्तमान	klāt	वर्तमान	klāt	N;NOM;MASC;SG;3	ADV
वर्तमान	tagadni	वर्तमान	tagadne	N;NOM;MASC;SG;3	N;ACC;FEM;SG
अध्ययन	studē	अध्ययन	studēt	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
अध्ययन	mācās	अध्ययन	mācīties	N;NOM;MASC;SG;3	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
अध्ययन	pēta	अध्ययन	pēta	N;NOM;MASC;SG;3	V;FH;IND;3;POS;PRS;FIN;ACT
अध्ययन	pētījuma	अध्ययन	pētījums	N;NOM;MASC;SG;3	N;GEN;MASC;SG
अध्ययन	pētījumi	अध्ययन	pētījums	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विभाग	departamentā	विभाग	departaments	N;NOM;MASC;SG;3	N;ESS;MASC;SG
विभाग	departamenti	विभाग	departaments	N;NOM;MASC;SG;3	N;NOM;MASC;PL
विभाग	struktūrvienības	विभाग	struktūrvienība	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विभाग	departamentiem	विभाग	departaments	N;NOM;MASC;SG;3	N;DAT;MASC;PL
आम	mango	आम	mango	ADJ	PROPN
आम	bieži	आम	bieži	ADJ	ADV
प्रभाव	efekti	प्रभाव	efekts	N;NOM;MASC;SG;3	N;NOM;MASC;PL
आदर्श	ideālisma	आदर्श	ideālisms	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
आदर्श	ideāls	आदर्श	ideāls	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
आदर्श	ideāli	आदर्श	ideāli	PROPN;NOM;MASC;SG;3	ADV
आदर्श	ideāla	आदर्श	ideāla	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आदर्श	elks	आदर्श	elks	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
साल	gadus	साल	gads	N;NOM;MASC;SG;3	N;ACC;MASC;PL
साल	gadi	साल	gads	N;NOM;MASC;SG;3	N;NOM;MASC;PL
साल	gadiem	साल	gads	N;NOM;MASC;SG;3	N;DAT;MASC;PL
साल	gadu	साल	gads	N;NOM;MASC;SG;3	N;ACC;MASC;SG
पहली	pirmās	पहला	pirmā	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;FEM;PL
पहली	pirmie	पहला	pirmais	ADJ;NOM;FEM;SG	ADJ;NOM;DEF;MASC;PL
पहली	vispirms	पहला	vispirms	ADJ;NOM;FEM;SG	ADV
संगीत	music	संगीत	musicēt	N;NOM;MASC;SG;3	
संगीत	mūzikā	संगीत	mūzika	N;NOM;MASC;SG;3	N;ESS;FEM;SG
अमेरिकी	american	अमेरिकी	american	PROPN;NOM;SG;3	PROPN;NOM;FEM;SG
अमेरिकी	amerikāņu	अमेरिकी	amerikānis	PROPN;NOM;SG;3	N;GEN;MASC;PL
अमेरिकी	amerikas	अमेरिकी	amerika	PROPN;NOM;SG;3	PROPN;NOM;FEM;PL
अमेरिकी	amerikāņi	अमेरिकी	amerikānis	PROPN;NOM;SG;3	N;NOM;MASC;PL
सेवा	pakalpojumu	सेवा	pakalpojums	N;NOM;FEM;SG;3	N;ACC;MASC;SG
बनाने	radīšana	बना	radīšana	V;MASC;NFIN;ACT	N;NOM;FEM;SG
बनाने	ekskavatorus	बना	ekskavators	V;MASC;NFIN;ACT	N;ACC;MASC;PL
आज	šodien	आज	šodien	N;NOM;MASC;SG;3	ADV
स्थापित	izveidots	स्थापित	izveidot	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
स्थापित	uzstādītas	स्थापित	uzstādīt	ADJ	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
स्थापित	uzstādīts	स्थापित	uzstādīt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
स्थापित	uzstādīta	स्थापित	uzstādīt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
स्थापित	uzstādīti	स्थापित	uzstādīt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
स्थापित	uzstādīt	स्थापित	uzstādīt	ADJ	V;POS;NFIN
स्थापित	dibināta	स्थापित	dibināt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
स्थापित	dibināts	स्थापित	dibināt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
उच्च	augstā	उच्च	augsts		ADJ;NOM;FEM;SG
उच्च	augstu	उच्च	augstu		ADV
उच्च	augsts	उच्च	augsts		ADJ;NOM;MASC;SG
उच्च	augsta	उच्च	augsts		ADJ;NOM;FEM;SG
उच्च	grandiozu	उच्च	grandiozs		N;ACC;MASC;SG
चाहिए	būtu	चाहिए	būt	V;ACT	V;COND;POS;FIN;ACT
उपलब्ध	pieejams	उपलब्ध	pieiet	ADJ	V;NOM;INDF;MASC;SG;PRS;V.PTCP;PASS
उपलब्ध	pieejami	उपलब्ध	pieejams	ADJ	V;NOM;INDF;MASC;PL;PRS;V.PTCP;PASS
उपलब्ध	pieejamas	उपलब्ध	pieejama	ADJ	V;NOM;INDF;FEM;PL;PRS;V.PTCP;PASS
उपलब्ध	pieejama	उपलब्ध	pieejama	ADJ	V;NOM;INDF;FEM;SG;PRS;V.PTCP;PASS
उपलब्ध	pieejamie	उपलब्ध	pieiet	ADJ	V;NOM;DEF;MASC;PL;PRS;V.PTCP;PASS
काफी	pietiek	काफी	pietikt	DET	V;FH;IND;3;POS;PRS;FIN;ACT
काफी	pietiekami	काफी	pietiekami	DET	ADV
काफी	pietiks	काफी	pietikt	DET	V;FH;IND;3;POS;FUT;FIN;ACT
बड़ी	lielie	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
बड़ी	lielas	बडा	liela	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
बड़ी	lieli	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
बड़ी	lieli	बडा	liels	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
शक	šaubu	शक	šaubas	N;NOM;MASC;SG;3	N;ACC;FEM;SG
शक	šaubos	शक	šaubs	N;NOM;MASC;SG;3	V;FH;IND;3;POS;REFL;PRS;FIN;ACT
शक	sakas	शक	sacīties	N;NOM;MASC;SG;3	N;NOM;FEM;PL
प्रभा	pera	प्रभा	pera		
श्री	šrī	श्री	šrī	N;NOM;MASC;SG;3	PROPN
उदाहरण	instances	उदाहरण	instance	N;NOM;MASC;SG;3	N;NOM;FEM;PL
उदाहरण	piemērus	उदाहरण	piemērs	N;NOM;MASC;SG;3	N;ACC;MASC;PL
उदाहरण	piemēri	उदाहरण	piemērs	N;NOM;MASC;SG;3	N;NOM;MASC;PL
उसका	viņa	वह	viņa	PRO;MASC;SG;3	PRO;NOM;FEM;SG;3
उसका	viņai	वह	viņa	PRO;MASC;SG;3	PRO;DAT;FEM;SG;3
उसका	viņas	वह	viņa	PRO;MASC;SG;3	PRO;NOM;FEM;PL;3
जिससे	kas	जो	kas	PRO;SG;3	PRO;NOM
जिससे	kuras	जो	kura	PRO;SG;3	PRO;NOM;FEM;PL
जिससे	kura	जो	kura	PRO;SG;3	PRO;NOM;FEM;SG
स्थापना	iekārtas	स्थापना	iekārta	N;NOM;FEM;SG;3	N;NOM;FEM;PL
स्थापना	instalācijas	स्थापना	instalācija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
स्थापना	instalēt	स्थापना	instalēt	N;NOM;FEM;SG;3	V;POS;NFIN
स्थापना	uzstādīt	स्थापना	uzstādīt	N;NOM;FEM;SG;3	V;POS;NFIN
स्थापना	izveidi	स्थापना	izveide	N;NOM;FEM;SG;3	N;ACC;FEM;SG
अधिकांश	vairums	अधिकांश	vairums	CONJ	N;NOM;MASC;SG
अधिकांश	visvairāk	अधिकांश	visvairāk	CONJ	ADV;RL
अधिकांश	pārsvarā	अधिकांश	pārsvars	CONJ	N;ESS;MASC;SG
अधिकांश	galvenokārt	अधिकांश	galvenokārt	CONJ	ADV
अधिकांश	lielākoties	अधिकांश	lielākoties	CONJ	
सामाजिक	sociāla	सामाजिक	sociāla	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
सामाजिक	sociālie	सामाजिक	sociāls	PROPN;NOM;SG;3	ADJ;NOM;MASC;PL
सामाजिक	sociālais	सामाजिक	sociāls	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
सामाजिक	sociālā	सामाजिक	sociāls	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
सामाजिक	sociāls	सामाजिक	sociāls	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
