और	in	और	in		CONJ
देश	države	देश	država	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विशेष	izključno	विशेष	izključno	ADJ;NOM	ADV
विशेष	ekskluzivno	विशेष	ekskluzivno	ADJ;NOM	ADV
विशेष	posebno	विशेष	posebno	ADJ;NOM	ADV
इसकी	its	यह	its	PRO;FEM;SG;3	
कभी	ever	कभी	ever	PRO	
कभी	kdaj	कभी	kdaj	PRO	ADV
दी	dano	दे	dan	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG
दी	danih	दे	dan	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;GEN;MASC;PL
पृष्ठ	strani	पृष्ठ	stran	N;NOM;MASC;SG;3	N;NOM;FEM;PL
माना	mana	मान	mana	V;PFV;MASC;SG;V.PTCP;ACT	
माना	domnevno	मान	domnevno	V;PFV;MASC;SG;V.PTCP;ACT	ADV
शब्द	besedo	शब्द	beseda	N;NOM;MASC;SG;3	N;ACC;FEM;SG
शब्द	besed	शब्द	beseda	N;NOM;MASC;SG;3	N;GEN;FEM;PL
शब्द	besede	शब्द	beseda	N;NOM;MASC;SG;3	N;NOM;FEM;PL
तीन	three	तीन	three	NUM	
पुरस्कार	nagrade	पुरस्कार	nagrada	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरस्कार	nagrado	पुरस्कार	nagrada	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पुरस्कार	nagrado	पुरस्कार	nagrada	N;NOM;MASC;SG;3	N;ACC;FEM;SG
पुरस्कार	nagrade	पुरस्कार	nagrada	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरस्कार	nagrade	पुरस्कार	nagrada	N;NOM;MASC;SG;3	N;NOM;FEM;PL
पुरस्कार	nagrado	पुरस्कार	nagrada	N;NOM;MASC;SG;3	N;ACC;FEM;SG
लेख	členi	लेख	člen	N;NOM;MASC;SG;3	N;NOM;MASC;PL
लेख	članki	लेख	članek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
लेख	izdelki	लेख	izdelek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
लेख	tezo	लेख	teza	N;NOM;MASC;SG;3	N;ACC;FEM;SG
लेख	člena	लेख	člen	N;NOM;MASC;SG;3	N;GEN;MASC;SG
अब	zdaj	अब	zdaj	PRO;NOM	ADV
अब	sedaj	अब	sedaj	PRO;NOM	ADV
दौरान	med	दौरान	med	ADV;NOM;MASC;SG;3	ADP;INS
अमेरिका	ameriki	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;DAT;FEM;SG
अमेरिका	amerika	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
अमेरिका	ameriko	अमेरिका	amerika	PROPN;NOM;MASC;SG;3	N;ACC;FEM;SG
अमेरिका	america	अमेरिका	america	PROPN;NOM;MASC;SG;3	N;NOM;FEM;SG
मंदिर	temple	मंदिर	temple	N;NOM;MASC;SG;3	
अलावा	dodajanje	अलावा	dodajanje	ADP	N;NOM;NEUT;SG
अलावा	narazen	अलावा	narazen	ADP	ADV
वार्ता	pogovori	वार्ता	pogovor	N;NOM;FEM;SG;3	N;NOM;MASC;PL
दक्षिण	južno	दक्षिण	južen	PROPN;NOM;MASC;SG;3	ADV
दक्षिण	jug	दक्षिण	jug	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
दक्षिण	južna	दक्षिण	južen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
विभिन्न	razno	विभिन्न	razno	ADJ	
इतिहास	zgodovino	इतिहास	zgodovina	N;NOM;MASC;SG;3	N;ACC;FEM;SG
लिया	slikano	ले	slikan	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
पास	podaj	पास	podaj	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
पास	prelaz	पास	prelaz	ADV;NOM;MASC;SG;3	N;NOM;MASC;SG
पास	podaja	पास	podajati	ADV;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
पास	mimo	पास	mimo	ADV;NOM;MASC;SG;3	ADP;GEN
विस्तृत	podrobno	विस्तृत	podrobno	ADJ	ADV
विस्तृत	izčrpno	विस्तृत	izčrpno	ADJ	ADV
दिन	day	दिन	day	N;NOM;MASC;SG;3	
दिन	podnevi	दिन	podneva	N;NOM;MASC;SG;3	ADV
दिन	dnevi	दिन	dan	N;NOM;MASC;SG;3	N;NOM;MASC;PL
दिन	dni	दिन	dan	N;NOM;MASC;SG;3	N;ACC;MASC;PL
दिन	dneve	दिन	dan	N;NOM;MASC;SG;3	N;ACC;MASC;PL
शुरू	začel	शुरू	začeti	N;NOM;MASC;SG;3	V;PFV;MASC;SG;V.PTCP
शुरू	začela	शुरू	začeti	N;NOM;MASC;SG;3	V;PFV;FEM;SG;V.PTCP
व्यक्ति	osebi	व्यक्ति	oseba	N;NOM;MASC;SG;3	N;NOM;FEM;DU
व्यक्ति	osebo	व्यक्ति	oseba	N;NOM;MASC;SG;3	N;ACC;FEM;SG
व्यक्ति	individualna	व्यक्ति	individualen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
व्यक्ति	posamezna	व्यक्ति	posamezen	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
व्यक्ति	posamezno	व्यक्ति	posamezno	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
व्यक्ति	individualno	व्यक्ति	individualno	N;NOM;MASC;SG;3	ADV
व्यक्ति	posamezni	व्यक्ति	posamezen	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
उनका	njihovi	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;MASC;PL;3
उनका	njihov	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;MASC;SG;3
उनका	njihovo	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;NEUT;SG;3
उनका	njuna	वह	njun	PRO;MASC;SG;3;FORM	DET;NOM;FEM;SG;3
उनका	njihova	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;FEM;SG;3
उनका	njihove	वह	njihov	PRO;MASC;SG;3;FORM	DET;NOM;FEM;SG;3
विज्ञान	znanosti	विज्ञान	znanost	N;NOM;MASC;SG;3	N;GEN;FEM;SG
सदस्य	članica	सदस्य	članica	N;NOM;MASC;PL;3	N;NOM;FEM;SG
सदस्य	član	सदस्य	član	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सदस्य	poslanec	सदस्य	poslanec	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सदस्य	naročnik	सदस्य	naročnik	N;NOM;MASC;PL;3	N;NOM;MASC;SG
सदस्य	naročnike	सदस्य	naročnik	N;NOM;MASC;PL;3	N;ACC;MASC;PL
सदस्य	naročnikom	सदस्य	naročnik	N;NOM;MASC;PL;3	N;DAT;MASC;PL
सदस्य	člane	सदस्य	član	N;NOM;MASC;PL;3	N;ACC;MASC;PL
सिंह	singh	सिंह	singh	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
सिंह	lea	सिंह	le	PROPN;NOM;MASC;SG;3	PROPN;NOM;FEM;SG
सिंह	leo	सिंह	leo	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अनेक	številni	अनेक	številen	DET	ADJ;NOM;MASC;PL
अनेक	večkratno	अनेक	večkraten	DET	ADV
अनेक	večkratni	अनेक	večkraten	DET	ADJ;NOM;MASC;SG
यहां	tukaj	यहाँ	tukaj	PRO;NOM	ADV
संख्या	številke	संख्या	številka	N;NOM;FEM;SG;3	N;NOM;FEM;PL
संख्या	števila	संख्या	število	N;NOM;FEM;SG;3	N;GEN;NEUT;SG
अपना	lastno	अपना	lasten	PRO;NOM;MASC;SG	ADJ;NOM;NEUT;SG
अपना	lastne	अपना	lasten	PRO;NOM;MASC;SG	ADJ;NOM;FEM;PL
अपना	lastna	अपना	lasten	PRO;NOM;MASC;SG	ADJ;NOM;FEM;SG
अपना	lastni	अपना	lasten	PRO;NOM;MASC;SG	ADJ;NOM;MASC;PL
अपना	tvoje	अपना	tvoj	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG;1
अपना	tvoji	अपना	tvoj	PRO;NOM;MASC;SG	DET;NOM;MASC;SG;1
अपना	vaš	अपना	vaš	PRO;NOM;MASC;SG	DET;NOM;MASC;SG;2
अपना	tvoj	अपना	tvoj	PRO;NOM;MASC;SG	DET;NOM;MASC;SG;1
अपना	tvoja	अपना	tvoj	PRO;NOM;MASC;SG	DET;NOM;FEM;SG;1
अपना	vaša	अपना	vaš	PRO;NOM;MASC;SG	DET;NOM;FEM;SG;2
बात	govori	बात	govoriti	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN
बात	pogovori	बात	pogovor	N;NOM;FEM;SG;3	N;NOM;MASC;PL
साहित्य	literaturo	साहित्य	literatura	N;NOM;MASC;SG;3	N;ACC;FEM;SG
शिक्षा	izobraževanja	शिक्षा	izobraževanje	N;NOM;FEM;SG;3	N;GEN;NEUT;SG
शिक्षा	šolnino	शिक्षा	šolnina	N;NOM;FEM;SG;3	N;ACC;FEM;SG
दिल्ली	delhiju	दिल्ली	delhij	PROPN;NOM;FEM;SG;3	N;DAT;MASC;SG
धर्म	religije	धर्म	religija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
धर्म	religijo	धर्म	religija	N;NOM;MASC;SG;3	N;ACC;FEM;SG
धर्म	vere	धर्म	vera	N;NOM;MASC;SG;3	N;NOM;FEM;PL
धर्म	religije	धर्म	religija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
धर्म	vere	धर्म	vera	N;NOM;MASC;SG;3	N;NOM;FEM;PL
धर्म	verovanja	धर्म	verovanje	N;NOM;MASC;SG;3	N;NOM;NEUT;PL
धर्म	religij	धर्म	religija	N;NOM;MASC;SG;3	N;GEN;FEM;PL
मूल	izvirniki	मूल	izvirnik	N;NOM;MASC;SG;3	N;NOM;MASC;PL
मूल	materni	मूल	materen	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
मूल	prvotna	मूल	prvoten	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
मूल	izvirno	मूल	izviren	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मूल	prvotni	मूल	prvoten	N;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
मूल	osnovno	मूल	osnoven	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
मूल	osnovni	मूल	osnoven	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
तब	potem	तब	potem	PRO;NOM	ADV
बना	narejena	बन	narejen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;FEM;SG;V.PTCP
बना	narejeni	बन	narejen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;MASC;PL;V.PTCP
बना	narejen	बन	narejen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
बना	narejeno	बन	narejen	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG;V.PTCP
कोड	kodo	कोड	koda		N;ACC;FEM;SG
कोड	šifra	कोड	šifra		N;NOM;FEM;SG
कोड	oznaka	कोड	oznakati		N;NOM;FEM;SG
कोड	koda	कोड	koda		N;NOM;FEM;SG
कोड	kode	कोड	koda		N;NOM;FEM;PL
कोड	šifre	कोड	šifra		N;NOM;FEM;PL
संयुक्त	sočasno	संयुक्त	sočasno	PROPN;NOM;MASC;SG;3	ADV
संयुक्त	sočasne	संयुक्त	sočasen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL
संयुक्त	sočasni	संयुक्त	sočasen	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
संयुक्त	sočasna	संयुक्त	sočasen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
संयुक्त	združeni	संयुक्त	združen	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;PL;V.PTCP
संयुक्त	združena	संयुक्त	združen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
संयुक्त	združene	संयुक्त	združen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;PL;V.PTCP
संयुक्त	united	संयुक्त	united	PROPN;NOM;MASC;SG;3	
संयुक्त	združeno	संयुक्त	združen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
संयुक्त	kombinirano	संयुक्त	kombiniran	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
संयुक्त	kombinirana	संयुक्त	kombiniran	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
संयुक्त	joint	संयुक्त	joint	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
संयुक्त	skupno	संयुक्त	skupen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
जुलाई	julij	जुलाई	julij	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
जुलाई	julija	जुलाई	julij	PROPN;NOM;FEM;SG;3	N;GEN;MASC;SG
युद्ध	bitko	युद्ध	bitko	N;NOM;MASC;SG;3	N;ACC;FEM;SG
युद्ध	vojno	युद्ध	vojna	N;NOM;MASC;SG;3	N;ACC;FEM;SG
युद्ध	vojne	युद्ध	vojna	N;NOM;MASC;SG;3	N;NOM;FEM;PL
नदी	reki	नदी	reka	N;NOM;FEM;SG;3	N;DAT;FEM;SG
नदी	river	नदी	river	N;NOM;FEM;SG;3	
नदी	reke	नदी	reka	N;NOM;FEM;SG;3	N;NOM;FEM;PL
वाला	vala	वाला	vala	ADP;NOM;MASC;SG	N;NOM;MASC;SG
काल	napet	काल	napet	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG;V.PTCP
काल	napeto	काल	napeto	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG;V.PTCP
काल	napeta	काल	napet	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG;V.PTCP
काल	napeti	काल	napet	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL;V.PTCP
काल	poklici	काल	poklic	N;NOM;MASC;SG;3	N;NOM;MASC;PL
काल	pokliči	काल	poklic	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN
काल	pokličite	काल	poklicati	N;NOM;MASC;SG;3	V;PFV;IMP;PL;2;FIN
ऐसे	takšne	ऐसा	takšen	PRO;NOM;MASC;SG	DET;NOM;FEM;PL
ऐसे	takšna	ऐसा	takšen	PRO;NOM;MASC;SG	DET;NOM;FEM;SG
ऐसे	take	ऐसा	tak	PRO;NOM;MASC;SG	DET;NOM;FEM;PL
वर्षों	leta	वर्ष	leto	N;NOM;MASC;PL;3	N;GEN;NEUT;SG
वर्षों	letih	वर्ष	leto	N;NOM;MASC;PL;3	N;ESS;NEUT;PL
वर्षों	let	वर्ष	leto	N;NOM;MASC;PL;3	N;GEN;NEUT;PL
प्रति	per	प्रति	per		N;NOM;MASC;SG
स्टेशन	postajo	स्टेशन	postaja	N;NOM;MASC;SG;3	N;ACC;FEM;SG
स्टेशन	postaji	स्टेशन	postaja	N;NOM;MASC;SG;3	N;NOM;FEM;DU
स्टेशन	postaje	स्टेशन	postaja	N;NOM;MASC;SG;3	N;NOM;FEM;PL
बड़े	velika	बडा	velik	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
बड़े	velika	बडा	velik	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
बड़े	veliki	बडा	velik	ADJ;NOM;MASC;PL	ADJ;NOM;DEF;MASC;SG
बड़े	velik	बडा	velik	ADJ;NOM;MASC;PL	ADJ;NOM;INDF;MASC;SG
जनवरी	januar	जनवरी	januar	PROPN;NOM;FEM;SG;3	N;NOM;MASC;SG
जनवरी	januarja	जनवरी	januar	PROPN;NOM;FEM;SG;3	N;GEN;MASC;SG
मध्य	osrednje	मध्य	osrednji		ADJ;NOM;NEUT;SG
मध्य	centralne	मध्य	centralen		ADJ;NOM;FEM;PL
मध्य	centralno	मध्य	centralno		ADJ;NOM;NEUT;SG
मध्य	osrednji	मध्य	osrednji		ADJ;NOM;DEF;MASC;SG
मध्य	centralni	मध्य	centralen		ADJ;NOM;DEF;MASC;SG
मध्य	središče	मध्य	središče		N;NOM;NEUT;SG
मध्य	center	मध्य	center		N;NOM;MASC;SG
मध्य	mediana	मध्य	mediano		N;NOM;FEM;SG
मध्य	sredina	मध्य	sredina		N;NOM;FEM;SG
मध्य	srednji	मध्य	srednji		ADJ;NOM;DEF;MASC;SG
मध्य	srednja	मध्य	srednji		ADJ;NOM;FEM;SG
राजा	king	राजा	king	N;NOM;MASC;SG;3	
प्रथम	najprej	प्रथम	najprej	ADJ	ADV;RL
विश्वविद्यालय	univerze	विश्वविद्यालय	univerza	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विश्वविद्यालय	univerz	विश्वविद्यालय	univerza	N;NOM;MASC;SG;3	N;GEN;FEM;PL
विश्वविद्यालय	univerzami	विश्वविद्यालय	univerza	N;NOM;MASC;SG;3	N;DAT;FEM;PL
जून	jun	जून	jun	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जून	junij	जून	junij	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
जून	june	जून	juna	PROPN;NOM;MASC;SG;3	
जून	junija	जून	junij	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
उसकी	njegovo	वह	njegov	PRO;FEM;SG;3	DET;NOM;NEUT;SG;3
उसकी	njegove	वह	njegov	PRO;FEM;SG;3	DET;NOM;FEM;PL;3
उसकी	njegov	वह	njegov	PRO;FEM;SG;3	DET;NOM;MASC;SG;3
उसकी	njegova	वह	njegov	PRO;FEM;SG;3	DET;NOM;FEM;SG;3
उसकी	njej	वह	on	PRO;FEM;SG;3	PRO;DAT;FEM;SG;3
उसकी	njo	वह	on	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
उसकी	njen	वह	njen	PRO;FEM;SG;3	DET;NOM;MASC;SG;3
उसकी	her	वह	hera	PRO;FEM;SG;3	N;NOM;MASC;SG
उसकी	njena	वह	njen	PRO;FEM;SG;3	DET;NOM;FEM;SG;3
जिसके	lajša	जो	ladšo	PRO;SG;3	V;IPFV;IND;SG;3;PRS;FIN
मार्च	mar	मार्च	mar	PROPN;NOM;MASC;SG;3	
मार्च	marec	मार्च	marec	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
मार्च	marca	मार्च	marec	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
मार्च	pohod	मार्च	pohod	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
बन	bun	बन	bun	V;ACT	N;NOM;MASC;SG
बनी	zajček	बन	zajček	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;MASC;SG
बनी	bunny	बन	bunny	V;PFV;FEM;SG;V.PTCP;ACT	N;NOM;MASC;SG
अर्थ	pomeni	अर्थ	pomeniti		V;IND;SG;3;PRS;FIN
अर्थ	pomen	अर्थ	pomen		N;NOM;MASC;SG
अप्रैल	apr	अप्रैल	apr	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अप्रैल	april	अप्रैल	april	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
अप्रैल	aprila	अप्रैल	april	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
महत्वपूर्ण	kritično	महत्वपूर्ण	kritično	ADJ	ADV
प्रामाणिक	pristno	प्रामाणिक	pristen	ADJ;NOM	ADV
आप	si	आप	biti	PRO;NOM;SG;2;FORM	V;IND;SG;2;POS;PRS;FIN
आप	ti	आप	ti	PRO;NOM;SG;2;FORM	PRO;NOM;MASC;PL;2
किए	coa	कर	coa	V;PFV;MASC;PL;V.PTCP;ACT	PROPN;NOM;MASC;SG
अक्टूबर	oktobra	अक्टूबर	oktober	PROPN;NOM;MASC;SG;3	N;GEN;MASC;SG
अक्टूबर	oktober	अक्टूबर	oktober	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
समूह	skupino	समूह	skupina	N;NOM;MASC;SG;3	N;ACC;FEM;SG
समूह	skupinsko	समूह	skupinski	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
समूह	skupinski	समूह	skupinski	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
समूह	skupinska	समूह	skupinski	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
समूह	skupine	समूह	skupina	N;NOM;MASC;SG;3	N;NOM;FEM;PL
समूह	skupin	समूह	skupina	N;NOM;MASC;SG;3	N;GEN;FEM;PL
समूह	skupinami	समूह	skupina	N;NOM;MASC;SG;3	N;DAT;FEM;PL
समूह	skupini	समूह	skupina	N;NOM;MASC;SG;3	N;NOM;FEM;DU
वर्तमान	trenutni	वर्तमान	trenuten	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वर्तमान	trenutna	वर्तमान	trenuten	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
वर्तमान	sedanji	वर्तमान	sedanji	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
वर्तमान	prisotna	वर्तमान	prisoten	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
वर्तमान	prisotni	वर्तमान	prisoten	N;NOM;MASC;SG;3	ADJ;NOM;MASC;PL
वर्तमान	prisotno	वर्तमान	prisotno	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
वर्तमान	prisoten	वर्तमान	prisoten	N;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
अध्ययन	študira	अध्ययन	študirati	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN
अध्ययन	študije	अध्ययन	študija	N;NOM;MASC;SG;3	N;NOM;FEM;PL
विभाग	oddelki	विभाग	oddelek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
आम	mango	आम	mango	ADJ	N;NOM;MASC;SG
आम	pogosto	आम	pogosto	ADJ	ADV
स्थिति	državno	स्थिति	državen	N;NOM;FEM;SG;3	ADJ;NOM;NEUT;SG
स्थिति	razmere	स्थिति	razmera	N;NOM;FEM;SG;3	N;NOM;FEM;PL
स्थिति	situacijo	स्थिति	situacija	N;NOM;FEM;SG;3	N;ACC;FEM;SG
प्रभाव	učinki	प्रभाव	učinek	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रभाव	vplivi	प्रभाव	vpliv	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रभाव	vplivi	प्रभाव	vpliv	N;NOM;MASC;SG;3	N;NOM;MASC;PL
प्रभाव	učinka	प्रभाव	učinek	N;NOM;MASC;SG;3	N;GEN;MASC;SG
आदर्श	idealizem	आदर्श	idealizem	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
आदर्श	idealni	आदर्श	idealen	PROPN;NOM;MASC;SG;3	ADJ;NOM;DEF;MASC;SG
आदर्श	idealno	आदर्श	idealen	PROPN;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
आदर्श	ideal	आदर्श	ideati	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
आदर्श	idealna	आदर्श	idealen	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आदर्श	idealen	आदर्श	idealen	PROPN;NOM;MASC;SG;3	ADJ;NOM;INDF;MASC;SG
आदर्श	idol	आदर्श	idola	PROPN;NOM;MASC;SG;3	N;NOM;MASC;SG
साल	leta	साल	leto	N;NOM;MASC;SG;3	N;GEN;NEUT;SG
साल	letih	साल	leto	N;NOM;MASC;SG;3	N;ESS;NEUT;PL
साल	let	साल	leto	N;NOM;MASC;SG;3	N;GEN;NEUT;PL
पहली	prvo	पहला	prvi	ADJ;NOM;FEM;SG	ADJ;ACC;NEUT;SG
पहली	prvi	पहला	prvi	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
पहली	najprej	पहला	najprej	ADJ;NOM;FEM;SG	ADV;RL
संगीत	glasbo	संगीत	glasba	N;NOM;MASC;SG;3	N;ACC;FEM;SG
अमेरिकी	ameriške	अमेरिकी	ameriški	PROPN;NOM;SG;3	ADJ;NOM;FEM;PL
अमेरिकी	ameriško	अमेरिकी	ameriški	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
अमेरिकी	ameriški	अमेरिकी	ameriški	PROPN;NOM;SG;3	ADJ;NOM;DEF;MASC;SG
अमेरिकी	ameriška	अमेरिकी	ameriški	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
अमेरिकी	američani	अमेरिकी	američan	PROPN;NOM;SG;3	N;NOM;MASC;PL
सेवा	storitve	सेवा	storitev	N;NOM;FEM;SG;3	N;NOM;FEM;PL
बनाने	ustvarjanje	बना	ustvarjanje	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
बनाने	izdelovanje	बना	izdelovanje	V;MASC;NFIN;ACT	N;NOM;NEUT;SG
बनाने	kopači	बना	kopač	V;MASC;NFIN;ACT	N;NOM;MASC;PL
आज	danes	आज	danes	N;NOM;MASC;SG;3	ADV
स्थापित	ustanovil	स्थापित	ustanoviti	ADJ	V;PFV;MASC;SG;V.PTCP
उच्च	visoko	उच्च	visoko		ADV
उच्च	visoka	उच्च	visok		ADJ;NOM;FEM;SG
काफी	obilo	काफी	obiti	DET	N;ACC;FEM;SG
बड़ी	velike	बडा	velik	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
बड़ी	velike	बडा	velik	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
चार	four	चार	four	NUM	
प्रभा	pera	प्रभा	pera		N;NOM;MASC;SG
उदाहरण	primeri	उदाहरण	primer	N;NOM;MASC;SG;3	N;NOM;MASC;PL
उसका	njegovo	वह	njegov	PRO;MASC;SG;3	DET;NOM;NEUT;SG;3
उसका	njegove	वह	njegov	PRO;MASC;SG;3	DET;NOM;FEM;PL;3
उसका	njegov	वह	njegov	PRO;MASC;SG;3	DET;NOM;MASC;SG;3
उसका	njegova	वह	njegov	PRO;MASC;SG;3	DET;NOM;FEM;SG;3
उसका	njej	वह	on	PRO;MASC;SG;3	PRO;DAT;FEM;SG;3
उसका	njo	वह	on	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
उसका	njen	वह	njen	PRO;MASC;SG;3	DET;NOM;MASC;SG;3
उसका	her	वह	hera	PRO;MASC;SG;3	N;NOM;MASC;SG
उसका	njena	वह	njen	PRO;MASC;SG;3	DET;NOM;FEM;SG;3
जिससे	katero	जो	kateri	PRO;SG;3	DET;ACC;NEUT;SG
जिससे	kateri	जो	kateri	PRO;SG;3	DET;NOM;MASC;SG
जिससे	katere	जो	kateri	PRO;SG;3	DET;ACC;FEM;PL
जिससे	katerih	जो	kateri	PRO;SG;3	DET;GEN;MASC;PL
जिससे	ki	जो	ki	PRO;SG;3	CONJ
जिससे	katerega	जो	kateri	PRO;SG;3	DET;GEN;MASC;SG
स्थापना	objekti	स्थापना	objekt	N;NOM;FEM;SG;3	N;NOM;MASC;PL
स्थापना	naprave	स्थापना	naprava	N;NOM;FEM;SG;3	N;NOM;FEM;PL
स्थापना	inštalacije	स्थापना	inštalacija	N;NOM;FEM;SG;3	N;NOM;FEM;PL
स्थापना	obrati	स्थापना	obrati	N;NOM;FEM;SG;3	N;NOM;MASC;PL
स्थापना	namesti	स्थापना	namestiti	N;NOM;FEM;SG;3	V;PFV;IND;SG;3;PRS;FIN
कंपनी	družbo	कंपनी	družba	N;NOM;FEM;SG;3	N;ACC;FEM;SG
अधिकांश	večina	अधिकांश	večina	CONJ	N;NOM;FEM;SG
अधिकांश	večini	अधिकांश	večina	CONJ	N;DAT;FEM;SG
अधिकांश	največ	अधिकांश	največ	CONJ	DET
अधिकांश	najbolj	अधिकांश	najbolj	CONJ	ADV;RL
