und	si	und	sine	CONJ	
friedrich	frederick	friedrich	frederick	PROPN;NOM;SG	N;INDF;MASC;SG
saison	sezoniere	saison	sezonier	N;NOM;FEM;SG	ADJ;INDF;FEM;PL
saison	anotimpul	saison	anotimp	N;NOM;FEM;SG	N;DEF;MASC;SG
saison	sezonul	saison	sezon	N;NOM;FEM;SG	N;DEF;MASC;SG
neuen	noua	neu	nou	ADJ;ACC;MASC;SG	ADJ;DEF;FEM;SG
neuen	noi	neu	eu	ADJ;ACC;MASC;SG	PRO;PL;1
neuen	nouă	neu	nou	ADJ;ACC;MASC;SG	
art	tipul	art	tip	N;NOM;FEM;SG	N;DEF;MASC;SG
art	tastează	art	tasta	N;NOM;FEM;SG	V;IND;3;PRS;FIN
stand	booth	stehen	booth	V;IND;SG;3;PST;FIN	PROPN
stand	stand	stehen	sta	V;IND;SG;3;PST;FIN	
diesen	acestea	dies	acesta	PRO;ACC;MASC;SG	PRO;FEM;PL;3
diesen	aceste	dies	acest	PRO;ACC;MASC;SG	DET;FEM;PL;3
diesen	astea	dies	acesta	PRO;ACC;MASC;SG	PRO;FEM;PL;3
würde	demnitate	werden	demnitate	V;SBJV;SG;3;PST;FIN	N;INDF;FEM;SG
würde	demnitatea	werden	demnitate	V;SBJV;SG;3;PST;FIN	N;DEF;FEM;SG
worden	worden	werden	worden	V;V.PTCP;PASS	
politiker	politica	politik	politică	ADJ	N;DEF;FEM;SG
politiker	politicienii	politik	politician	ADJ	N;DEF;MASC;PL
politiker	politicienilor	politik	politiciene	ADJ	N;DEF;MASC;PL
politiker	politicieni	politik	politician	ADJ	N;INDF;MASC;PL
politiker	politician	politik	politician	ADJ	N;INDF;MASC;SG
personen	oamenii	Person	om	N;NOM;FEM;PL	N;DEF;MASC;PL
titel	mareea	titel	mare		N;DEF;FEM;SG
titel	maree	titel	maree		N;INDF;FEM;PL
titel	piese	titel	piesă		N;INDF;FEM;PL
titel	urme	titel	urmă		N;INDF;FEM;PL
titel	titluri	titel	titlu		N;INDF;FEM;PL
titel	titlurile	titel	titlu		N;DEF;FEM;PL
titel	titlul	titel	titlu		N;DEF;MASC;SG
titel	titlu	titel	titlu		N;INDF;MASC;SG
karl	charles	karlen	charles	PROPN;NOM;MASC;SG	PROPN
karl	karl	karlen	karl	PROPN;NOM;MASC;SG	PROPN
gut	bine	gut	bine	ADJ	ADV
gut	păi	gut	păi	ADJ	
nachdem	dupa	nachdem	dupa	CONJ	N;DEF;FEM;SG
nachdem	după	nachdem	după	CONJ	ADP;ACC
familie	familie	familie	familie	N;NOM;FEM;SG	N;INDF;FEM;SG
familie	familia	familie	familie	N;NOM;FEM;SG	N;DEF;FEM;SG
familie	fam	familie	fam	N;NOM;FEM;SG	
weiter	continuând	weiter	continua	ADV	V;V.MSDR
weiter	continuăm	weiter	continua	ADV	V;IND;PL;1;PRS;FIN
weiter	continuam	weiter	continua	ADV	V;IND;1;IPFV;FIN
weiter	continuați	weiter	continua	ADV	V;IND;PL;2;IPFV;FIN
weiter	continuă	weiter	continua	ADV	V;IND;SG;3;PST;FIN
weiter	continua	weiter	continua	ADV	V;IND;SG;3;IPFV;FIN
weiter	continuat	weiter	continua	ADV	ADJ;INDF;MASC;SG
name	numele	Name	nume	N;NOM;SG	N;DEF;MASC;SG
name	denumire	Name	denumire	N;NOM;SG	N;INDF;FEM;SG
name	name	Name	name	N;NOM;SG	
ganz	ganz	ganz	ganz	ADV	N;INDF;MASC;SG
behalten	păstrarea	behalten	păstrare	V;NFIN	N;DEF;FEM;SG
behalten	reținute	behalten	reține	V;NFIN	ADJ;INDF;FEM;PL
behalten	reținut	behalten	reține	V;NFIN	ADJ;INDF;MASC;SG
sohn	fiule	sohnen	fiu	N;NOM;MASC;SG	
sohn	fiul	sohnen	fiu	N;NOM;MASC;SG	N;DEF;MASC;SG
hans	hans	hans	hans	PROPN;NOM;MASC;SG	PROPN
johann	johann	johann	johann	PROPN;NOM;MASC;SG	PROPN
johann	john	johann	john	PROPN;NOM;MASC;SG	PROPN
johann	ioan	johann	ioan	PROPN;NOM;MASC;SG	PROPN
großen	mare	groß	mare	ADJ;PL	ADJ;INDF;MASC;SG
großen	big	groß	big	ADJ;PL	N;INDF;MASC;SG
großen	major	groß	major	ADJ;PL	ADJ;INDF;MASC;SG
großen	maiorul	groß	maior	ADJ;PL	N;DEF;MASC;SG
großen	maior	groß	maior	ADJ;PL	PROPN
ins	ins	ins	ins		N;INDF;MASC;SG
gehört	ascultat	gehören	ascultat	V;V.PTCP	ADJ;INDF;MASC;SG
gehört	deținută	gehören	deține	V;V.PTCP	ADJ;INDF;FEM;SG
bild	poza	bild	poză		N;DEF;FEM;SG
bild	poză	bild	poză		N;INDF;FEM;SG
bild	imagine	bild	imagine		N;INDF;FEM;SG
bild	imaginea	bild	imagine		N;DEF;FEM;SG
bild	imagine	bild	imagine		N;INDF;FEM;SG
bild	pic	bild	pic		ADV
bild	bild	bild	bild		N;INDF;MASC;SG
nichts	nimic	nichts	nimic	PRO;INDF	PRO;SG;3
wien	viena	weinen	viena		PROPN
wien	vienna	weinen	viennă		PROPN
bezeichnet	desemnate	bezeichnen	desemna	V;V.PTCP	ADJ;INDF;FEM;PL
bezeichnet	desemnată	bezeichnen	desemnat	V;V.PTCP	ADJ;INDF;FEM;SG
bezeichnet	desemnat	bezeichnen	desemnat	V;V.PTCP	ADJ;INDF;MASC;SG
gelöscht	șters	löschen	șters	V;V.PTCP	ADJ;INDF;MASC;SG
gelöscht	sters	löschen	sters	V;V.PTCP	ADJ;INDF;MASC;SG
große	mare	groß	mare	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
große	big	groß	big	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
große	mare	groß	mare	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
große	große	groß	groge	ADJ;NOM;FEM;PL	PROPN
denn	deoarece	denn	deoarece	CONJ	CONJ;POS
peter	petru	peter	petru	PROPN;NOM;MASC;SG	
peter	peter	peter	peter	PROPN;NOM;MASC;SG	PROPN
kommt	vino	kommen	vino	V;IND;SG;3;PRS;FIN	V;IND;SG;2;PRS;FIN
kommt	vin	kommen	veni	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
menschen	oamenii	menschen	om	N;NOM;PL	N;DEF;MASC;PL
menschen	umane	menschen	uman	N;NOM;PL	ADJ;INDF;FEM;PL
menschen	om	menschen	om	N;NOM;PL	N;INDF;MASC;SG
menschen	umană	menschen	uman	N;NOM;PL	ADJ;INDF;FEM;SG
menschen	uman	menschen	uman	N;NOM;PL	ADJ;INDF;MASC;SG
menschen	oamenii	menschen	om	N;NOM;PL	N;DEF;MASC;PL
begann	început	beginnen	început	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
aufgrund	datorate	aufgrund	datorat	ADP	ADJ;INDF;FEM;PL
aufgrund	datorată	aufgrund	datorat	ADP	ADJ;INDF;FEM;SG
sei	sei	sein	sine	V;SBJV;SG;3;PRS;FIN	
jahrhunderts	secolul	jahrhundert	secol	ADV	N;DEF;MASC;SG
jahrhunderts	secol	jahrhundert	secol	ADV	N;INDF;MASC;SG
jahrhunderts	century	jahrhundert	century	ADV	PROPN
fall	case	fall	casă	ADV	N;INDF;FEM;PL
fall	caz	fall	caz	ADV	N;INDF;MASC;SG
fall	cazul	fall	caz	ADV	N;DEF;MASC;SG
fall	cazi	fall	cădea	ADV	V;IND;SG;2;PRS;FIN
fall	toamna	fall	toamnă	ADV	N;DEF;FEM;SG
fall	cădea	fall	cădea	ADV	V;IND;SG;3;IPFV;FIN
wilhelm	william	wilhelm	william	PROPN;NOM;MASC;SG	PROPN
wilhelm	wilhelm	wilhelm	wilhelm	PROPN;NOM;MASC;SG	PROPN
wilhelm	wilhelm	wilhelm	wilhelm	PROPN;NOM;MASC;SG	PROPN
englisch	engleza	englisch	engleza	ADJ	N;DEF;FEM;SG
englisch	engleză	englisch	englez	ADJ	N;INDF;FEM;SG
englisch	romanian	englisch	romanian	ADJ	N;INDF;MASC;SG
danach	dupa	danach	dupa	ADV	N;DEF;FEM;SG
danach	după	danach	după	ADV	ADP;ACC
fünf	five	fünf	fiv	NUM	N;INDF;MASC;SG
könig	regele	könig	rege	N;NOM;SG	N;DEF;MASC;SG
könig	könig	könig	könig	N;NOM;SG	PROPN
besteht	constă	bestehen	consta	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PST;FIN
besteht	insistă	bestehen	insista	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PST;FIN
welche	ce	welch	ce	PRO;NOM;SG	PRO;3
welche	care	welch	care	PRO;NOM;SG	PRO;3
mehrere	multiplu	mehrere	multiplu	PRO;NOM;INDF;PL	
mehrere	multiplă	mehrere	multiplu	PRO;NOM;INDF;PL	ADJ;INDF;FEM;SG
mehrere	multiple	mehrere	multiplu	PRO;NOM;INDF;PL	ADJ;INDF;FEM;PL
meter	metru	meter	metru	ADV	N;INDF;MASC;SG
meter	metri	meter	metru	ADV	N;INDF;MASC;PL
meter	contoare	meter	contoare	ADV	N;INDF;FEM;PL
meter	metri	meter	metru	ADV	N;INDF;MASC;PL
meter	contor	meter	contor	ADV	N;INDF;MASC;SG
meter	metru	meter	metru	ADV	N;INDF;MASC;SG
schloss	schloss	schließen	schloss	V;SG	N;INDF;MASC;SG
schloss	blocare	schließen	blocare	V;SG	N;INDF;FEM;SG
schloss	lacăt	schließen	lacăt	V;SG	N;INDF;MASC;SG
schloss	lock	schließen	lock	V;SG	N;INDF;MASC;SG
schloss	castle	schließen	castle	V;SG	N;INDF;MASC;SG
schloss	castel	schließen	castel	V;SG	N;INDF;MASC;SG
schloss	castelul	schließen	castel	V;SG	N;DEF;MASC;SG
schloss	chateau	schließen	chati	V;SG	V;IND;PL;3;IPFV;FIN
schloss	palatul	schließen	palat	V;SG	N;DEF;MASC;SG
schloss	palat	schließen	palat	V;SG	N;INDF;MASC;SG
schloss	palace	schließen	palac	V;SG	N;INDF;MASC;SG
gruppe	grupa	grappe	grupă	N;NOM;FEM;SG	N;DEF;FEM;SG
gruppe	grupul	grappe	grup	N;NOM;FEM;SG	N;DEF;MASC;SG
gruppe	grupă	grappe	grupă	N;NOM;FEM;SG	N;INDF;FEM;SG
finden	constatare	finden	constatare	V;NFIN	N;INDF;FEM;SG
finden	gasirea	finden	gasire	V;NFIN	N;DEF;FEM;SG
finden	găsirea	finden	găsire	V;NFIN	N;DEF;FEM;SG
genannt	numit	nennen	numit	V;V.PTCP	ADJ;INDF;MASC;SG
genannt	numit	nennen	numit	V;V.PTCP	ADJ;INDF;MASC;SG
heinrich	heinrich	heinrich	heinrich	PROPN;NOM;MASC;SG	PROPN
heinrich	henric	heinrich	henric	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
heinrich	henry	heinrich	henry	PROPN;NOM;MASC;SG	PROPN
letzten	ultimele	letzt	ultim	ADJ;PL	NUM;DEF;FEM;PL
letzten	ultima	letzt	ultim	ADJ;PL	NUM;DEF;FEM;SG
letzten	ultimul	letzt	ultim	ADJ;PL	NUM;DEF;MASC;SG
letzten	last	letzt	last	ADJ;PL	N;INDF;MASC;SG
spielte	jucate	spielen	juca	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;PL
spielte	jucat	spielen	juca	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
neu	noi	neu	eu	ADJ	PRO;PL;1
neu	nouă	neu	nou	ADJ	
neu	neu	neu	neu	ADJ	N;INDF;MASC;SG
john	john	john	john	PROPN;NOM;MASC;SG	PROPN
john	ioan	john	ioan	PROPN;NOM;MASC;SG	PROPN
könnte	putea	können	putea	V;SBJV;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
ging	plimbat	gehen	plimba	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
machen	efectuarea	machen	efectuare	V;NFIN	N;DEF;FEM;SG
machen	luare	machen	luare	V;NFIN	N;INDF;FEM;SG
gewann	won	gewinnen	won	V;IND;SG;3;PST;FIN	PROPN
gewann	câștigat	gewinnen	câștiga	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
beispiel	eșantionul	beispiel	eșantion	ADV	N;DEF;MASC;SG
beispiel	mostră	beispiel	mostru	ADV	N;INDF;FEM;SG
beispiel	proba	beispiel	proba	ADV	N;DEF;FEM;SG
beispiel	eșantion	beispiel	eșantion	ADV	N;INDF;MASC;SG
beispiel	probă	beispiel	probă	ADV	N;INDF;FEM;SG
beispiel	exemplu	beispiel	exemplu	ADV	N;INDF;MASC;SG
beispiel	exemplul	beispiel	exemplu	ADV	N;DEF;MASC;SG
beispiel	exemple	beispiel	exemplu	ADV	N;INDF;FEM;PL
usa	usa	usa	usa	PROPN;NOM;MASC;PL	N;DEF;FEM;SG
usa	sua	usa	sua	PROPN;NOM;MASC;PL	N
recht	dreapta	recht	dreaptă	ADV	N;DEF;FEM;SG
recht	law	recht	law	ADV	N;INDF;MASC;SG
recht	lege	recht	lege	ADV	N;INDF;FEM;SG
recht	legea	recht	lege	ADV	N;DEF;FEM;SG
zwar	deşi	zwar	deşi	ADV	CONJ;POS
zwar	deși	zwar	deși	ADV	CONJ;POS
zwar	desi	zwar	desi	ADV	
bin	bin	sein	bin	V;IND;SG;2;PRS;FIN	PROPN
york	york	york	york	PROPN;NOM;NEUT;SG	PROPN
paul	paul	paul	paul	PROPN;NOM;MASC;SG	PROPN
paul	pavel	paul	pavel	PROPN;NOM;MASC;SG	PROPN
frage	cere	frage	cere	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
frage	întreabă	frage	întreba	N;NOM;FEM;SG	V;IND;3;PRS;FIN
frage	intreaba	frage	intreba	N;NOM;FEM;SG	N;DEF;FEM;SG
frage	întrebare	frage	întrebare	N;NOM;FEM;SG	N;INDF;FEM;SG
frage	întrebarea	frage	întrebare	N;NOM;FEM;SG	N;DEF;FEM;SG
frage	intrebare	frage	intrebare	N;NOM;FEM;SG	N;INDF;FEM;SG
insgesamt	totalul	insgesamt	total	ADV	N;DEF;MASC;SG
insgesamt	totală	insgesamt	total	ADV	ADJ;INDF;FEM;SG
gehörte	aparținut	gehören	aparține	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
kurz	scurt	kurz	scurt	ADJ	ADV
kurz	short	kurz	short	ADJ	N;INDF;MASC;SG
kurz	kurz	kurz	kurz	ADJ	PROPN
kurz	scurt	kurz	scurt	ADJ	ADV
unternehmen	companie	unternehmen	companie	N;NOM;NEUT;PL	N;INDF;FEM;SG
unternehmen	compania	unternehmen	companie	N;NOM;NEUT;PL	N;DEF;FEM;SG
unternehmen	companiile	unternehmen	companie	N;NOM;NEUT;PL	N;DEF;FEM;PL
unternehmen	business	unternehmen	business	N;NOM;NEUT;PL	N;INDF;MASC;SG
unternehmen	afacere	unternehmen	afacere	N;NOM;NEUT;PL	N;INDF;FEM;SG
unternehmen	afacerea	unternehmen	afacere	N;NOM;NEUT;PL	N;DEF;FEM;SG
unternehmen	întreprinderile	unternehmen	întreprindere	N;NOM;NEUT;PL	N;DEF;FEM;PL
verwendet	folosit	verwenden	folosit	V;V.PTCP	ADJ;INDF;MASC;SG
verwendet	utilizate	verwenden	utilizat	V;V.PTCP	ADJ;INDF;FEM;PL
verwendet	folosite	verwenden	folosit	V;V.PTCP	ADJ;INDF;FEM;PL
verwendet	folosită	verwenden	folosit	V;V.PTCP	ADJ;INDF;FEM;SG
verwendet	utilizată	verwenden	utiliza	V;V.PTCP	ADJ;INDF;FEM;SG
verwendet	utilizat	verwenden	utilizat	V;V.PTCP	ADJ;INDF;MASC;SG
verwendet	utilizările	verwenden	utilizare	V;V.PTCP	N;DEF;FEM;PL
verwendet	utilizări	verwenden	utilizare	V;V.PTCP	N;INDF;FEM;PL
straße	strâmtoarea	straß	strâmtoare	ADJ	N;DEF;FEM;SG
straße	strâmtoare	straß	strâmtor	ADJ	N;INDF;FEM;SG
straße	drumuri	straß	drum	ADJ	N;INDF;FEM;PL
straße	street	straß	street	ADJ	N;INDF;MASC;SG
straße	strada	straß	stradă	ADJ	N;DEF;FEM;SG
straße	stradă	straß	stradă	ADJ	N;INDF;FEM;SG
straße	străzile	straß	stradă	ADJ	N;DEF;FEM;PL
straße	străzi	straß	stradă	ADJ	N;INDF;FEM;PL
straße	strazi	straß	strad	ADJ	N;INDF;FEM;PL
straße	drum	straß	drum	ADJ	N;INDF;MASC;SG
straße	drumul	straß	drum	ADJ	N;DEF;MASC;SG
straße	road	straß	road	ADJ	N;INDF;MASC;SG
rund	cca	rund	circa	ADV	
rund	aprox	rund	aprox	ADV	N;INDF;MASC;SG
rund	rotund	rund	rotund	ADV	ADJ;INDF;MASC;SG
rund	rotunde	rund	rotund	ADV	ADJ;INDF;FEM;PL
rund	rundă	rund	rund	ADV	N;INDF;FEM;SG
rund	rotundă	rund	rotund	ADV	ADJ;INDF;FEM;SG
rund	runda	rund	runda	ADV	N;DEF;FEM;SG
einfach	simple	einfach	simplu	ADV	ADJ;INDF;FEM;PL
einfach	simplă	einfach	simplu	ADV	ADJ;INDF;FEM;SG
datei	fișierul	datei	fișier		N;DEF;MASC;SG
datei	fişier	datei	fişier		N;INDF;MASC;SG
datei	fișier	datei	fișier		N;INDF;MASC;SG
datei	dosar	datei	dosar		N;INDF;MASC;SG
frau	femeie	frau	femeie	N;NOM;FEM;SG	N;INDF;FEM;SG
frau	sotie	frau	sotie	N;NOM;FEM;SG	N;INDF;FEM;SG
frau	soția	frau	soție	N;NOM;FEM;SG	N;DEF;FEM;SG
frau	soţia	frau	soţia	N;NOM;FEM;SG	N;DEF;FEM;SG
frau	soție	frau	soție	N;NOM;FEM;SG	N;INDF;FEM;SG
frau	nevasta	frau	nevastă	N;NOM;FEM;SG	N;DEF;FEM;SG
land	țară	land	țară		N;INDF;FEM;SG
land	tara	land	tară		N;DEF;FEM;SG
land	țara	land	țară		N;DEF;FEM;SG
land	ţara	land	gară		N;DEF;FEM;SG
land	ţară	land	ţară		N;INDF;FEM;SG
land	teren	land	teren		N;INDF;MASC;SG
land	terenuri	land	teren		N;INDF;FEM;PL
land	land	land	land		N;INDF;MASC;SG
land	pământ	land	pământ		N;INDF;MASC;SG
land	terenuri	land	teren		N;INDF;FEM;PL
land	pământurile	land	pământ		N;DEF;FEM;PL
land	meleaguri	land	meleag		N;INDF;FEM;PL
land	pământuri	land	pământ		N;INDF;FEM;PL
hatten	avea	haben	avea	V;IND;PL;3;PST;FIN	V;IND;SG;3;IPFV;FIN
hatten	avut	haben	avea	V;IND;PL;3;PST;FIN	V;MASC;SG;V.PTCP
trat	demisionat	treten	demisiona	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
tod	deces	tod	deces		N;INDF;MASC;SG
tod	moartea	tod	moarte		N;DEF;FEM;SG
tod	moarte	tod	moarte		N;INDF;FEM;SG
tod	tod	tod	tod		N;INDF;MASC;SG
tod	decesele	tod	deces		N;DEF;FEM;PL
tod	decese	tod	deces		N;INDF;FEM;PL
arbeit	munca	arbeit	muncă	N;NOM;FEM;SG	N;DEF;FEM;SG
arbeit	muncă	arbeit	muncă	N;NOM;FEM;SG	N;INDF;FEM;SG
arbeit	muncitoresc	arbeit	muncitoresc	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
macht	putere	machen	putere	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
macht	puterea	machen	putere	V;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
macht	power	machen	power	V;IND;SG;3;PRS;FIN	N
paris	paris	paris	paris	PROPN;NOM;NEUT;SG	PROPN
paris	parisul	paris	paris	PROPN;NOM;NEUT;SG	N;DEF;MASC;SG
alles	totul	alle	tot	PRO;NOM;INDF;NEUT;SG	PRO;MASC;SG;3
alles	toti	alle	toti	PRO;NOM;INDF;NEUT;SG	
alles	toți	alle	tot	PRO;NOM;INDF;NEUT;SG	PRO;MASC;PL;3
alles	toate	alle	tot	PRO;NOM;INDF;NEUT;SG	PRO;FEM;PL;3
alles	tot	alle	tot	PRO;NOM;INDF;NEUT;SG	PRO;MASC;SG;3
alles	alles	alle	alles	PRO;NOM;INDF;NEUT;SG	
alles	orice	alle	orice	PRO;NOM;INDF;NEUT;SG	PRO;SG;3
führte	led	führen	led	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
kategorie	categoria	kategorie	categorie	N;NOM;FEM;SG	N;DEF;FEM;SG
kategorie	categorii	kategorie	categorie	N;NOM;FEM;SG	N;INDF;FEM;PL
kategorie	categorie	kategorie	categorie	N;NOM;FEM;SG	N;INDF;FEM;SG
kategorie	categorii	kategorie	categorie	N;NOM;FEM;SG	N;INDF;FEM;PL
kategorie	categoriile	kategorie	categorie	N;NOM;FEM;SG	N;DEF;FEM;PL
bedeutung	relevanța	bedeutung	relevanță	ADJ	N;DEF;FEM;SG
bedeutung	relevanță	bedeutung	relevanță	ADJ	N;INDF;FEM;SG
bedeutung	importanța	bedeutung	importanță	ADJ	N;DEF;FEM;SG
bedeutung	importanță	bedeutung	importanță	ADJ	N;INDF;FEM;SG
bedeutung	însemnând	bedeutung	însemna	ADJ	V;V.MSDR
bedeutung	sensul	bedeutung	sens	ADJ	N;DEF;MASC;SG
bedeutung	semnificație	bedeutung	semnificație	ADJ	N;INDF;FEM;SG
bedeutung	sensuri	bedeutung	sens	ADJ	N;INDF;FEM;PL
bedeutung	semnificatie	bedeutung	semnificatie	ADJ	N;INDF;FEM;SG
bedeutung	semnificația	bedeutung	semnificație	ADJ	N;DEF;FEM;SG
bedeutung	semnificație	bedeutung	semnificație	ADJ	N;INDF;FEM;SG
relevant	relevanța	relevant	relevanță	ADJ	N;DEF;FEM;SG
relevant	relevanță	relevant	relevanță	ADJ	N;INDF;FEM;SG
bereich	sector	bereich	sector	ADV	N;INDF;MASC;SG
bereich	sectorul	bereich	sector	ADV	N;DEF;MASC;SG
bereich	domeniu	bereich	domeniu	ADV	N;INDF;MASC;SG
bereich	domeniul	bereich	domeniu	ADV	N;DEF;MASC;SG
bereich	interval	bereich	interval	ADV	N;INDF;MASC;SG
bereich	intervalul	bereich	interval	ADV	N;DEF;MASC;SG
bereich	sectiune	bereich	sectiune	ADV	N;INDF;FEM;SG
bereich	secţiunea	bereich	secgiune	ADV	N;DEF;FEM;SG
bereich	secțiune	bereich	secțiune	ADV	N;INDF;FEM;SG
bereich	secţiune	bereich	secţiune	ADV	N;INDF;FEM;SG
bereich	secțiunea	bereich	secțiune	ADV	N;DEF;FEM;SG
bereich	zonă	bereich	zonă	ADV	N;INDF;FEM;SG
bereich	zona	bereich	zonă	ADV	N;DEF;FEM;SG
bereich	suprafață	bereich	suprafață	ADV	N;INDF;FEM;SG
welt	lumea	welt	lume	N;NOM;FEM;SG	N;DEF;FEM;SG
welt	lume	welt	lume	N;NOM;FEM;SG	N;INDF;FEM;SG
welt	world	welt	world	N;NOM;FEM;SG	PROPN
welt	globul	welt	glob	N;NOM;FEM;SG	N;DEF;MASC;SG
verein	club	verein	club		N;INDF;MASC;SG
verein	clubul	verein	club		N;DEF;MASC;SG
verein	verein	verein	verein		N;INDF;MASC;SG
verein	asociația	verein	asociație		N;DEF;FEM;SG
verein	asociatia	verein	asociatie		N;DEF;FEM;SG
verein	asociație	verein	asociație		N;INDF;FEM;SG
verein	asocierea	verein	asociere		N;DEF;FEM;SG
verein	asociere	verein	asociere		N;INDF;FEM;SG
anfang	începe	anfang	începe	N;ACC;MASC;SG	V;IND;SG;3;PRS;FIN
anfang	pornire	anfang	pornire	N;ACC;MASC;SG	N;INDF;FEM;SG
anfang	timpuriu	anfang	timpuriu	N;ACC;MASC;SG	ADV
anfang	devreme	anfang	devreme	N;ACC;MASC;SG	ADV
anfang	începuturi	anfang	început	N;ACC;MASC;SG	N;INDF;FEM;PL
anfang	începuturile	anfang	început	N;ACC;MASC;SG	N;DEF;FEM;PL
viel	loturi	viel	lot	ADV	N;INDF;FEM;PL
viel	loturile	viel	lot	ADV	N;DEF;FEM;PL
viel	much	viel	much	ADV	
viel	lot	viel	lot	ADV	N;INDF;MASC;SG
quelle	sursă	quelle	sursă	ADJ;NOM;SG	N;INDF;FEM;SG
quelle	sursa	quelle	sursă	ADJ;NOM;SG	N;DEF;FEM;SG
haus	casa	haus	casă	N;NOM;NEUT;SG	N;DEF;FEM;SG
haus	casă	haus	casă	N;NOM;NEUT;SG	N;INDF;FEM;SG
haus	case	haus	casă	N;NOM;NEUT;SG	N;INDF;FEM;PL
haus	casele	haus	casă	N;NOM;NEUT;SG	N;DEF;FEM;PL
haus	acasa	haus	acasa	N;NOM;NEUT;SG	
haus	casă	haus	casă	N;NOM;NEUT;SG	N;INDF;FEM;SG
haus	acasă	haus	acasă	N;NOM;NEUT;SG	ADV
haus	home	haus	homă	N;NOM;NEUT;SG	
michael	mihai	michael	mihai	PROPN;NOM;MASC;SG	PROPN
michael	michael	michael	michael	PROPN;NOM;MASC;SG	PROPN
michael	mihail	michael	mihail	PROPN;NOM;MASC;SG	PROPN
region	regiunea	Region	regiune		N;DEF;FEM;SG
region	regiune	Region	regiune		N;INDF;FEM;SG
fand	găsită	finden	găsi	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;SG
fand	găsite	finden	găsi	V;IND;SG;3;PST;FIN	ADJ;INDF;FEM;PL
fand	găsit	finden	găsi	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
meist	majoritatea	meist	majoritate	ADV	N;DEF;FEM;SG
eigenen	proprie	eigen	propriu	ADJ;ACC;MASC;SG	ADJ;INDF;FEM;SG
eigenen	proprii	eigen	propriu	ADJ;ACC;MASC;SG	ADJ;INDF;PL
findet	găsiți	finden	găsi	V;IND;SG;3;PRS;FIN	V;IND;PL;2;IPFV;FIN
lang	lang	lang	lang	ADJ	PROPN
lang	long	lang	long	ADJ	
allen	allen	alle	allen	PRO;ACC;INDF;PL	PROPN
hamburg	hamburg	hamburg	hamburg	PROPN;NOM;NEUT;SG	PROPN
deutsch	germana	deutsch	germană	ADJ	N;DEF;FEM;SG
deutsch	germană	deutsch	germană	ADJ	N;INDF;FEM;SG
deutsch	engleza	deutsch	engleza	ADJ	N;DEF;FEM;SG
deutsch	engleză	deutsch	englez	ADJ	N;INDF;FEM;SG
deutsch	romanian	deutsch	romanian	ADJ	N;INDF;MASC;SG
deutsch	deutsch	deutsch	deutsch	ADJ	
franz	franz	franz	franz	PROPN;NOM;MASC;SG	PROPN
franz	francis	franz	francis	PROPN;NOM;MASC;SG	PROPN
franz	francisc	franz	francisc	PROPN;NOM;MASC;SG	PROPN
lange	lange	lange	lange	ADV	PROPN
lange	lung	lange	lung	ADV	ADJ;INDF;MASC;SG
lange	lungă	lange	lung	ADV	ADJ;INDF;FEM;SG
lange	long	lange	long	ADV	
gegründet	fondată	gründen	fondat	V;V.PTCP	ADJ;INDF;FEM;SG
gegründet	fondat	gründen	fonda	V;V.PTCP	ADJ;INDF;MASC;SG
gegründet	stabilit	gründen	stabili	V;V.PTCP	ADJ;INDF;MASC;SG
gegründet	stabilită	gründen	stabilit	V;V.PTCP	ADJ;INDF;FEM;SG
gegründet	formate	gründen	forma	V;V.PTCP	ADJ;INDF;FEM;PL
gegründet	formată	gründen	forma	V;V.PTCP	ADJ;INDF;FEM;SG
gegründet	format	gründen	format	V;V.PTCP	N;INDF;MASC;SG
gebiet	gazon	gebieten	gazon	ADJ	N;INDF;MASC;SG
gebiet	regiunea	gebieten	regiune	ADJ	N;DEF;FEM;SG
gebiet	regiune	gebieten	regiune	ADJ	N;INDF;FEM;SG
gebiet	teritoriu	gebieten	teritoriu	ADJ	N;INDF;MASC;SG
gebiet	teritoriul	gebieten	teritoriu	ADJ	N;DEF;MASC;SG
