से	от	से	от		ADP
उनका	техните	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;PL;3
उनका	техният	वह	наш	PRO;MASC;SG;3;FORM	DET;DEF;MASC;SG;3
सदस्य	член	सदस्य	член	N;NOM;MASC;PL;3	N;INDF;MASC;SG
सदस्य	абоната	सदस्य	абона	N;NOM;MASC;PL;3	N;DEF;FEM;SG
हालांकि	макар	हालांकि	макар	CONJ	ADP
हालांकि	макар	हालांकि	макар	CONJ	ADP
सिंह	синг	सिंह	синг	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
सिंह	сингх	सिंह	сингх	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
सिंह	лъв	सिंह	лъв	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
सिंह	лео	सिंह	лео	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अनेक	mnogo	अनेक	mnogo	DET	PROPN;INDF;NEUT;SG
अनेक	много	अनेक	много	DET	ADV;INDF;PL
अनेक	няколко	अनेक	няколко	DET	PRO;INDF
अनेक	множествена	अनेक	множествен	DET	ADJ;INDF;FEM;SG
अनेक	многобройни	अनेक	многоброен	DET	ADJ;INDF;PL
अनेक	множество	अनेक	множество	DET	N;INDF;NEUT;SG
यहां	тук	यहाँ	там	PRO;NOM	ADV
संख्या	числа	संख्या	число	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
संख्या	цифри	संख्या	цифра	N;NOM;FEM;SG;3	N;INDF;FEM;PL
अपना	собствен	अपना	собствен	PRO;NOM;MASC;SG	ADJ;INDF;MASC;SG
अपना	собствена	अपना	собствен	PRO;NOM;MASC;SG	ADJ;INDF;FEM;SG
अपना	собствено	अपना	собствен	PRO;NOM;MASC;SG	ADV
अपना	собствени	अपना	собствен	PRO;NOM;MASC;SG	ADJ;INDF;PL
अपना	вашият	अपना	ваш	PRO;NOM;MASC;SG	DET;DEF;MASC;SG;2
अपना	твоят	अपना	тоя	PRO;NOM;MASC;SG	DET;DEF;MASC;SG;1
अपना	твоя	अपना	твоя	PRO;NOM;MASC;SG	DET;DEF;FEM;SG;2
अपना	твоята	अपना	твой	PRO;NOM;MASC;SG	DET;DEF;FEM;SG;1
बात	говори	बात	говоря	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
बात	поговорим	बात	поговоря	N;NOM;FEM;SG;3	V;PFV;IND;PL;1;PRS;FIN;ACT
दिल्ली	делхи	दिल्ली	делхи	PROPN;NOM;FEM;SG;3	N;INDF;NEUT;SG
धर्म	религии	धर्म	религия	N;NOM;MASC;SG;3	N;INDF;FEM;PL
मूल	оригиналите	मूल	оригинал	N;NOM;MASC;SG;3	N;DEF;MASC;PL
मूल	древни	मूल	древен	N;NOM;MASC;SG;3	ADJ;INDF;PL
मूल	оригинали	मूल	оригинал	N;NOM;MASC;SG;3	N;INDF;MASC;PL
मूल	родна	मूल	роден	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मूल	местни	मूल	местен	N;NOM;MASC;SG;3	ADJ;INDF;PL
मूल	оригинални	मूल	оригинален	N;NOM;MASC;SG;3	ADJ;INDF;PL
मूल	оригинално	मूल	оригинален	N;NOM;MASC;SG;3	ADV
मूल	оригинална	मूल	оригинален	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मूल	оригинален	मूल	оригинален	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
मूल	основна	मूल	основен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मूल	основни	मूल	основен	N;NOM;MASC;SG;3	ADJ;INDF;PL
मूल	основен	मूल	основен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
तब	тогава	तब	тогава	PRO;NOM	ADV
बना	направена	बन	направя-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
बना	направено	बन	направя-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
बना	направен	बन	направя-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
बना	направени	बन	направя-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
कोड	код	कोड	код		N;INDF;MASC;SG
कोड	кодове	कोड	код		N;INDF;MASC;PL
संयुक्त	обединени	संयुक्त	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;PL;V.PTCP;PASS
संयुक्त	обединена	संयुक्त	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;FEM;SG;V.PTCP;PASS
संयुक्त	обединен	संयुक्त	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
संयुक्त	юнайтед	संयुक्त	юнайтед	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
संयुक्त	обединено	संयुक्त	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
संयुक्त	комбинирана	संयुक्त	комбинирам	PROPN;NOM;MASC;SG;3	V;PFV;INDF;FEM;SG;V.PTCP;PASS
संयुक्त	комбинирано	संयुक्त	комбинирам	PROPN;NOM;MASC;SG;3	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
संयुक्त	комбинирани	संयुक्त	комбинирам	PROPN;NOM;MASC;SG;3	V;PFV;INDF;PL;V.PTCP;PASS
संयुक्त	комбиниран	संयुक्त	комбинирам	PROPN;NOM;MASC;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
संयुक्त	съвместния	संयुक्त	съвместен	PROPN;NOM;MASC;SG;3	ADJ;DEF;MASC;SG
संयुक्त	джойнт	संयुक्त	джойнт	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
संयुक्त	съвместни	संयुक्त	съвместен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
संयुक्त	съвместно	संयुक्त	съвместно	PROPN;NOM;MASC;SG;3	ADV
संयुक्त	съвместна	संयुक्त	съвместен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
संयुक्त	съвместен	संयुक्त	съвместен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
जुलाई	юли	जुलाई	юли	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
वाला	вала	वाला	вала	ADP;NOM;MASC;SG	N;DEF;MASC;SG
काल	напрегнато	काल	напрегна	N;NOM;MASC;SG;3	ADV
काल	напрегнат	काल	напрегна	N;NOM;MASC;SG;3	ADJ;DEF;MASC;SG
काल	напрегната	काल	напрегна	N;NOM;MASC;SG;3	ADJ;DEF;FEM;SG
काल	напрегнати	काल	напрегна-(се)	N;NOM;MASC;SG;3	ADJ;INDF;PL
ऐसे	такава	ऐसा	такъв	PRO;NOM;MASC;SG	DET;FEM;SG
ऐसे	такива	ऐसा	такъв	PRO;NOM;MASC;SG	DET;PL
ऐसे	такова	ऐसा	такъв	PRO;NOM;MASC;SG	DET;NEUT;SG
ऐसे	такъв	ऐसा	такъв	PRO;NOM;MASC;SG	DET;MASC;SG
प्रति	пер	प्रति	пер		PROPN;INDF;MASC;SG
स्टेशन	станции	स्टेशन	станция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
बड़े	голямо	बडा	голям	ADJ;NOM;MASC;PL	ADV
बड़े	голям	बडा	голям	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
बड़े	голяма	बडा	голям	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
बड़े	биг	बडा	биг	ADJ;NOM;MASC;PL	N;INDF;MASC;SG
बड़े	голямо	बडा	голям	ADJ;NOM;MASC;PL	ADV
बड़े	голям	बडा	голям	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
बड़े	голяма	बडा	голям	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
जनवरी	януари	जनवरी	януари	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
मध्य	централно	मध्य	централен		ADV
मध्य	централен	मध्य	централен		ADJ;INDF;MASC;SG
मध्य	централа	मध्य	централа		N;INDF;FEM;SG
मध्य	централни	मध्य	централен		ADJ;INDF;PL
मध्य	централна	मध्य	централен		ADJ;INDF;FEM;SG
मध्य	център	मध्य	център		N;INDF;MASC;SG
मध्य	средната	मध्य	среден		ADJ;DEF;FEM;SG
प्रथम	първо	प्रथम	първо	ADJ	ADV
विश्वविद्यालय	университетите	विश्वविद्यालय	университет	N;NOM;MASC;SG;3	N;DEF;MASC;PL
विश्वविद्यालय	университети	विश्वविद्यालय	университет	N;NOM;MASC;SG;3	N;INDF;MASC;PL
विश्वविद्यालय	university	विश्वविद्यालय	university	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
जून	джун	जून	джун	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जून	юни	जून	юни	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
उसकी	неговият	वह	мой	PRO;FEM;SG;3	DET;DEF;MASC;SG;3
उसकी	неговата	वह	мой	PRO;FEM;SG;3	DET;DEF;FEM;SG;3
उसकी	му	वह	мой	PRO;FEM;SG;3	PRO;DAT;MASC;SG;3
उसकी	неговия	वह	мой	PRO;FEM;SG;3	DET;DEF;MASC;SG;3
उसकी	нея	वह	аз	PRO;FEM;SG;3	PRO;ACC;FEM;SG;3
जिसके	облекчава	जो	облекчавам-(се)	PRO;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
मार्च	мар	मार्च	мар	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
मार्च	март	मार्च	март	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
बन	хлебче	बन	хлебче	V;ACT	N;INDF;NEUT;SG
बन	питка	बन	питка	V;ACT	N;INDF;FEM;SG
बन	бън	बन	бън	V;ACT	PROPN;INDF;MASC;SG
बन	кифла	बन	кифла	V;ACT	N;INDF;FEM;SG
बनी	зайчето	बन	зайче	V;PFV;FEM;SG;V.PTCP;ACT	N;DEF;NEUT;SG
बनी	бъни	बन	бъна	V;PFV;FEM;SG;V.PTCP;ACT	N;INDF;MASC;SG
बनी	зайче	बन	зайче	V;PFV;FEM;SG;V.PTCP;ACT	N;INDF;NEUT;SG
अर्थ	смисъл	अर्थ	смисъл		N;INDF;MASC;SG
अप्रैल	април	अप्रैल	април	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अप्रैल	ейприл	अप्रैल	ейприл	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
अप्रैल	април	अप्रैल	април	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
महत्वपूर्ण	важно	महत्वपूर्ण	важно	ADJ	ADV
महत्वपूर्ण	критично	महत्वपूर्ण	критично	ADJ	ADV
प्रामाणिक	автентично	प्रामाणिक	автентично	ADJ;NOM	ADV
आप	си	आप	съм	PRO;NOM;SG;2;FORM	V;IPFV;IND;SG;2;PRS;FIN;ACT
आप	ви	आप	аз	PRO;NOM;SG;2;FORM	PRO;ACC;SG;2
किए	coa	कर	coa	V;PFV;MASC;PL;V.PTCP;ACT	PROPN;INDF;MASC;SG
अक्टूबर	октомври	अक्टूबर	октомври	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अक्टूबर	ост	अक्टूबर	ост	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
अक्टूबर	октомври	अक्टूबर	октомври	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
समूह	групово	समूह	групово	N;NOM;MASC;SG;3	ADV
समूह	групова	समूह	групов	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
समूह	групи	समूह	група	N;NOM;MASC;SG;3	N;INDF;FEM;PL
वर्तमान	текущ	वर्तमान	текущ	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
वर्तमान	текуща	वर्तमान	текущ	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
वर्तमान	текущи	वर्तमान	текущ	N;NOM;MASC;SG;3	ADJ;INDF;PL
वर्तमान	присъстващи	वर्तमान	присъствам	N;NOM;MASC;SG;3	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
अध्ययन	уча	अध्ययन	уча-(се)	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN;ACT
अध्ययन	учим	अध्ययन	уча-(се)	N;NOM;MASC;SG;3	V;IPFV;IND;PL;1;PRS;FIN;ACT
अध्ययन	учи	अध्ययन	уча-(се)	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN
अध्ययन	изследвания	अध्ययन	изследване	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
अध्ययन	проучвания	अध्ययन	проучване	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
विभाग	отделите	विभाग	отдел	N;NOM;MASC;SG;3	N;DEF;MASC;PL
विभाग	управления	विभाग	управление	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
विभाग	отдели	विभाग	отдел	N;NOM;MASC;SG;3	N;INDF;MASC;PL
आम	манго	आम	манго	ADJ	N;INDF;MASC;SG
आम	чести	आम	честя-(се)	ADJ	N;INDF;FEM;PL
स्थिति	държавно	स्थिति	държавен	N;NOM;FEM;SG;3	ADV
प्रभाव	последици	प्रभाव	последица	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रभाव	ефекти	प्रभाव	ефект	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रभाव	влияния	प्रभाव	влияние	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
आदर्श	идеализъм	आदर्श	идеализъм	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
आदर्श	идеален	आदर्श	идеален	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
आदर्श	идеални	आदर्श	идеален	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
आदर्श	идеал	आदर्श	идея	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
आदर्श	идол	आदर्श	идол	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
साल	години	साल	година	N;NOM;MASC;SG;3	N;INDF;FEM;PL
साल	годините	साल	година	N;NOM;MASC;SG;3	N;DEF;FEM;PL
पहली	първо	पहला	първо	ADJ;NOM;FEM;SG	ADV
संगीत	music	संगीत	music	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
अमेरिकी	американска	अमेरिकी	американски	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
अमेरिकी	американско	अमेरिकी	американски	PROPN;NOM;SG;3	ADV
अमेरिकी	американски	अमेरिकी	американски	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
अमेरिकी	американец	अमेरिकी	американец	PROPN;NOM;SG;3	N;INDF;MASC;SG
अमेरिकी	американците	अमेरिकी	американец	PROPN;NOM;SG;3	N;DEF;MASC;PL
अमेरिकी	американци	अमेरिकी	американец	PROPN;NOM;SG;3	N;INDF;MASC;PL
सेवा	услуги	सेवा	услуга	N;NOM;FEM;SG;3	N;INDF;FEM;PL
बनाने	правене	बना	правене	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
बनाने	копачи	बना	копач	V;MASC;NFIN;ACT	N;INDF;MASC;PL
आज	днеска	आज	днеска	N;NOM;MASC;SG;3	ADV
आज	днес	आज	днес	N;NOM;MASC;SG;3	ADV
स्थापित	установен	स्थापित	установя-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
स्थापित	установена	स्थापित	установя-(се)	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
स्थापित	установени	स्थापित	установя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
स्थापित	установено	स्थापित	установя-(се)	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
स्थापित	инсталирана	स्थापित	инсталирам	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
स्थापित	инсталиран	स्थापित	инсталирам	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
स्थापित	монтирано	स्थापित	монтирам	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
स्थापित	монтиран	स्थापित	монтирам	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
स्थापित	инсталирани	स्थापित	инсталирам	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
स्थापित	основана	स्थापित	основа	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
स्थापित	основано	स्थापित	основа	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
स्थापित	основан	स्थापित	основа	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
स्थापित	установи	स्थापित	установя-(се)	ADJ	V;PFV;IMP;SG;2;FIN
उच्च	висок	उच्च	висок		ADJ;INDF;MASC;SG
उच्च	висока	उच्च	висок		ADJ;INDF;FEM;SG
उच्च	високи	उच्च	висок		ADJ;INDF;PL
उच्च	високо	उच्च	високо		ADV
उच्च	възвишено	उच्च	възвиша-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
उपलब्ध	налично	उपलब्ध	налично	ADJ	ADV
काफी	достатъчно	काफी	достатъчно	DET	ADV
काफी	изобилие	काफी	изобилие	DET	N;INDF;NEUT;SG
बड़ी	голямо	बडा	голям	ADJ;NOM;FEM;SG	ADV
बड़ी	големи	बडा	голям	ADJ;NOM;FEM;SG	ADJ;INDF;PL
बड़ी	биг	बडा	биг	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
बड़ी	голямо	बडा	голям	ADJ;NOM;FEM;SG	ADV
बड़ी	големи	बडा	голям	ADJ;NOM;FEM;SG	ADJ;INDF;PL
शक	съмнения	शक	съмнение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
श्री	шри	श्री	шри	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
उदाहरण	примерна	उदाहरण	примерна-(се)	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
उदाहरण	примери	उदाहरण	пример	N;NOM;MASC;SG;3	N;INDF;MASC;PL
उसका	неговият	वह	мой	PRO;MASC;SG;3	DET;DEF;MASC;SG;3
उसका	неговата	वह	мой	PRO;MASC;SG;3	DET;DEF;FEM;SG;3
उसका	му	वह	мой	PRO;MASC;SG;3	PRO;DAT;MASC;SG;3
उसका	неговия	वह	мой	PRO;MASC;SG;3	DET;DEF;MASC;SG;3
उसका	нея	वह	аз	PRO;MASC;SG;3	PRO;ACC;FEM;SG;3
जिससे	което	जो	който	PRO;SG;3	PRO;NOM;NEUT;SG
जिससे	която	जो	който	PRO;SG;3	PRO;NOM;FEM;SG
स्थापना	инсталации	स्थापना	инсталация	N;NOM;FEM;SG;3	N;INDF;FEM;PL
स्थापना	инсталации	स्थापना	инсталация	N;NOM;FEM;SG;3	N;INDF;FEM;PL
कंपनी	company	कंपनी	company	N;NOM;FEM;SG;3	NUM;INDF;PL
अधिकांश	повечето	अधिकांश	повече	CONJ	ADV;DEF;PL
अधिकांश	предимно	अधिकांश	предимно	CONJ	ADV
