年	évi	年	évi	N	
希望	remélem	希望	remél	V	
心	szívem	心	szívem	N	V;DEF;IND;SG;1;PRS;FIN;ACT
心	szívvel	心	szív	N	
播放	közvetítés	播放	közvetítés	V	N;NOM;SG
播放	adás	播放	adás	V	N;NOM;SG
播放	játék	播放	játék	V	N;NOM;SG
播放	play	播放	play	V	
播放	játssz	播放	játssz	V	
播放	lejátszás	播放	lejátszás	V	N;NOM;SG
音	tone	音	tone	N	
增加	növekedés	增加	növekedés	V	N;NOM;SG
增加	növelése	增加	növelés	V	N;NOM;SG
增加	emelkedés	增加	emelkedés	V	N;NOM;SG
增加	növekvő	增加	növekvő	V	ADJ;NOM;SG
增加	fokozott	增加	fokozik	V	
角	szögletes	角	szögletes	N	
角	cape	角	cap	N	
角	pont	角	pont	N	
角	point	角	point	N	
這些	ezek	這些	ez	DET	PRO;NOM;PL;3
這些	ezeket	這些	ez	DET	PRO;ACC;PL;3
丹	dan	丹	dan	PROPN	PROPN;NOM;SG
太	is	太	is	ADV	CONJ
太	túl	太	túl	ADV	
徐	seo	徐	seo	PROPN	N;NOM;SG
徐	tsui	徐	tsui	PROPN	
永	szárnyat	永	szárny	PROPN	N;ACC;SG
永	szárnya	永	szárny	PROPN	N;NOM;SG
永	wing	永	wing	PROPN	
永	szárny	永	szárny	PROPN	N;NOM;SG
永	yong	永	yong	PROPN	
歌	song	歌	song	N	
美	dollárban	美	dollár	PROPN	N;IN+ESS;SG
美	dollár	美	dollár	PROPN	N;NOM;SG
美	dollár	美	dollár	PROPN	N;NOM;SG
霍	huo	霍	huo	PROPN	
投票	szavazz	投票	szavazz	V	
投票	szavazás	投票	szavazás	V	N;NOM;SG
投票	szavazat	投票	szavazat	V	
投票	szavazás	投票	szavazás	V	N;NOM;SG
投票	szavazati	投票	szavazati	V	N;NOM;SG
投票	szavazó	投票	szavazó	V	
投票	felmérés	投票	felmérés	V	N;NOM;SG
投票	szavazás	投票	szavazás	V	N;NOM;SG
灣	cove	灣	cove	N	
灣	bay	灣	bay	N	
寺	temple	寺	temple	N	
雖然	habár	雖然	habár	ADP	CONJ
雖然	bár	雖然	bár	ADP	CONJ
雖然	habár	雖然	habár	ADP	CONJ
雖然	bár	雖然	bár	ADP	CONJ
參加	részvétel	參加	részvétel	V	N;NOM;SG
參加	szakorvos	參加	szakorvos	V	N;NOM;SG
特別	különleges	特別	különleges	ADV	
特別	speciális	特別	speciális	ADV	ADJ;NOM;SG
控制	kontroll	控制	kontroll	V	N;NOM;SG
控制	irányítás	控制	irányítás	V	N;NOM;SG
控制	vezérlő	控制	vezérlő	V	ADJ;NOM;SG
控制	ellenőrzési	控制	ellenőrzési	V	ADJ;NOM;SG
控制	ellenőrzés	控制	ellenőrzés	V	N;NOM;SG
控制	ellenőrzések	控制	ellenőrzés	V	N;NOM;PL
蒙	mont	蒙	mont	PROPN	
以下	alul	以下	alul	DET	
以下	alatt	以下	alatt	DET	ADP
以下	alatta	以下	alat	DET	
以下	alább	以下	alá	DET	ADV
以下	lent	以下	lesz	DET	
然而	mindamellett	然而	mindamellett	ADV	
然而	mindazonáltal	然而	mindazonáltal	ADV	CONJ
然而	azonban	然而	azonban	ADV	CONJ
然而	mégis	然而	mégis	ADV	CONJ
七	hetes	七	hetes	NUM	N;NOM;SG
七	hét	七	hét	NUM	N;NOM;SG
口	szád	口	szád	N	V;DEF;IND;SG;1;PRS;FIN;ACT
仁	jin	仁	jin	PROPN	
仁	jen	仁	jen	PROPN	
編輯	szerkesztés	編輯	szerkesztés	N	V;INDF;IND;SG;3;PRS;FIN;ACT
編輯	szerkesztés	編輯	szerkesztés	N	V;INDF;IND;SG;3;PRS;FIN;ACT
編輯	vágó	編輯	vágó	N	
隆	takashi	隆	takashi	PROPN	
隆	ryu	隆	ryu	PROPN	
青	ching	青	ching	N	PROPN;NOM;SG
青	csing	青	csing	N	
青	csing	青	csing	N	
青	qing	青	qing	N	
播出	közvetítés	播出	közvetítés	V	N;NOM;SG
播出	adás	播出	adás	V	N;NOM;SG
倫	lun	倫	lun	PROPN	
年度	évi	年度	évi	N	
宋	dal	宋	dal	PROPN	N;NOM;SG
宋	dalt	宋	dalt	PROPN	N;ACC;SG
宋	song	宋	song	PROPN	
附近	közel	附近	közel	N	
附近	közeli	附近	közeli	N	
歌手	énekesnő	歌手	énekesnő	N	
歌手	singer	歌手	singer	N	
二十	twenty	二十	twenty	NUM	
分類	osztályozza	分類	osztályoz	N	ADV;V.CVB
分類	osztályozási	分類	osztályozási	N	ADJ;NOM;SG
盃	cup	盃	cup	N	
源	forrás	源	forrás		N;NOM;SG
八	nyolc	八	nyolc	NUM	
法國	franciaország	法國	franciaország	PROPN	N;NOM;SG
法國	france	法國	france	PROPN	
除	kivéve	除	kivév	V	
不過	de	不過	de	ADV	CONJ
老	idős	老	idős	PART	
老	régit	老	régit	PART	N;ACC;SG
老	régi	老	régi	PART	
老	öreg	老	öreg	PART	
老	régiek	老	régiek	PART	N;NOM;PL
女子	nö	女子	nö	N	
鐵	vas	鐵	vas	PROPN	
鐵	vasat	鐵	vasat	PROPN	N;ACC;SG
德國	németország	德國	németország	PROPN	N;NOM;SG
動畫	anime	動畫	azim	N	
打	harc	打	harc	V	N;NOM;SG
佛	buddha	佛	buddha	PROPN	N;NOM;SG
少	kevesebben	少	keveseb		ADV
少	kevésbé	少	kevésbé		ADV
個人	személyes	個人	személyes	N	ADJ;NOM;SG
個人	személyi	個人	személyi	N	ADJ;NOM;SG
個人	egyéni	個人	egyéni	N	
擁有	birtoklás	擁有	birtoklás	V	N;NOM;SG
擁有	tulajdonában	擁有	tulajdon	V	N;IN+ESS;SG
學生	hallgató	學生	hallgató	N	
學生	tanuló	學生	tanuló	N	ADJ;NOM;SG
鎮	town	鎮	town	N	
南部	dél	南部	dél	N	
南部	déli	南部	déli	N	
南部	dél	南部	dél	N	
南部	délre	南部	délre	N	ADV
南部	déli	南部	déli	N	
模式	mode	模式	mode	N	
相關	vonatkozó	相關	vonatkozó	V	ADJ;NOM;SG
相關	releváns	相關	releváns	V	
相關	relevánsak	相關	releváns	V	ADJ;NOM;PL
相關	lényeges	相關	lényeges	V	
相關	összefüggő	相關	összefüggő	V	
相關	kapcsolódó	相關	kapcsolódó	V	ADJ;NOM;SG
相關	rokonok	相關	rokon	V	N;NOM;PL
相關	rokon	相關	rokon	V	
相關	kapcsolatban	相關	kapcsolat	V	N;IN+ESS;SG
決定	döntés	決定	döntés	V	N;NOM;SG
決定	határozat	決定	határozat	V	N;NOM;SG
決定	döntések	決定	döntés	V	N;NOM;PL
決定	határozatok	決定	határozat	V	N;NOM;PL
楊	jan	楊	jan	PROPN	
楊	yang	楊	yang	PROPN	
楊	yeo	楊	yeo	PROPN	
方向	orientációs	方向	orientációs	N	ADJ;NOM;SG
郭	guo	郭	guo	PROPN	
影響	ütközés	影響	ütközés	V	N;NOM;SG
影響	becsapódás	影響	becsapódás	V	N;NOM;SG
影響	hatás	影響	hatás	V	N;NOM;SG
影響	hatása	影響	hatás	V	N;NOM;SG
影響	hatások	影響	hatás	V	N;NOM;PL
影響	befolyása	影響	befolyás	V	N;NOM;SG
影響	befolyással	影響	befolyás	V	N;INS;SG
影響	befolyás	影響	befolyás	V	N;NOM;SG
影響	hatások	影響	hatás	V	N;NOM;PL
影響	hatásai	影響	hatás	V	N;NOM;PL
影響	hatás	影響	hatás	V	N;NOM;SG
許多	sok	許多	sok	NUM	
許多	sokan	許多	sokan	NUM	ADV
第四	negyedszer	第四	negyedszer	NUM	
第四	negyedik	第四	negyed	NUM	
秀	soo	秀	soo	PROPN	
死	halott	死	halott	N	
自治	autonómia	自治	autonómia	V	N;NOM;SG
蘇	sue	蘇	sue	PROPN	
開	nyitva	開	nyitva		ADV;V.CVB
見	lásd	見	lásd	V	
田	tian	田	tian	PROPN	
結束	befejezés	結束	befejezés	V	N;NOM;SG
結束	vége	結束	vég	V	N;NOM;SG
結束	vég	結束	vég	V	N;NOM;SG
巴西	brazília	巴西	brazília	PROPN	
共同	közös	共同	közös	ADV	
共同	gyakori	共同	gyakori	ADV	
出版	kiadó	出版	kiadó	V	N;NOM;SG
出版	kiadók	出版	kiadó	V	N;NOM;PL
提名	jelölések	提名	jelölés	V	N;NOM;PL
提名	jelöléseket	提名	jelölés	V	N;ACC;PL
提名	jelölés	提名	jelölés	V	N;NOM;SG
提名	jelölést	提名	jelölés	V	N;ACC;SG
提名	jelöltek	提名	jelöl	V	N;NOM;PL
提名	jelölt	提名	jelöl	V	
保護	védelme	保護	védelem	V	N;NOM;SG
保護	védelmet	保護	védelem	V	N;ACC;SG
保護	védelme	保護	védelem	V	N;NOM;SG
保護	védelem	保護	védelem	V	N;NOM;SG
保護	oltalom	保護	oltalom	V	
加上	hozzáadás	加上	hozzáadás	V	
加上	plus	加上	plus	V	
加上	plussz	加上	plussz	V	
加上	plusz	加上	plusz	V	
食	enni	食	ez	N	
食	eszik	食	esz	N	V;INDF;IND;SG;3;PRS;FIN;ACT
獨立	indie	獨立	indie	N	
獨立	független	獨立	független	N	
獨立	önálló	獨立	önálló	N	
獨立	függetlenek	獨立	független	N	V;INDF;IND;PL;3;PRS;FIN;ACT
距離	távolság	距離	távolság	ADP	N;NOM;SG
距離	távolságok	距離	távolság	ADP	N;NOM;PL
社會	társadalmi	社會	társadalmi	N	ADJ;NOM;SG
加拿大	kanada	加拿大	kanada	PROPN	PROPN;NOM;SG
加拿大	kanadai	加拿大	kanadai	PROPN	ADJ;NOM;SG
兩	kettő	兩	kettő	NUM	
公尺	mérő	公尺	mérő	N	
還	szintén	還	szintén	ADV	
還	úgyszintén	還	úgyszintén	ADV	
哥	testvér	哥	testvér	PROPN	N;NOM;SG
歐洲	európa	歐洲	európa	PROPN	
歐洲	europe	歐洲	europe	PROPN	
歐洲	európában	歐洲	európa	PROPN	N;IN+ESS;SG
歐洲	európai	歐洲	európai	PROPN	ADJ;NOM;SG
像	mint	像	mint	ADP	CONJ
像	like	像	lik	ADP	
像	tetszik	像	tetszik	ADP	V;INDF;IND;SG;3;PRS;FIN;ACT
功能	funkcionális	功能	funkcionális	N	ADJ;NOM;SG
聯盟	union	聯盟	union	N	
聯盟	unió	聯盟	unió	N	PROPN;NOM;SG
聯盟	unión	聯盟	unió	N	
聯盟	uniós	聯盟	uniós	N	ADJ;NOM;SG
聯盟	league	聯盟	leag	N	
洪	hung	洪	hung	PROPN	
洪	hong	洪	hong	PROPN	
利用	használat	利用	használat	V	N;NOM;SG
利用	használata	利用	használat	V	N;NOM;SG
利用	felhasználás	利用	felhasználás	V	N;NOM;SG
利用	hasznosítás	利用	hasznosítás	V	N;NOM;SG
平均	átlagos	平均	átlagos	ADV	ADJ;NOM;SG
平均	átlagosan	平均	átlagos	ADV	ADJ;FRML;SG
平均	átlag	平均	átlag	ADV	
侵	támadás	侵	támadás	ADP	N;NOM;SG
雙	kettős	雙	kettős	NUM	ADJ;NOM;SG
雙	dupla	雙	dupla	NUM	
雙	duplán	雙	duplán	NUM	
網	web	網	web	N	
網	network	網	network	N	
網	nettó	網	nettó	N	
施	shi	施	shi	PROPN	
演員	öntött	演員	öntött	N	
亞洲	ázsiai	亞洲	ázsiai	PROPN	ADJ;NOM;SG
亞洲	ázsiai	亞洲	ázsiai	PROPN	ADJ;NOM;SG
亞洲	ázsia	亞洲	ázsia	PROPN	
全球	globálisan	全球	globális	N	ADJ;FRML;SG
全球	globális	全球	globális	N	ADJ;NOM;SG
全球	global	全球	global	N	
全部	mindegyik	全部	mindegyik	DET	
全部	mind	全部	mind	DET	CONJ
全部	minden	全部	minden	DET	PRO;NOM;SG;3
北部	észak	北部	észak	N	
北部	északi	北部	északi	N	
北部	észak	北部	észak	N	
北部	északi	北部	északi	N	
運動	sport	運動	sport	N	
運動	sport	運動	sport	N	
中共	cpc	中共	cpc	PROPN	
毛	bruttó	毛	bruttó	PROPN	
毛	mao	毛	mao	PROPN	
草	fű	草	fű	N	
地球	föld	地球	föld	PROPN	N;NOM;SG
死亡	halál	死亡	halál	V	N;NOM;SG
作曲	komponálni	作曲	komponál	N	V;NFIN;ACT
溪	creek	溪	cr	N	
邦	pong	邦	pong	PROPN	
紅	piros	紅	piros	N	
紅	piroska	紅	piroska	N	
紅	vörös	紅	vörös	N	
唱片	rekord	唱片	rekord	N	
安全	biztonságos	安全	biztonságos	N	ADJ;NOM;SG
安全	biztonságos	安全	biztonságos	N	ADJ;NOM;SG
玉	jáde	玉	jád	PROPN	N;NOM;SG
勝	sheng	勝	sheng	N	
豪	howe	豪	hop	PROPN	
通過	via	通過	via	ADP	
通過	át	通過	át	ADP	ADV
通過	passz	通過	passz	ADP	N;NOM;SG
管	cső	管	cső		N;NOM;SG
管	tubus	管	tubus		N;NOM;SG
管	cső	管	cső		N;NOM;SG
強	erős	強	erős	N	
選舉	választási	選舉	választási	V	ADJ;NOM;SG
選舉	választás	選舉	választás	V	
選舉	választások	選舉	választás	V	N;NOM;PL
選舉	választások	選舉	választás	V	N;NOM;PL
辛	sheen	辛	sheen	N	
辛	sin	辛	sin	N	
漢	han	漢	han	PROPN	
法律	jogszabály	法律	jogszabály	N	
計劃	terv	計劃	terv	V	N;NOM;SG
計劃	tervek	計劃	terv	V	N;NOM;PL
時代	idők	時代	idő	N	
鄭	zheng	鄭	zheng	PROPN	
鄭	jeong	鄭	jeong	PROPN	
鄭	jung	鄭	jung	PROPN	
基本	alap	基本	alap	N	
基本	alapvető	基本	alapvető	N	
蔡	cai	蔡	cai	PROPN	
葉	levél	葉	levél	PROPN	N;NOM;SG
葉	yip	葉	yip	PROPN	PROPN;NOM;SG
單位	unit	單位	únit	N	
惠	megumi	惠	megumi	PROPN	
修	rendbe	修	rend	V	N;IN+ALL;SG
修	fix	修	fix	V	
科技	tech	科技	tech	N	
青年	ifjúsági	青年	ifjúsági	N	ADJ;NOM;SG
流	streaming	流	streaming	N	
流	flow	流	flow	N	
蒙古	mongol	蒙古	mongol	PROPN	
蒙古	mongólia	蒙古	mongólia	PROPN	
教	tanít	教	tanít	N	V;INDF;IND;SG;3;PRS;FIN;ACT
教	tanítani	教	tanít	N	V;NFIN;ACT
教	tanítás	教	tanítás	N	
教	tanítsd	教	tanítsd	N	V;DEF;IMP;SG;1;PRS;FIN;ACT
教	tanítson	教	tanít	N	V;INDF;IMP;SG;3;PRS;FIN;ACT
教	tanítani	教	tanít	N	V;NFIN;ACT
解放	emancipáció	解放	emancipáció	V	N;NOM;SG
解放	felszabadítási	解放	felszabadítási	V	N;NOM;SG
祖	joe	祖	joe	PROPN	
球隊	team	球隊	team	N	
左	bal	左	bal	N	
左	balra	左	balra	N	
戴	dai	戴	dai	N	
戴	viselni	戴	visel	N	V;NFIN;ACT
自然	természetesen	自然	természetes	N	ADJ;FRML;SG
自然	természetes	自然	természetes	N	ADJ;NOM;SG
台北	taipei	台北	taip	PROPN	N;NOM;PL
澳門	makaó	澳門	makaó	PROPN	N;NOM;SG
澳門	makaó	澳門	makaó	PROPN	N;NOM;SG
新	újdonság	新	újdonság	ADJ	N;NOM;SG
經濟	közgazdasági	經濟	közgazdasági	N	ADJ;NOM;SG
經濟	gazdasági	經濟	gazdasági	N	ADJ;NOM;SG
經濟	gazdaságos	經濟	gazdaságos	N	ADJ;NOM;SG
傑	jie	傑	jie	PROPN	
傑	jay	傑	jay	PROPN	
切	vágás	切	vágás	ADV	N;NOM;SG
一起	együtt	一起	együtt	N	
越南	vietnam	越南	viet	PROPN	
越南	vietnami	越南	vietnami	PROPN	
越南	vietnami	越南	vietnami	PROPN	
權	kwon	權	kwon	PROPN	V;DEF;IND;SG;3;PRS;FIN;ACT
快速	gyorsan	快速	gyors	N	ADJ;FRML;SG
快速	gyors	快速	gyors	N	
快速	gyorsan	快速	gyors	N	ADJ;FRML;SG
快速	gyors	快速	gyors	N	
學	tanulok	學	tanul	N	V;INDF;IND;SG;1;PRS;FIN;ACT
學	tanul	學	tanul	N	V;INDF;IND;SG;3;PRS;FIN;ACT
學	tanulni	學	tanul	N	V;NFIN;ACT
學	tanuljon	學	tanul	N	V;INDF;IMP;SG;3;PRS;FIN;ACT
學	tanul	學	tanul	N	V;INDF;IND;SG;3;PRS;FIN;ACT
百	száz	百	száz	PROPN	NUM;NOM;SG
廣	széles	廣	széles	ADV	N;NOM;SG
廣	tág	廣	tág	ADV	
廣	széles	廣	széles	ADV	N;NOM;SG
相同	egyforma	相同	egyforma	ADJ	
相同	megegyező	相同	megegyező	ADJ	
相同	azonos	相同	azonos	ADJ	
相同	ugyanez	相同	ugyanez	ADJ	
相同	ugyanaz	相同	ugyanaz	ADJ	
億	milliárd	億	milliárd	PROPN	NUM;NOM;SG
億	egymilliárd	億	egymilliárd	PROPN	
松	fenyő	松	fenyő	PROPN	
松	pine	松	pine	PROPN	
超過	meghaladó	超過	meghaladó	V	
銀	silver	銀	silver	N	
銀	ezüst	銀	ezüst	N	V;INDF;IND;SG;3;PST;FIN;ACT
單曲	egyéni	單曲	egyéni	N	
普通	közönséges	普通	közönséges	ADJ	N;NOM;SG
鰭	fin	鰭	fin	N	
南京	nanking	南京	nanking	PROPN	
南京	nanjing	南京	nanjing	PROPN	
標準	normál	標準	normál	N	
標準	standard	標準	standard	N	
排名	rangú	排名	rangú	V	
排名	ranglista	排名	ranglista	V	N;NOM;SG
排名	rang	排名	rang	V	N;NOM;SG
排名	rangja	排名	rang	V	N;NOM;SG
表	táblázat	表	táblázat		N;NOM;SG
表	tábla	表	tábla		N;NOM;SG
表	asztal	表	asz		N;NOM;SG
韓國	koreai	韓國	koreai	PROPN	
韓國	korea	韓國	korea	PROPN	N;NOM;SG
韓國	koreai	韓國	koreai	PROPN	
韓國	koreából	韓國	korea	PROPN	N;IN+ABL;SG
行動	akció	行動	akció	N	
立法	jogszabályok	立法	jogszabály	V	N;NOM;PL
立法	jogszabály	立法	jogszabály	V	
立法	jogalkotás	立法	jogalkotás	V	N;NOM;SG
短	rövid	短	rövid	PART	
短	alacsony	短	alacsony	PART	ADJ;NOM;SG
短	röviden	短	röviden	PART	
坑	verem	坑	verem	N	
大型	nagyméretű	大型	nagyméretű	N	ADJ;NOM;SG
大型	nagy	大型	nagy	N	ADJ;NOM;SG
凱	kai	凱	kai	PROPN	
凱	kay	凱	kay	PROPN	
城鎮	town	城鎮	town	N	
春	tavaszi	春	tavaszi	N	
海軍	haditengerészeti	海軍	haditengerészeti	N	ADJ;NOM;SG
海軍	tengerészeti	海軍	tengerészeti	N	ADJ;NOM;SG
公路	uton	公路	ut	N	
冠	crown	冠	crown	N	
空	üresek	空	üres	N	ADJ;NOM;PL
空	üres	空	üres	N	
空	üresen	空	üres	N	ADJ;FRML;SG
雪	hó	雪	hó	PROPN	N;NOM;SG
雪	hófehérke	雪	hófehérk	PROPN	N;NOM;SG
雪	havazás	雪	havazás	PROPN	N;NOM;SG
牛	marha	牛	marha	N	
牛	szarvasmarhák	牛	szarvasmar	N	
牛	bull	牛	bull	N	
火	tűz	火	tűz	N	V;INDF;IND;SG;3;PRS;FIN;ACT
攻擊	támadások	攻擊	támadás	V	N;NOM;PL
攻擊	támadásokat	攻擊	támadás	V	N;ACC;PL
攻擊	támadás	攻擊	támadás	V	N;NOM;SG
攻擊	támadás	攻擊	támadás	V	N;NOM;SG
十二	twelve	十二	twelve	NUM	
十二	tizenkettő	十二	tizenkettő	NUM	
新加坡	szingapúr	新加坡	szingapúr	PROPN	N;NOM;SG
琳	lynn	琳	lynn	PROPN	
西部	nyugat	西部	nyugat	N	
西部	nyugati	西部	nyugati	N	
西部	nyugati	西部	nyugati	N	
西部	nyugat	西部	nyugat	N	
西部	western	西部	western	N	
早期	korán	早期	korán	N	
早期	korai	早期	korai	N	
合併	fúzió	合併	fúzió	V	N;NOM;SG
合併	egyesülés	合併	egyesülés	V	N;NOM;SG
合併	összefonódás	合併	összefonódás	V	N;NOM;SG
合併	egyesülő	合併	egyesülő	V	ADJ;NOM;SG
合併	konszolidáció	合併	konszolidáció	V	N;NOM;SG
合併	egyesülés	合併	egyesülés	V	N;NOM;SG
合併	egyesülések	合併	egyesülés	V	N;NOM;PL
建築	építési	建築	építési	N	ADJ;NOM;SG
道路	uton	道路	ut	N	
發表	kiadás	發表	kiadás	V	N;NOM;SG
發表	kiadó	發表	kiadó	V	N;NOM;SG
發表	közzététel	發表	közzététel	V	N;NOM;SG
發表	közzététel	發表	közzététel	V	N;NOM;SG
低	alacsonyabb	低	alacsony	PART	ADJ;NOM;CMPR;SG
低	alsó	低	alsó	PART	
低	lejjebb	低	lejj	PART	ADV
低	alacsonyan	低	alacsony	PART	ADJ;FRML;SG
低	alacsony	低	alacsony	PART	ADJ;NOM;SG
樂	lok	樂	lok	N	
轉	fordulj	轉	fordul		V;INDF;IND;SG;1;PRS;FIN;ACT
來	től	來	től	V	
來	tól	來	tól	V	
來	from	來	from	V	
每年	éves	每年	éves	DET	ADJ;NOM;SG
每年	évenkénti	每年	évenként	DET	V;NFIN;ACT
每年	évenként	每年	évenkén	DET	N;ABS;SG
每年	évente	每年	éven	DET	N;ON+ESS;SG
天津	tianjin	天津	tian	PROPN	N;NOM;SG
技術	technikai	技術	technikai	N	ADJ;NOM;SG
畢業	érettségi	畢業	érettségi	V	ADJ;NOM;SG
畢業	diplomás	畢業	diplomás	V	N;NOM;SG
畢業	végzős	畢業	végzős	V	N;NOM;SG
設	szett	設	szett	V	N;NOM;SG
設	set	設	set	V	
設	beállítva	設	beállítva	V	ADV;V.CVB
設	forgatás	設	forgatás	V	N;NOM;SG
威廉	william	威廉	william	PROPN	
威廉	vilmos	威廉	vilmos	PROPN	
天主	katolicizmus	天主	katolicizmus	PROPN	N;NOM;SG
天主	katolikus	天主	katolikus	PROPN	
天主	katolikusok	天主	katolikus	PROPN	N;NOM;PL
富	gazdagok	富	gazdag		N;NOM;PL
芬	fen	芬	fen	PROPN	
芬	fin	芬	fin	PROPN	
大	legtöbb	大	legtöbb	PART	
程	cheng	程	cheng	N	
程	cseng	程	cseng	N	V;INDF;IND;SG;3;PRS;FIN;ACT
最早	leghamarabb	最早	nag	ADJ	
最早	legkorábban	最早	kerérab	ADJ	N;IN+ESS;SG
最初	eleinte	最初	eleint	N	
杯	cup	杯	cup	N	
廣告	hirdetés	廣告	hirdetés	N	
廣告	hirdetési	廣告	hirdetési	N	ADJ;NOM;SG
廣告	hirdetés	廣告	hirdetés	N	
廣告	hirdetés	廣告	hirdetés	N	
深	mélység	深	mélység	PART	N;NOM;SG
深	mély	深	mély	PART	
描述	megnevezés	描述	megnevezés	V	N;NOM;SG
描述	leírása	描述	leírás	V	N;NOM;SG
描述	leírás	描述	leírás	V	
描述	leíró	描述	leíró	V	N;NOM;SG
描述	leírások	描述	leírás	V	N;NOM;PL
皇帝	császár	皇帝	császár	N	
侯	hou	侯	hou	PROPN	PROPN;NOM;SG
域	domain	域	domain	N	
流行	népszerű	流行	népszerű	V	
流行	népszerűek	流行	népszerű	V	ADJ;NOM;PL
流行	fater	流行	fater	V	N;NOM;SG
流行	pop	流行	pop	V	
潘	pam	潘	pam	PROPN	
潘	pán	潘	pán	PROPN	
潘	pan	潘	pan	PROPN	
環	ring	環	ring	N	
環	gyűrűs	環	gyűrűs	N	
不	ismeretlenek	不	ismeretlen	ADV;NEG	ADJ;NOM;PL
不	ismeretlen	不	ismeretlen	ADV;NEG	
不	azonosítatlan	不	azonosítatlan	ADV;NEG	
取代	helyébe	取代	hely	V	N;IN+ALL;SG
物理	fizikai	物理	fizikai	N	
底	alul	底	alul	N	
底	alsó	底	alsó	N	
右	jobbra	右	jobbra	N	ADV
顯示	műsorok	顯示	műsor	V	N;NOM;PL
顯示	kijelző	顯示	kijelző	V	N;NOM;SG
顯示	megjelenítés	顯示	megjelenítés	V	N;NOM;SG
顯示	megjelenítési	顯示	megjelenítési	V	N;NOM;SG
顯示	show	顯示	show	V	
報告	beszámoló	報告	beszámoló	N	ADJ;NOM;SG
報告	jelenteni	報告	jelent	N	V;NFIN;ACT
秒	másodperc	秒	másodperc	N	
秒	másodszor	秒	másod	N	
秒	másodperc	秒	másodperc	N	
秒	második	秒	második	N	
秒	sec	秒	sec	N	
第五	ötödik	第五	ötödik	NUM	ADJ;NOM;SG
雲	cloud	雲	cloud	N	
雲	yoon	雲	yoon	N	
雲	yun	雲	yun	N	
小說	újszerű	小說	újszerű	N	
導演	rendező	導演	rendező	V	N;NOM;SG
導演	igazgató	導演	igazgató	V	N;NOM;SG
和平	béke	和平	béke	N	
西北	northwestern	西北	northwestern	N	
產生	generáló	產生	generáló	V	ADJ;NOM;SG
修改	módosítható	修改	módosítható	V	ADJ;NOM;SG
修改	módosítás	修改	módosítás	V	N;NOM;SG
修改	módosítva	修改	módosítva	V	ADV;V.CVB
修改	módosítás	修改	módosítás	V	N;NOM;SG
修改	módosítást	修改	módosítás	V	N;ACC;SG
生產	előállítás	生產	előállítás	V	N;NOM;SG
生產	gyártás	生產	gyártás	V	N;NOM;SG
生產	előállítás	生產	előállítás	V	N;NOM;SG
生產	gyártás	生產	gyártás	V	N;NOM;SG
生產	termelés	生產	termelés	V	N;NOM;SG
生產	termelési	生產	termelési	V	ADJ;NOM;SG
申請	alkalmazások	申請	alkalmazás	V	N;NOM;PL
申請	kérelmek	申請	kérelem	V	N;NOM;PL
申請	kérelem	申請	kérel	V	
申請	alkalmazás	申請	alkalmazás	V	N;NOM;SG
申請	jelentkezés	申請	jelentkezés	V	N;NOM;SG
單	egyedülálló	單	egyedülálló	NUM	
單	single	單	single	NUM	
單	egyetlen	單	egyetlen	NUM	
單	szingli	單	szingli	NUM	N;NOM;SG
谷	valley	谷	valley	N	
魏	wei	魏	wei	PROPN	
巴黎	párizs	巴黎	párizs	PROPN	N;NOM;SG
巴黎	párizsi	巴黎	párizsi	PROPN	
巴黎	párizsban	巴黎	párizs	PROPN	PROPN;IN+ESS;SG
宗教	vallásos	宗教	vallásos	N	
宗教	vallási	宗教	vallási	N	ADJ;NOM;SG
表演	teljesítő	表演	teljesítő	V	ADJ;NOM;SG
英格蘭	anglia	英格蘭	anglia	PROPN	N;NOM;SG
英格蘭	england	英格蘭	england	PROPN	
英格蘭	angliai	英格蘭	angliai	PROPN	ADJ;NOM;SG
拜	szia	拜	szia	PROPN	V;DEF;IND;SG;1;PRS;FIN;ACT
聯合	ízületi	聯合	ízületi	V	N;NOM;SG
聯合	joint	聯合	joint	V	
聯合	együttes	聯合	együttes	V	
聯合	közös	聯合	közös	V	
當地	helyileg	當地	helyi	N	
當地	helyi	當地	helyi	N	
不久	hamarosan	不久	hamarosan	N	ADV
改革	reformok	改革	reform	V	N;NOM;PL
改革	reform	改革	reform	V	
改革	reformokat	改革	reform	V	N;ACC;PL
改革	reformok	改革	reform	V	N;NOM;PL
改革	református	改革	református	V	N;NOM;SG
改革	reformja	改革	reform	V	N;NOM;SG
藝術	art	藝術	ar	N	
教區	parish	教區	parish	N	
處理	kezelése	處理	kezelés	V	N;NOM;SG
處理	kezelési	處理	kezelési	V	N;NOM;SG
處理	feldolgozás	處理	feldolgozás	V	N;NOM;SG
寧	ning	寧	ning	PROPN	
建議	tanácsadás	建議	tanácsadás	V	N;NOM;SG
建議	tanácsok	建議	tanács	V	N;NOM;PL
建議	tanács	建議	tanács	V	N;NOM;SG
建議	tanácsot	建議	tanács	V	N;ACC;SG
建議	ajánlásokat	建議	ajánlás	V	N;ACC;PL
建議	ajánlások	建議	ajánlás	V	N;NOM;PL
建議	ajánlás	建議	ajánlás	V	N;NOM;SG
建議	javaslatok	建議	javaslat	V	N;NOM;PL
建議	ajánlások	建議	ajánlás	V	N;NOM;PL
建議	javaslatok	建議	javaslat	V	N;NOM;PL
建議	javaslat	建議	javaslat	V	N;NOM;SG
