खिड़की	fenêtres	खिड़की	fenêtre	N;NOM;FEM;SG;3	N;FEM;PL
निसान	nissan	निसान	nissan	PROPN;NOM;MASC;SG;3	N;FEM;SG
पाद	pet	पाद	pet		N;MASC;SG
पाद	pète	पाद	péter		V;IND;SG;3;PRS;FIN
पाद	péter	पाद	péter		V;NFIN
दैत्य	géants	दैत्य	géant	PROPN;NOM;MASC;SG;3	N;MASC;PL
दैत्य	géant	दैत्य	géant	PROPN;NOM;MASC;SG;3	N;MASC;SG
दैत्य	giant	दैत्य	giant	PROPN;NOM;MASC;SG;3	PROPN
दैत्य	géante	दैत्य	géant	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
दैत्य	monstrueuse	दैत्य	monstrueux	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
दैत्य	monstrueux	दैत्य	monstrueux	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
दैत्य	monster	दैत्य	monster	PROPN;NOM;MASC;SG;3	N;MASC;SG
दैत्य	monstre	दैत्य	monstre	PROPN;NOM;MASC;SG;3	N;MASC;SG
प्रक्रम	procédé	प्रक्रम	procéder	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
गवाह	témoins	गवाह	témoin	N;NOM;MASC;SG;3	N;MASC;PL
गवाह	témoins	गवाह	témoin	N;NOM;MASC;SG;3	N;MASC;PL
क्रिश्चियन	chrétiens	क्रिश्चियन	chrétien	PROPN;NOM;MASC;SG;3	N;MASC;PL
क्रिश्चियन	christianisme	क्रिश्चियन	christianisme	PROPN;NOM;MASC;SG;3	N;MASC;SG
क्रिश्चियन	chrétienne	क्रिश्चियन	chrétien	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
क्रिश्चियन	christian	क्रिश्चियन	christian	PROPN;NOM;MASC;SG;3	PROPN
क्रिश्चियन	chrétien	क्रिश्चियन	chrétien	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
पत्रकारों	reporters	पत्रकार	reporter	N;ACC;MASC;PL;3	N;MASC;SG
माथुर	mathur	माथुर	mathur	PROPN;NOM;MASC;SG;3	PROPN
मजाक	plaisanter	मजाक	plaisanter	N;NOM;MASC;SG;3	V;NFIN
बेकर	boulanger	बेकर	boulanger	PROPN;NOM;MASC;SG;3	N;MASC;SG
बेकर	baker	बेकर	baker	PROPN;NOM;MASC;SG;3	PROPN
बेकर	becker	बेकर	becker	PROPN;NOM;MASC;SG;3	PROPN
कांड	scandales	कांड	scandale	N;NOM;MASC;SG;3	N;MASC;PL
गर्व	fier	गर्व	fier		V;NFIN
गर्व	fière	गर्व	fière		ADJ;FEM;SG
गर्व	fiers	गर्व	fier		ADJ;MASC;PL
गर्व	orgueilleux	गर्व	orgueilleux		ADJ;MASC;SG
गर्व	fières	गर्व	fière		ADJ;FEM;PL
मिठाई	doux	मिठा	doux	N;NOM;FEM;SG;3	ADJ;MASC;SG
मिठाई	sucré	मिठा	sucrer	N;NOM;FEM;SG;3	V;MASC;SG;PST;V.PTCP
मिठाई	douce	मिठा	doux	N;NOM;FEM;SG;3	ADJ;FEM;SG
मिठाई	sweet	मिठा	sweet	N;NOM;FEM;SG;3	PROPN
मिठाई	sucreries	मिठा	sucrerie	N;NOM;FEM;SG;3	N;FEM;PL
मिठाई	bonbons	मिठा	bonbon	N;NOM;FEM;SG;3	N;MASC;PL
मिठाई	friandises	मिठा	friandise	N;NOM;FEM;SG;3	N;FEM;PL
मिठाई	confiseries	मिठा	confiserie	N;NOM;FEM;SG;3	N;FEM;PL
मिठाई	douceurs	मिठा	douceur	N;NOM;FEM;SG;3	N;FEM;PL
तोमर	tomar	तोमर	tomar	PROPN;NOM;MASC;SG;3	PROPN
चांद	lunaire	चांद	lunaire		ADJ;MASC;SG
चांद	lune	चांद	lune		N;FEM;SG
चांद	moon	चांद	moon		PROPN
बदलना	remplacements	बदल	remplacement	V;MASC;NFIN;ACT	N;MASC;PL
बदलना	remplacement	बदल	remplacement	V;MASC;NFIN;ACT	N;MASC;SG
प्रीमियम	primes	प्रीमियम	prime	N;NOM;MASC;SG;3	N;FEM;PL
प्रीमियम	primes	प्रीमियम	prime	N;NOM;MASC;SG;3	N;FEM;PL
प्रीमियम	premium	प्रीमियम	premium	N;NOM;MASC;SG;3	
एक्सेस	accéder	एक्सेस	accéder	N;NOM;MASC;SG;3	V;NFIN
वेबसाईट	sites	वेबसाईट	site	N;NOM;FEM;SG;3	N;MASC;PL
सब्जियों	légume	सब्जी	légume	N;ACC;FEM;PL;3	N;MASC;SG
यूएसए	usa	यूएसए	usa	PROPN;NOM;MASC;SG;3	PROPN
स्क्रिप्ट	scripts	स्क्रिप्ट	script	N;NOM;FEM;SG;3	N;MASC;PL
अग्र	front	अग्र	front		N;MASC;SG
अग्र	avant	अग्र	avant		ADP
अग्र	devant	अग्र	devant		ADP
विपक्षी	antagoniste	विपक्षी	antagoniste	N;NOM;MASC;SG;3	ADJ;MASC;SG
बहिष्कार	boycotter	बहिष्कार	boycotter	N;NOM;MASC;SG;3	V;NFIN
टमाटर	tomates	टमाटर	tomate	N;NOM;MASC;SG;3	N;FEM;PL
टमाटर	tomates	टमाटर	tomate	N;NOM;MASC;SG;3	N;FEM;PL
खरीदारी	achats	खरीदारी	achat	N;NOM;FEM;SG;3	N;MASC;PL
खरीदारी	acheter	खरीदारी	acheter	N;NOM;FEM;SG;3	V;NFIN
खरीदारी	achetez	खरीदारी	acheter	N;NOM;FEM;SG;3	V;IMP;PL;2;PRS;FIN
खरीदारी	achats	खरीदारी	achat	N;NOM;FEM;SG;3	N;MASC;PL
फेयर	foire	फेयर	foire		N;FEM;SG
फेयर	justes	फेयर	juste		ADJ;MASC;PL
फेयर	équitable	फेयर	équitable		ADJ;MASC;SG
फेयर	équitables	फेयर	équitable		ADJ;MASC;PL
प्रतीकात्मक	symboliques	प्रतीकात्मक	symbolique	N;NOM;MASC;SG;3	ADJ;MASC;PL
प्रतीकात्मक	symbolique	प्रतीकात्मक	symbolique	N;NOM;MASC;SG;3	ADJ;MASC;SG
वृद्ध	ancienne	वृद्ध	ancien	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
वृद्ध	anciens	वृद्ध	ancien	PROPN;NOM;MASC;SG;3	ADJ;MASC;PL
वृद्ध	ancien	वृद्ध	ancien	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
वृद्ध	vieux	वृद्ध	vieux	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
वृद्ध	vieille	वृद्ध	vieux	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
वृद्ध	âgées	वृद्ध	âgé	PROPN;NOM;MASC;SG;3	ADJ;FEM;PL
वृद्ध	aîné	वृद्ध	aîné	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
पर्दे	rideaux	पर्दा	rideau	N;NOM;MASC;SG;3	N;MASC;PL
घोटाले	scandales	घोटाला	scandale	N;NOM;MASC;SG;3	N;MASC;PL
लाभांश	dividendes	लाभांश	dividende	N;NOM;MASC;SG;3	N;MASC;PL
राजी	raji	राजी	raji	ADJ	PROPN
राजी	persuader	राजी	persuader	ADJ	V;NFIN
राजी	persuade	राजी	persuader	ADJ	V;IND;SG;3;PRS;FIN
उत्कीर्ण	gravures	उत्कीर्ण	gravure	N;NOM;MASC;SG;3	N;FEM;PL
आटा	farines	आटा	farine	N;NOM;MASC;SG;3	N;FEM;PL
जासूस	espionner	जासूस	espionner	N;NOM;MASC;SG;3	V;NFIN
जासूस	espions	जासूस	espion	N;NOM;MASC;SG;3	N;MASC;PL
जासूस	inspecteurs	जासूस	inspecteur	N;NOM;MASC;SG;3	N;MASC;PL
जासूस	détectives	जासूस	détectif	N;NOM;MASC;SG;3	N;MASC;PL
नमस्कार	bonjour	नमस्कार	bonjour	PROPN;NOM;MASC;SG;3	INTJ
नमस्कार	coucou	नमस्कार	coucou	PROPN;NOM;MASC;SG;3	INTJ
नमस्कार	hello	नमस्कार	hello	PROPN;NOM;MASC;SG;3	INTJ
नमस्कार	salut	नमस्कार	salut	PROPN;NOM;MASC;SG;3	N;MASC;SG
नमस्कार	bjr	नमस्कार	bjr	PROPN;NOM;MASC;SG;3	INTJ
निर्मल	sereine	निर्मल	serein	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
निर्मल	serein	निर्मल	serein	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
निर्मल	translucide	निर्मल	translucide	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
कार्यक्षेत्र	portée	कार्यक्षेत्र	porter	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
मोटरसाइकिल	motocycles	मोटरसाइकिल	motocycle	N;NOM;FEM;SG;3	N;MASC;PL
मोटरसाइकिल	motocyclettes	मोटरसाइकिल	motocyclette	N;NOM;FEM;SG;3	N;FEM;PL
मोटरसाइकिल	motos	मोटरसाइकिल	moto	N;NOM;FEM;SG;3	N;FEM;PL
मोटरसाइकिल	motocyclettes	मोटरसाइकिल	motocyclette	N;NOM;FEM;SG;3	N;FEM;PL
पुनरावृत्ति	rejouer	पुनरावृत्ति	rejouer	N;NOM;FEM;SG;3	V;NFIN
गल्फ	golfe	गल्फ	golfe	PROPN;NOM;MASC;SG;3	N;MASC;SG
गल्फ	gulf	गल्फ	gulf	PROPN;NOM;MASC;SG;3	PROPN
अंटार्कटिक	antarctique	अंटार्कटिक	antarctique	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
अंटार्कटिक	antarctique	अंटार्कटिक	antarctique	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
डैनी	danny	डैनी	danny	PROPN;NOM;MASC;SG;3	PROPN
डैनी	dany	डैनी	dany	PROPN;NOM;MASC;SG;3	PROPN
पंद्रह	fifteen	पंद्रह	fifteen	NUM	N;MASC;SG
पंद्रह	quinzaine	पंद्रह	quinzaine	NUM	N;FEM;SG
महंगा	chères	महंगा	cher	ADJ;NOM;MASC;SG	ADJ;FEM;PL
प्रबंधित	gérée	प्रबंधित	gérer	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
प्रबंधित	gérés	प्रबंधित	gérer	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
प्रबंधित	géré	प्रबंधित	gérer	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
मनोरंजक	marrant	मनोरंजक	marrant	N;NOM;MASC;SG;3	ADJ;MASC;SG
मनोरंजक	amusant	मनोरंजक	amusant	N;NOM;MASC;SG;3	ADJ;MASC;SG
मनोरंजक	divertissant	मनोरंजक	divertir	N;NOM;MASC;SG;3	ADJ;MASC;SG
सजाया	décorées	सजा	décoré	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;PL;PST;V.PTCP
सजाया	décorés	सजा	décorer	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;PL;PST;V.PTCP
एडम	adam	एडम	adam	PROPN;NOM;MASC;SG;3	PROPN
अनगिनत	infinie	अनगिनत	infini	ADP	ADJ;FEM;SG
अनगिनत	infinies	अनगिनत	infini	ADP	ADJ;FEM;PL
अनगिनत	infini	अनगिनत	infini	ADP	PROPN
अनगिनत	myriade	अनगिनत	myriade	ADP	N;FEM;SG
अनगिनत	innombrables	अनगिनत	innombrable	ADP	ADJ;MASC;PL
सुन्नी	sunnites	सुन्नी	sunnite	N;NOM;MASC;SG;3	ADJ;MASC;PL
सुन्नी	sunnite	सुन्नी	sunnite	N;NOM;MASC;SG;3	ADJ;MASC;SG
आदर्शों	idéaux	आदर्श	idéau	N;ACC;MASC;PL;3	ADJ;MASC;PL
डिवाइस	dispositifs	डिवाइस	dispositif	N;NOM;MASC;SG;3	N;MASC;PL
डिवाइस	appareils	डिवाइस	appareil	N;NOM;MASC;SG;3	N;MASC;PL
डिवाइस	périphériques	डिवाइस	périphérique	N;NOM;MASC;SG;3	ADJ;MASC;PL
लियोन	léon	लियोन	léon	PROPN;NOM;MASC;SG;3	N;MASC;SG
लियोन	león	लियोन	león	PROPN;NOM;MASC;SG;3	PROPN
लियोन	leon	लियोन	leon	PROPN;NOM;MASC;SG;3	PROPN
हीन	mineures	हीन	mineur		ADJ;FEM;PL
हीन	mineure	हीन	mineur		ADJ;FEM;SG
हीन	mineur	हीन	mineur		N;MASC;SG
ऑब्जेक्ट	objets	ऑब्जेक्ट	objet	N;NOM;MASC;SG;3	N;MASC;PL
पेंटिंग	peintures	पेंटिंग	peinture	N;NOM;FEM;SG;3	N;FEM;PL
एमटीवी	mtv	एमटीवी	mtv	PROPN;NOM;MASC;SG;3	PROPN
एवरेस्ट	everest	एवरेस्ट	everest	PROPN;NOM;MASC;SG;3	PROPN
बकरी	chèvre	बकरी	chèvre		N;FEM;SG
बकरी	bouc	बकरी	bouc		N;MASC;SG
ऋषिकेश	rishikesh	ऋषिकेश	rishikesh	PROPN;NOM;MASC;SG;3	PROPN
स्विफ्ट	swift	स्विफ्ट	swift	PROPN;NOM;MASC;SG;3	PROPN
सांचे	moisissures	सांच	moisissure	N;NOM;MASC;SG;3	N;FEM;PL
सिंधी	sindhi	सिंधी	sindhi		N;MASC;SG
क्षितिज	horizons	क्षितिज	horizon	N;NOM;MASC;SG;3	N;MASC;PL
दोहरा	doubler	दोहरा	doubler	ADJ;NOM;MASC;SG	V;NFIN
दोहरा	doubles	दोहरा	double	ADJ;NOM;MASC;SG	ADJ;MASC;PL
दोहरा	dual	दोहरा	dual	ADJ;NOM;MASC;SG	N;MASC;SG
रैली	rallyes	रैली	rallye	N;NOM;FEM;SG;3	N;MASC;PL
कलन	calcul	कलन	calcul		N;MASC;SG
शोधकर्ता	chercheuse	शोधकर्ता	chercheux	N;NOM;MASC;PL;3	N;FEM;SG
शोधकर्ता	chercheur	शोधकर्ता	chercheur	N;NOM;MASC;PL;3	N;MASC;SG
रॉबिन	robin	रॉबिन	robin	PROPN;NOM;MASC;SG;3	PROPN
बैंगनी	violette	बैंगनी	violette		N;FEM;SG
बैंगनी	pourpre	बैंगनी	pourpre		ADJ;FEM;SG
बैंगनी	violet	बैंगनी	violet		N;MASC;SG
बैंगनी	violettes	बैंगनी	violette		N;FEM;PL
बैंगनी	aubergine	बैंगनी	aubergin		N;FEM;SG
बैंगनी	aubergines	बैंगनी	aubergin		N;FEM;PL
बैंगनी	violette	बैंगनी	violette		N;FEM;SG
बैंगनी	violettes	बैंगनी	violette		N;FEM;PL
बैंगनी	violet	बैंगनी	violet		N;MASC;SG
व्यू	portier	व्यू	portier	PROPN;NOM;MASC;SG;3	N;MASC;SG
प्रक्षेपास्त्र	roquettes	प्रक्षेपास्त्र	roquette	N;NOM;MASC;SG;3	N;FEM;PL
प्रक्षेपास्त्र	fusées	प्रक्षेपास्त्र	fusée	N;NOM;MASC;SG;3	N;FEM;PL
प्रक्षेपास्त्र	missiles	प्रक्षेपास्त्र	missile	N;NOM;MASC;SG;3	N;MASC;PL
बीजिंग	pékin	बीजिंग	pékin	PROPN;NOM;MASC;SG;3	PROPN
बीजिंग	beijing	बीजिंग	beijing	PROPN;NOM;MASC;SG;3	PROPN
स्वैच्छिक	volontaire	स्वैच्छिक	volontaire	PROPN;NOM	ADJ;MASC;SG
स्वैच्छिक	volontaires	स्वैच्छिक	volontaire	PROPN;NOM	ADJ;MASC;PL
फोटोग्राफी	photographique	फोटोग्राफी	photographique	N;NOM;FEM;SG;3	ADJ;MASC;SG
प्रौढ़	adulte	प्रौढ़	adulte		ADJ;MASC;SG
प्रौढ़	adultes	प्रौढ़	adulte		N;MASC;PL
कैलिफ़ोर्निया	californie	कैलिफ़ोर्निया	californie	PROPN;NOM;MASC;SG;3	PROPN
कैलिफ़ोर्निया	californienne	कैलिफ़ोर्निया	californien	PROPN;NOM;MASC;SG;3	ADJ;FEM;SG
कैलगरी	calgary	कैलगरी	calgary	N;NOM;MASC;SG;3	PROPN
प्रतिभूति	titres	प्रतिभूति	titre	N;NOM;FEM;SG;3	N;MASC;PL
साउंडट्रैक	soundtrack	साउंडट्रैक	soundtrack	N;NOM;MASC;SG;3	PROPN
वार्तालाप	conversations	वार्तालाप	conversation	N;NOM;FEM;SG;3	N;FEM;PL
बुद्धिमान	intelligente	बुद्धिमान	intelligent	N;NOM;MASC;SG;3	ADJ;FEM;SG
बुद्धिमान	intelligents	बुद्धिमान	intelligent	N;NOM;MASC;SG;3	ADJ;MASC;PL
बुद्धिमान	intelligent	बुद्धिमान	intelligent	N;NOM;MASC;SG;3	ADJ;MASC;SG
बुद्धिमान	intelligentes	बुद्धिमान	intelligent	N;NOM;MASC;SG;3	ADJ;FEM;PL
बुद्धिमान	astucieux	बुद्धिमान	astucieux	N;NOM;MASC;SG;3	ADJ;MASC;SG
उभरते	naissants	उभर	naissant	V;IPFV;MASC;PL;V.PTCP;ACT	ADJ;MASC;PL
उभरते	émergents	उभर	émergent	V;IPFV;MASC;PL;V.PTCP;ACT	ADJ;MASC;PL
उभरते	émergente	उभर	émergente	V;IPFV;MASC;PL;V.PTCP;ACT	ADJ;FEM;SG
फोकस	focus	फोकस	focus		N;MASC;SG
फोकस	concentrer	फोकस	concentrer		V;NFIN
वर्चस्व	dominée	वर्चस्व	dominer	N;NOM;MASC;SG;3	V;FEM;SG;PST;V.PTCP
वर्चस्व	dominés	वर्चस्व	dominer	N;NOM;MASC;SG;3	V;MASC;PL;PST;V.PTCP
वर्चस्व	dominé	वर्चस्व	dominer	N;NOM;MASC;SG;3	V;MASC;SG;PST;V.PTCP
वर्चस्व	dominées	वर्चस्व	dominer	N;NOM;MASC;SG;3	V;FEM;PL;PST;V.PTCP
जावेद	javed	जावेद	javed	PROPN;NOM;MASC;SG;3	PROPN
रुझान	trend	रुझान	trendre	N;NOM;MASC;SG;3	PROPN
रुझान	tendances	रुझान	tendance	N;NOM;MASC;SG;3	N;FEM;PL
रुझान	populaires	रुझान	populaire	N;NOM;MASC;SG;3	ADJ;MASC;PL
रुझान	populaire	रुझान	populaire	N;NOM;MASC;SG;3	ADJ;MASC;SG
वेशभूषा	déguisements	वेशभूषा	déguisement	N;NOM;FEM;SG;3	N;MASC;PL
वेशभूषा	déguisements	वेशभूषा	déguisement	N;NOM;FEM;SG;3	N;MASC;PL
वेशभूषा	costumes	वेशभूषा	costume	N;NOM;FEM;SG;3	N;MASC;PL
भागीदार	participants	भागीदार	participant	N;NOM;MASC;SG;3	N;MASC;PL
भागीदार	participante	भागीदार	participant	N;NOM;MASC;SG;3	ADJ;FEM;SG
भागीदार	participant	भागीदार	participer	N;NOM;MASC;SG;3	V;PRS;V.PTCP
स्पेंसर	spencer	स्पेंसर	spencer	N;NOM;MASC;SG;3	PROPN
अस्पतालों	hôpital	अस्पताल	hôpital	N;ACC;MASC;PL;3	N;MASC;SG
वान	camionnette	वान	camionnette	PROPN;NOM;MASC;SG;3	N;FEM;SG
वान	fourgonnette	वान	fourgonnette	PROPN;NOM;MASC;SG;3	N;FEM;SG
वान	fourgon	वान	fourgon	PROPN;NOM;MASC;SG;3	N;MASC;SG
वान	van	वान	van	PROPN;NOM;MASC;SG;3	PROPN
तुर्कमेनिस्तान	turkménistan	तुर्कमेनिस्तान	turkménistan	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
देखिए	consultez	देखिया	consulter	V;SBJV;SG;FIN;ACT	V;IMP;PL;2;PRS;FIN
देखिए	voyez	देखिया	voir	V;SBJV;SG;FIN;ACT	V;IMP;PL;2;PRS;FIN
देखिए	vois	देखिया	vois	V;SBJV;SG;FIN;ACT	V;IND;SG;2;PRS;FIN
रॉबर्ट्स	roberts	रॉबर्ट्स	robert	PROPN;NOM;MASC;SG;3	PROPN
क्लाइंट	clients	क्लाइंट	client	N;NOM;MASC;SG;3	N;MASC;PL
राँची	ranchi	राँची	ranchir	PROPN;NOM;MASC;SG;3	PROPN
अपडेट	actualiser	अपडेट	actualiser	N;NOM;MASC;SG;3	V;NFIN
डेनिस	denise	डेनिस	denise	PROPN;NOM;MASC;SG;3	N;FEM;SG
डेनिस	dennis	डेनिस	dennis	PROPN;NOM;MASC;SG;3	PROPN
डेनिस	denis	डेनिस	denis	PROPN;NOM;MASC;SG;3	PROPN
डेनिस	denis	डेनिस	denis	PROPN;NOM;MASC;SG;3	PROPN
जोएल	joël	जोएल	joël	PROPN;NOM;MASC;SG;3	PROPN
जोएल	joel	जोएल	joel	PROPN;NOM;MASC;SG;3	PROPN
मैगज़ीन	revues	मैगज़ीन	revue	PROPN;NOM;MASC;SG;3	N;FEM;PL
मैगज़ीन	magazines	मैगज़ीन	magazine	PROPN;NOM;MASC;SG;3	N;MASC;PL
शंघाई	shanghai	शंघाई	shanghai	PROPN;NOM;MASC;SG;3	PROPN
आयुर्वेदिक	ayurvédique	आयुर्वेदिक	ayurvédique	N;NOM;MASC;SG;3	ADJ;MASC;SG
जहांगीर	jahangir	जहांगीर	jahangir	PROPN;NOM;MASC;SG;3	PROPN
वाइस	mœurs	वाइस	mœur	N;NOM;MASC;SG;3	N;FEM;PL
किट	kits	किट	kit	N;NOM;FEM;SG;3	N;MASC;PL
भ्रमित	perplexe	भ्रमित	perplexe		ADJ;MASC;SG
भ्रमित	confus	भ्रमित	confus		ADJ;MASC;SG
भ्रमित	confuse	भ्रमित	confuse		ADJ;FEM;SG
भ्रमित	troublé	भ्रमित	troubler		V;MASC;SG;PST;V.PTCP
हिसार	hisar	हिसार	hisar	PROPN;NOM;MASC;SG;3	PROPN
संस्मरण	mémoires	संस्मरण	mémoire	N;NOM;MASC;SG;3	N;MASC;PL
राजेंद्र	rajendra	राजेंद्र	rajendre	PROPN;NOM;MASC;SG;3	PROPN
नालंदा	nalanda	नालंदा	nalanda	PROPN;NOM;MASC;SG;3	PROPN
नग्न	nues	नग्न	nue		ADJ;FEM;PL
नग्न	nue	नग्न	nu		ADJ;FEM;SG
नग्न	nu	नग्न	nu		N;MASC;SG
नग्न	nus	नग्न	nu		ADJ;MASC;PL
नग्न	nudité	नग्न	nudité		N;FEM;SG
नग्न	nues	नग्न	nue		ADJ;FEM;PL
नग्न	nue	नग्न	nu		ADJ;FEM;SG
नग्न	nu	नग्न	nu		N;MASC;SG
नग्न	nus	नग्न	nu		ADJ;MASC;PL
कार्यभार	affectations	कार्यभार	affectation	N;NOM;MASC;SG;3	N;FEM;PL
एनालॉग	analogue	एनालॉग	analogue	N;NOM;MASC;SG;3	ADJ;MASC;SG
एनालॉग	analogiques	एनालॉग	analogique	N;NOM;MASC;SG;3	ADJ;MASC;PL
एनालॉग	analogique	एनालॉग	analogique	N;NOM;MASC;SG;3	ADJ;MASC;SG
