для	for	для	for	ADP	
ширина	πλάτος	ширина	πλάτος	N;INAN;NOM;FEM;SG	N;ACC;NEUT;SG
ширина	πλάτος	ширина	πλάτος	N;INAN;NOM;FEM;SG	N;ACC;NEUT;SG
просто	απλα	просто	απλά	PART	ADV
просто	απλά	просто	απλά	PART	ADV
просто	απλώς	просто	απλά	PART	ADV
конце	τέλος	конец	τέλος	N;INAN;ESS;MASC;SG	ADV
конце	λήξη	конец	λήξη	N;INAN;ESS;MASC;SG	N;ACC;FEM;SG
отечественной	πατριώτης	отечественный	πατριώτης	ADJ;INS;FEM;SG	N;NOM;MASC;SG
отечественной	πατριωτικό	отечественный	πατριωτικό	ADJ;INS;FEM;SG	ADJ;NOM;NEUT;SG
вот	εδω	вот	εδω	PART	ADV
вот	εδώ	вот	εδώ	PART	ADV
работал	εργάστηκε	работать	εργάζομαι	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
церкви	εκκλησίες	церковь	εκκλησία	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
клуб	club	клуб	club	N;INAN;NOM;MASC;SG	
клуб	κλάμπ	клуб	κλάμπ	N;INAN;NOM;MASC;SG	
клуб	κλαμπ	клуб	κλαμπ	N;INAN;NOM;MASC;SG	
наук	επιστήμες	наука	επιστήμα	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
больше	περισσότεροι	больше	πολύς	ADV;CMPR	ADJ;NOM;CMPR;MASC;PL
больше	περισσότερες	больше	πολύς	ADV;CMPR	ADJ;NOM;CMPR;FEM;PL
больше	περισσότερα	больше	πολύς	ADV;CMPR	ADJ;NOM;CMPR;NEUT;PL
федерации	ομοσπονδίας	федерация	ομοσπονδία	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
федерации	ομοσπονδία	федерация	ομοσπονδία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
изображения	εικόνα	изображение	εικόνα	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
изображения	εικονα	изображение	εικονα	N;INAN;NOM;NEUT;PL	N;NOM;FEM;SG
степени	πτυχίο	степень	πτυχίο	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
степени	βαθμός	степень	βαθμός	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
награды	τιμά	награда	τιμά	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
ранее	νωρίτερα	ранее	νωρίς	ADV	ADV;CMPR
ранее	παλαιότερα	ранее	παλιά	ADV	ADV;CMPR
википедия	wikipedia	википедия	wikipedia	N;INAN;NOM;FEM;SG	
перед	πρίν	перед	πρίν	ADP	N
перед	πριν	перед	πριν	ADP	ADV
германии	γερμανοί	германия	γερμανός	N;INAN;ESS;NEUT;SG	PROPN;NOM;MASC;PL
германии	γερμανός	германия	γερμανός	N;INAN;ESS;NEUT;SG	ADJ;NOM;MASC;SG
германии	γερμανικό	германия	γερμανικός	N;INAN;ESS;NEUT;SG	ADJ;NOM;NEUT;SG
германии	γερμανικά	германия	γερμανικά	N;INAN;ESS;NEUT;SG	ADV
германии	γερμανική	германия	γερμανικός	N;INAN;ESS;NEUT;SG	ADJ;NOM;FEM;SG
германии	γερμανία	германия	γερμανία	N;INAN;ESS;NEUT;SG	PROPN;ACC;FEM;SG
германии	γερμανια	германия	γερμανια	N;INAN;ESS;NEUT;SG	N;ACC;FEM;SG
владимир	βλαντιμίρ	владимир	βλαντιμίρ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
владимир	βλάντιμιρ	владимир	βλάντιμιρ	N;ANIM;NOM;MASC;SG	
москва	μόσχα	москва	μόσχα	N;INAN;NOM;FEM;SG	PROPN;NOM;FEM;SG
системы	sy	система	sy	N;INAN;NOM;FEM;PL	
академии	ακαδημίας	академия	ακαδημία	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
академии	ακαδημία	академия	ακαδημία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
две	two	два	two	NUM;NOM;FEM	
николай	νικολάι	николай	νικολάι	N;ANIM;NOM;MASC;SG	
николай	νικολάι	николай	νικολάι	N;ANIM;NOM;MASC;SG	
николай	νίκολας	николай	νίκολα	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
николай	νικολάι	николай	νικολάι	N;ANIM;NOM;MASC;SG	
некоторые	μερικές	некоторый	μερικοί	DET;NOM;PL	PRO;NOM;FEM;PL;3
некоторые	κάποια	некоторый	κάποιος	DET;NOM;PL	PRO;NOM;NEUT;PL;3
некоторые	κάποιοι	некоторый	κάποιος	DET;NOM;PL	PRO;NOM;MASC;PL;3
некоторые	μερικοί	некоторый	μερικοί	DET;NOM;PL	PRO;NOM;MASC;PL;3
некоторые	μερικά	некоторый	μερικοί	DET;NOM;PL	PRO;NOM;NEUT;PL;3
менее	λιγότερες	менее	λίγος	ADV;CMPR	ADJ;NOM;CMPR;FEM;PL
роль	ρόλο	роль	ρόλος	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
юго	νοτιοδυτικά	южный	νοτιοδυτικά	N;INAN;NOM;MASC;SG	ADV
юго	νοτιοδυτική	южный	νοτιοδυτικός	N;INAN;NOM;MASC;SG	ADJ;NOM;FEM;SG
дом	πατρίδα	дом	πατρίδα	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
дом	ντομ	дом	ντομ	N;INAN;NOM;MASC;SG	
дом	χάουζ	дом	χάουζ	N;INAN;NOM;MASC;SG	
дом	house	дом	house	N;INAN;NOM;MASC;SG	
значимость	συνάφεια	значимость	συνάφεια	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
высоты	ύψη	высота	ύψη	N;INAN;NOM;FEM;PL	ADV
русский	ρώσικα	русский	ρώσικα	ADJ;NOM;MASC;SG	ADV
русский	ρωσικά	русский	ρωσικός	ADJ;NOM;MASC;SG	ADV
русский	ρώσος	русский	ρώσος	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG
член	dick	член	dick	N;ANIM;NOM;MASC;SG	
член	ντικ	член	ντικ	N;ANIM;NOM;MASC;SG	
орден	σειρά	орден	σειρά	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
орден	διαταγή	орден	διαταγή	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
сын	γιε	сын	για	N;ANIM;NOM;MASC;SG	
пока	αντίο	пока	αντίο	CONJ	N
общины	κοινοτητα	община	κοινοτητα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
общины	κοινότητα	община	κοινότητα	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
общины	κοινότητας	община	κοινότητα	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
эта	αυτο	этот	αυτός	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG;3
эта	αυτό	этот	αυτός	DET;NOM;FEM;SG	PRO;NOM;NEUT;SG;3
нужно	αναγκη	нужный	αναγκη	ADJ;NEUT;SG	N;ACC;FEM;SG
нужно	ανάγκη	нужный	ανάγκη	ADJ;NEUT;SG	N;ACC;FEM;SG
большой	μεγάλα	большой	μεγάλος	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;PL
большой	μεγάλα	большой	μεγάλος	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;PL
количество	ποσότητες	количество	ποσότητα	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
институт	institute	институт	institute	N;INAN;NOM;MASC;SG	
институт	institut	институт	institut	N;INAN;NOM;MASC;SG	
компании	λόχος	компания	λόχος	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
компании	εταιρεία	компания	εταιρεία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
компании	εταιρία	компания	εταιρία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
советского	σοβιετικό	советский	σοβιετικός	ADJ;GEN;MASC;SG	ADJ;NOM;NEUT;SG
советского	σοβιετική	советский	σοβιετικός	ADJ;GEN;MASC;SG	ADJ;NOM;FEM;SG
много	παρτίδες	много	παρτίδα	ADV	N;NOM;FEM;PL
много	πολλά	много	πολύς	ADV	ADJ;NOM;NEUT;PL
много	πολλοι	много	πολύς	ADV	ADJ;NOM;MASC;PL
много	πολλοί	много	πολύς	ADV	ADJ;NOM;MASC;PL
много	πολλές	много	πολύς	ADV	ADJ;NOM;FEM;PL
сельский	αγροτικές	сельский	αγροτικός	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
вопрос	ερώτηση	вопрос	ερώτηση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
новый	νεα	новый	νέος	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
новый	νέο	новый	νέος	ADJ;NOM;MASC;SG	ADJ;ACC;NEUT;SG
новый	νέα	новый	νέος	ADJ;NOM;MASC;SG	ADJ;NOM;NEUT;PL
образование	εκπαίδευση	образование	εκπαίδευση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
момент	στιγμή	момент	στιγμή	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
момент	ροπής	момент	ροπή	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
момент	ροπή	момент	ροπή	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
настоящее	παρών	настоящий	παράνω	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
настоящее	δώρο	настоящий	δώρος	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
настоящее	παρόντες	настоящий	παρών	ADJ;NOM;NEUT;SG	ADJ;NOM;MASC;PL
настоящее	παρόν	настоящий	παρόν	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
стали	χάλυβα	стать	χάλυβα	V;PFV;IND;PL;PST;FIN;ACT	N
стали	ατσάλι	стать	ατσάλι	V;PFV;IND;PL;PST;FIN;ACT	N
стали	χάλυβας	стать	χάλυβα	V;PFV;IND;PL;PST;FIN;ACT	N;NOM;MASC;SG
европы	ευρώπη	европа	ευρώπη	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
организации	οργάνωση	организация	οργάνωση	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
организации	οργανισμός	организация	οργανισμός	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
империи	αυτοκρατορία	империя	αυτοκρατορία	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
империи	empire	империя	empire	N;INAN;NOM;FEM;PL	
река	ρίβερ	река	ρίβερ	N;INAN;NOM;FEM;SG	
участников	εκθέτες	участник	εκθέτης	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
участников	συμμετέχοντες	участник	συμμετέχων	N;ANIM;GEN;MASC;PL	ADJ;NOM;MASC;PL
одна	μόνοι	один	μόνος	DET;NOM;FEM;SG	ADJ;NOM;MASC;PL
одна	μονη	один	μονος	DET;NOM;FEM;SG	N;ACC;FEM;SG
одна	μόνη	один	μόνος	DET;NOM;FEM;SG	ADJ;NOM;FEM;SG
одна	μόνος	один	μόνος	DET;NOM;FEM;SG	ADJ;NOM;MASC;SG
одна	ενα	один	ένας	DET;NOM;FEM;SG	N;NOM;NEUT;SG
одна	μία	один	ένας	DET;NOM;FEM;SG	NUM;NOM;FEM;SG
одна	ένα	один	ένας	DET;NOM;FEM;SG	NUM;NOM;NEUT;SG
одна	μια	один	ένας	DET;NOM;FEM;SG	NUM;NOM;FEM;SG
станции	σταθμός	станция	σταθμός	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
станции	σταθμό	станция	σταθμός	N;INAN;NOM;FEM;PL	N;ACC;MASC;SG
станции	σταθμούς	станция	σταθμός	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
людей	ατομα	человек	ατομα	N;ANIM;GEN;MASC;PL	N;NOM;NEUT;PL
людей	ανθρωποι	человек	ανθρώπος	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
людей	άνθρωποι	человек	άνθρωπος	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
людей	κόσμος	человек	κόσμος	N;ANIM;GEN;MASC;PL	N;NOM;MASC;SG
людей	άτομα	человек	άτομο	N;ANIM;GEN;MASC;PL	N;NOM;NEUT;PL
людей	ανθρώπους	человек	άνθρωπος	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
возможно	ίσως	возможный	ίσως	ADJ;NEUT;SG	ADV
возможно	ισως	возможный	ισως	ADJ;NEUT;SG	ADV
возможно	ίσως	возможный	ίσως	ADJ;NEUT;SG	ADV
возможно	πιθανόν	возможный	πιθανώς	ADJ;NEUT;SG	ADV
возможно	πιθανώς	возможный	πιθανώς	ADJ;NEUT;SG	ADV
возможно	ενδεχομένως	возможный	ενδεχομένως	ADJ;NEUT;SG	ADV
возможно	πιθανότατα	возможный	πιθανώς	ADJ;NEUT;SG	ADV;CMPR
возможно	πιθανόν	возможный	πιθανώς	ADJ;NEUT;SG	ADV
возможно	πιθανώς	возможный	πιθανώς	ADJ;NEUT;SG	ADV
сергей	σεργκέι	сергей	σεργκέι	N;ANIM;NOM;MASC;SG	
сергей	σεργκέι	сергей	σεργκέι	N;ANIM;NOM;MASC;SG	
иван	ιβάν	иван	ιβάν	N;ANIM;NOM;MASC;SG	
такие	τέτοια	такой	τέτοιος	DET;NOM;PL	PRO;NOM;NEUT;SG;3
ссылки	σύνδεσμοι	ссылка	σύνδεσμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;SG
ссылки	συνδέσμους	ссылка	σύνδεσμος	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
многие	πολλά	много	πολύς	NUM	ADJ;NOM;NEUT;PL
многие	πολλοι	много	πολύς	NUM	ADJ;NOM;MASC;PL
многие	πολλοί	много	πολύς	NUM	ADJ;NOM;MASC;PL
многие	πολλές	много	πολύς	NUM	ADJ;NOM;FEM;PL
многие	πολλα	много	πολύς	NUM	ADV
жизнь	life	жизнь	life	N;INAN;NOM;FEM;SG	
жизнь	ζωή	жизнь	ζωή	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
жизнь	ζωη	жизнь	ζωη	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
серии	σειρά	серия	σειρά	N;INAN;NOM;FEM;PL	N;ACC;FEM;SG
серии	σειρα	серия	σειρα	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
участники	συμμετέχοντες	участник	συμμετέχων	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
культуры	πολιτισμοί	культура	πολιτισμός	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
культуры	κουλτούρες	культура	κουλτούρα	N;INAN;NOM;FEM;SG	ADJ;NOM;FEM;PL
культуры	καλλιέργειες	культура	καλλιέργεια	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
культуры	πολιτισμούς	культура	πολιτισμός	N;INAN;NOM;FEM;SG	N;ACC;MASC;PL
часовой	φρουρός	часовой	φρουρός	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
часовой	sentinel	часовой	sentinel	ADJ;NOM;MASC;SG	
часовой	φρουρός	часовой	φρουρός	ADJ;NOM;MASC;SG	N;NOM;MASC;SG
проекта	έργο	проект	έργο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
проекта	εργο	проект	εργο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
проекта	σχέδιο	проект	σχέδιο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
команда	ομάδα	команда	ομάδα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
команда	διοίκηση	команда	διοίκηση	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
команда	εντολή	команда	εντολή	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
команда	ομάδα	команда	ομάδα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
достаточно	αρκετά	достаточный	αρκετά	ADJ;NEUT;SG	ADV
краткое	σύντομος	краткий	σύντομος	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG
краткое	σύντομες	краткий	σύντομος	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
краткое	σύντομο	краткий	σύντομο	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
краткое	σύντομη	краткий	σύντομος	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG
другой	λοιπά	другой	λοιπός	ADJ;NOM;MASC;SG	ADV
другой	αλλα	другой	αλλα	ADJ;NOM;MASC;SG	ADV
другой	άλλες	другой	άλλος	ADJ;NOM;MASC;SG	PRO;NOM;FEM;PL;3
другой	άλλα	другой	άλλος	ADJ;NOM;MASC;SG	PRO;NOM;NEUT;PL;3
данные	δεδομένων	данные	δεδομένο	N;INAN;NOM;PL	N;GEN;NEUT;PL
данные	data	данные	data	N;INAN;NOM;PL	
война	πόλεμο	война	πόλεμος	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
школы	σχολείο	школа	σχολείο	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
школы	σχολη	школа	σχολος	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
школы	σχολειο	школа	σχολειο	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
школы	σχολή	школа	σχολή	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
герой	ήρωα	герой	ήρωα	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
михаил	μιχαήλ	михаил	μιχαήλ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
михаил	μιχαήλ	михаил	μιχαήλ	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
михаил	michael	михаил	michael	N;ANIM;NOM;MASC;SG	
михаил	μάικλ	михаил	μάικλ	N;ANIM;NOM;MASC;SG	
первая	πρώτο	первый	πρώτος	ADJ;NOM;FEM;SG	NUM;NOM;NEUT;SG
первая	πρώτον	первый	πρώτον	ADJ;NOM;FEM;SG	ADV
первая	πρώτη	первый	πρώτος	ADJ;NOM;FEM;SG	NUM;NOM;FEM;SG
первая	πρώτα	первый	πρώτα	ADJ;NOM;FEM;SG	ADV
первая	πρώτος	первый	πρώτος	ADJ;NOM;FEM;SG	NUM;NOM;MASC;SG
которое	που	который	που	PRO;NOM	PRO;ACC;NEUT;SG;3
женщин	γυναίκες	женщина	γυναίκα	N;ANIM;GEN;FEM;PL	N;NOM;FEM;PL
женщин	γυναικες	женщина	γυναίκα	N;ANIM;GEN;FEM;PL	N;NOM;FEM;PL
участником	συμμετέχοντα	участник	συμμετέχων	N;ANIM;INS;MASC;SG	ADV
участником	συμμετέχων	участник	συμμετέχω	N;ANIM;INS;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
жителей	κάτοικοι	житель	κάτοικος	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
жителей	κατοίκους	житель	κάτοικος	N;ANIM;GEN;MASC;PL	N;ACC;MASC;PL
решение	λυση	решение	λυση	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
чемпионат	πρωταθλήματα	чемпионат	πρωτάθλημα	N;INAN;NOM;MASC;SG	N;NOM;NEUT;PL
деятельность	δραστηριότητες	деятельность	δραστηριότητα	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
деятельность	δραστηριότητα	деятельность	δραστηριότητα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
деятельность	δραστικότητα	деятельность	δραστικότητα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
еще	περισσότερο	еще	πολύ	ADV	ADV;CMPR
еще	περισσότεροι	еще	πολύς	ADV	ADJ;NOM;CMPR;MASC;PL
еще	περισσότερες	еще	πολύς	ADV	ADJ;NOM;CMPR;FEM;PL
еще	περισσότερα	еще	πολύς	ADV	ADJ;NOM;CMPR;NEUT;PL
данных	data	данные	data	N;INAN;GEN;PL	
данных	δεδομένα	данные	δεδομένο	N;INAN;GEN;PL	N;NOM;NEUT;PL
данных	στοιχεια	данные	στοιχείο	N;INAN;GEN;PL	N;NOM;NEUT;PL
данных	στοιχεία	данные	στοιχείο	N;INAN;GEN;PL	N;NOM;NEUT;PL
назначен	διορίζεται	назначить	διορίζω	V;PFV;MASC;SG;PST;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
назначен	διόρισε	назначить	διορίζω	V;PFV;MASC;SG;PST;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
назначен	διορίζονται	назначить	διορίζω	V;PFV;MASC;SG;PST;V.PTCP;PASS	V;IPFV;IND;PL;3;PRS;FIN;PASS
плотность	πυκνότητα	плотность	πυκνότητα	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
берегу	σορ	берег	σορ	N;INAN;DAT;MASC;SG	
берегу	ακτη	берег	ακτός	N;INAN;DAT;MASC;SG	PROPN;NOM;FEM;SG
берегу	ακτή	берег	ακτός	N;INAN;DAT;MASC;SG	N;NOM;FEM;SG
итог	αποτέλεσμα	итог	αποτέλεσμα	N;INAN;NOM;MASC;SG	N;ACC;NEUT;SG
итог	έκβαση	итог	έκβαση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
россия	ρωσία	россия	ρωσία	N;INAN;NOM;FEM;SG	PROPN;ACC;FEM;SG
россия	ρωσίας	россия	ρωσία	N;INAN;NOM;FEM;SG	PROPN;GEN;FEM;SG
ничего	τιποτα	ничто	τιποτα	PRO;GEN	ADV
ничего	τίποτε	ничто	τίποτα	PRO;GEN	PRO;NOM;NEUT;SG;3
ничего	τίποτα	ничто	τίποτα	PRO;GEN	PRO;NOM;NEUT;SG;3
села	καθόταν	сесть	καθόταν	V;IPFV;NEUT;IND;SG;PST;FIN;MID	V;IPFV;IND;SG;3;PST;FIN;PASS
села	σαβ	сесть	σαβ	V;IPFV;NEUT;IND;SG;PST;FIN;MID	
названия	τίτλους	название	τίτλο	N;INAN;NOM;NEUT;PL	NUM;NOM;MASC;PL
названия	τίτλοι	название	τίτλος	N;INAN;NOM;NEUT;PL	NUM;NOM;MASC;PL
сан	san	сан	san		
должен	πρέπει	должен	πρέπει	ADJ;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ним	νιμ	он	νιμ	PRO;INS;MASC;SG;3	PROPN;NOM;FEM;SG
права	δικαιωμάτων	право	δικαίωμα	N;INAN;NOM;NEUT;PL	N;GEN;NEUT;PL
король	κινγκ	король	κινγκ	N;ANIM;NOM;MASC;SG	
король	βασιλιά	король	βασιλιάς	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
