年	ปี
教堂	โบสถ์
警察	ตำรวจ
趙	เจา
趙	zhao
趙	โชว
趙	โชโช
趙	โช
原本	เดิมที
娛樂	นันทนาการ
娛樂	สันทนาการ
娛樂	บันเทิง
娛樂	บันเทิง
娛樂	บันเทิง
方案	โปรแกรม
方案	โปรแกรม
屋	บ้าน
屋	เฮ้าส์
詞	คำ
詞	คำ
詞	ลมปาก
洞	หลุม
洞	รู
洞	โพรง
洞	ถ้ำ
洞	ดง
洞	ดอง
宮	วัง
宮	ราชวัง
宮	พระราชวัง
影	เงามืด
影	เงา
影	shadow
影	เงา
速	ความเร็ว
黎	ลาย
會議	ประชุม
會議	ประชุม
會議	พบปะ
會議	ประชุม
資訊	ข้อมูล
戰鬥	ศึก
戰鬥	รบ
戰鬥	สงคราม
戰鬥	สู้
戰鬥	ต่อสู้
戰鬥	สู้
項目	โครงการ
項目	รายการ
項目	โครงการ
限制	จำกัด
限制	วงเงิน
電腦	คอม
電腦	คอมพิวเตอร์
電腦	คอมพิวเตอร์
如何	วิธี
引擎	เครื่องยนต์
引擎	เครื่องยนต์
執行	ประหาร
執行	ประหาร
英雄	วีรบุรุษ
英雄	heroes
英雄	ฮีโร่
英雄	วีรบุรุษ
英雄	ฮีโร่
下午	บ่าย
透過	ผ่าน
反對	ค้าน
反對	คัดค้าน
反對	ค้าน
小時	ชั่วโมง
小時	ชั่วโมง
昂	อัง
昂	อ่าง
昂	ออง
體育	สปอร์ต
體育	sport
體育	กีฬา
體育	สปอร์ต
體育	กีฬา
有些	บาง
有些	บ้าง
元素	ธาตุ
元素	ธาตุ
元素	ธาตุ
宇	อู
宇	วู
任命	นัด
解	แก้
解	ไข
跨	trans
王朝	ราชวงศ์
區域	เขต
區域	โซน
區域	บริเวณ
區域	พื้นที่
區域	แคว้น
區域	ภูมิภาค
區域	ภูมิภาค
以前	ก่อน
報	หนังสือพิมพ์
分子	โมเลกุล
隧道	อุโมงค์
隧道	อุโมงค์
孫	ซุน
孫	ซัน
孫	พระอาทิตย์
崔	ชอย
崔	ชเว
申	ชิน
雜誌	นิตยสาร
雜誌	นิตยสาร
有效	ประสิทธิ์
有效	ประสิทธิผล
平台	แพลตฟอร์ม
平台	แพลตฟอร์ม
概念	แนวคิด
概念	concept
概念	แนวคิด
概念	concepts
議會	รัฐสภา
傳統	ดั้งเดิม
傳統	ประเพณี
傳統	ธรรมเนียม
傳統	ประเพณี
傳統	ธรรมเนียม
夏季	ซัมเมอร์
夏季	summer
照片	ภาพถ่าย
照片	รูป
照片	ภาพ
照片	ภาพถ่าย
照片	รูป
照片	แม่ค้า
照片	ภาพถ่าย
照片	รูปภาพ
照片	รูป
照片	ภาพถ่าย
照片	รูปภาพ
核	นิวเคลียร์
停止	หยุด
公開	สาธารณชน
公開	public
公開	สาธารณะ
仙	เซียน
劍	ดาบ
機構	สถาบัน
機構	สถาบัน
帶	นำ
帶	เข็มขัด
帶	สายพาน
人類	มนุษย์
市場	ตลาด
市場	ตลาด
飛	ฟลาย
飛	บิน
飛	ฟลาย
飛	บิน
軍事	กองทัพ
軍事	ทหาร
協助	ลูกมือ
橋	สะพาน
橋	บริดจ์
橋	สะพาน
調查	สำรวจ
調查	สืบสวน
投	เฝือก
投	โยน
忠	ชัง
忠	ชุง
澳洲	ออสเตรเลีย
主教	บิชอป
紀念	อนุสรณ์
地點	ตำแหน่งที่ตั้ง
地點	ตำแหน่ง
地點	ตำแหน่งที่ตั้ง
颱風	ไต้ฝุ่น
柳	ยู
柳	ริว
沈	เชิน
沈	สิม
沈	ชิม
人工	เทียม
人工	ประดิษฐ์
移動	เลื่อน
移動	ขยับ
移動	ย้าย
陸軍	ทัพ
陸軍	กองทัพ
法院	ศาล
法院	สำนัก
法院	ศาล
留	อยู่
電	ไฟฟ้า
電	รถไฟฟ้า
電	ไฟฟ้า
運動員	นักกีฬา
運動員	นักกีฬา
夢	ฝัน
夢	dream
夢	ฝัน
羅馬	โรม
科學	วิทยาศาสตร์
科學	วิทยาศาสตร์
烏克蘭	ยูเครน
皇后	ควีน
皇后	ราชินี
肯	ken
肯	เคน
柱	คอลัมน์
動物	สัตว์
動物	สัตว์
佛教	พระพุทธ
佛教	พุทธ
精神	วิญญาณ
精神	สปิริต
精神	จิต
企業	ธุรกิจ
企業	ธุรกิจ
企業	กิจการ
核心	หลัก
核心	แกน
核心	เคอร์เนล
冰	ไอซ์
冰	ice
飛機	อากาศยาน
應該	ควร
太陽	ซุน
太陽	ซัน
太陽	พระอาทิตย์
太陽	สุริยะ
太陽	สุ
瑞典	สวีเดน
廳	ฮอล
廳	ฮอลล์
關	กวน
關	ปิด
關	ออก
竹	bamboo
竹	ไผ่
竹	ไม้ไผ่
福建	fujian
選擇	เลือก
選擇	เลือก
陶	เต๋า
陶	เต่า
陶	เทา
陶	tao
珠	ประคำ
比較	เทียบ
比較	เทียบ
類似	คล้าย
眼	นัยน์ตา
眼	ดวงตา
眼	สายตา
眼	ตา
眼	ดวงตา
眼	สายตา
眼	ตา
妻子	ภริยา
妻子	ภรรยา
妻子	เมีย
雨	เรน
雨	ฝน
編號	จำนวน
編號	หมายเลข
思想	คิด
第六	sixth
基督教	คริสเตียน
南方	ใต้
南方	south
南方	ใต้
洋	ทะเล
洋	มหาสมุทร
洋	ocean
公民	พลเมือง
公民	civic
公民	ประชาชน
公民	พลเมือง
公民	พลเมือง
燕	กลืน
改善	ปรับปรุง
改善	ปรับปรุง
改善	ปรับปรุง
製造	ผลิต
製造	ผลิต
敏	min
敏	มิน
網路	เว็บ
網路	อินเทอร์เน็ต
網路	อินเตอร์เน็ต
炮	ปืน
岩	หิน
岩	rock
岩	ร็อค
岩	โยก
岩	หิน
排	แถว
朋友	เพื่อนๆ
朋友	เพื่อน
朋友	friend
朋友	เพื่อน
離開	ทิ้ง
十六	xvi
十六	sixteen
生命	ชีวิต
生命	life
找到	พบ
找到	เจอ
找到	หา
找到	ค้นหา
十五	fifteen
油	น้ำมัน
狀態	สถานะ
狀態	สถานภาพ
更新	อัพเดท
更新	อัพเดต
更新	อัปเดต
彈	เล่น
艦	เรือ
艦	ยาน
主題	หัวข้อ
主題	ธีม
主題	หัวข้อ
主題	หัวข้อ
球場	สนาม
返回	กลับ
宇宙	ภพ
宇宙	จักรวาล
宇宙	จักรภพ
平方	ตาราง
批准	อนุมัติ
批准	อนุมัติ
批准	อนุมัติ
瑞士	สวิสเซอร์แลนด์
酒店	โรงแรม
酒店	โรงแรม
順	ชุน
順	ปลีก
西方	เวสต์
未來	ต่อๆ
未來	future
未來	อนาคต
營	กองพัน
營	ค่าย
芳	ฟาง
任務	ภารกิจ
任務	mission
商業	พาณิชย์
商業	พาณิชย์
商業	โฆษณา
商業	ธุรกิจ
商業	กิจการ
基金	กองทุน
基金	กองทุน
空間	พื้นที่
空間	อวกาศ
空間	space
零	ศูนย์
詩	กลอน
詩	กวี
詩	กลอน
詩	กวี
詩	กลอน
巨	ยักษ์
過去	อดีต
董	tung
董	ดง
董	ดอง
存	มัดจำ
提高	เพิ่ม
嚴重	จริงจัง
嚴重	รุนแรง
嚴重	สาหัส
論	ทฤษฎี
俊	จุน
俊	จุน
母親	แม่
熙	ฮี
葡萄牙	โปรตุเกส
葡萄牙	โปรตุเกส
行為	พฤติกรรม
行為	พฤติกรรม
行為	พฤติกรรม
喬	โจ
喬	joe
朝鮮	เกาหลี
工業	อุตสาหกรรม
工業	อุตสาหกรรม
工業	อุตสาหกรรม
慧	ฮเย
舒	ชุ
舒	ชู
坦克	แท็งค์
坦克	ถัง
授予	รางวัล
茂	มู
茂	moo
茂	หมู่
參考	อ้างอิง
韓	ฮาน
韓	ฮัน
韓	ฮั่น
台北市	ไทเป
收入	รายรับ
珍	jane
珍	เจน
成績	เกรด
姓	สกุล
姓	นามสกุล
菜	จาน
菜	อาหาร
菜	จาน
古代	โบราณ
灰	เทา
灰	แอช
灰	เทา
寬	กว้าง
寬	wide
寬	กว้าง
提升	อัพเกรด
提升	ยก
楚	chu
品牌	ยี่ห้อ
品牌	แบรนด์
品牌	ยี่ห้อ
品牌	แบรนด์
卓	cheuk
翻譯	แปล
翻譯	แปล
翻譯	แปล
目標	วัตถุประสงค์
目標	วัตถุประสงค์
目標	เป้า
基礎	ฐาน
基礎	ฐานทัพ
自動	อัตโนมัติ
自動	auto
自動	อัตโนมัติ
自動	อัตโนมัติ
理論	ทฤษฎี
理論	ลัทธิ
理論	ทฤษฎี
軍隊	ทัพ
軍隊	กองทัพ
鏡	กระจกเงา
鏡	กระจก
注意	ใส่ใจ
注意	สนใจ
大樓	ตึก
大樓	อาคาร
出口	ทางออก
關於	เรื่อง
關於	ประมาณ
高速公路	ทางด่วน
高速公路	ทางหลวง
高速公路	expressways
高速公路	autoroute
高速公路	ทางด่วน
高速公路	ทางหลวง
高速公路	ไฮเวย์
產品	สินค้า
產品	ผลิตภัณฑ์
產品	สินค้า
產品	ผลิตภัณฑ์
畫	ทาสี
畫	วาด
畫	จิตรกรรม
舞	เต้นรำ
舞	เต้น
舞	เต้นรำ
舞	เต้น
荷蘭	เนเธอร์แลนด์
獸	อสูร
獸	สู
汽車	รถยนต์
汽車	รถ
汽車	รถยนต์
汽車	รถ
避免	เลี่ยง
命令	ลำดับ
遠	ไกล
結構	โครงสร้าง
結構	สถาปัตยกรรม
結構	โครงสร้าง
埃及	อียิปต์
字母	อักษร
字母	จดหมาย
大陸	ทวีป
大陸	ทวีป
大陸	ทวีป
可可	coco
可可	โกโก้
海岸	ชายฝั่ง
海岸	ฝั่ง
海岸	ชายฝั่ง
海岸	ฝั่ง
輝	fai
墨西哥	เม็กซิโก
都市	เมโทรโปลิส
都市	มหานคร
學習	เรียน
學習	เรียน
學習	ศึกษา
賴	ลาย
阮	nguyen
動	เลื่อน
動	ขยับ
動	ย้าย
樂團	วง
樂團	band
材料	วัสดุ
材料	วัตถุดิบ
材料	วัสดุ
以後	ทีหลัง
士兵	ทหาร
士兵	ทหาร
容易	ง่าย
容易	ง่ายๆ
容易	ง่ายดาย
魔法	เวทมนตร์
魔法	มนตร์
彼得	peter
大阪	osaka
茶	ชา
孩子	กุมาร
孩子	เด็ก
代理	ตัวแทน
代理	เอเย่นต์
代理	ทำตัว
組合	ผสม
組合	มิกซ์
正常	ปรกติ
正常	ธรรมดา
正常	ปกติ
北京市	beijing
北京市	ปักกิ่ง
模型	รุ่น
模型	โมเดล
模型	รุ่น
夜	ค่ำคืน
夜	คืน
夜	ไนท์
夜	ค่ำคืน
夜	คืน
夜	ราตรี
禁止	แบน
重播	rerun
宣傳	ประชาสัมพันธ์
宣傳	โฆษณาชวนเชื่อ
巨大	ใหญ่
克拉	กะรัต
蛇	งู
蛇	งู
紫	ม่วง
紫	ไวโอเล็ต
週	อาทิตย์
週	สัปดาห์
完整	เต็ม
完整	ฟู
完整	สมบูรณ์
完整	ครบ
森林	ป่า
森林	ฟอเรส
森林	ฟอเรสต์
白色	ขาว
白色	ไวท์
晚上	เย็น
晚上	ไนท์
晚上	ค่ำคืน
晚上	คืน
晚上	ราตรี
國王	กษัตริย์
國王	king
國王	ราชา
國王	คิง
袁	อ้วน
袁	หยวน
欣	ซิน
耳	หู
耳	หู
改變	เปลี่ยนแปลง
改變	เปลี่ยน
廣場	ตาราง
廣場	พลาซ่า
市民	ประชาชน
市民	พลเมือง
